time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1554.56,1743.19,2291.25,1038,2843.06,1218.38,1462.69,1443.38
2,1550.81,1744.5,2287.69,1038.94,2843.25,1214.81,1462.88,1438.5
3,1547.63,1745.63,2284.13,1039.69,2843.63,1211.63,1463.63,1434.38
4,1544.06,1746.38,2280.94,1039.88,2844,1208.25,1463.63,1429.88
5,1540.69,1746.94,2277.38,1039.88,2844.38,1205.25,1464,1425.75
6,1537.13,1747.5,2274.19,1040.44,2844.56,1201.88,1464.19,1421.44
7,1533.75,1748.06,2271.19,1040.81,2844.94,1198.88,1464.38,1417.31
8,1530.56,1748.44,2268.38,1040.81,2845.13,1195.69,1464.56,1413.56
9,1527.19,1749,2265.19,1040.63,2845.5,1192.88,1464.75,1409.81
10,1524,1749.38,2262.19,1041.19,2845.5,1189.88,1464.94,1406.06
11,1520.81,1749.94,2259.38,1041.56,2846.25,1187.25,1465.31,1402.69
12,1518,1750.31,2256.56,1041.56,2846.63,1184.44,1465.5,1399.31
13,1514.81,1750.31,2253.94,1041.38,2846.81,1181.81,1465.5,1395.75
14,1511.81,1750.69,2251.69,1041.75,2847,1179.19,1465.5,1392.19
15,1509,1750.88,2248.88,1042.13,2847,1176.56,1465.88,1389
16,1505.81,1751.06,2246.25,1042.13,2847.19,1173.94,1465.88,1385.81
17,1502.81,1751.25,2243.81,1041.56,2847.38,1171.5,1465.69,1382.63
18,1500,1751.44,2241.38,1041.94,2847.56,1169.25,1465.88,1379.63
19,1497,1751.63,2239.31,1042.31,2847.75,1166.63,1466.06,1376.44
20,1494.19,1751.81,2237.06,1042.31,2847.94,1164.19,1466.06,1373.06
21,1491.56,1752,2234.81,1041.94,2848.13,1161.94,1466.25,1370.25
22,1488.94,1752.38,2232.56,1042.13,2848.5,1159.69,1466.06,1367.44
23,1486.13,1752.75,2230.5,1042.69,2848.88,1157.44,1466.44,1364.44
24,1483.5,1752.94,2228.44,1042.5,2849.06,1155.19,1466.44,1361.81
25,1481.06,1753.13,2226.56,1041.94,2849.44,1153.13,1466.44,1359
26,1478.25,1753.31,2224.5,1042.31,2849.44,1151.06,1466.44,1356.19
27,1475.81,1753.69,2222.44,1042.69,2849.81,1149,1466.63,1353.75
28,1473.38,1753.88,2220.56,1042.5,2850,1146.94,1466.44,1350.75
29,1470.75,1754.25,2218.69,1042.13,2850.19,1144.88,1466.63,1348.5
30,1468.31,1754.44,2216.81,1042.31,2850.19,1142.81,1466.63,1345.69
31,1466.06,1754.81,2215.13,1042.5,2850.75,1140.75,1466.44,1343.44
32,1463.63,1754.81,2213.44,1042.31,2851.13,1139.06,1466.63,1341
33,1461,1755,2211.75,1041.94,2850.94,1136.81,1466.81,1338.38
34,1458.94,1755.19,2210.06,1042.31,2851.31,1135.13,1466.81,1335.94
35,1456.69,1755.38,2208.38,1042.69,2851.69,1133.44,1466.63,1333.69
36,1454.44,1755.38,2207.06,1042.5,2851.69,1131.38,1466.63,1331.06
37,1452.19,1755.38,2205.56,1041.94,2851.88,1129.69,1466.81,1329
38,1449.75,1755.56,2203.88,1042.31,2851.88,1127.81,1466.81,1326.94
39,1447.5,1755.38,2202.56,1042.5,2852.25,1125.94,1466.81,1324.5
40,1445.25,1755.56,2201.25,1042.31,2852.06,1124.25,1466.63,1322.25
41,1443.19,1755.75,2199.75,1041.94,2852.25,1122.38,1466.44,1320.19
42,1441.13,1755.56,2198.44,1042.13,2852.63,1120.88,1466.63,1317.94
43,1438.88,1755.75,2197.31,1042.5,2852.63,1119,1466.63,1315.88
44,1436.81,1756.13,2195.81,1042.31,2852.81,1117.31,1466.44,1313.81
45,1434.75,1756.13,2194.69,1041.75,2852.81,1115.81,1466.44,1311.56
46,1432.69,1756.13,2193.56,1042.13,2853,1114.13,1466.25,1309.69
47,1430.81,1756.31,2192.44,1042.31,2853,1112.63,1466.44,1307.44
48,1428.94,1756.5,2191.5,1042.13,2853.19,1110.94,1466.44,1305.94
49,1426.88,1756.5,2190.38,1041.75,2853.56,1109.44,1466.44,1304.06
50,1425.19,1756.69,2189.25,1042.31,2853.75,1107.94,1466.44,1302.19
51,1423.13,1757.06,2188.13,1042.5,2853.94,1106.81,1466.63,1300.5
52,1421.44,1756.88,2187.38,1042.5,2853.75,1105.13,1466.81,1298.63
53,1419.56,1757.06,2186.44,1041.94,2854.13,1103.63,1466.63,1296.94
54,1417.69,1757.06,2185.5,1042.13,2854.13,1102.31,1466.81,1295.25
55,1416,1757.25,2184.56,1042.5,2854.13,1100.81,1466.63,1293.38
56,1414.13,1757.06,2183.63,1042.13,2854.13,1099.69,1466.63,1291.5
57,1412.25,1757.25,2182.5,1041.56,2853.94,1098.19,1466.44,1289.81
58,1410.56,1757.06,2181.56,1042.13,2854.13,1096.88,1466.44,1288.13
59,1409.06,1757.06,2180.63,1042.31,2854.31,1095.56,1466.44,1286.63
60,1407.19,1756.88,2179.88,1041.94,2854.13,1094.06,1466.44,1284.94
61,1405.5,1757.06,2179.31,1041.38,2854.13,1092.75,1466.25,1283.06
62,1404,1757.06,2178,1041.75,2854.13,1091.63,1466.06,1281.56
63,1402.31,1757.06,2177.63,1042.31,2854.31,1090.31,1466.25,1280.06
64,1400.63,1757.06,2176.88,1042.13,2854.13,1089.19,1466.25,1278.38
65,1399.13,1756.88,2176.13,1041.56,2854.13,1087.88,1466.06,1277.06
66,1397.44,1756.88,2175.38,1041.94,2854.13,1086.56,1466.06,1275.38
67,1395.94,1757.06,2174.44,1042.13,2854.5,1085.25,1466.25,1273.88
68,1394.44,1756.88,2174.06,1041.94,2854.13,1084.13,1466.06,1272.56
69,1392.94,1757.06,2173.13,1041.56,2854.5,1083,1466.06,1270.88
70,1391.44,1757.25,2172.56,1041.75,2854.5,1081.88,1465.88,1269.75
71,1389.75,1757.25,2172.19,1042.13,2854.5,1080.75,1465.88,1268.25
72,1406.81,1821.75,3310.13,1043.81,3480.94,1088.63,1476.19,1309.69
73,1664.63,2010,4215,1064.06,3988.88,1298.81,1559.81,1813.13
74,2039.06,2057.63,4378.13,1083,4134.56,1635.94,1628.81,2247
75,2295.75,2047.13,4410.56,1094.81,4166.06,1872.94,1667.63,2495.81
76,2455.88,2023.69,4406.63,1100.06,4167.19,2031.37,1684.13,2634.94
77,2559.19,1999.31,4391.06,1102.5,4150.31,2139.56,1687.69,2713.5
78,2627.06,1978.13,4369.31,1102.5,4128.56,2214.38,1685.63,2756.81
79,2672.44,1960.69,4349.81,1101,4108.69,2265.19,1679.44,2779.5
80,2702.63,1945.13,4329.56,1099.31,4086.38,2300.63,1672.5,2789.63
81,2722.69,1931.81,4308.94,1097.44,4064.25,2324.63,1665.38,2791.13
82,2735.63,1920.56,4289.25,1094.81,4046.25,2340.75,1658.44,2788.69
83,2743.88,1911.56,4271.44,1093.13,4032.37,2350.5,1651.69,2783.06
84,2748.56,1904.06,4256.63,1090.88,4013.06,2355.94,1645.69,2775.94
85,2751.38,1898.44,4241.06,1089,4002,2358.94,1640.63,2768.06
86,2752.13,1892.44,4228.5,1087.13,3988.31,2359.31,1636.31,2759.63
87,2752.31,1887.56,4216.88,1086.19,3975.19,2358.56,1631.63,2750.81
88,2750.81,1883.25,4205.63,1083.56,3963,2355.75,1627.69,2741.63
89,2748.75,1879.31,4193.81,1082.44,3950.25,2351.63,1624.13,2732.25
90,2746.69,1875.38,4182,1081.13,3944.06,2347.13,1620.75,2722.31
91,2743.69,1871.25,4169.44,1080.19,3934.88,2341.88,1617,2712.94
92,2740.88,1868.63,4160.63,1078.88,3927.56,2336.25,1614,2703.56
93,2737.5,1866,4150.13,1078.13,3919.69,2330.25,1611.56,2694.56
94,2733.94,1862.81,4143.19,1077.19,3914.06,2324.25,1609.31,2685.56
95,2730.75,1860.75,4133.81,1076.81,3903.94,2318.81,1606.88,2677.5
96,2728.31,1858.31,4128.38,1075.69,3895.5,2313.94,1605.19,2670.75
97,2725.5,1856.25,4121.06,1074.94,3892.69,2309.06,1603.5,2664
98,2722.69,1854.94,4114.31,1074.38,3889.5,2304.38,1602.19,2657.63
99,2720.06,1853.81,4109.63,1074,3888,2299.31,1600.5,2651.06
100,2717.25,1853.25,4105.69,1073.63,3876.38,2294.06,1598.81,2645.06
101,2714.25,1851.19,4101.19,1073.44,3874.88,2289.38,1597.31,2638.69
102,2711.06,1849.13,4095.19,1073.06,3868.31,2284.13,1595.81,2631.56
103,2707.31,1847.06,4089.19,1072.13,3862.31,2278.5,1593.94,2624.63
104,2703.56,1845.38,4085.25,1071.38,3856.31,2273.06,1592.44,2617.88
105,2699.81,1843.5,4079.06,1070.81,3851.81,2267.63,1590.94,2610.94
106,2696.44,1842.19,4074,1069.88,3851.25,2261.81,1589.63,2604.75
107,2692.88,1840.5,4070.06,1069.5,3845.44,2256.75,1587.94,2598.56
108,2689.5,1838.81,4066.13,1068.19,3842.25,2251.5,1586.63,2592.56
109,2686.13,1837.13,4060.31,1068,3836.06,2246.63,1585.13,2586.94
110,2682.19,1835.63,4055.44,1067.44,3827.44,2241.56,1584,2580.75
111,2678.81,1834.13,4051.69,1067.06,3825.94,2236.31,1582.13,2574.75
112,2675.25,1832.81,4046.44,1066.31,3820.88,2231.06,1580.81,2568.94
113,2669.81,1830.19,4038.19,1065.56,3818.06,2224.31,1578.75,2561.44
114,2667.56,1829.81,4037.62,1065.38,3817.13,2220.94,1578.56,2557.13
115,2663.63,1828.88,4033.88,1065.19,3810.38,2216.44,1577.06,2551.88
116,2660.25,1828.13,4029,1064.44,3808.13,2211.38,1576.13,2547
117,2656.69,1826.81,4024.88,1063.88,3804,2206.69,1575,2541.75
118,2653.5,1825.88,4022.44,1063.88,3803.44,2201.81,1574.25,2536.88
119,2650.13,1825.31,4021.88,1063.31,3798.75,2197.31,1573.13,2532.38
