time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1539.19,2017.88,2394.56,1148.63,3282.56,1248.94,1658.25,1395
2,1536.94,2018.81,2395.88,1148.06,3284.06,1246.5,1658.44,1393.31
3,1534.69,2018.63,2397.75,1148.25,3285.19,1243.88,1658.44,1391.81
4,1532.81,2019,2399.63,1148.63,3286.69,1241.81,1659,1390.31
5,1530.94,2019,2401.5,1148.44,3288.19,1239.56,1659,1389
6,1529.44,2019.56,2403.75,1148.06,3289.69,1237.69,1659.19,1387.88
7,1527.56,2020.12,2405.44,1148.44,3290.63,1235.63,1659,1386.56
8,1525.69,2020.12,2407.69,1148.44,3291.94,1233.56,1659.19,1385.06
9,1523.81,2020.12,2409.94,1148.25,3293.25,1231.5,1658.81,1383.75
10,1522.13,2020.5,2412,1147.88,3294.19,1229.44,1658.81,1382.25
11,1520.44,2021.06,2414.44,1148.06,3295.5,1227.94,1658.81,1381.31
12,1518.94,2021.44,2416.88,1147.88,3296.63,1226.25,1659,1380.19
13,1517.44,2021.25,2419.13,1148.06,3297.75,1224.56,1658.63,1378.88
14,1515.75,2021.63,2421.94,1147.5,3299.06,1222.88,1659,1377.75
15,1514.63,2022.19,2424.38,1147.88,3300.19,1221.38,1658.81,1376.81
16,1513.31,2022.38,2426.63,1147.88,3301.31,1220.06,1659,1375.5
17,1512,2022.38,2429.25,1147.69,3302.63,1218.38,1658.81,1374.94
18,1510.5,2022.75,2431.5,1147.13,3303.38,1217.06,1658.63,1373.81
19,1509.56,2023.5,2434.31,1147.5,3304.69,1215.75,1658.81,1373.06
20,1507.88,2023.31,2436.38,1147.5,3305.44,1214.25,1658.44,1371.75
21,1506.56,2023.31,2439.19,1147.13,3306.38,1212.75,1658.25,1370.63
22,1505.63,2023.69,2441.81,1146.56,3307.5,1211.63,1658.06,1369.88
23,1504.5,2024.25,2444.44,1147.13,3308.81,1210.31,1658.06,1368.94
24,1503.38,2024.25,2446.88,1146.75,3309.56,1209.38,1658.25,1368.19
25,1502.44,2024.25,2449.31,1146.94,3310.88,1208.25,1658.06,1367.44
26,1501.5,2024.44,2452.13,1146.56,3311.81,1207.31,1658.25,1366.88
27,1500.56,2024.63,2454.56,1146.75,3312.75,1206.19,1658.25,1366.13
28,1499.81,2024.81,2457,1146.75,3313.69,1205.44,1658.44,1365.75
29,1499.06,2025,2459.44,1146.56,3314.81,1204.5,1658.63,1365
30,1498.31,2025,2462.06,1146.38,3315.75,1203.56,1658.63,1364.44
31,1497.75,2025.56,2464.88,1146.75,3316.88,1202.81,1658.81,1364.06
32,1496.81,2025.56,2467.13,1146.56,3317.44,1201.88,1658.63,1362.94
33,1496.06,2025.56,2469.75,1146.56,3318.75,1200.94,1658.63,1362.56
34,1495.31,2025.75,2472.19,1146,3319.31,1200,1658.63,1361.81
35,1494.56,2026.31,2474.63,1146.56,3319.88,1199.44,1658.81,1361.44
36,1493.81,2026.31,2477.06,1146.38,3321,1198.5,1658.81,1361.06
37,1493.44,2026.5,2480.06,1146.56,3322.13,1198.13,1659.19,1360.88
38,1492.69,2026.5,2482.13,1145.81,3322.88,1197.19,1659.38,1360.31
39,1491.94,2026.88,2484.38,1146.38,3323.25,1196.44,1658.81,1359.75
40,1491.38,2027.25,2486.81,1146.38,3324.38,1195.69,1659.38,1359.38
41,1491,2027.06,2489.44,1146.19,3325.31,1195.13,1659.38,1359
42,1490.63,2027.25,2491.88,1146,3326.44,1194.56,1659.56,1358.44
43,1490.06,2027.81,2494.31,1146.38,3327.38,1194,1659.94,1358.25
44,1489.5,2027.81,2496.56,1146.38,3327.94,1193.25,1660.13,1357.88
45,1488.94,2027.81,2499.19,1146.38,3328.69,1192.69,1660.13,1357.5
46,1488.38,2028,2501.44,1145.81,3329.63,1191.94,1659.94,1356.94
47,1487.81,2028.56,2503.88,1146.19,3330.19,1191.19,1660.13,1356.56
48,1487.25,2028.75,2506.13,1146.38,3331.5,1190.81,1660.31,1356.19
49,1486.88,2028.75,2508.75,1146.56,3332.44,1190.06,1660.5,1356
50,1486.31,2028.94,2510.81,1146,3333,1189.5,1660.31,1355.44
51,1485.75,2029.5,2513.25,1146.38,3333.56,1188.75,1660.31,1355.06
52,1485.38,2029.5,2515.31,1146.38,3334.31,1188.38,1660.31,1354.69
53,1484.63,2029.5,2517.94,1146.38,3335.44,1187.63,1660.31,1354.31
54,1483.88,2029.69,2520.19,1145.81,3335.63,1186.88,1659.94,1353.56
55,1483.31,2030.06,2522.63,1146.38,3336.38,1186.31,1660.13,1353.19
56,1483.31,2030.44,2525.06,1146.19,3337.69,1185.94,1660.5,1353
57,1482.75,2030.25,2527.31,1146.19,3338.25,1185.19,1660.13,1352.81
58,1482.38,2030.63,2529.56,1145.81,3338.81,1184.81,1660.31,1352.44
