time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1684.13,2045.44,2214.19,1156.69,3180.75,1422.94,1689.56,1663.31
2,1680.19,2044.31,2210.06,1156.13,3179.81,1418.63,1689.19,1657.88
3,1676.44,2043.75,2206.13,1155.94,3179.25,1414.5,1688.44,1652.63
4,1672.5,2042.81,2202,1155,3177.94,1410.38,1687.88,1647.19
5,1668.56,2042.06,2198.06,1155,3176.81,1406.44,1687.31,1641.94
6,1664.81,2041.31,2193.94,1155,3176.06,1402.31,1686.56,1636.69
7,1660.5,2040.38,2190.38,1154.25,3174.94,1398,1685.63,1631.25
8,1656.75,2039.81,2186.63,1153.5,3174.38,1394.06,1685.44,1626.19
9,1653,2039.06,2182.69,1153.31,3173.06,1389.94,1684.69,1621.31
10,1649.25,2038.31,2178.75,1153.13,3171.94,1386,1683.94,1616.25
11,1645.31,2037.75,2174.63,1152.75,3171.19,1381.88,1683.38,1611.38
12,1641.56,2037.19,2170.88,1151.81,3170.25,1377.94,1682.81,1606.5
13,1637.81,2036.44,2166.94,1151.81,3169.31,1374,1681.88,1601.81
14,1634.06,2035.88,2163,1151.63,3168.56,1370.25,1681.5,1596.94
15,1630.13,2035.31,2159.25,1151.06,3167.63,1366.13,1680.75,1592.06
16,1626.56,2034.94,2155.69,1150.31,3166.69,1362.38,1680.19,1587.56
17,1622.81,2034.38,2151.94,1150.31,3165.94,1358.63,1679.81,1583.06
18,1619.06,2033.63,2148.19,1150.13,3165.19,1354.88,1678.88,1578.56
19,1615.69,2033.44,2144.44,1149.75,3164.25,1351.13,1678.31,1574.06
20,1611.75,2032.88,2141.25,1149,3163.88,1347.56,1677.75,1569.75
21,1608.19,2032.5,2137.69,1149,3162.94,1343.63,1677,1565.44
22,1604.81,2031.94,2134.13,1148.81,3162.56,1340.44,1676.63,1561.31
23,1601.25,2031.37,2130.75,1148.63,3161.81,1336.69,1676.06,1557.19
24,1598.06,2031,2127.38,1147.69,3161.44,1333.31,1675.69,1553.25
25,1594.5,2030.63,2123.63,1147.88,3160.5,1330.13,1675.31,1549.31
