time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1653,2007.75,2371.5,1132.13,3252.94,1365.38,1658.06,1572.38
2,1650.94,2007.75,2371.13,1132.13,3252.94,1363.31,1657.88,1570.13
3,1648.88,2007.56,2370.75,1132.13,3253.13,1361.25,1657.5,1567.88
4,1647,2007.38,2370.19,1131.38,3253.13,1359.19,1657.31,1565.81
5,1644.94,2007.19,2370.19,1131.38,3252.94,1357.31,1656.94,1563.75
6,1643.25,2007.19,2370,1131.56,3252.94,1355.25,1656.75,1561.88
7,1641.38,2007,2369.44,1131.56,3252.94,1353.38,1656.56,1559.81
8,1639.69,2007,2369.44,1130.81,3252.94,1351.69,1656.19,1558.13
9,1638,2006.81,2369.25,1131,3252.56,1350,1656,1556.25
10,1636.13,2006.62,2368.69,1131,3252.75,1348.13,1655.63,1554.19
11,1634.44,2006.44,2368.5,1130.81,3252.56,1346.25,1655.63,1552.31
12,1632.75,2007,2368.5,1130.81,3252.19,1344.56,1655.25,1550.63
13,1631.25,2006.44,2368.13,1130.44,3252.38,1342.88,1655.06,1548.56
14,1629.56,2006.44,2367.94,1130.63,3252.75,1341.19,1654.88,1546.88
15,1627.88,2006.25,2367.75,1130.25,3252.56,1339.5,1654.69,1545.19
16,1626.19,2006.25,2367.56,1129.69,3252.56,1337.81,1654.31,1543.31
17,1624.69,2006.25,2367.38,1129.88,3252.56,1336.13,1654.13,1541.44
18,1623,2006.25,2367.56,1130.06,3252.38,1334.63,1653.75,1539.94
19,1621.5,2006.25,2367.38,1129.69,3252.38,1332.94,1653.56,1538.25
20,1620,2006.25,2367.38,1129.13,3252.38,1331.06,1653.38,1536.38
21,1618.5,2006.25,2367.38,1129.5,3252.38,1329.75,1653,1534.88
22,1617,2006.44,2367.56,1129.69,3252.38,1328.25,1653,1533.38
23,1615.69,2006.25,2367.56,1129.69,3252.56,1326.75,1652.81,1531.69
24,1614.19,2006.06,2367.19,1128.75,3252.56,1325.25,1652.63,1530.19
25,1612.69,2006.25,2367.38,1129.13,3252.56,1323.75,1652.63,1528.69
26,1611.38,2006.06,2367.38,1129.31,3252.75,1322.25,1652.25,1527.19
27,1610.06,2006.06,2367.38,1129.13,3252.56,1320.75,1652.06,1525.69
28,1608.75,2006.06,2367.38,1128.56,3252.56,1319.44,1651.88,1524.19
29,1607.25,2006.25,2367.38,1128.94,3252.56,1318.13,1651.88,1522.88
30,1606.13,2006.06,2367.56,1129.31,3252.56,1316.63,1651.69,1521.38
31,1604.63,2006.06,2367.56,1128.75,3252.56,1315.31,1651.5,1519.88
32,1603.5,2006.25,2367.56,1128.38,3252.56,1314,1651.31,1518.75
33,1602.19,2006.25,2367.56,1128.75,3252.56,1312.69,1651.13,1517.44
34,1601.06,2006.06,2367.75,1128.94,3252.75,1311.38,1650.94,1515.94
35,1599.75,2006.06,2367.75,1128.75,3252.38,1310.06,1650.94,1514.44
36,1598.63,2005.88,2367.94,1128.19,3252.38,1308.75,1650.75,1513.13
37,1597.5,2006.06,2367.94,1128.56,3252.56,1307.44,1650.56,1512
38,1596,2005.88,2367.94,1128.75,3252.38,1306.13,1650.38,1510.69
39,1594.88,2006.25,2368.13,1128.75,3252.38,1304.81,1650.19,1509.19
40,1593.56,2006.25,2367.94,1127.81,3252.38,1303.69,1650,1508.06
41,1592.25,2006.25,2368.13,1128.19,3252.38,1302.19,1650,1506.94
42,1591.31,2006.25,2368.13,1128.56,3252.56,1301.25,1649.81,1505.81
43,1590.19,2006.25,2368.13,1128.38,3252.75,1300.13,1649.81,1504.69
44,1589.06,2006.25,2368.31,1127.81,3252.75,1299,1649.63,1503.56
45,1587.94,2006.25,2368.31,1128.19,3252.38,1297.69,1649.63,1502.25
46,1586.63,2006.06,2368.5,1128.19,3252.56,1296.56,1649.25,1500.94
47,1585.5,2006.44,2368.5,1128,3252.56,1295.44,1649.25,1499.81
48,1584.56,2006.44,2368.88,1127.44,3252.94,1294.31,1649.06,1498.88
49,1583.63,2006.62,2368.5,1127.81,3252.75,1293.19,1649.06,1497.56
50,1582.5,2006.81,2368.88,1128.19,3252.94,1292.25,1649.06,1496.63
51,1581.56,2006.62,2369.06,1128,3253.13,1291.13,1649.25,1495.5
52,1580.63,2007,2368.88,1127.44,3252.94,1290.19,1649.06,1494.56
53,1579.69,2006.81,2368.88,1127.63,3252.94,1289.25,1649.06,1493.44
54,1578.56,2006.62,2368.88,1128,3253.13,1288.13,1648.88,1492.31
55,1577.63,2006.81,2369.44,1128,3252.94,1287,1648.69,1491.38
56,1576.5,2007,2369.06,1127.25,3252.94,1286.06,1648.5,1490.06
57,1575.38,2006.81,2369.25,1127.63,3252.75,1284.75,1648.5,1488.94
58,1574.25,2006.81,2369.25,1127.81,3252.94,1283.81,1648.13,1488
59,1573.5,2007,2369.44,1128,3252.94,1282.88,1648.31,1486.88
60,1572.56,2007.19,2369.63,1127.44,3252.75,1281.75,1648.13,1486.13
61,1571.44,2007.19,2369.63,1127.81,3252.94,1280.81,1648.31,1485
62,1570.69,2007.19,2369.63,1128.38,3253.13,1279.69,1648.13,1484.06
63,1569.38,2007.19,2370,1128,3252.75,1278.75,1648.13,1482.94
64,1568.63,2007.19,2369.63,1127.44,3252.75,1277.81,1647.75,1482
65,1567.69,2007.19,2370,1127.81,3252.56,1276.88,1647.94,1480.88
66,1566.94,2007.19,2369.81,1128,3252.94,1276.13,1647.75,1480.13
67,1565.81,2007.38,2369.81,1127.81,3252.75,1275,1647.75,1479
68,1565.06,2007.38,2370,1127.44,3252.94,1274.06,1647.75,1478.25
69,1564.13,2007.56,2370,1127.63,3252.75,1273.13,1647.56,1477.13
70,1563.19,2007.56,2370,1128,3252.94,1272.19,1647.38,1476.19
71,1562.25,2007.75,2370.19,1127.81,3252.94,1271.25,1647.56,1475.44
72,1576.13,2074.13,3302.06,1128.38,3784.69,1275.75,1661.63,1509.75
73,1769.44,2240.25,4101.94,1145.06,4132.31,1432.88,1752.75,1917.94
74,2055.19,2268,4274.63,1155.94,4217.81,1700.25,1811.63,2280.94
75,2264.81,2251.69,4323.19,1160.06,4236.94,1903.69,1838.44,2492.44
76,2400.19,2227.69,4330.5,1160.63,4236,2043.38,1845.75,2616.56
77,2489.63,2204.25,4324.13,1160.44,4223.06,2139.38,1843.88,2690.63
78,2551.69,2184.94,4311.94,1158.38,4212.19,2207.63,1837.69,2736.19
79,2596.13,2169.94,4297.5,1155.38,4195.69,2257.31,1829.81,2763
80,2628.19,2156.81,4283.44,1153.69,4183.88,2293.31,1821.56,2779.5
81,2652.38,2145.75,4268.63,1151.63,4174.31,2319.56,1814.06,2787.94
82,2670.94,2136.94,4253.25,1148.81,4167.19,2338.5,1806.75,2791.13
83,2684.81,2128.5,4241.25,1146,4156.5,2352,1800.38,2790.94
84,2695.31,2120.63,4228.5,1144.13,4146.38,2361.19,1794,2787.94
85,2703,2114.81,4214.63,1142.25,4141.69,2366.63,1788.94,2782.88
86,2708.63,2109.75,4203,1140.75,4131.94,2370,1783.69,2776.88
87,2712.75,2105.06,4190.81,1138.88,4125.38,2370.94,1779.19,2769.75
88,2715.75,2100.75,4179.38,1137.56,4117.88,2370.75,1774.88,2762.06
89,2717.25,2096.63,4167.75,1136.44,4112.63,2369.06,1771.69,2753.81
90,2717.81,2092.88,4158.38,1134.94,4105.88,2366.06,1767.75,2745
91,2717.44,2089.69,4151.63,1134.38,4100.81,2362.31,1764.38,2736.38
92,2716.69,2085,4142.25,1132.69,4093.5,2358,1761.19,2727.75
93,2715.38,2079.38,4131.38,1131.94,4085.06,2353.31,1758,2718.38
94,2713.13,2075.44,4121.81,1130.81,4083,2347.69,1754.44,2709.19
95,2710.31,2072.06,4113.38,1129.31,4080.56,2341.5,1751.44,2699.63
96,2707.31,2070.38,4107.19,1128.38,4073.06,2335.13,1748.63,2690.44
97,2704.13,2068.13,4097.44,1127.44,4068.56,2328.94,1746.38,2681.63
98,2700.75,2065.5,4089.94,1127.06,4061.81,2322.94,1743.75,2673
99,2697,2061.38,4081.13,1126.31,4056.94,2316.19,1740.94,2664.38
100,2692.69,2058,4074.94,1125,4051.88,2309.44,1738.31,2655.75
101,2688.19,2055.19,4066.5,1124.06,4046.25,2302.5,1736.06,2647.13
102,2683.88,2052.75,4062.19,1123.13,4043.06,2296.13,1734,2639.44
103,2679.56,2052.19,4056.75,1121.81,4039.69,2289.56,1732.13,2631.75
104,2675.25,2051.81,4051.31,1121.25,4037.25,2283.56,1730.06,2624.81
105,2671.13,2049.94,4044.38,1121.44,4033.5,2277.56,1728.56,2618.06
106,2666.81,2048.25,4040.81,1120.88,4028.81,2271.38,1727.06,2611.5
107,2662.5,2046,4036.5,1119.38,4027.88,2265.75,1725.56,2605.13
108,2658.19,2044.87,4030.31,1118.44,4024.88,2260.31,1723.88,2599.13
109,2653.88,2042.81,4023.75,1118.81,4020.19,2254.5,1722.19,2593.13
110,2649.94,2040.75,4018.88,1117.88,4018.13,2249.63,1720.88,2587.31
111,2645.25,2038.88,4013.44,1117.13,4013.44,2244,1719,2581.31
112,2640.94,2037.56,4009.5,1117.31,4009.69,2238.75,1717.31,2575.69
113,2636.63,2035.88,4004.06,1116.56,4006.5,2233.5,1716,2570.06
114,2632.31,2034.38,3998.06,1115.81,4001.63,2227.69,1714.69,2564.06
115,2628,2031.94,3993.56,1115.06,4000.69,2223.19,1713,2558.25
116,2623.69,2031.37,3989.81,1114.5,3997.5,2218.13,1711.5,2552.81
117,2619.19,2030.44,3985.88,1114.31,3993.56,2212.88,1710,2547.56
118,2615.44,2030.63,3982.5,1113.94,3993.19,2208.38,1708.88,2542.5
119,2610.94,2029.88,3978.94,1113.56,3990.19,2203.69,1708.13,2537.63
120,2607.19,2029.5,3976.31,1113.38,3990.19,2199.19,1707,2533.13
121,2603.63,2027.81,3972,1113.56,3987,2194.88,1706.25,2528.63
122,2599.88,2025.94,3967.13,1112.44,3982.31,2190.38,1705.13,2524.13
123,2596.13,2022.75,3963.94,1111.88,3977.25,2185.88,1703.63,2519.44
124,2592,2022.19,3960,1111.5,3975.75,2181.75,1702.31,2515.13
125,2588.25,2020.69,3956.06,1111.13,3974.06,2177.25,1701.38,2510.06
126,2584.5,2019.56,3953.44,1110.38,3972.75,2173.31,1700.25,2505.94
127,2580.56,2018.81,3949.69,1109.06,3970.88,2169,1699.5,2501.25
128,2577,2019,3948.75,1109.25,3968.81,2165.25,1698.38,2497.5
129,2573.63,2018.63,3943.31,1110,3965.81,2161.31,1697.44,2493.94
130,2570.06,2017.5,3940.5,1109.63,3963,2157.56,1696.69,2490.19
131,2566.88,2016.94,3937.69,1109.06,3959.63,2153.81,1695.94,2486.63
132,2563.13,2016.19,3934.13,1108.5,3958.31,2150.06,1695,2483.06
133,2559.75,2015.63,3931.69,1109.06,3956.25,2146.31,1694.44,2479.13
134,2556.75,2015.81,3927.75,1108.13,3956.63,2142.94,1693.69,2475.75
135,2553.56,2015.44,3924.94,1107.19,3955.5,2139.94,1693.13,2472.75
136,2550.56,2013.94,3921.94,1107.75,3951.94,2136.56,1692,2469.56
137,2547.19,2012.25,3918.56,1107.38,3950.81,2133.38,1691.44,2465.63
138,2544.19,2011.31,3916.31,1106.81,3949.88,2130,1690.69,2462.44
139,2541.19,2010.38,3912.19,1106.63,3945.75,2126.63,1689.75,2458.69
140,2537.81,2008.69,3909,1105.88,3942.94,2123.44,1688.63,2454.56
141,2534.63,2007.38,3905.81,1106.25,3939.94,2120.25,1687.5,2451
142,2531.63,2006.81,3902.81,1106.06,3937.13,2116.69,1686.56,2447.06
143,2528.44,2006.81,3900.56,1105.5,3935.63,2113.88,1686,2443.5
144,2525.06,2006.81,3898.31,1105.13,3935.81,2110.5,1685.25,2439.94
145,2522.44,2007.19,3897.56,1105.31,3935.81,2107.31,1685.06,2436.94
146,2519.63,2008.13,3894.75,1104.94,3933.19,2104.69,1684.5,2434.31
147,2517.19,2009.06,3894.19,1104.94,3930.75,2102.06,1684.69,2432.06
148,2514.94,2009.81,3892.88,1104.94,3930.38,2099.63,1684.13,2429.63
149,2512.88,2009.44,3890.63,1105.5,3930.38,2097,1684.31,2427.56
150,2510.25,2009.06,3887.25,1105.5,3929.25,2094.38,1683.94,2425.13
151,2508.19,2010,3885.56,1105.69,3928.88,2092.31,1683.94,2423.06
152,2506.5,2012.06,3885.19,1105.88,3928.31,2090.81,1683.94,2421.56
153,2504.81,2013,3883.31,1106.06,3931.31,2088.94,1684.5,2420.44
154,2503.31,2013.19,3881.63,1106.63,3927.38,2087.25,1684.69,2419.13
155,2502,2014.31,3880.69,1106.44,3927.19,2085.94,1685.06,2418.56
156,2500.88,2015.63,3881.25,1107.19,3927,2084.81,1685.44,2417.81
157,2499.56,2016.56,3880.5,1107.94,3928.13,2083.88,1686.19,2417.44
158,2498.81,2015.06,3877.88,1107.56,3925.88,2083.13,1686.19,2417.44
159,2497.31,2012.63,3877.5,1107,3925.13,2082,1685.81,2415.94
160,2495.81,2010.94,3875.63,1106.63,3924.19,2080.5,1685.25,2414.63
161,2493.94,2008.13,3872.81,1106.44,3923.44,2078.81,1684.69,2412.56
162,2491.88,2006.44,3868.5,1106.25,3920.25,2077.13,1683.75,2410.13
163,2489.63,2003.81,3863.81,1105.5,3916.5,2075.06,1682.25,2406.94
164,2487,2000.44,3859.69,1104.56,3914.44,2073,1680.75,2403.75
165,2484.38,1998,3855.56,1104.19,3909,2070.19,1679.25,2399.63
166,2481.19,1995,3851.44,1103.81,3907.5,2067.38,1678.13,2395.88
167,2478,1993.69,3848.06,1102.88,3904.88,2064.19,1676.63,2391.94
168,2475,1992.94,3846,1102.13,3902.63,2061.19,1674.94,2388
169,2471.81,1992.19,3842.81,1101.38,3899.06,2058,1674.38,2384.44
170,2468.81,1991.06,3840.94,1100.81,3898.13,2054.81,1673.44,2381.25
171,2465.81,1990.88,3839.25,1099.69,3898.69,2051.63,1672.5,2378.06
172,2461.31,1985.44,3816.56,1099.13,3869.44,2047.69,1667.63,2370
173,2452.5,1963.69,3773.81,1098.75,3816,2039.06,1658.06,2345.25
174,2440.13,1952.06,3720,1099.69,3754.69,2025.19,1649.25,2313.19
175,2425.88,1947.56,3664.13,1099.31,3703.5,2008.31,1642.88,2279.63
176,2409.94,1945.31,3612.56,1100.81,3662.63,1989.38,1638.19,2245.88
177,2393.44,1947.94,3565.69,1102.31,3630.38,1969.88,1634.81,2214.19
178,2376.56,1948.31,3520.13,1103.44,3604.69,1950.56,1632.75,2184.19
179,2359.69,1951.13,3478.69,1103.81,3582.56,1931.06,1631.44,2156.25
180,2343,1952.81,3438.56,1105.69,3565.31,1912.69,1630.69,2130.75
181,2326.31,1955.63,3402.75,1107,3548.81,1895.06,1630.5,2106.38
