time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1289.06,1962.38,1798.88,1118.44,3066,999.56,1611.75,1180.88
2,1286.63,1962.75,1796.44,1118.06,3065.81,997.5,1611.38,1178.25
3,1284.56,1962.75,1794.38,1118.63,3066.19,995.62,1611.56,1176
4,1282.31,1962.94,1792.31,1118.63,3066,993.75,1611.19,1173.56
5,1280.25,1963.13,1790.25,1117.88,3066.19,992.06,1611.19,1171.31
6,1278,1963.31,1788.19,1117.88,3066,990.19,1611.38,1169.25
7,1275.94,1963.13,1786.13,1118.44,3065.81,988.31,1611.19,1166.81
8,1273.88,1963.5,1784.25,1118.44,3065.63,986.62,1611.38,1164.75
9,1272,1963.88,1782.38,1117.88,3066.19,984.94,1611.19,1162.5
10,1269.94,1963.88,1780.31,1118.06,3065.63,983.06,1611.38,1160.25
11,1267.69,1963.69,1778.44,1118.63,3066,981.37,1611.19,1158.38
12,1265.81,1963.88,1776.38,1118.44,3066,979.5,1611.38,1156.13
13,1263.75,1964.25,1774.69,1117.88,3066.38,977.81,1611,1154.06
14,1261.69,1964.25,1772.81,1117.69,3065.81,976.12,1611,1152
15,1259.81,1964.06,1770.94,1118.25,3066,974.44,1611,1149.75
16,1257.75,1964.44,1769.44,1118.25,3066,972.75,1611,1147.88
17,1255.88,1964.63,1767.56,1117.69,3066.38,971.25,1610.81,1145.81
18,1254,1964.81,1766.06,1117.88,3066.19,969.56,1611,1143.94
19,1252.31,1965,1764.38,1118.25,3066.56,968.06,1611,1142.06
20,1250.44,1965.19,1762.69,1118.25,3066.38,966.56,1611.19,1140.19
21,1248.75,1965.75,1761.19,1117.69,3067.13,965.25,1611.19,1138.5
22,1247.06,1965.94,1759.88,1117.88,3066.94,963.75,1611.38,1136.81
23,1245.19,1965.94,1758.19,1118.44,3067.31,962.25,1611.38,1134.94
24,1243.31,1966.31,1756.69,1118.44,3067.31,960.94,1611.56,1133.25
25,1241.63,1966.5,1755.38,1118.06,3067.5,959.25,1611,1131.38
26,1239.75,1966.69,1753.88,1118.06,3067.13,957.75,1611.38,1129.69
27,1238.06,1966.69,1752.38,1118.63,3067.69,956.62,1611.38,1128
28,1236.38,1966.88,1750.88,1118.44,3067.88,955.13,1611.19,1126.31
29,1234.88,1967.25,1749.38,1118.25,3068.06,953.62,1611.19,1124.63
30,1233.38,1967.44,1748.25,1118.25,3068.06,952.31,1611.56,1123.13
31,1231.5,1967.44,1746.75,1118.81,3068.25,951,1611.38,1121.25
32,1230,1967.44,1745.44,1118.81,3068.25,949.5,1611.56,1119.75
33,1228.5,1968,1744.31,1118.25,3068.63,948.37,1611.19,1118.25
34,1226.81,1968,1743,1118.25,3068.44,947.06,1611.56,1116.56
35,1225.31,1968.19,1741.88,1118.81,3068.44,945.75,1611.75,1115.25
36,1223.81,1968.38,1740.56,1118.81,3068.63,944.44,1611.75,1113.56
37,1222.13,1968.56,1739.44,1118.44,3069.19,943.31,1611.38,1112.25
38,1220.81,1968.75,1738.13,1118.44,3068.81,942,1611.56,1110.75
39,1219.31,1968.75,1737,1118.81,3069,940.69,1611.56,1109.25
40,1217.81,1969.13,1736.06,1119,3069.75,939.56,1611.75,1107.94
41,1216.31,1969.5,1734.94,1118.44,3069.75,938.44,1611.38,1106.25
42,1215.19,1969.5,1734,1118.44,3069.56,937.31,1611.75,1105.13
43,1213.5,1969.5,1732.88,1119,3069.56,936,1611.75,1103.63
44,1212.19,1969.69,1731.75,1119,3069.94,934.87,1611.75,1102.31
45,1210.88,1970.25,1730.81,1118.63,3070.13,933.94,1611.56,1101
46,1209.38,1970.25,1729.88,1118.63,3069.94,932.62,1611.75,1099.69
47,1208.25,1970.25,1729.13,1119.19,3070.13,931.69,1611.94,1098.56
48,1206.94,1970.44,1728,1119,3070.31,930.56,1611.94,1097.25
49,1205.44,1971,1727.25,1118.63,3070.5,929.44,1611.56,1095.75
50,1204.13,1971,1726.31,1118.63,3070.5,928.5,1611.94,1094.81
51,1203,1971,1725.56,1119.19,3070.88,927.37,1611.94,1093.31
52,1201.88,1971.38,1724.81,1119.19,3071.06,926.44,1611.94,1092.19
53,1200.56,1971.75,1724.06,1119,3071.44,925.5,1611.94,1091.06
54,1199.44,1971.75,1723.13,1119,3071.63,924.37,1612.13,1089.75
55,1198.13,1971.94,1722.38,1119.56,3071.63,923.44,1612.13,1088.63
56,1197.19,1972.13,1721.63,1119.56,3071.81,922.5,1612.31,1087.69
57,1195.69,1972.5,1720.88,1119,3072.19,921.38,1612.13,1086.56
58,1194.56,1972.5,1720.13,1119,3072.19,920.44,1612.31,1085.44
59,1193.81,1972.88,1719.38,1119.75,3072.56,919.69,1612.88,1084.5
60,1192.69,1973.06,1718.81,1119.75,3072.94,918.94,1612.88,1083.38
61,1191.38,1973.06,1718.06,1119.75,3072.94,918,1612.88,1082.44
