time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1407.56,2288.63,2014.69,1280.25,3352.31,1152.19,1898.63,1336.69
2,1406.81,2288.44,2014.5,1280.25,3351.56,1151.63,1898.06,1336.13
3,1406.81,2288.25,2014.87,1279.69,3351.75,1151.63,1898.06,1336.13
4,1407,2288.44,2015.25,1279.5,3351.56,1151.63,1898.25,1336.13
5,1407.19,2288.44,2015.63,1279.69,3351.75,1152,1898.44,1336.69
6,1407.56,2288.63,2015.63,1280.06,3352.13,1152.19,1898.81,1336.88
7,1407.38,2289,2016.19,1280.44,3352.31,1152,1899,1336.69
8,1408.31,2289,2016.56,1280.25,3353.06,1152.75,1899.94,1337.63
9,1408.31,2289.19,2016.19,1280.81,3352.88,1152.94,1900.13,1337.81
10,1408.69,2289,2016.38,1280.63,3352.88,1153.13,1900.13,1338.19
11,1408.69,2289,2016.38,1280.81,3352.88,1153.31,1900.31,1338.19
12,1408.69,2288.81,2016.56,1279.69,3352.31,1153.31,1899.75,1338
13,1408.31,2288.81,2016,1280.44,3351.94,1152.94,1899.75,1337.81
14,1407.75,2289,2017.13,1280.81,3351.38,1152.38,1898.81,1337.25
15,1407.94,2289,2017.13,1280.44,3352.5,1152.56,1899.38,1337.63
16,1408.31,2289.38,2017.5,1279.88,3352.88,1152.94,1899.56,1337.63
17,1409.06,2289.38,2017.69,1281,3353.44,1153.5,1900.88,1338.38
18,1409.25,2289.56,2017.5,1281.38,3353.25,1153.88,1901.06,1338.94
19,1409.63,2289.56,2017.88,1281.56,3353.81,1154.25,1901.63,1339.13
20,1409.63,2289.94,2018.25,1281.19,3353.63,1154.44,1901.44,1339.31
21,1410.19,2289.94,2018.06,1281.56,3353.81,1154.81,1902,1339.69
22,1410.19,2289.94,2018.06,1281.94,3354.19,1154.81,1902.38,1339.88
23,1410.38,2289.94,2018.25,1281.94,3353.81,1155,1902.75,1339.88
24,1410,2289.94,2018.06,1281,3353.63,1154.44,1901.81,1339.31
25,1409.44,2289.75,2017.69,1281.38,3353.63,1153.88,1901.25,1339.13
26,1409.25,2289.75,2018.06,1281.56,3353.25,1153.69,1901.25,1338.75
27,1409.06,2289.94,2018.06,1281.38,3353.63,1153.5,1900.88,1338.56
28,1409.25,2289.94,2018.81,1280.81,3353.44,1153.69,1900.69,1338.56
29,1409.06,2290.13,2018.81,1281.38,3354.19,1153.5,1901.06,1338.56
30,1408.88,2290.31,2018.63,1281.56,3353.63,1153.31,1900.88,1338.38
31,1409.06,2290.31,2019,1281.38,3353.81,1153.5,1900.88,1338.75
32,1409.06,2290.69,2019.38,1281,3354,1153.69,1901.06,1338.94
