time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1334.63,1962.56,1898.06,1118.44,3078,1046.63,1604.44,1246.31
2,1331.63,1962.56,1895.25,1118.25,3077.81,1044,1604.63,1243.13
3,1329,1962.56,1892.44,1118.25,3078.19,1041.56,1604.63,1239.75
4,1326.38,1962.38,1889.63,1117.88,3078.38,1039.13,1604.44,1236.56
5,1323.75,1962.38,1887.19,1118.44,3077.81,1036.88,1604.44,1233.38
6,1321.13,1962,1884.19,1118.06,3077.81,1034.25,1604.25,1230.38
7,1318.5,1962,1881.56,1118.06,3077.63,1032,1604.06,1227.38
8,1315.69,1961.81,1878.94,1117.31,3077.81,1029.56,1603.88,1224.19
9,1313.25,1961.63,1876.31,1118.06,3077.25,1027.31,1603.5,1221.19
10,1310.63,1961.63,1873.5,1117.88,3077.25,1025.06,1603.31,1218.19
11,1308,1961.44,1871.06,1117.5,3077.25,1022.62,1603.13,1215.19
12,1305.56,1961.44,1868.44,1116.75,3077.25,1020.56,1602.94,1212.38
13,1302.94,1961.63,1866,1117.31,3077.25,1018.31,1602.94,1209.56
14,1300.5,1961.63,1863.75,1117.31,3077.44,1016.25,1602.94,1206.94
15,1298.06,1961.44,1861.13,1117.13,3077.25,1014,1602.56,1204.31
16,1295.63,1961.44,1858.69,1116.56,3077.25,1011.94,1602.56,1201.31
17,1293.19,1961.63,1856.63,1117.13,3077.06,1009.88,1602.38,1198.69
18,1290.75,1961.44,1854.19,1116.94,3077.06,1007.62,1602.19,1196.25
19,1288.5,1961.25,1851.94,1116.75,3077.06,1005.56,1602,1193.63
20,1286.25,1961.25,1849.5,1116.19,3076.88,1003.5,1601.81,1191
21,1284,1961.63,1847.81,1116.75,3077.06,1001.63,1602,1188.38
22,1281.75,1961.44,1845,1116.94,3076.88,999.56,1601.63,1186.13
23,1279.31,1961.44,1843.13,1116.75,3076.88,997.69,1601.63,1183.69
24,1277.25,1961.25,1840.88,1116.19,3076.88,995.81,1601.63,1181.25
25,1275,1961.44,1839.19,1116.75,3076.69,993.94,1601.44,1178.81
26,1272.94,1961.25,1837.13,1116.56,3076.88,992.06,1601.25,1176.75
27,1270.88,1961.25,1835.25,1116.38,3076.88,990.19,1601.25,1174.31
28,1268.44,1961.25,1833,1115.63,3076.69,988.31,1600.88,1172.06
29,1266.38,1961.44,1831.13,1116.19,3076.69,986.44,1600.88,1169.63
30,1264.31,1961.25,1829.06,1116.19,3076.69,984.75,1600.69,1167.38
31,1262.44,1961.25,1827.19,1116.19,3076.88,982.87,1600.69,1165.31
32,1260.38,1961.25,1825.13,1115.44,3076.69,981.19,1600.5,1163.25
33,1258.31,1961.25,1823.25,1116,3076.5,979.5,1600.5,1161
34,1256.63,1961.25,1821.56,1116,3076.69,978,1600.5,1158.94
35,1254.56,1961.25,1819.5,1116,3076.69,976.31,1600.5,1156.88
36,1252.69,1961.06,1817.81,1115.25,3076.69,974.44,1600.31,1154.81
37,1250.81,1961.06,1816.13,1115.81,3076.5,972.94,1600.13,1152.94
38,1248.94,1961.06,1814.44,1115.63,3076.31,971.44,1600.13,1150.88
39,1247.06,1961.06,1812.75,1115.63,3076.5,969.75,1600.13,1149
40,1245.19,1960.88,1811.25,1115.06,3076.31,968.06,1599.94,1146.94
41,1243.31,1961.25,1809.56,1115.63,3076.31,966.37,1599.94,1145.06
42,1241.63,1961.06,1807.88,1115.63,3076.5,965.06,1599.75,1143.19
43,1239.75,1961.25,1806.56,1115.63,3076.69,963.38,1599.75,1141.31
44,1238.06,1961.25,1805.06,1115.06,3076.69,962.06,1599.56,1139.63
45,1236.38,1961.25,1803.56,1115.44,3076.31,960.56,1599.75,1137.75
46,1234.5,1961.25,1802.06,1115.63,3076.5,959.06,1599.38,1136.06
47,1233,1961.25,1800.75,1115.44,3076.69,957.75,1599.19,1134.38
48,1231.31,1961.25,1799.25,1114.69,3076.69,956.25,1599.19,1132.69
49,1229.63,1961.63,1797.75,1115.25,3076.5,954.94,1599,1131
50,1228.13,1961.44,1796.63,1115.44,3076.69,953.62,1599,1129.31
51,1226.44,1961.63,1795.31,1115.06,3076.88,952.12,1599,1127.81
52,1224.94,1961.81,1794.19,1114.69,3077.06,951,1599,1126.13
53,1223.44,1961.81,1792.88,1115.44,3076.88,949.69,1599.19,1124.63
54,1221.94,1961.81,1791.75,1115.06,3077.06,948.37,1599,1123.13
55,1220.44,1961.81,1790.44,1115.25,3077.06,947.25,1599,1121.63
56,1219.13,1962,1789.31,1114.88,3077.25,945.94,1599.19,1120.31
57,1217.63,1962.19,1788.38,1115.44,3077.44,944.62,1599.19,1118.81
58,1216.13,1962.19,1787.25,1115.25,3077.44,943.5,1599,1117.31
59,1214.81,1962.19,1786.13,1115.44,3077.81,942.37,1599.19,1115.81
60,1213.31,1962.38,1785,1114.88,3077.81,941.25,1599.19,1114.5
61,1212,1962.56,1784.06,1115.44,3077.63,940.12,1599.19,1113.19
62,1210.69,1962.56,1782.94,1115.44,3077.81,938.81,1599.19,1111.69
63,1209.38,1962.94,1782,1115.44,3078,937.88,1599.19,1110.38
64,1208.06,1962.94,1781.06,1114.88,3078.38,936.56,1599.19,1109.06
65,1206.75,1963.31,1780.13,1115.44,3078.38,935.62,1599.19,1107.75
66,1205.44,1963.13,1779.19,1115.63,3078.56,934.5,1599.38,1106.63
67,1204.13,1963.31,1778.44,1115.25,3078.75,933.37,1599.19,1105.31
68,1202.81,1963.5,1777.5,1115.06,3078.75,932.25,1599.38,1104
69,1201.5,1963.88,1776.56,1115.81,3078.75,931.31,1599.38,1102.69
70,1200.56,1963.88,1775.81,1115.81,3079.31,930.19,1599.38,1101.56
71,1196.44,1959.75,1771.69,1113,3073.31,926.81,1595.63,1098
72,1200,2073.56,2229.94,1124.81,3366.94,927.75,1604.81,1106.81
73,1243.69,2232.94,2768.25,1150.88,3609.19,960.37,1651.88,1205.44
74,1321.13,2223.94,2996.44,1160.25,3638.44,1028.44,1685.81,1354.31
75,1400.44,2170.88,3055.13,1158.38,3603.75,1100.63,1697.44,1454.06
76,1461,2123.06,3049.5,1153.31,3555.19,1154.44,1695.56,1500.56
77,1500.19,2088.94,3018,1147.69,3507.75,1187.63,1689,1516.13
78,1522.88,2066.06,2981.81,1142.44,3468,1206.19,1680.75,1516.13
79,1534.69,2051.06,2947.69,1138.88,3436.31,1215.38,1673.25,1509.75
80,1539.75,2041.69,2916.75,1135.31,3413.25,1219.5,1666.69,1501.31
81,1540.88,2034.38,2888.06,1133.06,3394.5,1220.44,1661.63,1491.94
82,1539.94,2028.75,2863.69,1130.81,3378.94,1219.13,1657.13,1483.31
83,1537.69,2025.19,2841.56,1128,3367.69,1216.69,1653.56,1475.25
84,1534.69,2022.94,2821.69,1126.5,3357.56,1214.06,1650.38,1468.5
85,1531.69,2019.94,2804.44,1125.38,3350.44,1211.06,1648.5,1462.5
86,1528.5,2018.25,2788.13,1124.44,3343.5,1208.25,1646.63,1457.81
87,1525.5,2017.13,2774.63,1123.31,3337.31,1205.25,1644.94,1453.69
88,1522.88,2016.19,2761.88,1122.19,3333.38,1202.81,1643.44,1450.31
89,1520.25,2015.06,2750.63,1122.75,3326.81,1200.38,1642.69,1447.5
90,1517.81,2014.5,2738.63,1122,3324.19,1198.13,1641.75,1445.44
91,1515.75,2013.38,2727.94,1121.06,3320.63,1196.44,1640.63,1443
92,1513.69,2012.25,2717.81,1121.63,3315.19,1194.56,1639.88,1441.69
93,1511.81,2010.75,2707.5,1120.88,3311.06,1193.25,1639.69,1440
94,1509.94,2009.44,2698.13,1121.06,3306.94,1191.75,1638.75,1438.31
95,1507.88,2008.88,2690.25,1120.5,3303.56,1190.06,1637.81,1436.63
96,1506,2008.13,2682.56,1120.5,3301.31,1188.56,1637.25,1435.31
97,1504.31,2008.31,2675.25,1119.94,3298.31,1187.44,1636.88,1433.81
98,1502.81,2008.13,2668.5,1119.94,3297,1186.13,1636.69,1432.88
99,1501.31,2007.94,2660.63,1119.75,3295.31,1185.19,1636.13,1432.13
100,1500.19,2007.94,2654.25,1119.56,3292.88,1184.44,1635.56,1431.56
101,1498.88,2006.44,2646.56,1119,3290.63,1183.5,1635.56,1431.19
102,1497.75,2005.13,2641.5,1119.19,3287.06,1182.75,1635.19,1430.63
103,1496.81,2004.94,2636.06,1118.81,3285.94,1182.38,1634.63,1430.06
104,1495.88,2004.94,2631.19,1118.44,3284.25,1181.63,1634.06,1429.5
