time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1470.94,2266.31,2648.44,1262.44,3481.69,1210.31,1836.56,1411.88
2,1470.75,2266.31,2648.25,1262.44,3482.25,1210.13,1836.56,1411.69
3,1470.75,2266.5,2648.44,1262.44,3481.69,1210.13,1836.75,1411.31
4,1470.56,2266.69,2648.63,1263,3482.06,1209.75,1836.94,1411.69
5,1470.38,2266.88,2648.63,1263,3482.44,1209.75,1836.75,1411.31
6,1470.38,2267.06,2648.63,1263.38,3482.25,1209.75,1837.13,1411.5
7,1470.38,2267.25,2649,1262.81,3482.06,1209.75,1837.13,1411.5
8,1470.38,2267.25,2649.19,1263.19,3482.63,1209.75,1837.13,1411.5
9,1470.19,2267.81,2649.38,1263.38,3482.81,1209.56,1837.13,1411.13
10,1470,2267.63,2649.19,1263.56,3483,1209.56,1837.31,1411.13
11,1470.19,2267.81,2649.56,1263.19,3482.63,1209.38,1837.5,1411.13
12,1470,2268.19,2649.38,1263.75,3483,1209.38,1837.69,1411.13
13,1470.19,2268.38,2649.75,1263.75,3483,1209.19,1837.88,1411.13
14,1470,2268.38,2649.94,1263.75,3482.81,1209.19,1838.06,1410.94
15,1469.81,2268.56,2649.75,1263.56,3483.38,1209.19,1838.06,1410.94
16,1469.81,2268.94,2649.94,1264.13,3483.38,1209.19,1838.25,1411.13
17,1470,2269.13,2650.5,1264.13,3483.56,1209.19,1838.06,1410.94
18,1469.81,2269.31,2650.31,1264.31,3483.56,1209.19,1838.81,1410.94
19,1469.81,2269.5,2650.31,1264.31,3483.94,1209.19,1839,1410.94
20,1469.81,2269.69,2650.5,1264.31,3483.75,1209,1839,1411.13
21,1469.63,2269.88,2650.69,1264.69,3484.5,1209.19,1838.81,1410.94
22,1469.63,2270.06,2650.88,1264.69,3484.13,1209,1839.19,1410.94
23,1469.44,2270.25,2650.69,1264.5,3484.13,1209,1839.38,1411.13
24,1469.63,2270.44,2650.88,1264.69,3484.31,1208.81,1839.38,1410.94
25,1469.44,2270.63,2651.06,1264.88,3484.5,1209,1839.38,1410.94
26,1469.25,2270.81,2650.88,1265.25,3484.13,1208.81,1839.75,1410.94
27,1469.25,2270.81,2651.06,1264.69,3484.13,1208.63,1839.94,1411.13
28,1469.06,2271,2651.06,1265.25,3484.5,1208.63,1839.94,1410.75
29,1469.25,2271.19,2651.44,1265.25,3484.5,1208.81,1839.94,1410.94
30,1469.06,2271.19,2651.06,1265.44,3484.5,1208.81,1840.13,1410.75
31,1469.25,2271.19,2651.25,1265.06,3484.69,1208.63,1840.13,1410.75
32,1469.06,2271.75,2651.25,1265.44,3484.88,1208.63,1840.31,1410.75
33,1468.88,2271.94,2651.63,1265.44,3484.88,1208.63,1840.13,1410.75
34,1468.88,2271.94,2651.25,1265.44,3484.88,1208.63,1840.5,1410.56
35,1468.69,2271.94,2651.25,1265.44,3485.06,1208.44,1840.69,1410.38
36,1468.5,2272.31,2651.25,1265.63,3485.06,1208.44,1840.5,1410.19
37,1468.5,2272.5,2651.63,1265.63,3485.25,1208.25,1840.31,1410.38
38,1468.5,2272.5,2651.44,1265.81,3485.44,1208.44,1840.69,1410.38
39,1468.31,2273.06,2651.44,1265.63,3485.25,1208.06,1840.88,1410.38
40,1468.31,2272.88,2651.63,1265.81,3485.25,1208.06,1841.25,1410.56
41,1468.31,2273.25,2651.63,1266,3485.63,1208.06,1840.69,1410.19
42,1468.13,2273.44,2651.63,1266.19,3485.81,1208.25,1841.06,1410.19
43,1468.13,2273.44,2651.81,1265.81,3485.44,1208.06,1841.06,1410.19
44,1468.13,2273.63,2652,1266.19,3485.81,1208.06,1841.25,1410.38
45,1467.94,2273.81,2652,1266.38,3486,1208.06,1841.25,1410.38
46,1467.94,2273.81,2652,1266.38,3485.81,1208.06,1841.44,1410.38
47,1467.75,2274.19,2652,1266.19,3486,1208.06,1841.63,1410.19
48,1467.75,2274.38,2652.19,1266.56,3486.38,1207.88,1841.81,1410.19
49,1467.75,2274.56,2652.56,1266.56,3486.19,1207.88,1841.81,1410.19
50,1467.75,2274.56,2652,1266.94,3486.19,1207.69,1841.63,1410.19
51,1467.38,2274.75,2652.38,1266.38,3486.38,1207.69,1841.81,1410
52,1467.38,2275.13,2652.38,1266.94,3486.56,1207.69,1842,1410
53,1467.38,2275.31,2652.75,1267.13,3486.56,1207.69,1842,1410
54,1467.38,2275.31,2652.56,1267.13,3486.19,1207.5,1842.38,1410.19
55,1467.38,2275.13,2652.56,1266.94,3486.56,1207.5,1842.38,1410
56,1467.38,2275.31,2652.56,1267.31,3486.94,1207.5,1842.56,1410
57,1467.19,2275.5,2652.94,1267.31,3486.56,1207.5,1842.19,1409.81
58,1467.19,2275.69,2652.94,1267.31,3486.75,1207.31,1842.56,1410
59,1467.19,2275.88,2653.13,1267.13,3486.56,1207.31,1842.75,1409.81
60,1467.19,2276.25,2653.31,1267.5,3486.94,1207.13,1842.94,1410
61,1467.19,2276.25,2653.31,1267.5,3487.31,1207.5,1843.13,1409.81
62,1467,2276.25,2653.31,1267.69,3487.13,1207.13,1843.13,1410
63,1467,2276.81,2653.5,1267.5,3487.13,1207.31,1843.31,1410
64,1467,2276.63,2653.31,1267.88,3487.5,1207.31,1843.5,1410
65,1467,2277,2653.69,1267.69,3487.5,1207.13,1843.5,1410
66,1466.81,2277.19,2653.5,1268.06,3487.13,1206.94,1843.69,1410
67,1466.63,2277.38,2653.31,1267.69,3487.31,1207.13,1843.88,1409.81
68,1466.63,2277.38,2653.5,1268.25,3487.69,1207.13,1844.06,1410
69,1466.63,2277.75,2653.69,1268.25,3487.69,1207.13,1844.06,1410
70,1466.63,2277.75,2653.31,1268.44,3487.88,1207.13,1844.06,1410
71,1461.94,2270.44,2646.19,1263,3478.31,1203.38,1838.25,1405.88
72,1560.19,2373,4225.13,1269.94,4226.44,1246.13,1886.25,1571.44
73,2219.63,2615.25,4651.5,1310.63,4541.06,1785,2040.38,2481.38
74,2735.06,2711.63,4723.13,1359.38,4631.44,2291.81,2161.13,3018.75
75,3040.13,2751.19,4734,1395.94,4665.75,2620.88,2238.94,3318
76,3232.69,2763.94,4730.63,1420.69,4680,2841,2285.25,3490.5
77,3359.63,2763.19,4723.5,1436.06,4683.94,2992.31,2310.56,3590.63
78,3445.5,2758.31,4713.19,1444.88,4679.81,3099.94,2323.5,3651
79,3505.31,2750.81,4704.38,1449.19,4677.19,3178.69,2328.94,3688.5
80,3547.69,2742.94,4695.75,1451.25,4672.13,3237.38,2330.06,3711.56
81,3579.19,2735.81,4690.31,1451.63,4669.13,3282.75,2328.75,3726.56
82,3603.19,2723.44,4683,1451.06,4662.75,3318.38,2326.13,3737.06
83,3621.19,2709.94,4674.38,1448.63,4657.31,3346.5,2321.63,3743.25
84,3635.25,2698.5,4665.94,1445.44,4650.56,3368.63,2316.56,3746.81
85,3645.75,2684.81,4657.88,1441.88,4645.5,3385.69,2310.19,3747.75
86,3653.63,2668.88,4647.38,1437.56,4638.38,3398.06,2302.31,3745.5
87,3658.88,2655,4635.38,1433.25,4629.56,3407.63,2293.31,3741.19
88,3662.25,2640.56,4624.13,1428.19,4621.88,3413.81,2283.94,3735.75
89,3663.19,2625,4612.69,1422.94,4614.56,3416.06,2273.63,3726.94
90,3662.63,2608.31,4599.94,1417.88,4602.94,3416.06,2262.75,3715.69
91,3658.88,2591.63,4586.06,1411.88,4591.69,3412.13,2250.75,3701.44
92,3654,2577.75,4573.5,1406.44,4580.25,3406.31,2238.19,3685.88
93,3646.88,2563.5,4558.88,1401,4568.06,3397.5,2226.19,3668.25
94,3638.44,2549.81,4546.88,1395.75,4556.25,3386.25,2213.81,3649.5
95,3628.13,2538.38,4533.38,1390.31,4543.13,3373.5,2202.19,3628.31
96,3616.5,2525.63,4519.31,1385.06,4533,3358.88,2190.75,3607.31
97,3604.88,2516.44,4508.06,1380,4521.19,3342.56,2180.25,3584.63
98,3591.38,2505,4493.44,1376.06,4510.13,3325.13,2169.75,3562.5
99,3577.13,2497.69,4479.94,1371.38,4498.88,3307.13,2160.19,3539.25
100,3562.88,2490.75,4468.13,1367.63,4489.69,3288,2150.81,3516.75
101,3547.88,2482.13,4458,1363.88,4480.88,3268.31,2142.56,3493.88
102,3532.5,2475.75,4444.69,1359.56,4470.38,3248.25,2134.5,3471.19
103,3517.13,2470.13,4435.31,1356.19,4460.06,3228.56,2127,3449.25
104,3501.94,2465.25,4427.06,1354.31,4450.69,3208.13,2120.25,3427.88
105,3486.19,2460.75,4418.06,1351.31,4444.31,3188.25,2113.88,3407.44
106,3470.44,2455.31,4408.69,1348.5,4434.94,3168.19,2108.06,3387.19
107,3455.06,2451,4400.63,1345.88,4426.31,3148.31,2102.44,3367.31
108,3439.69,2447.63,4394.25,1344.56,4418.81,3129.19,2097.56,3348.94
109,3424.5,2443.5,4387.13,1342.13,4412.06,3110.06,2092.5,3331.13
110,3409.31,2440.5,4380.75,1340.25,4405.31,3091.69,2088,3313.88
111,3394.31,2436.19,4373.25,1338.38,4395.38,3073.31,2083.31,3296.63
112,3379.31,2432.81,4367.81,1337.06,4389.56,3055.31,2079,3279.94
113,3364.88,2429.25,4361.63,1335.19,4382.44,3038.25,2074.5,3264.38
114,3350.63,2427.38,4354.88,1332.94,4379.25,3021.19,2070.94,3249
115,3336.56,2423.06,4347.94,1331.44,4374,3005.06,2067.19,3234.75
116,3322.69,2420.44,4343.81,1330.13,4368.56,2989.31,2063.81,3220.88
117,3309,2418,4338,1328.44,4362.75,2973.94,2060.81,3206.81
118,3296.25,2415.56,4331.81,1326.94,4357.5,2959.31,2057.44,3194.06
119,3283.31,2413.31,4327.31,1325.44,4353.94,2945.06,2054.25,3181.13
120,3270.94,2411.44,4321.88,1324.31,4350.94,2931.38,2051.63,3169.31
121,3258.94,2409.75,4316.63,1322.63,4344.75,2918.06,2049,3157.88
122,3247.13,2407.5,4311.38,1321.69,4338.94,2905.69,2046.38,3146.63
123,3235.31,2404.88,4305.38,1320.38,4334.06,2892.56,2043.94,3135.75
124,3223.88,2404.13,4302.19,1320.38,4332.75,2880.94,2041.31,3125.06
125,3213.19,2402.06,4296.75,1318.88,4326.38,2869.31,2038.69,3115.5
126,3202.31,2399.63,4293.75,1317.19,4323,2857.88,2036.62,3105.56
127,3191.81,2398.88,4289.63,1316.06,4318.5,2847.19,2034.38,3096.19
128,3181.69,2397.38,4287.38,1316.25,4313.81,2836.5,2032.13,3087.38
129,3171.75,2395.31,4282.69,1315.13,4310.63,2826.38,2030.44,3078.94
130,3161.81,2394.38,4278,1314,4306.69,2815.88,2028.19,3069.94
131,3153,2392.88,4275.19,1313.06,4304.25,2806.31,2026.5,3061.69
132,3143.63,2391,4273.5,1313.44,4298.63,2796.75,2025,3053.44
133,3134.63,2390.44,4270.69,1312.13,4296.75,2787.56,2023.12,3045.19
134,3126,2388.75,4267.31,1311.38,4294.5,2778.94,2021.63,3037.88
135,3117.38,2387.25,4262.63,1309.88,4289.81,2770.31,2020.12,3030.19
136,3108.94,2386.5,4260.38,1309.69,4287,2761.13,2018.06,3022.5
137,3101.06,2385.94,4256.06,1309.13,4284.56,2753.25,2017.13,3015.56
138,3093,2384.63,4251,1308.19,4281.19,2745.19,1209.38,3008.06
139,3084.94,2383.88,4249.31,1307.81,4276.13,2736.94,675.19,3001.31
140,3077.63,2381.81,4245,1307.25,4272.75,2729.25,2012.63,2994.38
141,3069.38,2380.88,4240.88,1306.69,4270.13,2721,698.62,2986.5
142,3061.69,2379.94,4239.75,1306.88,4266.19,2712.94,576.75,2979.38
143,3054.56,2377.5,4235.81,1306.13,4262.44,2705.44,1534.69,2972.63
144,3047.06,2376.38,4230.38,1305.56,4259.63,2698.13,639,2966.06
145,3039.75,2376,4228.31,1303.88,4258.13,2690.81,588.75,2958.94
146,3032.81,2375.25,4226.63,1304.25,4257,2683.69,596.81,2952.75
147,3026.25,2374.69,4225.88,1303.88,4254,2677.31,608.81,2947.31
148,3019.5,2373.75,4223.25,1303.69,4251.56,2670.75,599.06,2941.5
149,3013.5,2373.38,4219.31,1303.31,4246.69,2664.19,668.62,2936.06
150,3006.56,2372.25,4218.56,1303.13,4243.31,2657.81,697.69,2930.44
151,3000.19,2370.56,4215.19,1302,4240.88,2651.44,596.25,2924.25
152,2994,2369.44,4212.75,1301.44,4237.31,2645.25,597.56,2919.19
153,2987.44,2368.88,4209.56,1301.06,4237.31,2639.06,604.31,2913.38
154,2981.63,2367.38,4208.44,1300.5,4235.63,2633.06,629.44,2908.13
155,2975.81,2365.5,4203.56,1299.94,4234.69,2627.81,619.87,2903.06
156,2970.19,2365.31,4203.19,1299.56,4231.31,2622,604.69,2897.63
157,2965.13,2367.56,4203.75,1299.94,4231.88,2616.94,649.31,2894.06
158,2960.81,2369.63,4201.31,1300.31,4229.25,2612.81,1992.94,2891.06
159,2953.13,2366.81,4196.81,1298.44,4225.5,2605.88,1989.56,2885.63
160,2952.38,2366.44,4197.38,1300.69,4226.25,2605.31,1990.88,2885.81
161,2948.44,2364.56,4195.5,1301.63,4222.88,2601.94,1991.63,2881.88
162,2944.13,2362.88,4194.19,1299.38,4219.88,2597.63,1991.25,2877.56
163,2939.81,2361.56,4189.88,1299.19,4218.56,2592.94,1990.69,2872.69
164,2934.38,2360.25,4186.69,1299.38,4217.06,2587.69,1989.94,2867.81
165,2928.94,2360.44,4184.06,1298.44,4214.81,2582.06,1989,2862.38
166,2923.5,2360.06,4182,1298.06,4211.81,2576.63,1988.63,2857.13
167,2918.25,2359.5,4179.94,1298.06,4209.56,2571.19,1987.5,2851.88
168,2913,2359.31,4177.69,1298.63,4204.88,2565.75,1986.56,2846.81
169,2907.94,2359.5,4175.25,1297.69,4203.94,2560.5,1986,2842.13
170,2902.88,2359.31,4172.81,1297.69,4202.25,2555.06,1985.25,2837.63
171,2896.88,2356.69,4169.44,1295.63,4201.88,2549.44,1983.94,2832
172,2890.88,2332.69,4131.56,1294.13,4173.38,2542.88,1976.06,2813.81
173,2877.56,2305.69,4089.75,1289.63,4134.75,2526.19,1960.13,2769.56
174,2856.94,2286.94,4038.56,1286.44,4083.38,2502,1946.06,2717.81
175,2833.5,2277.75,3984.75,1284.94,4026.37,2474.25,1934.81,2665.13
176,2807.25,2274.38,3936,1284.19,3984.56,2444.25,1925.63,2613.38
177,2780.81,2271.75,3884.25,1283.63,3956.06,2414.25,1918.69,2563.13
178,2754,2270.25,3838.88,1283.25,3928.31,2383.5,1913.44,2516.25
179,2727,2269.13,3797.44,1283.25,3901.13,2353.5,1908.75,2472.38
180,2699.81,2268.75,3760.31,1283.25,3880.69,2324.25,1905,2431.5
181,2673.56,2268.94,3726,1283.06,3863.81,2296.13,1902.19,2394.38
182,2647.69,2268.94,3692.63,1283.44,3847.31,2268.94,1899.56,2359.88
183,2622.19,2268.56,3662.63,1284,3833.63,2242.88,1897.69,2328.19
184,2597.44,2267.81,3631.69,1283.81,3819.38,2217.75,1895.63,2299.31
185,2573.44,2266.31,3603.19,1283.06,3806.63,2194.13,1893.94,2272.69
186,2550.38,2265.38,3576.38,1282.88,3795.75,2171.63,1892.44,2248.13
187,2527.69,2266.13,3552.75,1283.25,3784.31,2150.25,1891.31,2225.44
188,2505.75,2266.69,3531.19,1283.63,3776.06,2129.44,1890,2205
189,2484.75,2267.06,3509.44,1283.25,3768.19,2110.31,1888.88,2185.5
190,2464.13,2267.44,3489.75,1283.06,3759.75,2091.75,1888.31,2168.25
191,2444.06,2267.63,3468.19,1283.63,3752.81,2074.31,1887.19,2151.38
192,2424.94,2267.81,3450.19,1283.81,3746.06,2057.25,1886.63,2136.19
193,2406.56,2267.25,3431.63,1282.88,3738.75,2041.5,1885.69,2121.75
194,2388.94,2267.44,3413.25,1283.06,3731.44,2026.5,1884.94,2108.44
195,2371.5,2268.94,3395.44,1284,3725.25,2011.5,1883.81,2096.06
196,2354.81,2269.88,3379.88,1284,3719.06,1998.56,1883.63,2085.19
197,2339.25,2270.81,3365.25,1283.63,3713.44,1986,1883.25,2075.06
198,2324.25,2271.56,3350.06,1283.63,3708.94,1973.81,1882.88,2064.75
199,2309.63,2272.5,3336.94,1284.56,3703.88,1962.19,1882.69,2054.81
200,2295.56,2272.31,3321.38,1284.38,3699.38,1950.94,1882.5,2045.25
201,2282.06,2272.5,3307.13,1284,3694.88,1940.44,1881.75,2036.06
202,2268.94,2272.5,3293.06,1284,3689.81,1930.13,1881.19,2027.44
203,2256.38,2272.31,3278.81,1284.38,3685.5,1920.19,1881,2018.81
204,2244.19,2272.88,3266.63,1284.38,3681.56,1910.63,1880.81,2010.94
205,2232.56,2273.25,3254.25,1283.81,3676.31,1902,1880.06,2003.06
206,2220.56,2272.88,3241.13,1283.63,3672.38,1893,1879.69,1995.75
207,2209.5,2274,3229.88,1284.38,3668.25,1884.94,1879.5,1988.63
208,2199.19,2274,3218.81,1284.38,3663.75,1876.88,1879.13,1981.69
209,2188.88,2273.81,3207.94,1284,3661.13,1869.19,1878.75,1975.31
210,2178.56,2272.88,3198.94,1283.63,3657.75,1861.31,1878.56,1969.13
211,2168.81,2272.13,3187.5,1284,3653.63,1854,1878,1962.56
212,2159.06,2272.31,3177.94,1283.81,3651,1846.5,1877.81,1956.75
213,2149.88,2273.25,3167.06,1284.19,3646.88,1840.13,1877.25,1950.56
214,2141.06,2274,3157.31,1283.63,3643.5,1833.38,1877.25,1945.5
215,2132.81,2275.13,3146.44,1284.38,3640.31,1827,1877.06,1939.88
216,2124.38,2276.63,3136.69,1284.75,3636.38,1821.56,1877.06,1935.75
217,2116.69,2276.81,3127.13,1284.38,3633.75,1816.31,1877.63,1931.81
218,2109.38,2276.25,3117.56,1284.19,3630.94,1811.25,1877.25,1927.31
219,2102.25,2275.69,3108.38,1284.75,3628.31,1806.38,1877.06,1922.63
220,2094.75,2275.13,3099.19,1284.75,3624.75,1801.5,1876.88,1918.13
221,2088.19,2274.38,3088.5,1284.19,3621.38,1796.81,1876.5,1913.25
222,2080.88,2273.44,3080.44,1283.81,3618.56,1791.56,1875.94,1908.38
223,2074.13,2273.06,3070.31,1284,3615.56,1786.69,1875.75,1903.5
224,2067,2271,3061.5,1283.63,3612.19,1781.63,1875,1898.81
225,2060.44,2270.63,3053.06,1282.88,3609.38,1776.56,1874.63,1894.5
226,2053.69,2270.81,3043.88,1282.69,3606.19,1771.69,1874.06,1890
227,2047.13,2271.56,3036.75,1283.06,3603.38,1766.81,1873.69,1885.69
228,2041.13,2271.38,3030.38,1283.06,3600.56,1762.69,1873.5,1881.56
229,2034.94,2271.38,3021.38,1282.69,3598.88,1757.63,1873.13,1877.81
230,2029.13,2270.81,3014.06,1282.31,3597,1753.5,1873.13,1874.06
231,2023.5,2271.19,3006,1283.06,3594.94,1749,1872.75,1869.94
232,2017.69,2271.56,2997.75,1282.88,3591.75,1744.69,1872.56,1866.56
233,2012.06,2271.75,2990.25,1282.5,3589.13,1740.19,1872.56,1863.19
234,2006.62,2271.56,2982.75,1282.31,3586.5,1736.06,1872.38,1859.63
235,2001.38,2271.38,2974.5,1282.69,3584.06,1732.13,1871.81,1856.81
236,1996.5,2271.38,2968.31,1282.5,3581.81,1728.75,1871.63,1854
237,1991.44,2271.56,2962.31,1282.31,3579.56,1725.19,1871.25,1851.75
238,1986.94,2271.19,2954.63,1281.94,3577.31,1721.63,1871.06,1848.38
239,1982.06,2271.75,2947.5,1282.5,3574.31,1717.88,1870.88,1845.19
240,1977.38,2271.75,2940.19,1282.5,3571.88,1713.94,1870.5,1842.38
241,1972.69,2272.13,2933.25,1281.94,3571.31,1710.56,1870.5,1839.38
242,1968.38,2273.63,2928.56,1282.13,3569.44,1707.19,1870.5,1837.31
243,1964.06,2273.44,2921.63,1282.69,3568.13,1704,1870.69,1834.88
244,1959.56,2272.69,2915.63,1282.5,3566.81,1700.44,1870.31,1832.25
245,1955.06,2273.25,2909.25,1281.94,3564.75,1696.88,1870.31,1829.63
246,1951.13,2273.63,2902.69,1282.13,3562.13,1693.5,1869.94,1826.25
247,1946.81,2274.19,2896.13,1282.69,3560.44,1689.94,1869.94,1823.44
248,1943.06,2274.56,2891.06,1282.5,3558.75,1686.94,1870.13,1820.44
249,1938.94,2274.94,2884.88,1282.31,3557.63,1683.94,1869.94,1817.81
250,1935.38,2274.75,2878.5,1282.31,3555.75,1681.13,1869.75,1815.38
251,1931.44,2274.38,2871.56,1282.69,3553.69,1678.13,1869.38,1812.94
252,1928.06,2274,2865.38,1282.69,3552.38,1675.13,1869.56,1810.31
253,1924.13,2274.94,2859.56,1282.31,3550.31,1672.69,1869.38,1809
254,1920.94,2274.56,2854.69,1282.31,3548.81,1670.63,1869.56,1807.69
255,1917.94,2274.38,2849.81,1282.69,3548.06,1668.38,1869.19,1805.81
256,1914.56,2274.56,2845.31,1282.69,3546.56,1666.13,1869.38,1803.94
257,1911.38,2273.06,2840.06,1281.94,3545.25,1663.31,1868.63,1801.69
258,1908,2271.19,2833.5,1281.19,3542.81,1660.5,1868.44,1798.69
259,1904.63,2268.94,2826.56,1281,3539.63,1657.69,1867.5,1796.44
260,1901.06,2265.94,2819.44,1280.25,3536.44,1654.69,1866.56,1794
261,1897.69,2261.63,2811.94,1278.56,3533.25,1651.69,1865.44,1791.19
262,1894.13,2256.56,2803.31,1277.06,3529.31,1648.69,1864.13,1788.19
263,1890.94,2250.75,2794.88,1275.94,3525,1645.69,1862.63,1784.81
264,1886.81,2243.44,2786.25,1274.25,3520.13,1641.94,1860,1781.25
265,1882.31,2238.56,2777.44,1271.81,3514.31,1638.19,1857.38,1777.31
266,1878,2232.56,2766.38,1269.94,3509.06,1634.44,1854.94,1773.38
267,1873.5,2229.94,2758.69,1269.19,3504.19,1630.88,1852.88,1769.25
268,1869.19,2227.13,2750.63,1267.5,3499.69,1627.31,1850.25,1765.88
269,1864.69,2223.19,2742.19,1265.81,3495.56,1623.56,1848,1762.31
270,1860.19,2221.69,2736.56,1264.5,3493.5,1619.81,1846.31,1758.56
271,1855.88,2221.13,2729.63,1264.69,3490.5,1615.88,1844.63,1754.63
272,1851.38,2220.94,2724,1263.94,3487.13,1611.94,1843.31,1751.44
273,1847.44,2218.88,2718.38,1262.63,3484.69,1608.56,1842,1748.44
274,1843.5,2217,2712.38,1261.69,3482.44,1604.81,1841.06,1745.06
275,1839.19,2216.25,2705.44,1261.31,3478.69,1601.44,1839.38,1742.06
276,1835.44,2213.44,2699.44,1260.19,3476.06,1597.88,1838.25,1738.69
277,1831.5,2211.38,2692.13,1258.69,3472.69,1594.5,1836.94,1735.69
278,1828.13,2208.94,2685.56,1257.94,3470.25,1591.13,1835.81,1732.69
279,1824.38,2207.25,2679.38,1257.19,3467.25,1587.56,1833.94,1729.69
280,1820.25,2203.5,2672.63,1256.06,3464.81,1584,1832.81,1726.69
281,1816.31,2200.88,2665.88,1254.56,3460.88,1580.25,1831.13,1723.13
282,1812.94,2199.94,2660.81,1253.63,3458.06,1576.69,1829.63,1719.94
283,1809.56,2198.25,2654.06,1253.25,3454.88,1573.31,1827.94,1716.75
284,1805.44,2198.06,2648.81,1252.69,3452.81,1570.13,1826.06,1714.31
285,1802.06,2197.5,2645.63,1251.94,3452.06,1567.5,1824.75,1713.19
286,1799.06,2194.5,2639.63,1250.63,3449.25,1565.06,1823.63,1711.69
287,1796.25,2192.81,2634.19,1250.44,3446.63,1562.25,1822.69,1709.63
288,1793.06,2191.31,2628.19,1249.69,3443.06,1559.44,1821.56,1707.19
289,1789.69,2190.38,2623.69,1248.38,3440.81,1556.63,1820.06,1704.94
290,1786.31,2187.38,2618.44,1247.44,3438.75,1553.63,1818.56,1701.56
291,1783.31,2184.94,2611.88,1247.06,3436.31,1550.81,1817.44,1698.94
292,1779.56,2182.88,2607,1246.13,3433.31,1547.81,1815.56,1696.13
293,1776.56,2181,2601,1244.63,3430.88,1544.63,1813.88,1693.13
294,1773,2178.94,2594.81,1243.69,3427.88,1541.63,1812.56,1690.5
295,1769.63,2178.94,2591.06,1243.69,3425.81,1538.63,1811.63,1688.25
296,1767,2177.25,2585.06,1242.75,3423.75,1536,1811.25,1685.81
297,1764,2178.19,2581.69,1242,3422.06,1533,1809.94,1683.38
298,1761,2175.19,2577.38,1240.88,3421.13,1529.81,1809,1680.38
299,1757.63,2173.5,2571.19,1240.88,3418.5,1527,1807.5,1677.94
300,1754.44,2172,2567.63,1240.31,3416.25,1523.81,1806.56,1675.31
301,1751.44,2171.44,2562.75,1238.81,3413.63,1520.81,1805.25,1672.5
