time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1814.44,2208.38,2682.56,1308.38,3198.19,1514.63,1953.19,1773
2,1814.63,2208.38,2682.56,1308.38,3198.75,1514.44,1953.38,1773
3,1814.63,2208.19,2682.94,1308,3198.38,1514.63,1953.75,1772.81
4,1814.81,2208.38,2682.94,1308,3198.56,1514.44,1953,1772.81
5,1814.81,2208,2683.31,1308.75,3198.38,1514.44,1952.63,1772.63
6,1814.81,2207.81,2683.13,1308.19,3198.56,1514.25,1953.38,1772.81
7,1814.81,2207.44,2683.13,1307.81,3198.56,1514.25,1953,1772.63
8,1815.19,2207.81,2683.31,1307.81,3198.19,1514.44,1953,1772.63
9,1815,2207.44,2683.5,1308.19,3198,1514.25,1953,1772.63
10,1815.19,2207.44,2683.69,1308,3198,1514.25,1952.81,1772.44
11,1815.19,2207.63,2683.5,1308,3198,1514.06,1953,1772.44
12,1815,2207.06,2683.69,1308,3198.19,1513.88,1952.63,1772.25
13,1814.81,2207.06,2684.25,1307.81,3198.19,1513.69,1952.25,1772.25
14,1814.81,2206.69,2684.25,1307.81,3198.19,1513.69,1952.25,1772.25
15,1815,2207.06,2684.25,1308,3197.81,1513.5,1952.44,1772.25
16,1815,2206.88,2684.25,1307.63,3197.81,1513.69,1952.06,1772.06
17,1815,2207.06,2684.63,1307.63,3197.63,1513.69,1952.06,1772.06
18,1815,2206.88,2684.81,1307.63,3197.81,1513.69,1952.06,1772.06
19,1815,2207.44,2685,1307.63,3197.81,1513.69,1951.88,1772.06
20,1815,2207.06,2685.38,1307.63,3197.81,1513.69,1951.88,1772.06
21,1815.19,2207.25,2685.38,1307.44,3197.63,1513.88,1952.44,1772.06
22,1815,2207.44,2685.56,1307.44,3197.63,1513.88,1951.69,1772.06
23,1815,2207.81,2685.75,1307.63,3198,1513.69,1952.25,1772.25
24,1815,2207.63,2685.94,1307.63,3197.81,1514.06,1952.06,1772.25
25,1815,2207.81,2686.13,1307.44,3198,1514.06,1952.06,1772.06
26,1815,2207.81,2686.31,1307.44,3198,1513.88,1952.06,1772.25
27,1815.19,2208,2686.31,1307.63,3198.38,1514.06,1952.06,1772.44
28,1815.19,2207.44,2686.69,1307.81,3198.56,1513.88,1951.88,1772.44
29,1815.38,2207.81,2686.88,1307.44,3198.19,1514.06,1951.69,1772.63
30,1815.38,2207.63,2687.06,1307.63,3198.56,1514.06,1951.88,1772.63
31,1815.38,2208,2687.25,1307.81,3198.38,1514.06,1951.5,1772.63
32,1815.38,2207.44,2687.44,1308,3198.56,1514.25,1951.88,1772.81
33,1815.56,2208,2687.44,1307.63,3198.75,1514.25,1951.69,1772.81
