time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,2001.19,1974.19,2061.75,1190.44,2983.31,1962,1797.75,2240.81
2,1998.19,1974.38,2060.25,1190.63,2982.75,1956.75,1798.13,2235.19
3,1995.75,1975.13,2058.94,1191,2982.56,1952.06,1798.13,2229.56
4,1993.13,1975.5,2057.63,1191,2981.81,1947,1798.31,2224.31
5,1990.31,1976.25,2056.5,1190.81,2981.25,1942.5,1798.5,2218.69
6,1987.69,1976.44,2055.38,1191,2981.25,1937.81,1798.5,2213.63
7,1984.88,1977,2054.63,1191.19,2981.06,1932.75,1798.69,2208.19
8,1982.25,1977,2053.31,1191.19,2980.13,1928.25,1798.69,2202.56
9,1979.81,1977.38,2052.38,1191,2980.13,1922.81,1798.88,2197.13
10,1977.38,1978.13,2051.44,1191,2979.75,1918.31,1799.06,2191.69
11,1974.56,1978.13,2050.69,1191.56,2979.19,1913.63,1798.5,2186.06
12,1972.13,1978.31,2049.75,1191.94,2978.25,1908.56,1798.69,2180.44
13,1969.5,1978.88,2048.81,1192.13,2977.88,1903.88,1798.69,2174.81
14,1967.25,1979.63,2047.87,1192.13,2977.69,1899.38,1799.06,2169.56
15,1964.63,1980.19,2046.94,1191.75,2977.5,1894.31,1799.06,2164.13
16,1962,1980.75,2046,1192.5,2977.31,1889.63,1799.25,2158.5
17,1959.56,1981.31,2045.06,1192.5,2976.38,1885.31,1799.44,2153.06
18,1957.5,1981.88,2044.31,1192.5,2976.38,1880.63,1799.63,2148.38
19,1954.69,1982.44,2043.56,1192.31,2976.38,1876.13,1799.81,2143.13
20,1952.25,1983.38,2042.81,1192.88,2976.38,1872,1799.81,2137.88
21,1949.81,1984.31,2042.25,1193.06,2976.19,1867.31,1800,2132.81
22,1948.5,1984.31,2041.69,1192.88,2975.25,1863.19,1800.19,2127.75
23,1945.69,1984.5,2040.94,1192.88,2975.25,1858.69,1800,2122.69
24,1943.25,1985.06,2040.19,1193.44,2974.69,1854.56,1800.56,2117.44
25,1941.19,1986,2039.25,1193.44,2974.13,1850.25,1800.56,2112.94
