time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1901.81,2165.06,2398.13,1265.25,3166.88,1617,1896.38,1904.25
2,1899.38,2166.38,2397.56,1265.81,3168.19,1613.81,1896,1899.75
3,1896.56,2167.88,2396.63,1266,3169.31,1610.63,1896.19,1895.06
4,1893.94,2168.63,2395.88,1266.56,3170.63,1607.44,1896.19,1890.56
5,1891.13,2169.94,2394.75,1266.75,3171.75,1604.44,1896.19,1886.44
6,1888.13,2171.63,2393.25,1267.5,3172.5,1601.44,1896.38,1882.5
7,1885.31,2172.75,2392.13,1267.88,3173.63,1598.25,1896.38,1878.38
8,1882.5,2173.88,2390.81,1268.06,3174.38,1595.06,1896.75,1874.25
9,1879.5,2174.81,2389.31,1268.44,3175.5,1592.06,1896.75,1870.31
10,1876.69,2175.94,2387.81,1269.19,3176.06,1589.06,1896.75,1866.38
11,1873.88,2176.31,2386.13,1269.56,3176.63,1585.88,1897.13,1862.63
12,1871.06,2176.88,2384.63,1269.38,3177.38,1582.88,1897.13,1859.06
13,1868.25,2177.44,2382.94,1269.75,3177.94,1579.88,1897.31,1855.31
14,1865.44,2178.38,2381.25,1270.31,3178.31,1577.06,1897.31,1851.56
15,1862.44,2178.56,2379.56,1270.5,3178.88,1574.25,1897.31,1848
16,1859.81,2179.13,2377.88,1270.5,3179.44,1571.44,1897.31,1844.63
17,1857,2179.88,2376.19,1270.69,3180,1568.63,1897.5,1841.25
18,1854.38,2180.63,2374.31,1271.44,3180.56,1566,1897.5,1837.88
19,1851.56,2181,2372.63,1271.63,3181.13,1563.56,1897.5,1834.88
20,1848.94,2181.38,2370.94,1271.25,3181.69,1561.31,1897.69,1831.88
21,1846.5,2181.94,2369.25,1271.44,3181.88,1559.06,1897.69,1829.06
22,1844.06,2183.06,2367.56,1272,3182.63,1556.81,1897.88,1826.63
23,1841.44,2183.25,2365.88,1272,3183.19,1554.94,1898.06,1823.81
24,1839.19,2183.81,2364.19,1272,3183.56,1552.88,1898.25,1821.56
25,1836.94,2184.38,2362.5,1272,3183.94,1550.81,1898.25,1819.13
26,1834.69,2185.13,2360.81,1272.75,3184.5,1548.94,1898.44,1816.88
27,1832.44,2185.13,2359.13,1272.75,3184.69,1547.06,1898.44,1814.25
28,1830.19,2185.69,2357.44,1272.56,3185.06,1545.19,1898.63,1811.63
29,1827.94,2186.06,2355.75,1272.56,3185.25,1543.13,1898.63,1809.19
