time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1446.94,1953.38,2209.31,1101.19,2940.56,1251.94,1634.81,1487.81
2,1446.94,1953.19,2209.31,1101.56,2940.38,1251.75,1634.63,1488
3,1446.94,1953.38,2209.5,1101.38,2940.56,1251.75,1634.44,1487.63
4,1446.75,1953.75,2209.5,1101.38,2941.13,1251.38,1634.63,1487.25
5,1446.19,1954.31,2209.31,1101.38,2941.13,1251.19,1635,1487.25
6,1446.38,1953.94,2209.69,1101.75,2941.31,1251,1634.81,1487.06
7,1446.19,1953.94,2209.88,1101.56,2941.31,1250.81,1634.81,1486.88
8,1445.63,1954.31,2209.69,1101.56,2941.69,1250.63,1635,1486.69
9,1445.81,1954.69,2209.69,1101.56,2941.88,1250.44,1635.38,1486.69
10,1445.81,1954.5,2209.88,1101.94,2941.88,1250.63,1635.19,1486.5
11,1445.81,1954.69,2210.06,1101.94,2941.88,1250.63,1635.38,1486.5
12,1445.63,1955.06,2210.06,1101.94,2942.06,1250.44,1635.38,1486.69
13,1445.25,1955.63,2210.25,1101.94,2942.44,1250.44,1635.75,1486.5
14,1445.25,1955.44,2210.06,1102.31,2942.63,1250.06,1635.75,1486.13
15,1444.88,1955.63,2210.06,1102.13,2942.81,1249.69,1635.75,1485.94
16,1444.69,1955.63,2210.25,1102.13,2942.44,1249.5,1635.75,1485.75
17,1444.5,1956.19,2210.25,1101.94,2942.81,1249.31,1635.94,1485.75
18,1444.31,1955.81,2210.44,1102.31,2942.81,1248.94,1636.13,1485.38
19,1443.94,1955.81,2210.63,1102.5,2943,1248.75,1635.94,1485.19
20,1444.13,1956,2210.63,1102.69,2943.19,1248.56,1636.13,1485.19
21,1444.13,1956.75,2210.44,1102.31,2943.19,1248.56,1636.5,1485
22,1443.75,1956.56,2210.63,1102.69,2943.75,1248.38,1636.31,1484.63
23,1443.94,1956.56,2210.81,1102.69,2943.38,1248.38,1636.31,1484.63
24,1443.38,1956.56,2210.63,1102.69,2943.56,1248.19,1636.5,1484.25
25,1443.56,1956.94,2210.63,1102.5,2943.56,1248.19,1636.88,1484.44
26,1443.19,1956.94,2210.81,1102.88,2943.75,1248.19,1636.69,1484.44
27,1443.19,1956.94,2210.81,1103.06,2943.56,1248,1636.88,1484.06
28,1442.81,1956.94,2211,1102.88,2944.13,1248,1636.69,1484.06
29,1442.63,1957.5,2210.81,1102.88,2943.94,1247.81,1637.06,1484.06
30,1443.19,1957.13,2211,1103.25,2943.94,1247.81,1636.88,1483.88
31,1442.81,1957.31,2211,1103.44,2944.13,1247.81,1637.06,1483.88
32,1443,1957.69,2211,1103.06,2944.69,1247.63,1637.25,1483.88
33,1442.44,1958.06,2211,1103.25,2944.88,1247.44,1637.63,1483.5
34,1442.63,1957.88,2211.19,1103.44,2944.88,1247.25,1637.44,1483.5
35,1442.44,1958.06,2211.38,1103.44,2945.06,1247.25,1637.44,1483.31
36,1442.25,1958.25,2211.56,1103.81,2945.06,1246.88,1637.63,1483.13
37,1441.88,1958.81,2211.38,1103.25,2945.25,1246.88,1637.81,1483.13
38,1442.06,1958.44,2211.56,1103.81,2945.63,1246.69,1637.81,1482.56
39,1441.69,1958.25,2211.94,1103.81,2945.44,1246.69,1638,1482.75
40,1441.5,1958.63,2211.75,1103.81,2945.63,1246.31,1637.81,1482.75
41,1441.5,1959,2211.56,1103.63,2945.25,1246.13,1638.19,1482.56
42,1441.5,1958.63,2211.94,1104,2945.44,1245.94,1638,1482.38
43,1441.13,1958.81,2211.94,1104,2945.63,1246.13,1638,1482.19
44,1441.13,1959,2211.94,1103.81,2945.81,1245.75,1638.19,1482.19
45,1441.13,1959.38,2211.75,1104,2945.81,1245.94,1638.38,1482.38
46,1441.31,1959.19,2212.13,1104.38,2945.81,1245.75,1638.38,1482.19
47,1440.75,1959.38,2212.13,1104.19,2946.19,1245.75,1638.56,1482.19
48,1441.13,1959.56,2212.13,1104.38,2946.19,1245.56,1638.56,1482
49,1440.75,1959.94,2212.13,1104.19,2946.38,1245.75,1638.94,1482
50,1440.75,1960.13,2212.13,1104.56,2946.38,1245.75,1638.75,1482.19
51,1440.75,1959.94,2212.13,1104.56,2946.75,1246.13,1638.75,1482
52,1440.94,1959.94,2212.5,1104.56,2946.75,1246.31,1638.94,1482
53,1440.75,1960.31,2212.5,1104.38,2947.13,1246.31,1639.31,1482.38
54,1440.75,1960.31,2212.69,1104.75,2947.31,1246.31,1639.13,1482.19
55,1440.75,1960.5,2212.69,1104.94,2947.5,1245.94,1639.31,1482.19
56,1440.56,1960.88,2212.88,1104.94,2947.69,1245.75,1639.5,1481.81
57,1440.56,1961.44,2212.69,1104.75,2948.06,1245.75,1640.06,1482.19
58,1440.19,1961.25,2212.88,1105.13,2948.25,1245.38,1639.88,1482
59,1440,1961.25,2212.88,1105.31,2948.63,1245.19,1640.06,1481.44
