time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1638.94,1947.75,2630.63,1097.25,3045.19,1422,1637.63,1668
2,1638.38,1948.31,2630.81,1097.25,3045,1421.44,1638,1667.63
3,1637.81,1948.31,2631,1097.63,3045.56,1421.25,1637.81,1667.25
4,1637.81,1948.31,2631,1097.63,3045.56,1420.69,1637.81,1666.69
5,1637.25,1948.31,2631,1097.81,3045.56,1420.13,1638,1666.31
6,1636.88,1948.88,2631.19,1097.44,3045.75,1419.94,1638.19,1665.94
7,1636.69,1948.88,2631.38,1098,3045.75,1419.38,1638,1665.56
8,1636.13,1948.88,2631.38,1097.81,3045.94,1419.19,1638,1665
9,1635.94,1949.06,2631.56,1097.81,3045.94,1418.63,1638.19,1664.81
10,1635.75,1949.63,2631.56,1097.81,3045.94,1418.25,1638.56,1664.63
11,1635.56,1949.44,2631.56,1098.19,3045.75,1418.06,1638.38,1664.06
12,1635.19,1949.44,2631.56,1098,3045.75,1417.69,1638.38,1663.88
13,1635,1949.63,2631.56,1098,3045.75,1417.31,1638.56,1663.69
14,1634.81,1950,2631.38,1097.81,3045.75,1417.31,1638.75,1663.69
15,1634.63,1950,2631.38,1098.19,3046.13,1417.31,1638.38,1663.5
16,1634.44,1950,2631.19,1098,3046.31,1417.13,1638.75,1663.31
17,1634.06,1950.19,2631.38,1098.19,3046.13,1416.75,1638.94,1662.94
18,1633.88,1950.56,2631.19,1098,3046.31,1416.56,1639.13,1662.75
19,1633.69,1950.56,2631,1098.38,3046.69,1416,1638.94,1662.38
20,1633.31,1950.75,2631,1098.19,3046.69,1415.44,1639.13,1662
21,1633.13,1950.75,2631.19,1098.19,3047.06,1415.44,1638.94,1661.81
22,1632.75,1951.13,2631.38,1098.19,3047.06,1415.06,1639.31,1661.44
23,1632.56,1951.13,2631.38,1098.56,3047.44,1414.69,1638.94,1661.25
24,1632.38,1951.5,2631.38,1098.75,3047.44,1414.31,1639.31,1660.88
25,1632,1951.5,2631.56,1098.75,3047.63,1413.94,1639.5,1660.5
26,1631.81,1952.06,2631.19,1098.56,3047.81,1413.56,1639.69,1660.31
