time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1637.25,2124.75,2248.13,1220.81,3129.38,1427.25,1818.56,1673.81
2,1636.69,2124.38,2248.13,1220.44,3129.75,1426.5,1818.75,1673.06
3,1636.13,2124.38,2248.31,1220.63,3130.13,1425.75,1818.94,1672.13
4,1635.38,2124.56,2248.5,1221,3130.5,1425,1819.13,1671.38
5,1634.81,2124.38,2248.5,1221.38,3130.88,1424.06,1819.31,1670.25
6,1634.25,2124.38,2248.69,1221.19,3131.44,1422.94,1819.31,1669.13
7,1633.5,2124.38,2248.88,1221.38,3131.63,1422,1819.5,1668.19
8,1632.75,2124.94,2249.06,1221.75,3132.19,1420.88,1819.69,1666.88
9,1632,2124.75,2249.06,1221.75,3132.56,1420.13,1819.69,1665.75
10,1631.25,2124.94,2249.06,1221.56,3133.13,1419.19,1819.69,1664.81
11,1630.5,2124.94,2249.06,1221.56,3133.69,1418.06,1819.69,1663.69
12,1629.75,2125.31,2249.25,1221.94,3134.44,1416.94,1820.06,1662.75
13,1629.19,2125.69,2249.44,1222.13,3135.19,1416,1819.88,1661.63
14,1628.44,2126.44,2249.81,1221.94,3136.13,1415.06,1820.06,1660.69
15,1627.88,2127.38,2250,1221.94,3136.5,1414.31,1820.25,1660.13
16,1627.13,2128.13,2250,1222.31,3137.63,1414.13,1820.25,1659.94
17,1626.75,2128.88,2250.38,1222.5,3138.38,1413.75,1820.44,1659.75
18,1626,2129.63,2250.56,1222.5,3138.19,1413.75,1820.63,1659.75
19,1625.63,2130.56,2250.94,1222.5,3138.38,1413.75,1821,1659.94
20,1625.44,2131.5,2250.94,1223.06,3138.56,1413.94,1821.19,1659.94
21,1625.06,2130.94,2251.31,1223.25,3138.75,1413.75,1821.56,1659.75
22,1624.69,2130.75,2251.31,1223.06,3138.75,1413.19,1821.75,1659.38
23,1624.31,2131.13,2251.88,1223.06,3138.94,1412.81,1821.94,1658.81
24,1624.13,2131.5,2251.88,1223.81,3139.13,1412.25,1822.13,1658.06
25,1623.56,2131.31,2252.06,1223.81,3139.31,1411.69,1822.31,1657.5
26,1623.19,2131.31,2252.25,1223.81,3139.5,1410.94,1822.5,1656.75
27,1622.81,2131.5,2252.63,1223.81,3139.69,1410.19,1822.69,1655.81
28,1622.06,2131.88,2253,1224.19,3140.06,1409.63,1822.88,1655.25
29,1621.69,2131.88,2253.19,1224.19,3140.44,1408.88,1823.06,1654.31
30,1621.13,2132.06,2253.19,1224,3140.63,1408.31,1823.06,1653.75
31,1620.75,2132.25,2253.56,1224.19,3141,1407.75,1823.25,1653
32,1620.19,2132.81,2253.56,1224.56,3141.38,1407.19,1823.25,1652.25
33,1619.81,2132.81,2254.13,1224.75,3141.94,1406.63,1823.44,1651.69
34,1619.44,2133.19,2254.31,1224.56,3142.5,1406.25,1823.63,1651.13
35,1619.06,2134.13,2254.31,1224.75,3142.88,1406.06,1824,1651.13
36,1618.69,2135.44,2254.69,1225.31,3143.44,1406.25,1824.19,1651.31
37,1618.31,2136,2254.88,1225.31,3144.19,1407,1824.19,1651.88
38,1618.31,2137.5,2255.25,1225.31,3144.56,1407.56,1824.75,1652.63
39,1618.31,2138.06,2255.44,1225.31,3144.94,1408.13,1825.31,1653.38
40,1618.31,2139,2256,1226.06,3145.69,1408.5,1825.88,1653.94
41,1618.5,2138.81,2256.38,1226.25,3145.88,1408.69,1826.25,1653.94
42,1618.31,2138.81,2256.75,1226.06,3146.25,1408.31,1826.63,1653.75
43,1618.13,2138.81,2257.13,1226.06,3146.44,1407.94,1826.81,1653.19
44,1618.13,2139.19,2257.5,1226.81,3146.63,1407.56,1827.19,1652.81
45,1617.94,2139.19,2257.88,1226.81,3147,1407,1827.19,1652.25
46,1617.38,2139.19,2258.25,1226.63,3147.19,1406.44,1827.38,1651.5
47,1617.19,2139.38,2258.63,1226.63,3147.56,1405.69,1827.38,1650.94
