time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1364.81,1999.13,2084.06,1126.31,2941.69,1176.19,1664.81,1422.56
2,1364.81,1999.13,2084.06,1126.31,2941.5,1176.56,1664.81,1422.75
3,1365,1999.13,2084.06,1126.5,2941.5,1176.56,1664.81,1422.75
4,1365.19,1999.88,2083.88,1126.31,2941.88,1176.75,1665,1422.75
5,1365.19,1999.31,2084.06,1126.5,2941.88,1176.75,1665,1422.75
6,1365.38,1999.5,2084.06,1126.31,2941.69,1176.94,1665,1422.94
7,1365.38,1999.5,2084.25,1126.31,2941.88,1176.75,1665,1422.94
8,1365.19,2000.06,2084.44,1126.13,2941.69,1176.56,1665.19,1422.94
9,1365.19,1999.5,2084.25,1126.5,2942.06,1176.56,1664.81,1422.75
10,1365.19,1999.69,2084.44,1126.5,2941.88,1176.19,1664.81,1422.75
11,1365,1999.5,2084.44,1126.5,2942.06,1176.19,1664.81,1422.75
12,1364.81,2000.06,2084.44,1126.31,2942.06,1175.81,1665.38,1422.56
13,1364.81,1999.5,2085,1126.5,2942.25,1175.81,1665,1422.56
14,1365,1999.5,2085,1126.5,2941.88,1175.63,1665.19,1422.75
15,1365,1999.31,2085,1126.31,2942.06,1176,1665.19,1422.75
16,1365,2000.06,2084.81,1126.31,2942.06,1176,1665.19,1423.13
17,1365.19,1999.5,2084.81,1126.5,2942.06,1176.19,1665.19,1422.94
18,1365.19,1999.5,2085.19,1126.5,2941.88,1176.38,1665.38,1423.31
19,1365.19,1999.5,2085.38,1126.31,2941.88,1176.38,1665.38,1423.31
20,1365.38,1999.88,2085,1126.5,2942.06,1176.56,1665.56,1423.5
21,1365.38,1999.5,2085.19,1126.31,2941.88,1176.56,1665.38,1423.5
22,1365.38,1999.13,2085.19,1126.69,2942.06,1176.56,1665.38,1423.69
23,1365.38,1999.5,2085,1126.5,2941.88,1176.75,1665.19,1423.69
24,1365.56,1999.88,2085,1126.5,2942.06,1177.13,1665.56,1423.69
25,1365.56,1999.5,2085.38,1126.5,2942.06,1177.13,1665.19,1423.88
26,1365.56,1999.5,2085.56,1126.69,2941.88,1176.94,1665.38,1424.06
27,1365.56,1999.5,2085.56,1126.5,2941.88,1177.13,1665.56,1424.06
