time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1473.94,1953.38,2202.94,1103.25,2924.63,1278.19,1639.5,1519.31
2,1473.38,1953.38,2203.13,1103.44,2924.63,1277.81,1639.69,1519.13
3,1473.19,1953.94,2202.94,1103.25,2924.81,1277.44,1639.5,1518.75
4,1472.81,1953.56,2202.75,1103.63,2925,1277.06,1639.5,1518.38
5,1472.63,1953.75,2202.75,1103.44,2925.19,1277.06,1639.88,1518
6,1472.25,1953.94,2202.75,1103.63,2925.19,1276.69,1639.88,1517.81
7,1472.06,1954.5,2202.94,1103.63,2925.38,1276.5,1639.88,1517.44
8,1471.88,1954.31,2202.94,1103.81,2925.56,1276.31,1639.88,1517.25
9,1471.5,1954.5,2202.94,1103.63,2925.75,1275.94,1640.06,1516.88
10,1471.31,1954.5,2202.94,1103.81,2926.13,1275.75,1640.06,1516.5
11,1470.94,1955.06,2202.94,1103.81,2926.31,1275.19,1640.06,1516.13
12,1470.75,1954.88,2202.94,1103.81,2926.69,1274.81,1640.63,1515.75
13,1470.19,1955.06,2203.13,1103.81,2926.5,1274.25,1640.44,1515.38
14,1469.81,1955.06,2203.13,1103.81,2926.69,1273.88,1640.44,1515
15,1469.63,1955.63,2203.13,1104,2927.06,1273.31,1640.25,1514.63
16,1469.25,1955.25,2203.13,1104.19,2927.06,1273.13,1640.25,1514.25
17,1468.69,1955.25,2203.13,1104,2927.06,1272.75,1640.81,1513.88
18,1468.5,1955.63,2203.31,1104,2927.25,1272.38,1640.44,1513.69
19,1468.31,1956.19,2203.31,1104.19,2927.25,1272.19,1640.44,1513.31
20,1467.94,1955.81,2203.31,1104.19,2927.25,1272,1640.44,1513.13
21,1467.75,1955.81,2203.31,1104.19,2927.63,1271.63,1640.63,1512.94
22,1467.56,1956,2203.5,1104.38,2927.63,1271.44,1640.63,1512.75
23,1467.56,1956.75,2203.69,1104.38,2927.63,1271.25,1640.81,1512.19
24,1467.19,1956.38,2203.5,1104.56,2927.63,1271.25,1641.19,1512.19
25,1467,1956.38,2203.5,1104.38,2927.81,1270.88,1641,1512
26,1466.63,1956.38,2203.31,1104.56,2928.19,1270.69,1641.38,1511.44
27,1466.63,1957.13,2203.69,1104.56,2928.38,1270.5,1641,1511.44
28,1466.44,1956.75,2203.5,1104.75,2928.19,1270.13,1641.19,1511.06
29,1466.25,1956.75,2203.5,1104.94,2928.56,1269.94,1641.56,1510.69
30,1466.06,1956.94,2203.69,1104.94,2928.56,1269.75,1641.75,1510.5
31,1465.88,1957.69,2204.06,1105.13,2928.56,1269.38,1641.56,1510.13
32,1465.31,1957.13,2204.06,1105.13,2928.94,1269,1641.38,1509.56
33,1465.13,1957.5,2203.88,1105.13,2929.31,1268.44,1641.75,1509.56
34,1464.75,1957.5,2204.06,1105.31,2929.31,1268.25,1641.56,1509.19
35,1464.38,1958.06,2204.25,1105.31,2929.5,1267.69,1641.75,1508.63
36,1464.38,1957.88,2204.06,1105.5,2929.69,1267.5,1641.94,1508.44
37,1463.63,1957.88,2204.25,1105.5,2929.5,1267.31,1642.13,1507.88
38,1463.44,1958.06,2204.06,1105.69,2929.5,1266.75,1642.13,1507.69
39,1463.25,1958.63,2204.44,1105.5,2929.69,1266.56,1642.13,1507.5
40,1463.06,1958.25,2204.06,1105.69,2929.88,1266.56,1642.31,1507.31
41,1462.88,1958.25,2203.88,1105.5,2930.25,1266.19,1642.13,1507.13
42,1462.69,1958.63,2204.25,1105.69,2930.25,1266,1642.13,1506.94
43,1462.69,1959,2204.25,1105.88,2930.06,1265.81,1641.94,1506.56
44,1462.31,1958.81,2204.25,1105.88,2930.25,1265.63,1642.31,1506.38
