time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1944.75,2166.94,2499,1256.06,3197.81,1702.69,1879.88,1990.13
2,1941.75,2166.75,2497.31,1256.63,3197.44,1700.63,1879.88,1985.63
3,1938.56,2166,2495.63,1256.25,3197.25,1697.81,1879.31,1981.31
4,1935.38,2165.63,2493.94,1256.06,3197.06,1695.19,1879.13,1977.19
5,1932.19,2165.25,2492.63,1255.88,3196.88,1692.38,1878.94,1972.69
6,1928.81,2165.25,2491.31,1256.06,3197.06,1689.56,1878.38,1968.56
7,1925.44,2164.88,2490,1256.06,3197.06,1686.56,1878,1964.06
8,1922.06,2164.5,2488.69,1255.69,3197.06,1683.94,1877.81,1960.13
9,1918.88,2164.5,2487.75,1255.5,3197.25,1680.94,1877.44,1956.38
10,1915.5,2164.69,2486.81,1255.88,3197.44,1678.5,1877.06,1952.44
11,1912.13,2164.5,2485.69,1255.69,3197.63,1676.06,1876.88,1949.06
12,1908.94,2164.88,2484.75,1255.31,3197.63,1673.63,1876.5,1946.44
13,1905.75,2165.06,2483.81,1255.13,3198,1671.56,1876.13,1943.81
14,1902.56,2165.63,2483.06,1255.31,3198.38,1669.69,1875.75,1941.19
15,1899.75,2165.63,2482.31,1255.31,3198.75,1667.81,1875.56,1938.56
16,1896.94,2165.63,2481.56,1255.13,3198.56,1665.75,1875.38,1935.94
17,1893.94,2165.81,2480.81,1254.94,3198.56,1663.69,1875,1932.94
18,1891.31,2166,2480.06,1255.13,3198.56,1661.06,1874.81,1929.56
19,1888.69,2165.63,2479.5,1254.94,3198.75,1658.63,1874.63,1926.38
20,1885.69,2165.44,2478.56,1254.38,3198.75,1656.19,1874.44,1923.19
21,1883.06,2165.06,2478,1254.19,3198.94,1653.56,1874.06,1920
22,1880.25,2165.44,2477.25,1254.56,3199.13,1650.94,1873.88,1916.81
23,1877.44,2165.06,2476.5,1254.38,3199.31,1648.31,1873.5,1913.44
24,1874.63,2164.88,2475.94,1253.81,3199.5,1646.06,1873.31,1910.25
25,1872,2164.88,2475.38,1253.81,3199.69,1643.44,1873.13,1907.25
26,1869.19,2165.25,2474.81,1254,3199.88,1640.81,1872.75,1904.25
27,1866.75,2165.06,2474.25,1254,3200.06,1638.38,1872.56,1901.25
28,1863.94,2165.25,2473.69,1253.44,3200.44,1635.94,1872.38,1898.25
29,1861.69,2165.06,2473.13,1253.44,3200.81,1633.69,1872.19,1895.44
