time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1945.31,2163.94,2322.56,1267.5,3214.13,1629.94,1904.81,1883.81
2,1942.88,2165.63,2322.56,1268.06,3215.63,1628.06,1905.56,1881.38
3,1940.44,2166.75,2322.56,1268.44,3216.94,1626.38,1905.75,1878.75
4,1938,2168.81,2322.56,1269.19,3218.25,1624.5,1906.31,1876.13
5,1935.75,2170.5,2322.56,1270.13,3219.75,1622.25,1906.88,1872.94
6,1933.31,2172,2322.38,1270.69,3221.25,1620.19,1907.44,1869.75
7,1931.25,2173.13,2322.19,1271.06,3222.38,1617.75,1908,1866.75
8,1928.81,2174.63,2321.81,1271.44,3223.88,1615.31,1908.38,1863.75
9,1926.56,2175.75,2321.44,1272.19,3225,1613.06,1908.94,1860.75
10,1924.13,2177.06,2321.06,1272.38,3226.5,1610.81,1909.31,1857.94
11,1921.69,2178.38,2320.69,1273.13,3227.81,1608.75,1909.69,1855.13
12,1919.25,2179.31,2320.31,1273.69,3228.75,1606.69,1910.06,1852.31
13,1917,2180.63,2319.94,1273.88,3230.06,1604.44,1910.63,1849.5
14,1914.75,2181.75,2319.56,1274.25,3231.19,1602.56,1911,1846.88
15,1912.69,2183.06,2319,1275,3232.31,1600.69,1911.56,1844.44
16,1910.63,2183.63,2318.81,1275.56,3233.06,1599.19,1911.94,1842.38
17,1908.75,2184.38,2318.25,1275.56,3233.81,1597.69,1912.5,1840.13
18,1906.69,2183.25,2317.88,1275.75,3234.19,1596.56,1912.88,1839.38
19,1904.81,2179.13,2317.5,1276.5,3234.38,1595.81,1913.44,1838.81
20,1903.13,2177.63,2317.5,1276.69,3234.38,1595.63,1913.81,1838.63
21,1901.81,2176.31,2317.13,1276.69,3234.38,1595.25,1914,1837.69
22,1900.13,2175.19,2316.94,1276.88,3234,1594.88,1914,1836.38
23,1898.81,2175.75,2316.56,1277.25,3233.81,1593.94,1913.81,1834.69
24,1897.31,2176.88,2316.38,1277.44,3233.44,1592.63,1913.44,1831.88
25,1895.63,2178.38,2315.81,1277.44,3233.44,1590.56,1913.44,1828.88
26,1893.94,2178.94,2315.25,1277.63,3233.63,1588.13,1913.63,1825.88
27,1891.88,2179.5,2314.5,1278,3234.19,1585.5,1913.63,1823.06
