time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1606.69,2218.5,2451.75,1288.5,3165.19,1351.13,1911.19,1603.5
2,1606.69,2219.06,2452.69,1288.31,3165.94,1350.94,1911.38,1603.31
3,1606.5,2219.25,2453.81,1288.5,3166.31,1350.94,1911.56,1603.31
4,1606.69,2219.81,2454.56,1288.88,3167.44,1350.75,1911.94,1603.13
5,1606.5,2219.63,2455.88,1289.06,3167.63,1350.38,1912.13,1603.13
6,1606.5,2220.19,2457,1289.06,3168,1350.56,1912.5,1602.94
7,1606.5,2220.56,2458.13,1289.25,3168.38,1350.38,1912.5,1602.75
8,1606.69,2220.94,2459.06,1289.44,3169.31,1350.19,1912.88,1602.75
9,1606.5,2221.13,2460.19,1289.44,3169.5,1350.19,1913.06,1602.56
10,1606.88,2221.31,2461.31,1289.63,3170.44,1350,1913.06,1602.75
11,1606.88,2221.88,2462.44,1289.44,3171,1350,1913.63,1602.75
12,1606.88,2222.25,2463.38,1290.19,3171.38,1349.81,1913.44,1602.75
13,1606.88,2222.25,2464.5,1290,3171.56,1349.81,1914,1602.38
14,1606.88,2222.63,2465.81,1290.19,3172.5,1349.81,1914.19,1602.75
15,1607.06,2223.19,2466.75,1290.38,3172.88,1349.63,1914.56,1602.75
16,1607.25,2223,2467.88,1290.75,3173.25,1349.81,1914.94,1602.75
17,1607.25,2223.38,2469.19,1290.56,3173.63,1349.81,1914.75,1602.75
18,1607.44,2223.94,2470.13,1290.75,3174.56,1349.81,1915.31,1602.75
19,1607.44,2224.31,2471.25,1290.94,3174.75,1349.81,1915.69,1602.75
20,1607.63,2224.5,2472.56,1291.31,3175.31,1349.81,1915.88,1602.75
21,1607.63,2224.69,2473.69,1291.31,3176.06,1349.63,1915.88,1603.13
22,1607.81,2224.88,2474.81,1291.5,3176.25,1349.81,1916.44,1602.94
23,1608.19,2225.63,2475.75,1291.5,3177,1350,1916.81,1603.31
24,1608.19,2225.63,2477.06,1292.06,3177.19,1350,1916.81,1603.13
25,1608.38,2226.19,2478.19,1292.06,3178.13,1350,1917,1603.5
26,1608.56,2226.56,2479.31,1291.88,3178.88,1350,1917.19,1603.5
27,1608.94,2226.94,2480.44,1292.25,3178.88,1350.38,1917.75,1603.69
28,1608.94,2227.31,2481.38,1292.44,3179.81,1350.38,1917.94,1604.06
29,1609.13,2227.31,2482.69,1292.44,3180.38,1350.38,1918.13,1604.06
30,1609.5,2227.5,2484,1292.63,3180.75,1350.56,1918.31,1604.25
31,1609.69,2227.88,2485.13,1292.81,3181.31,1350.75,1918.88,1604.44
32,1609.88,2228.25,2486.06,1293,3181.88,1350.75,1918.88,1604.81
33,1610.06,2228.63,2487.19,1293,3182.63,1350.94,1919.44,1605
34,1610.44,2229,2488.31,1293.19,3183.19,1351.13,1919.25,1605.38
35,1610.81,2229.38,2489.63,1293.38,3183.75,1351.31,1920,1605.38
36,1610.81,2229.56,2490.75,1293.75,3183.75,1351.5,1920.19,1605.56
37,1611.38,2230.13,2491.88,1293.75,3184.5,1351.69,1920.56,1605.94
38,1611.38,2229.94,2493.38,1293.94,3184.88,1351.88,1920.56,1606.13
39,1611.56,2230.69,2494.5,1293.94,3185.63,1352.06,1920.94,1606.69
40,1611.94,2230.69,2495.25,1294.31,3186.19,1352.25,1921.31,1606.88
41,1612.13,2231.06,2496.75,1294.31,3186.56,1352.63,1921.31,1607.06
42,1612.5,2231.25,2497.88,1294.5,3187.13,1352.63,1921.5,1607.44
43,1612.88,2231.81,2499,1294.5,3187.5,1352.81,1922.06,1607.63
44,1613.06,2231.81,2500.13,1294.88,3187.88,1353.19,1922.25,1607.81
45,1613.44,2232,2501.44,1294.88,3188.81,1353.38,1922.44,1608.19
46,1613.63,2232.38,2502.75,1295.06,3188.81,1353.56,1922.63,1608.56
47,1614,2232.75,2503.88,1295.25,3189.38,1353.75,1923.19,1608.94
48,1614.56,2232.94,2505,1295.44,3189.94,1354.31,1923.56,1609.13
49,1614.75,2233.31,2506.31,1295.44,3190.5,1354.5,1923.75,1609.5
50,1615.13,2233.5,2507.44,1295.81,3191.06,1354.5,1923.75,1610.06
51,1615.5,2233.69,2508.56,1296,3191.63,1354.88,1924.5,1610.44
52,1615.88,2233.88,2509.88,1296.19,3191.63,1355.25,1924.69,1610.81
53,1616.25,2234.06,2511,1296.38,3192,1355.44,1924.88,1611
