time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1489.13,1951.5,2187.94,1103.63,3133.88,1193.63,1605.94,1372.69
2,1487.06,1953,2187.19,1104.38,3135.38,1191,1606.31,1369.13
3,1484.63,1953.75,2186.63,1105.31,3136.69,1188,1606.69,1365.38
4,1481.81,1954.31,2185.88,1105.5,3138.19,1184.81,1607.06,1361.63
5,1479.19,1955.25,2185.31,1106.25,3139.69,1181.81,1607.63,1358.44
6,1476.56,1956.19,2185.13,1106.25,3141.19,1178.81,1608,1355.06
7,1473.75,1956.94,2184.56,1106.63,3142.31,1175.63,1608,1351.69
8,1471.13,1957.88,2184.38,1106.81,3144.19,1173,1608.75,1348.69
9,1468.5,1958.81,2184.38,1107.56,3145.5,1169.81,1609.13,1345.31
10,1465.88,1959.38,2184.19,1107.38,3146.81,1167.38,1609.69,1342.5
11,1463.25,1960.5,2184.19,1107.56,3148.13,1164.38,1609.88,1339.5
12,1460.44,1961.25,2184.38,1107.75,3149.25,1161.75,1610.25,1336.88
13,1457.81,1961.81,2184.38,1108.31,3150.38,1159.31,1610.63,1334.06
14,1455.38,1962.38,2184.56,1108.13,3151.69,1156.69,1610.81,1331.25
15,1452.94,1963.5,2184.94,1108.5,3152.81,1154.44,1611,1328.81
16,1450.69,1964.06,2185.13,1108.31,3154.13,1152,1611.38,1326.38
17,1448.25,1964.81,2185.31,1109.06,3155.06,1149.75,1611.75,1323.75
18,1446.19,1965.56,2185.88,1108.88,3156,1147.5,1611.94,1321.31
19,1443.56,1966.5,2186.25,1109.06,3157.31,1145.44,1612.13,1319.06
20,1441.31,1967.06,2186.63,1109.06,3158.25,1143.38,1612.5,1317
21,1439.25,1967.44,2187.19,1109.63,3159.19,1141.13,1612.69,1314.75
22,1437.19,1968.19,2187.56,1109.25,3160.13,1139.06,1612.88,1312.31
23,1435.13,1969.13,2188.31,1109.81,3161.25,1137.19,1613.06,1310.25
24,1432.88,1969.5,2188.88,1109.63,3162.19,1135.13,1613.44,1308.38
25,1430.81,1969.88,2189.44,1110,3163.13,1133.25,1613.63,1306.31
26,1428.75,1970.63,2190.19,1109.81,3164.06,1131.56,1613.81,1304.06
27,1426.88,1971.38,2190.75,1110,3164.81,1129.69,1614,1302.38
28,1424.81,1971.75,2191.5,1110,3165.75,1128,1614.38,1300.31
29,1422.94,1971.94,2192.25,1110.38,3166.69,1126.31,1614.38,1298.63
30,1421.06,1972.5,2193.19,1110.19,3167.44,1124.44,1614.75,1296.56
31,1419.38,1973.44,2193.94,1110.38,3168.38,1122.94,1614.94,1294.69
32,1417.69,1973.63,2194.5,1110.56,3169.13,1121.25,1615.13,1293.19
33,1415.63,1974.19,2195.25,1110.94,3170.06,1119.94,1615.31,1291.5
34,1413.94,1974.56,2196.19,1110.75,3170.81,1118.25,1615.5,1289.63
35,1412.44,1975.69,2197.13,1111.13,3171.56,1116.75,1615.69,1287.94
36,1410.56,1975.69,2197.88,1110.75,3172.69,1115.44,1615.88,1286.44
37,1408.88,1976.06,2199,1111.13,3173.25,1113.75,1616.06,1284.94
38,1407.19,1976.63,2199.94,1111.13,3174.38,1112.44,1616.25,1283.44
39,1405.88,1977.19,2200.69,1111.5,3175.13,1110.75,1616.44,1281.75
40,1404.38,1977.56,2201.63,1111.31,3175.88,1109.63,1616.81,1280.44
41,1402.69,1977.94,2202.75,1111.88,3176.63,1108.13,1617,1278.75
42,1401.19,1978.5,2203.69,1111.5,3177.38,1107,1617.38,1277.63
43,1399.69,1979.06,2204.63,1111.88,3178.31,1105.69,1617.38,1276.13
44,1398.38,1979.25,2205.75,1111.88,3178.88,1104.56,1617.75,1274.81
45,1396.88,1979.63,2206.69,1112.44,3179.44,1103.06,1617.94,1273.5
46,1395.38,1980,2207.63,1111.88,3180.19,1101.94,1617.94,1272.19
47,1393.88,1980.75,2208.75,1112.25,3180.94,1100.63,1618.13,1270.88
48,1392.56,1981.13,2209.69,1112.25,3181.88,1099.5,1618.5,1269.38
49,1391.25,1981.31,2210.81,1112.63,3182.63,1098.38,1618.69,1268.06
50,1389.75,1981.69,2211.94,1112.44,3183.19,1097.25,1618.69,1267.13
51,1388.63,1982.44,2213.25,1112.63,3183.94,1095.94,1618.88,1265.63
