time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1499.25,1938.56,2062.69,1096.31,3132.94,1189.5,1603.5,1331.25
2,1496.44,1941.56,2064.19,1096.88,3136.13,1186.69,1604.63,1328.06
3,1493.44,1944,2064.75,1097.63,3138.19,1183.5,1605.38,1324.88
4,1489.88,1946.06,2065.5,1098.38,3140.44,1180.69,1605.94,1321.88
5,1486.88,1948.13,2066.44,1099.31,3142.5,1177.88,1606.69,1319.06
6,1483.69,1950.19,2067.38,1099.69,3144.75,1175.06,1607.63,1316.06
7,1480.69,1952.06,2067.94,1100.25,3146.63,1172.25,1608,1313.25
8,1477.5,1953.94,2068.69,1100.81,3148.5,1169.44,1608.38,1310.25
9,1474.69,1955.63,2069.44,1101.56,3150.38,1167,1609.31,1307.81
10,1472.06,1957.5,2070.38,1102.13,3152.25,1164.75,1610.25,1305.56
11,1469.44,1959.19,2070.94,1102.69,3154.13,1162.5,1611.19,1303.5
12,1466.81,1960.88,2071.5,1103.63,3156,1160.44,1612.13,1301.44
13,1464.38,1962.19,2072.06,1104,3157.13,1158.56,1612.88,1299
14,1462.13,1963.88,2072.81,1104.38,3159,1156.69,1613.81,1297.31
15,1459.69,1965.75,2073.19,1105.31,3160.69,1154.81,1614.75,1295.44
16,1457.44,1967.06,2073.94,1105.69,3162.38,1152.94,1615.69,1293.56
17,1455.56,1968.56,2074.69,1106.63,3164.25,1151.63,1617,1291.88
18,1453.69,1969.88,2074.88,1106.81,3165.19,1149.94,1617.75,1290.19
19,1451.44,1971.38,2075.25,1107.56,3166.69,1148.06,1618.31,1288.5
20,1449.56,1972.69,2075.81,1107.75,3168.19,1146.56,1619.25,1286.81
21,1447.5,1974,2076.19,1108.69,3169.31,1145.25,1620.38,1285.31
22,1446,1975.13,2076.94,1108.88,3170.81,1143.75,1621.13,1283.81
23,1444.31,1977,2077.88,1109.81,3173.06,1142.63,1622.63,1282.88
24,1442.81,1977.94,2077.88,1110.38,3174,1141.5,1623.56,1281.56
25,1441.13,1979.06,2078.63,1111.13,3175.31,1140.19,1624.69,1280.06
26,1439.06,1980,2078.81,1111.13,3176.25,1138.69,1625.06,1278.56
27,1437.38,1981.31,2079,1111.88,3177.38,1137.56,1625.81,1276.88
28,1435.5,1982.25,2079.75,1112.25,3178.69,1136.06,1626.56,1275.56
29,1434,1983.56,2080.69,1113,3180,1134.94,1627.5,1274.44
30,1432.31,1984.5,2081.06,1113,3181.13,1133.63,1628.25,1273.13
