time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1908.38,1638.94,2322.75,1029.19,2811.56,1617.19,1603.5,1766.25
2,1895.44,1642.31,2313.56,1028.63,2811.94,1602.94,1601.44,1752.75
3,1882.5,1645.88,2304.56,1028.44,2811.75,1589.44,1599.19,1739.81
4,1870.13,1648.88,2295.56,1027.88,2811.75,1576.69,1597.5,1727.63
5,1858.5,1651.31,2287.31,1027.5,2812.31,1563.94,1595.81,1715.44
6,1846.88,1654.88,2279.06,1027.31,2813.06,1552.13,1594.31,1704.56
7,1835.81,1657.88,2270.81,1027.69,2813.06,1540.88,1592.81,1694.25
8,1824.75,1660.31,2262.94,1027.69,2812.31,1530,1591.69,1684.31
9,1814.44,1662.19,2254.5,1027.31,2812.5,1519.5,1590.75,1674.19
10,1804.5,1663.31,2246.44,1027.13,2812.13,1509.19,1590,1663.88
11,1794.56,1665.56,2237.81,1027.13,2812.13,1499.06,1588.69,1653.75
12,1785,1668.19,2229.75,1027.13,2811.75,1488.94,1587.56,1644
13,1776,1671.19,2221.69,1027.5,2812.13,1479.38,1586.81,1634.81
14,1766.81,1673.44,2213.63,1027.5,2812.5,1470,1585.69,1626
15,1757.81,1675.69,2205.94,1027.31,2813.06,1461.38,1585.13,1617.75
16,1749.19,1677.38,2198.44,1027.5,2814.75,1452.38,1584.56,1609.13
17,1740.75,1678.5,2190.94,1027.69,2815.5,1443.75,1583.63,1599.94
18,1732.5,1680.94,2183.63,1027.69,2815.88,1434.94,1582.69,1591.5
19,1724.44,1683.38,2176.31,1027.88,2816.81,1426.13,1581.94,1582.69
20,1716.19,1686.56,2169.38,1027.69,2817.19,1417.88,1581.19,1575
21,1708.13,1689,2162.25,1028.06,2817.56,1409.81,1580.63,1567.69
22,1700.25,1692,2154.94,1028.63,2817.56,1402.31,1580.06,1561.13
23,1693.13,1694.25,2148.75,1028.63,2818.5,1395,1579.69,1554.19
24,1685.81,1696.69,2141.81,1028.81,2819.25,1388.06,1579.31,1548
25,1678.69,1698,2135.44,1029.38,2818.5,1381.69,1579.13,1542
26,1671.75,1699.5,2128.5,1029.56,2818.88,1375.31,1579.13,1536
27,1665.56,1701,2122.5,1029.75,2819.25,1368.75,1578.75,1530
28,1659,1702.88,2116.31,1029.75,2819.06,1362.56,1578.56,1524.38
29,1652.81,1704.19,2110.13,1030.5,2818.69,1356.56,1578.56,1519.13
30,1647.19,1705.31,2104.13,1030.88,2818.5,1351.13,1578.38,1513.31
31,1641.19,1706.06,2098.5,1031.25,2819.06,1345.31,1578.38,1507.69
32,1635.19,1707.38,2092.88,1031.06,2820.94,1339.31,1578.19,1501.31
33,1629.19,1709.44,2087.44,1031.63,2821.88,1333.13,1578,1495.69
34,1623.56,1711.13,2081.81,1031.63,2822.06,1327.31,1577.63,1489.88
35,1617.56,1713.19,2076.94,1032.19,2822.81,1321.13,1577.25,1484.44
36,1611.75,1714.31,2071.69,1032.19,2823,1315.31,1577.06,1478.63
37,1606.5,1715.81,2066.06,1032.75,2822.44,1309.69,1577.06,1473.19
38,1601.25,1717.31,2061.19,1032.94,2822.81,1304.25,1576.5,1467.75
39,1596,1718.44,2056.31,1033.13,2823.19,1298.81,1576.31,1462.31
40,1590.75,1721.06,2051.06,1033.31,2823.19,1293.75,1576.5,1458
41,1585.69,1722.38,2046.38,1033.88,2823.75,1288.69,1576.31,1453.5
42,1580.81,1723.88,2041.5,1034.25,2823.94,1284,1576.13,1449.38
43,1575.94,1725.56,2037,1034.44,2824.13,1279.88,1576.31,1445.44
44,1571.44,1726.69,2032.5,1034.63,2824.69,1275.56,1576.5,1441.31
45,1566.75,1727.44,2028,1035.19,2825.06,1271.25,1576.31,1437.19
46,1562.63,1729.13,2023.69,1035.56,2825.44,1266.94,1576.5,1433.81
47,1557.94,1730.44,2019.38,1035.94,2825.81,1262.63,1576.5,1429.5
48,1553.63,1731.56,2015.25,1035.94,2826.94,1258.69,1576.69,1425.19
49,1549.5,1732.88,2011.31,1036.31,2827.13,1254.75,1576.69,1421.25
50,1545.19,1734.56,2007.19,1036.88,2828.25,1250.44,1576.69,1417.31
51,1541.06,1736.44,2003.25,1037.06,2829.19,1246.31,1576.88,1413.75
52,1536.75,1737.56,1999.5,1037.25,2828.63,1242.38,1577.06,1410.38
53,1533,1738.31,1995.38,1038,2828.81,1238.81,1577.06,1406.63
54,1528.88,1740.19,1991.81,1038.19,2829.56,1234.88,1576.88,1402.88
55,1525.31,1741.69,1988.06,1038.38,2829.38,1231.13,1577.25,1399.31
56,1521.75,1742.81,1984.5,1038.75,2830.13,1227.94,1577.63,1396.31
57,1518.19,1744.69,1980.75,1039.69,2829.75,1224.94,1577.63,1393.5
58,1514.63,1746.19,1977.56,1039.88,2830.88,1221.75,1577.81,1390.31
59,1511.06,1747.69,1974.19,1040.25,2831.81,1218.75,1578.38,1388.25
60,1507.88,1748.25,1971,1040.44,2832.38,1215.94,1578.75,1385.81
61,1504.69,1749.19,1967.63,1041,2832.38,1213.13,1578.94,1382.81
62,1501.69,1750.31,1964.06,1041.38,2832,1210.5,1579.13,1380.19
63,1498.5,1751.25,1961.06,1041.75,2832.75,1207.69,1579.5,1377.56
64,1495.5,1752.19,1958.25,1041.75,2833.5,1204.88,1579.69,1374.56
65,1492.31,1753.69,1955.06,1042.31,2834.63,1201.5,1579.88,1371.38
66,1489.31,1755.56,1952.44,1042.69,2835.56,1198.69,1579.88,1368.94
67,1486.13,1757.63,1949.44,1043.44,2835.38,1195.88,1580.25,1366.88
68,1483.13,1758.94,1946.63,1043.81,2835.19,1193.44,1580.63,1365.19
69,1480.5,1759.88,1944,1044,2835.75,1191.56,1581,1363.31
70,1477.69,1759.88,1941.19,1044.56,2835.56,1189.69,1581.56,1360.88
71,1474.31,1759.31,1937.44,1043.81,2834.63,1186.13,1580.25,1357.5
72,1484.63,1809.94,2493.38,1049.63,3129.75,1190.06,1590,1377
73,1587.19,1955.81,3471.56,1068.94,3536.06,1275.94,1635.56,1584.56
74,1758,2014.69,3856.31,1085.81,3686.81,1431.19,1675.5,1814.06
75,1906.5,2020.69,3975,1096.31,3735.75,1562.25,1701.38,1970.81
76,2013.94,2009.06,4012.88,1101.94,3736.31,1659.38,1715.81,2071.5
77,2089.69,1993.5,4014.56,1103.81,3724.88,1730.06,1722.19,2136.19
78,2142.94,1978.31,3999.94,1103.63,3701.81,1781.81,1723.5,2177.06
79,2181.19,1964.44,3980.25,1103.25,3681.19,1820.63,1722.94,2203.5
80,2209.13,1954.13,3959.81,1101.94,3657.75,1848.94,1720.5,2220.38
81,2229.94,1943.06,3940.88,1100.63,3638.63,1869.38,1717.5,2230.5
82,2244.94,1934.44,3920.63,1098.94,3622.88,1884.38,1714.5,2235.75
83,2256.94,1927.5,3899.44,1097.63,3608.25,1894.88,1711.13,2237.63
84,2265.94,1920.75,3881.63,1096.5,3593.81,1902.38,1707.75,2237.25
85,2272.69,1916.44,3865.13,1095.19,3579.56,1906.5,1705.13,2235.38
86,2278.13,1911.19,3847.5,1094.06,3564.75,1908.75,1702.13,2232
87,2281.69,1906.69,3831.75,1093.13,3553.69,1909.31,1699.31,2227.13
88,2284.5,1901.25,3817.69,1092.56,3544.13,1909.13,1696.69,2221.31
89,2286.19,1898.63,3804.19,1091.25,3534,1907.25,1694.25,2215.31
90,2287.5,1896,3790.5,1090.31,3527.81,1905,1692,2208.38
91,2287.88,1892.06,3778.69,1089.19,3516.56,1902,1689.75,2201.25
92,2287.88,1889.06,3764.63,1088.25,3510,1898.44,1687.5,2194.13
93,2286.94,1887.56,3755.06,1087.69,3502.31,1894.5,1685.44,2186.63
94,2286.38,1885.5,3743.25,1086.75,3492.56,1890.19,1683.75,2179.69
95,2285.06,1883.25,3732.56,1086.38,3488.06,1885.69,1681.69,2172.19
96,2283.56,1882.88,3725.06,1085.81,3484.69,1881.19,1680.56,2165.06
97,2281.88,1883.06,3717.38,1085.81,3479.25,1876.31,1679.44,2158.69
98,2280.19,1881,3709.31,1085.25,3472.13,1871.63,1678.13,2151.94
99,2278.31,1880.44,3701.63,1085.06,3466.31,1866.94,1676.81,2145
100,2276.06,1878.38,3694.13,1085.06,3460.13,1861.88,1675.88,2138.63
101,2273.81,1877.44,3684.56,1084.5,3457.69,1857.19,1674.56,2132.06
102,2271.38,1875.94,3677.25,1083.94,3453.56,1852.31,1673.44,2125.88
103,2269.13,1877.06,3669.75,1083.94,3449.44,1847.44,1672.5,2120.25
104,2267.06,1878,3663.38,1084.13,3447.56,1842.94,1672.13,2114.63
105,2264.63,1875.75,3656.06,1083.75,3441.94,1838.25,1671.38,2109.19
106,2262,1873.88,3648.94,1083.19,3436.69,1833.94,1670.25,2103.75
107,2259.56,1871.44,3643.69,1082.81,3431.25,1829.06,1669.5,2097.75
108,2256.38,1870.13,3637.69,1082.44,3428.44,1824.56,1668.38,2091.94
109,2253.56,1869.38,3631.31,1082.06,3424.88,1819.88,1667.06,2086.5
110,2250.19,1869.38,3624.75,1081.5,3417.75,1815.38,1666.13,2081.25
111,2247.19,1868.81,3620.25,1081.5,3415.13,1811.06,1665.19,2076.19
112,2244.38,1869.19,3616.5,1081.88,3416.06,1806.56,1664.81,2071.5
113,2241.38,1868.06,3612.75,1081.5,3410.63,1802.63,1664.25,2066.81
114,2238.75,1867.5,3606.75,1082.06,3409.13,1798.31,1663.31,2062.13
