time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1758.75,2222.06,2730.75,1281,3249.56,1466.81,1895.81,1706.06
2,1758.19,2221.88,2730.94,1281,3249.38,1466.25,1895.63,1705.31
3,1757.63,2221.88,2731.13,1281,3249.56,1465.5,1895.81,1704.56
4,1756.88,2221.88,2731.13,1280.81,3249.19,1464.94,1895.81,1704.19
5,1756.13,2221.88,2731.13,1280.63,3249.38,1464.38,1895.44,1703.44
6,1755.56,2221.88,2731.13,1280.81,3249.38,1463.81,1895.44,1703.06
7,1754.81,2221.88,2731.13,1281,3249.56,1463.25,1895.44,1702.31
8,1754.25,2221.88,2731.31,1280.81,3249.38,1462.69,1895.25,1701.75
9,1753.69,2221.69,2731.31,1280.25,3249.38,1462.13,1895.06,1701.19
10,1752.94,2221.5,2731.13,1280.63,3249.19,1461.56,1895.06,1700.81
11,1752.38,2221.69,2731.13,1280.63,3249.19,1461,1895.06,1700.06
12,1751.44,2221.31,2731.13,1280.44,3249.19,1460.44,1894.88,1699.31
13,1750.88,2221.5,2730.94,1280.25,3249.19,1459.69,1894.69,1698.75
14,1750.13,2221.5,2730.94,1280.44,3249.19,1458.94,1894.5,1698
15,1749.38,2221.31,2730.94,1280.44,3249.19,1458.38,1894.31,1697.44
16,1748.63,2221.31,2730.75,1280.25,3249.19,1457.81,1894.5,1696.69
17,1747.88,2221.31,2730.75,1280.06,3249.38,1457.25,1894.31,1696.13
18,1747.31,2221.31,2730.56,1280.25,3249,1456.5,1894.31,1695.56
19,1746.56,2221.5,2730.38,1280.25,3249.19,1455.94,1894.31,1694.81
20,1745.81,2221.5,2730.38,1280.06,3249.19,1455.56,1894.13,1694.25
21,1745.25,2221.5,2730.19,1279.88,3249.19,1455,1893.75,1693.69
22,1744.69,2221.31,2730.19,1280.06,3249.19,1454.25,1893.94,1693.13
23,1743.94,2221.5,2730,1280.25,3249.19,1453.69,1893.75,1692.56
24,1743.38,2221.5,2730,1279.88,3249.56,1453.13,1893.94,1692
25,1742.63,2221.5,2729.81,1279.5,3249.38,1452.56,1893.38,1691.25
26,1741.88,2221.5,2730,1279.88,3249.38,1451.63,1893.56,1690.69
27,1741.31,2221.69,2729.63,1279.88,3249.56,1451.06,1893.38,1690.13
28,1740.75,2221.5,2729.63,1279.88,3249.38,1450.5,1893.38,1689.56
29,1740,2221.69,2729.25,1279.5,3249.56,1449.94,1893.19,1689
30,1739.63,2221.5,2729.25,1279.88,3249.75,1449.38,1893,1688.44
31,1738.88,2221.69,2729.06,1279.88,3249.75,1449,1893.19,1688.06
32,1738.31,2221.88,2729.25,1279.88,3249.75,1448.44,1893.19,1687.69
33,1737.75,2221.88,2728.88,1279.69,3249.56,1447.69,1893,1687.13
34,1737.19,2221.88,2728.69,1279.88,3249.56,1447.31,1893,1686.75
35,1736.63,2221.69,2728.69,1279.88,3249.94,1446.56,1892.81,1686.38
36,1736.06,2222.06,2728.13,1279.69,3249.75,1446.38,1892.81,1685.81
37,1735.88,2221.88,2728.31,1279.5,3250.13,1446.19,1893,1685.25
38,1735.13,2222.06,2727.94,1279.69,3249.94,1445.44,1892.81,1685.25
39,1734.56,2222.25,2728.13,1279.88,3250.13,1445.63,1893,1684.88
40,1734.38,2222.25,2727.94,1279.5,3250.31,1444.69,1893,1684.5
41,1734,2222.44,2727.94,1279.5,3250.31,1444.31,1893,1684.13
42,1733.63,2222.63,2727.94,1279.88,3250.31,1444.69,1893,1684.13
43,1733.25,2222.81,2727.94,1279.88,3250.5,1443.94,1893,1683.75
44,1732.69,2222.81,2727.56,1279.69,3250.69,1443.56,1893,1683.38
45,1732.5,2223,2727.94,1279.31,3250.88,1443.19,1893,1683
46,1731.94,2223,2727.75,1279.69,3250.88,1442.63,1893.19,1682.81
47,1731.75,2223.38,2727.75,1280.06,3251.06,1442.63,1893,1682.63
48,1731.56,2223.38,2727.56,1279.69,3251.25,1442.44,1893,1682.25
49,1731.19,2223.56,2727.75,1279.5,3251.25,1442.06,1893,1681.88
50,1730.81,2223.94,2727.75,1279.69,3251.63,1441.31,1892.81,1681.69
51,1730.44,2223.94,2727.75,1279.88,3251.81,1440.94,1893,1681.5
52,1730.25,2224.13,2727.56,1279.69,3251.81,1440.94,1893.19,1681.13
53,1730.06,2224.13,2727.56,1279.69,3252,1440.75,1893.19,1680.75
54,1729.69,2224.13,2727.75,1279.88,3252,1440.38,1893.38,1680.75
