time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1562.63,2228.44,2404.31,1280.25,3195.75,1308,1895.63,1540.31
2,1562.44,2228.63,2405.44,1280.06,3195.75,1308.38,1896.38,1539.94
3,1562.63,2228.63,2406.38,1280.44,3196.31,1308.19,1896.38,1540.13
4,1562.63,2229,2407.31,1280.25,3196.88,1308.19,1896.38,1539.75
5,1562.44,2229.19,2408.44,1280.25,3197.25,1308,1896.38,1539.94
6,1562.81,2229.38,2409.56,1280.25,3197.63,1308,1896.56,1539.94
7,1562.81,2229.56,2410.5,1280.63,3198,1307.81,1896.75,1539.75
8,1562.81,2229.94,2411.63,1280.63,3198.19,1307.81,1896.75,1539.94
9,1563,2229.75,2412.56,1280.63,3198.56,1307.81,1896.75,1539.94
10,1563.19,2230.31,2413.69,1280.81,3199.13,1307.81,1897.13,1539.56
11,1563.19,2230.31,2414.63,1281,3199.31,1307.81,1897.31,1539.75
12,1563.38,2230.31,2415.56,1281,3199.69,1307.81,1897.31,1539.56
13,1563.38,2230.5,2416.69,1280.81,3199.88,1307.81,1897.5,1539.56
14,1563.38,2230.69,2417.63,1281,3200.44,1307.63,1897.5,1539.38
15,1563.38,2231.06,2418.56,1281.19,3200.44,1307.44,1897.5,1539.56
16,1563.38,2230.88,2419.69,1281.19,3201,1307.44,1897.69,1539.56
17,1563.38,2231.25,2420.63,1281.19,3201.38,1307.44,1897.69,1539.19
18,1563.56,2231.44,2421.75,1281.19,3201.94,1307.44,1898.06,1539.38
19,1563.56,2231.63,2422.69,1281.75,3202.13,1307.25,1898.06,1539.19
20,1563.56,2231.81,2423.63,1281.56,3202.5,1307.25,1898.06,1539.38
21,1563.75,2231.63,2424.56,1281.38,3202.69,1307.25,1898.06,1539.19
22,1563.75,2232,2425.5,1281.56,3203.06,1307.44,1898.25,1539.19
23,1563.75,2232,2426.63,1281.75,3203.25,1307.44,1898.44,1539.38
24,1563.94,2232,2427.56,1281.75,3204,1307.25,1898.44,1539.56
25,1564.13,2232.19,2428.69,1281.75,3204.19,1307.44,1898.44,1539.56
26,1564.13,2232.56,2429.81,1281.94,3204.38,1307.44,1898.81,1539.56
27,1564.31,2232.38,2430.56,1282.13,3204.75,1307.44,1898.81,1539.56
28,1564.5,2232.75,2431.69,1282.13,3205.13,1307.44,1899,1539.56
29,1564.5,2232.94,2432.63,1282.13,3205.69,1307.44,1899,1539.56
30,1564.5,2233.13,2433.75,1282.13,3205.88,1307.44,1899.19,1539.75
31,1564.69,2233.13,2434.69,1282.5,3206.25,1307.63,1899.19,1539.94
32,1564.69,2233.31,2435.63,1282.5,3206.63,1307.63,1899.38,1540.13
33,1564.88,2233.69,2436.75,1282.5,3207,1307.81,1899.38,1539.94
34,1565.25,2234.06,2437.88,1282.31,3207.38,1307.81,1899.75,1540.13
35,1565.25,2233.88,2439,1282.88,3207.94,1307.81,1899.94,1540.5
36,1565.44,2234.25,2439.94,1282.88,3208.13,1307.81,1899.94,1540.5
37,1565.63,2234.25,2441.06,1282.69,3208.69,1308,1899.94,1540.5
38,1565.63,2234.81,2442,1283.06,3208.88,1308,1900.13,1540.5
39,1565.81,2234.81,2443.13,1283.25,3209.25,1308,1900.31,1541.06
40,1566,2235.19,2444.06,1283.06,3209.81,1308.19,1900.31,1540.69
41,1566.19,2235.19,2445.38,1283.06,3210.38,1308.19,1900.5,1541.06
42,1566.38,2235.56,2446.5,1283.25,3210.75,1308.19,1900.88,1541.44
43,1566.56,2235.94,2447.25,1283.81,3211.13,1308.56,1900.69,1541.44
44,1566.94,2236.13,2448.38,1283.63,3211.5,1308.56,1901.06,1541.81
45,1566.94,2236.31,2449.5,1283.63,3212.06,1308.75,1901.06,1542
46,1567.31,2236.69,2450.63,1283.81,3212.44,1308.75,1901.44,1542.19
47,1567.31,2236.69,2451.56,1284,3212.81,1308.94,1901.44,1542.38
48,1567.5,2236.88,2452.69,1284,3213.19,1309.13,1901.81,1542.56
49,1567.88,2237.06,2453.44,1284,3213.56,1309.31,1901.63,1542.94
50,1568.06,2237.44,2454.75,1284.19,3213.94,1309.5,1902,1542.94
51,1568.25,2237.63,2455.69,1284.56,3214.31,1309.5,1902.19,1543.31
