time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1842.19,2272.69,2844.75,1302.56,3302.25,1592.25,1933.69,1881.94
2,1842.19,2271.56,2839.69,1303.13,3300.94,1591.69,1934.06,1879.88
3,1842,2270.63,2835,1303.69,3300,1590.56,1934.63,1878.19
4,1841.44,2270.25,2830.69,1304.44,3299.25,1589.44,1935,1875.94
5,1841.06,2269.5,2826.75,1304.63,3298.69,1587.94,1935.38,1873.88
6,1840.69,2269.13,2822.81,1304.44,3298.13,1586.63,1935.56,1871.63
7,1839.94,2268.75,2819.25,1305,3297.94,1585.13,1936.13,1869.38
8,1839.75,2268.38,2816.25,1305.38,3297.56,1584,1936.13,1867.69
9,1838.81,2268.19,2812.88,1305.56,3297.19,1582.5,1936.5,1865.44
10,1838.06,2267.63,2810.25,1305.56,3296.81,1581.19,1936.69,1863.56
11,1837.13,2267.44,2807.25,1305.75,3296.44,1579.5,1936.88,1861.31
12,1836.38,2267.25,2804.81,1306.13,3296.06,1578,1937.25,1859.06
13,1835.25,2267.25,2802,1306.13,3296.25,1576.31,1937.25,1857
14,1834.13,2267.06,2799.56,1305.94,3296.06,1574.63,1937.44,1854.75
15,1833.19,2266.88,2797.5,1306.13,3295.69,1572.94,1937.63,1852.69
16,1831.88,2266.69,2795.06,1306.5,3295.5,1571.25,1938,1850.44
17,1830.75,2266.69,2792.81,1306.13,3295.31,1569.56,1938,1848.19
18,1829.63,2266.69,2790.56,1305.94,3295.31,1567.88,1938,1845.94
19,1828.13,2266.31,2788.5,1306.13,3295.13,1566,1938.19,1843.88
20,1827,2266.5,2786.25,1306.31,3295.13,1564.31,1938,1841.63
21,1825.5,2266.31,2784.19,1305.94,3294.94,1562.25,1938,1839.38
22,1824.19,2266.5,2782.13,1305.56,3294.75,1560.56,1938.19,1837.13
23,1822.88,2266.31,2780.25,1305.94,3294.75,1558.88,1938.38,1835.06
24,1821.38,2266.31,2778.38,1305.94,3294.94,1557,1938.38,1833
25,1820.25,2266.5,2776.31,1305.56,3294.75,1555.5,1938,1830.75
26,1818.94,2266.5,2774.63,1305.38,3294.75,1553.63,1938.19,1828.69
27,1817.63,2266.5,2772.75,1305.56,3294.56,1551.94,1938.19,1826.63
28,1816.13,2266.5,2771.06,1305.56,3294.75,1550.25,1938.19,1824.56
29,1814.63,2266.5,2769.19,1305.19,3294.56,1548.38,1938.19,1822.5
30,1813.31,2266.5,2767.5,1305,3294.38,1546.88,1938.38,1820.44
31,1812,2266.5,2766,1305.19,3294,1545.38,1938.38,1818.56
32,1810.5,2266.31,2764.31,1305,3294.19,1543.88,1938.38,1816.5
33,1809.19,2266.31,2762.81,1304.81,3294,1542.19,1938.19,1814.63
34,1807.88,2266.5,2761.13,1304.44,3293.81,1540.5,1938.19,1812.75
35,1806.56,2266.13,2759.63,1304.63,3293.81,1539,1938.19,1810.69
36,1805.44,2266.31,2758.31,1304.63,3293.44,1537.5,1938.19,1809
37,1804.13,2266.13,2756.81,1304.06,3293.25,1536.19,1938.19,1807.13
38,1802.63,2266.13,2755.13,1304.06,3293.06,1534.5,1938.19,1805.25
39,1801.5,2265.75,2754,1304.06,3292.69,1533,1938,1803.38
40,1800.19,2265.75,2752.5,1304.25,3292.5,1531.69,1938.19,1801.69
41,1798.88,2265.94,2751.19,1303.69,3292.31,1530,1938,1799.81
42,1797.75,2265.75,2749.88,1303.5,3292.13,1528.5,1938,1798.13
43,1796.63,2265.38,2748.38,1303.69,3291.94,1527,1938,1796.06
44,1795.31,2265.56,2747.44,1303.69,3291.75,1525.5,1938,1794.56
45,1794,2265.38,2746.13,1303.5,3291.75,1524,1938.19,1792.69
46,1792.69,2265.19,2744.63,1303.31,3291.75,1522.88,1938,1790.81
47,1791.56,2265,2743.31,1303.5,3291.38,1521.38,1938,1789.13
48,1790.63,2265,2742.38,1303.31,3291.38,1520.06,1937.63,1787.44
49,1789.13,2265,2741.06,1303.13,3291.56,1518.56,1938,1785.75
50,1788.19,2265,2739.94,1302.75,3291.19,1517.44,1937.81,1784.06
51,1787.06,2264.81,2738.81,1303.13,3291,1515.94,1938,1782.56
52,1785.94,2264.81,2737.88,1302.94,3291,1514.63,1937.81,1780.88
53,1784.81,2264.81,2736.56,1302.56,3291,1513.31,1937.81,1779.19
54,1783.88,2264.63,2735.81,1302.38,3290.81,1512,1937.63,1777.5
55,1782.56,2264.63,2734.69,1302.56,3290.81,1510.88,1937.63,1776.19
56,1781.63,2264.44,2733.56,1302.56,3290.81,1509.56,1937.63,1774.69
57,1780.5,2264.44,2732.63,1302.19,3290.63,1508.44,1937.63,1773
58,1779.38,2264.44,2731.69,1302,3290.63,1507.13,1937.44,1771.5
59,1778.25,2264.25,2730.56,1302.38,3290.63,1506,1937.44,1770
60,1777.13,2264.25,2729.81,1302.38,3290.44,1504.69,1937.44,1768.69
61,1776.19,2263.88,2728.69,1302,3290.63,1503.56,1937.25,1767.19
62,1775.25,2263.88,2727.94,1301.63,3290.25,1502.25,1937.25,1765.69
63,1774.13,2263.88,2726.81,1302,3290.06,1501.13,1937.44,1764.38
64,1773,2263.88,2726.06,1302,3290.06,1499.81,1937.25,1762.88
65,1772.06,2263.5,2725.13,1301.44,3290.06,1498.69,1937.06,1761.38
66,1770.75,2263.69,2724.19,1301.44,3290.06,1497.56,1936.88,1760.06
67,1769.81,2263.31,2723.63,1301.63,3289.88,1496.44,1937.06,1758.75
68,1768.88,2263.5,2722.69,1301.44,3290.06,1495.31,1936.88,1757.25
69,1767.75,2263.5,2721.75,1301.25,3290.06,1494.19,1936.69,1755.94
70,1767,2263.5,2721,1301.06,3289.88,1493.25,1936.69,1754.81
71,1765.13,2262.94,2719.88,1300.31,3288.94,1491.19,1935.56,1752.94
72,1767.75,2317.69,2878.13,1306.69,3388.31,1492.69,1942.5,1759.5
73,1786.69,2437.13,3106.31,1325.81,3529.5,1509.56,1965.38,1799.81
74,1817.06,2472.19,3234,1338.38,3580.5,1540.69,1986.75,1858.88
75,1849.69,2460.56,3289.88,1344,3585.75,1575.94,1998.94,1913.06
76,1878.94,2437.5,3303.94,1344.38,3570.94,1608.38,2003.81,1953.75
77,1902.56,2414.81,3298.88,1342.69,3550.88,1635.56,2004.19,1982.06
78,1921.13,2395.5,3285.38,1340.81,3532.31,1657.13,2002.5,2001
79,1935,2379,3268.31,1338.56,3512.63,1673.63,1999.69,2013.19
80,1945.13,2366.63,3251.25,1336.13,3497.25,1686.19,1996.69,2020.69
81,1952.44,2356.5,3235.69,1333.88,3484.69,1695.75,1993.69,2025.38
82,1957.88,2349,3220.5,1331.25,3472.31,1702.69,1990.88,2027.63
83,1961.44,2342.25,3206.25,1329.56,3463.13,1707.56,1988.25,2028.37
84,1963.88,2336.25,3193.69,1327.31,3454.5,1710.75,1985.81,2028
85,1965.38,2330.25,3180.38,1325.44,3446.44,1712.81,1983.38,2026.69
86,1965.94,2325.38,3168.94,1323.38,3438.75,1713.75,1981.31,2024.63
87,1965.75,2321.06,3157.69,1322.06,3431.25,1713.94,1979.06,2022.38
88,1965.56,2317.88,3149.25,1320.38,3426.56,1713.56,1977,2020.12
89,1964.81,2314.69,3140.81,1319.25,3420.38,1713.19,1975.13,2017.88
90,1963.88,2311.5,3131.44,1317.94,3415.69,1712.06,1973.63,2015.06
91,1962.56,2307.94,3122.25,1316.81,3411,1710.75,1971.75,2012.44
92,1961.06,2304.94,3113.63,1315.31,3405.19,1709.06,1970.06,2009.63
93,1959.38,2303.25,3105.56,1314.56,3401.63,1707.19,1968.38,2006.81
94,1957.69,2301.56,3098.06,1313.44,3398.06,1705.5,1967.06,2004.19
95,1955.81,2299.31,3091.69,1312.88,3393.75,1703.63,1965.75,2001.75
96,1953.94,2296.88,3083.81,1311.94,3389.06,1701.75,1964.44,1999.13
97,1952.25,2295,3077.81,1311,3385.69,1699.69,1963.13,1997.06
98,1950.38,2293.5,3071.81,1310.44,3382.69,1698,1962,1994.81
99,1948.31,2291.63,3066,1309.69,3379.88,1696.13,1960.69,1992.56
100,1946.63,2290.69,3061.31,1308.75,3377.25,1694.25,1959.56,1990.5
101,1944.56,2289.38,3054.94,1308.38,3374.63,1692,1958.25,1988.25
102,1942.69,2288.06,3049.69,1307.44,3371.25,1690.31,1956.94,1986.38
103,1940.81,2287.5,3044.44,1306.31,3370.88,1688.63,1956,1984.5
104,1938.94,2286.75,3040.13,1305.94,3367.88,1686.94,1955.06,1982.81
105,1937.44,2284.69,3034.69,1305.38,3365.44,1685.25,1954.13,1981.13
106,1935.56,2283,3029.44,1305,3361.5,1683.56,1953.38,1979.25
107,1933.69,2282.44,3025.88,1304.06,3360.38,1681.88,1952.25,1977.38
108,1931.81,2282.44,3022.13,1303.69,3358.13,1680.38,1951.69,1975.69
109,1929.94,2282.06,3018.56,1303.88,3357,1679.06,1951.5,1974.38
110,1928.44,2281.69,3015.94,1303.13,3355.31,1677.56,1950.75,1973.06
111,1927.13,2280.56,3013.31,1302.56,3354.75,1676.06,1949.81,1971.94
112,1925.63,2279.63,3009.94,1302,3353.06,1674.94,1949.06,1971.19
113,1924.31,2279.44,3007.31,1302.38,3350.44,1674,1948.5,1970.06
114,1923,2278.69,3004.31,1302.38,3350.44,1672.88,1947.94,1969.13
115,1921.69,2278.5,3001.88,1301.44,3348.56,1671.75,1947.38,1968.38
116,1920.56,2277.56,2999.81,1301.25,3347.25,1670.81,1947,1967.44
117,1919.44,2277.38,2997.75,1301.06,3346.69,1669.88,1946.44,1966.88
118,1918.31,2277.19,2996.06,1301.06,3345.38,1668.94,1946.06,1966.31
119,1917.19,2277,2993.25,1300.69,3344.63,1668.38,1945.69,1965.75
120,1916.44,2276.06,2991.75,1300.13,3342.56,1667.63,1945.5,1965.38
121,1915.5,2275.69,2989.5,1300.5,3342,1666.88,1944.94,1964.63
122,1914.56,2274.94,2986.88,1299.75,3340.13,1666.13,1944.38,1963.88
123,1913.25,2274,2983.69,1299,3338.44,1665.19,1944,1963.31
124,1912.31,2273.25,2981.44,1298.81,3336.56,1664.63,1943.25,1962.19
125,1911.56,2273.06,2978.63,1298.63,3336.94,1663.88,1942.88,1961.44
126,1910.25,2273.44,2976.75,1298.63,3335.81,1663.13,1942.5,1960.88
127,1909.5,2272.5,2974.69,1298.06,3334.5,1662.56,1942.13,1960.13
128,1908.75,2272.5,2973.19,1298.06,3333.19,1662,1941.94,1959.94
129,1908,2271.94,2972.06,1298.06,3331.69,1661.63,1941.38,1959.56
130,1907.25,2271.75,2970.94,1297.88,3331.13,1661.06,1941,1959.19
131,1906.31,2271.38,2969.44,1297.5,3328.69,1660.69,1940.81,1958.81
132,1905.56,2270.63,2967.19,1297.31,3328.5,1660.13,1940.44,1958.25
133,1905,2270.06,2965.88,1297.69,3328.13,1659.75,1940.06,1958.44
134,1904.44,2270.63,2964.94,1297.69,3327.38,1659.38,1939.88,1957.88
135,1903.69,2270.25,2963.81,1297.13,3327,1659,1939.5,1957.69
136,1903.31,2270.25,2962.13,1296.94,3326.25,1658.63,1939.13,1957.69
137,1902.75,2270.25,2961.56,1296.94,3325.31,1658.44,1939.13,1957.5
138,1902,2270.06,2960.44,1296.75,3325.69,1658.06,1938.94,1957.69
139,1901.81,2269.31,2958.38,1296.38,3324.19,1657.69,1938.56,1957.5
140,1901.25,2268.75,2957.06,1296.19,3323.63,1657.69,1938.38,1957.69
141,1900.88,2268.38,2954.81,1296.19,3322.69,1657.31,1938.19,1957.69
142,1900.69,2267.81,2953.31,1296.38,3321.38,1657.5,1938,1957.88
143,1900.5,2267.25,2952.75,1295.63,3321,1657.31,1937.81,1957.88
144,1899.94,2266.31,2950.88,1295.25,3319.88,1657.31,1937.44,1957.69
145,1899.56,2265.38,2949.19,1295.06,3318.19,1657.31,1936.88,1957.5
146,1899.19,2265.19,2947.5,1295.25,3317.25,1657.13,1936.5,1957.31
147,1898.44,2264.63,2946,1294.5,3316.5,1656.75,1936.31,1956.75
148,1898.06,2264.44,2944.88,1294.13,3316.5,1656.38,1935.94,1956.56
149,1897.69,2264.63,2944.13,1294.5,3315.94,1656.38,1935.56,1956.38
150,1897.13,2264.25,2942.63,1294.5,3315.19,1656.19,1935.38,1956.19
151,1896.75,2263.88,2940.75,1293.38,3314.81,1656,1935,1956.19
152,1896.38,2263.69,2940,1293.19,3312.94,1655.81,1934.81,1956.38
153,1896.19,2262.94,2937.94,1293.38,3311.81,1655.63,1934.44,1956.19
154,1895.81,2262.56,2936.44,1293,3312,1655.63,1934.25,1955.81
155,1895.44,2262.38,2935.31,1292.44,3311.44,1655.44,1934.06,1955.63
156,1895.06,2262.38,2933.63,1292.63,3311.06,1655.06,1933.69,1955.44
157,1894.5,2262,2933.06,1292.63,3309.75,1654.69,1933.5,1955.06
158,1894.5,2262.75,2933.81,1292.63,3310.31,1654.5,1933.31,1955.81
159,1894.88,2263.5,2935.13,1292.44,3311.81,1655.06,1933.5,1956.56
160,1895.44,2263.88,2936.63,1292.44,3312.75,1655.81,1933.69,1957.88
161,1896,2263.31,2936.44,1293.19,3311.63,1656.56,1933.69,1959
162,1896.19,2263.31,2937,1293.38,3311.63,1657.13,1933.5,1959.75
163,1896.56,2262.75,2935.88,1293,3311.06,1657.31,1933.31,1960.13
164,1896.56,2262.38,2935.13,1292.63,3310.31,1657.69,1932.94,1960.5
165,1896.56,2262.75,2935.88,1292.81,3310.31,1657.88,1933.13,1961.06
166,1896.75,2263.13,2934.94,1293.19,3309.56,1658.06,1933.13,1961.44
167,1896.75,2262.38,2934,1292.81,3309.94,1658.06,1932.75,1961.44
168,1896.56,2262.38,2933.25,1292.44,3309.56,1658.06,1932.38,1961.25
169,1896.19,2262.19,2932.13,1292.81,3308.81,1657.88,1932.38,1960.88
170,1896,2261.63,2931.38,1292.63,3307.31,1657.69,1932.38,1960.69
171,1895.44,2260.88,2930.06,1291.88,3306.19,1657.69,1932,1960.69
172,1894.31,2236.5,2910,1290,3290.06,1656.94,1928.44,1958.44
173,1891.5,2206.5,2867.63,1286.25,3249.75,1654.88,1922.25,1952.06
174,1887.56,2193.94,2825.25,1283.44,3222.19,1650.38,1916.44,1943.25
175,1882.5,2188.69,2788.69,1281.19,3203.06,1645.69,1912.31,1933.5
176,1876.69,2186.63,2756.25,1279.69,3190.5,1639.5,1908.94,1923.19
177,1870.69,2185.31,2728.13,1278.75,3181.5,1633.13,1905.94,1913.44
178,1864.5,2185.13,2704.31,1278.19,3175.31,1626.38,1903.5,1904.25
179,1858.31,2185.13,2683.13,1277.81,3170.06,1620.19,1902,1895.63
180,1851.56,2184.94,2664.75,1277.44,3166.31,1613.63,1900.31,1887.19
181,1845.19,2185.13,2647.13,1277.44,3162.19,1606.88,1898.44,1879.5
182,1838.81,2185.5,2631.94,1277.25,3159,1600.69,1897.31,1872.75
183,1832.63,2185.88,2617.69,1277.06,3156.38,1594.69,1896,1866.38
184,1826.63,2185.88,2604.56,1276.69,3154.69,1588.88,1895.25,1860.19
185,1821,2187,2592.75,1277.06,3153.19,1583.63,1894.31,1854.94
186,1815.56,2187.38,2581.5,1277.06,3151.5,1578.56,1893.56,1849.69
187,1810.13,2187.56,2571.38,1276.69,3150.94,1573.69,1892.63,1845.19
188,1805.06,2187.75,2561.81,1276.69,3149.63,1569.19,1892.06,1840.69
189,1800.19,2188.31,2552.63,1277.06,3148.31,1564.69,1891.31,1836.75
190,1795.5,2187.94,2544.38,1276.69,3147.38,1560.94,1890.56,1833
191,1790.81,2187.75,2535.94,1276.31,3145.13,1557,1890,1829.81
192,1786.5,2187.56,2528.81,1275.94,3144.19,1553.44,1889.25,1826.63
193,1782.38,2187.19,2521.69,1276.31,3143.44,1550.06,1888.5,1824
194,1778.25,2187.75,2514.38,1276.13,3142.31,1547.06,1887.94,1821.38
195,1774.5,2187.75,2508,1275.75,3141.56,1544.06,1887.38,1818.94
196,1770.75,2187.75,2502.19,1275.75,3140.06,1541.44,1886.63,1816.69
197,1767.19,2188.31,2496.38,1276.13,3140.06,1538.63,1886.25,1814.44
198,1763.44,2188.5,2490.56,1275.94,3139.31,1535.81,1885.69,1812.38
199,1760.25,2188.69,2485.5,1275.56,3138.38,1533.38,1885.31,1810.31
200,1756.88,2188.88,2481,1275.56,3137.25,1531.13,1884.75,1808.63
201,1753.88,2188.88,2476.13,1275.94,3136.5,1529.06,1884.19,1806.75
202,1750.88,2188.88,2472.19,1275.75,3136.13,1526.81,1883.81,1805.06
203,1747.88,2189.25,2467.88,1275.56,3135.94,1524.75,1883.44,1803.38
204,1745.06,2189.44,2463.56,1275.38,3135.56,1522.88,1883.06,1801.88
205,1742.25,2190.19,2459.25,1275.94,3135,1520.81,1882.5,1800.38
206,1739.63,2190.38,2454.75,1275.75,3134.25,1518.75,1882.13,1798.5
207,1737,2190.75,2449.88,1275.38,3134.25,1516.88,1881.75,1797.19
208,1734.38,2190.75,2446.13,1275.19,3132.75,1515,1881.38,1795.69
209,1731.94,2191.13,2442.56,1275.75,3132.94,1513.5,1881,1794
210,1729.5,2191.5,2439.19,1275.56,3132.38,1511.81,1880.63,1792.5
211,1727.25,2191.5,2435.81,1275.19,3132.38,1510.13,1880.25,1791.19
212,1725.19,2191.5,2433.19,1275.19,3131.44,1508.63,1879.88,1789.88
213,1723.13,2191.5,2430,1275.56,3131.44,1507.13,1879.69,1788.56
214,1721.06,2191.88,2427,1275.38,3131.25,1505.81,1879.5,1787.44
215,1719.38,2192.06,2424.75,1275,3130.88,1504.5,1879.13,1786.31
216,1717.88,2192.25,2422.5,1275.19,3130.88,1503.56,1879.13,1785.94
217,1716.75,2193.19,2421.38,1275.75,3131.25,1502.81,1879.13,1785.56
218,1715.81,2193.56,2420.06,1275.75,3131.06,1502.44,1878.94,1785.94
219,1714.69,2194.13,2418.56,1275.38,3131.06,1502.06,1878.75,1785.75
220,1713.38,2194.31,2416.13,1275.56,3130.88,1501.13,1878.56,1785
221,1722,2196.19,2426.63,1278.19,3134.81,1506.75,1884,1798.69
222,1734,2197.88,2453.63,1280.06,3141,1525.13,1885.13,1828.5
223,1747.5,2198.81,2474.63,1281.38,3144.19,1539.94,1887.75,1847.44
224,1764.75,2200.5,2495.63,1283.06,3148.13,1559.06,1889.44,1875.19
225,1776.56,2201.06,2511.75,1284,3150.75,1576.13,1889.44,1896
226,1785.94,2201.06,2523.56,1284.38,3152.63,1588.69,1889.25,1909.5
227,1792.5,2200.69,2530.31,1284.38,3153,1596.94,1888.69,1917.19
228,1796.25,2200.69,2533.69,1284.38,3153,1601.25,1887.94,1919.63
229,1798.13,2201.06,2533.69,1284.38,3152.81,1603.31,1887,1920.19
230,1797.94,2199.94,2530.31,1283.63,3150.75,1603.69,1885.5,1918.88
231,1795.13,2197.88,2521.88,1282.31,3147.75,1602,1883.44,1914.19
232,1791,2196.38,2513.06,1281.56,3145.5,1597.88,1882.31,1906.69
233,1787.25,2196.56,2505,1281.38,3143.63,1593.19,1881.19,1900.5
234,1783.13,2195.63,2497.5,1280.63,3141.38,1588.5,1879.88,1894.13
235,1778.63,2195.06,2489.81,1279.69,3139.88,1583.81,1878.94,1887.56
236,1774.13,2195.25,2482.31,1279.13,3138.56,1578.94,1878.19,1881.19
237,1770.19,2196,2477.44,1279.31,3138.38,1574.44,1878,1875.75
238,1766.63,2198.06,2472.75,1279.31,3138.56,1570.31,1877.81,1871.06
239,1763.81,2199.56,2469,1279.69,3139.69,1566.75,1878.56,1867.5
240,1762.5,2202,2466.75,1279.69,3140.25,1565.25,1878.75,1866.19
241,1759.5,2198.06,2460.94,1279.13,3138,1563.19,1877.81,1863.38
242,1756.31,2197.5,2454.19,1278.75,3136.13,1559.63,1876.5,1858.69
243,1752.56,2194.69,2445.94,1277.44,3132.56,1555.88,1875.38,1853.63
244,1748.44,2192.63,2437.88,1276.69,3129.75,1551.75,1874.25,1848.38
245,1744.88,2192.63,2432.81,1276.69,3128.44,1548,1873.69,1843.5
246,1741.5,2191.69,2426.44,1276.13,3126.94,1544.25,1872.94,1839
247,1738.31,2190.56,2421.56,1275.56,3126,1540.88,1872.19,1834.88
248,1735.88,2190.75,2419.69,1275.56,3126.19,1538.44,1872.19,1832.06
249,1733.81,2191.31,2417.44,1275.75,3126,1536.56,1871.81,1830.38
250,1731.75,2192.25,2415.38,1275.75,3126.19,1534.88,1871.44,1828.13
251,1729.5,2192.81,2412,1275.56,3126.75,1532.63,1871.25,1825.5
252,1726.88,2193.56,2408.25,1275.56,3126.75,1530.38,1871.06,1822.13
