time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1783.13,2315.06,2876.44,1335.38,3342.75,1513.31,1988.06,1796.44
2,1783.31,2315.25,2876.63,1335.38,3343.31,1513.13,1988.25,1796.63
3,1783.13,2315.25,2876.81,1335.56,3343.13,1513.31,1988.25,1796.81
4,1783.31,2315.44,2877,1335.38,3343.5,1513.31,1988.44,1796.81
5,1783.31,2315.44,2877,1335.38,3343.13,1513.31,1988.63,1796.63
6,1783.5,2315.63,2877.19,1335.75,3343.31,1513.31,1988.63,1796.81
7,1783.69,2315.63,2877.38,1335.56,3343.69,1513.13,1988.81,1797
8,1783.69,2315.81,2877.38,1335.56,3343.69,1513.31,1988.81,1797
9,1783.88,2315.81,2877.75,1335.56,3343.69,1513.31,1988.81,1797
10,1783.88,2316.19,2877.56,1335.94,3343.69,1513.31,1988.81,1797
11,1783.88,2315.63,2877.75,1335.94,3343.88,1513.5,1989,1797.19
12,1784.06,2315.81,2877.75,1335.94,3343.88,1513.5,1989,1797.38
13,1784.06,2316,2878.13,1335.75,3344.06,1513.5,1989.19,1797.38
14,1784.06,2316.19,2877.94,1335.75,3344.06,1513.5,1989.38,1797.56
15,1784.25,2316,2878.13,1335.94,3344.25,1513.69,1989.38,1797.56
16,1784.44,2316.19,2878.31,1335.94,3344.06,1513.69,1989.38,1797.56
17,1784.63,2316.19,2878.13,1336.13,3344.06,1513.88,1989.56,1797.56
18,1784.44,2316.19,2878.31,1335.75,3344.44,1513.88,1989.56,1797.75
19,1784.63,2316.19,2878.5,1335.94,3344.44,1513.88,1989.56,1797.94
20,1784.63,2316.56,2878.69,1336.31,3344.63,1514.06,1989.94,1798.13
21,1784.81,2316.56,2878.69,1336.13,3344.25,1514.06,1989.75,1797.94
22,1785.19,2316.56,2879.06,1336.13,3344.63,1514.06,1989.94,1798.13
23,1785,2316.56,2878.88,1336.31,3344.63,1514.25,1989.94,1798.13
24,1785.38,2316.56,2879.06,1336.31,3345,1514.25,1990.13,1798.13
25,1785.19,2316.75,2879.25,1336.31,3345,1514.44,1990.13,1798.5
26,1785.38,2316.94,2879.44,1336.13,3345.19,1514.44,1990.31,1798.69
27,1785.56,2316.94,2879.63,1336.5,3345.38,1514.81,1990.31,1798.88
28,1785.56,2316.94,2879.81,1336.5,3345,1514.63,1990.31,1798.88
29,1785.75,2317.31,2880.19,1336.31,3345.38,1514.81,1990.5,1799.06
30,1785.75,2317.5,2880.38,1336.13,3345.75,1515,1990.5,1799.25
31,1786.13,2317.31,2880.38,1336.5,3345.56,1515.19,1990.69,1799.25
32,1786.31,2317.69,2880.75,1336.88,3345.94,1515.38,1990.69,1799.63
33,1786.5,2317.69,2880.75,1336.69,3346.31,1515.38,1990.69,1799.63
34,1786.5,2318.06,2881.13,1336.5,3346.13,1515.75,1990.88,1800
35,1786.88,2317.88,2881.31,1336.31,3346.5,1515.75,1990.88,1800.19
36,1787.06,2317.88,2881.5,1336.88,3346.5,1515.75,1991.06,1800.19
37,1787.25,2318.06,2881.69,1336.88,3346.5,1515.94,1991.25,1800.19
38,1787.44,2318.25,2882.25,1336.69,3347.06,1516.31,1991.25,1800.56
39,1787.63,2318.44,2882.44,1337.06,3346.31,1516.31,1991.44,1800.75
40,1787.81,2318.25,2882.44,1337.06,3346.69,1516.31,1991.44,1800.94
41,1788,2318.44,2882.81,1337.06,3346.5,1516.5,1991.63,1801.13
42,1788.19,2318.63,2883,1336.88,3346.88,1516.69,1991.81,1801.31
43,1788.38,2318.63,2883.19,1337.06,3347.25,1516.69,1991.63,1801.31
44,1788.56,2318.63,2883.38,1336.88,3347.06,1516.88,1992.19,1801.69
45,1788.75,2318.06,2884.31,1337.06,3347.44,1517.06,1992.19,1801.88
46,1788.94,2317.69,2884.69,1337.06,3347.06,1517.25,1992.19,1802.06
47,1789.13,2317.69,2885.63,1337.44,3347.44,1517.63,1992.38,1802.25
