time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1861.31,2237.81,2515.88,1303.69,3227.06,1699.69,1926.56,1992
2,1861.31,2237.81,2516.63,1303.69,3227.25,1699.5,1926.94,1991.25
3,1860.94,2238.56,2517.75,1303.13,3227.63,1699.13,1926.94,1990.88
4,1860.75,2238,2518.5,1303.5,3228,1698.38,1926.94,1990.31
5,1860.56,2238.75,2519.25,1303.69,3228,1697.81,1927.5,1989.75
6,1860.38,2239.13,2520.56,1303.69,3228.38,1697.25,1927.31,1989
7,1860.19,2238.75,2521.5,1303.88,3228.94,1696.69,1927.69,1988.81
8,1860.19,2238.75,2522.44,1303.69,3229.13,1696.13,1927.69,1988.25
9,1859.81,2239.69,2523.19,1303.88,3229.5,1695.75,1928.06,1987.5
10,1859.81,2239.13,2524.31,1304.06,3230.06,1695.19,1928.06,1987.13
11,1859.63,2239.88,2525.06,1304.06,3230.44,1694.63,1928.25,1986.94
12,1859.44,2240.06,2526.19,1304.06,3230.63,1694.06,1928.44,1986.38
13,1859.06,2239.69,2527.31,1304.06,3230.81,1693.69,1928.44,1985.44
14,1859.06,2240.25,2528.25,1304.06,3231.19,1693.13,1928.81,1985.06
15,1858.69,2240.25,2529.19,1304.25,3231.38,1692.56,1928.81,1984.5
16,1858.5,2240.25,2529.94,1304.06,3231.75,1692,1929.19,1983.94
17,1858.5,2240.63,2530.88,1304.06,3232.31,1691.44,1928.81,1983.56
18,1858.31,2241,2532,1304.06,3232.13,1691.06,1929.38,1982.81
19,1858.13,2240.63,2533.13,1304.63,3232.31,1690.31,1929.56,1982.25
20,1857.56,2240.81,2534.06,1304.25,3232.88,1689.56,1929.56,1981.69
21,1857.38,2241.19,2535.19,1304.25,3233.06,1689,1929.56,1981.13
22,1857.19,2241.56,2536.31,1304.63,3233.63,1688.44,1929.56,1980.56
23,1857,2241.94,2536.88,1304.81,3233.81,1688.06,1929.94,1980
24,1856.81,2241.94,2538.19,1304.81,3234,1687.31,1930.13,1979.06
25,1856.44,2242.13,2538.94,1304.63,3234.38,1686.94,1930.13,1978.5
26,1856.44,2242.69,2540.06,1304.63,3234.75,1686.38,1930.5,1977.94
27,1856.06,2242.69,2541,1305,3235.13,1685.63,1930.31,1977.56
28,1855.5,2242.69,2541.94,1305.19,3235.31,1685.25,1930.5,1976.63
