time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1420.31,1992.38,2057.25,1125.56,3157.31,1101.94,1645.13,1247.63
2,1419.38,1992.56,2057.63,1126.5,3157.69,1100.81,1645.5,1246.69
3,1418.44,1992.75,2058.56,1126.88,3158.44,1099.88,1646.06,1245.75
4,1417.31,1993.13,2059.31,1126.88,3159.75,1099.13,1646.63,1244.81
5,1416.19,1993.31,2060.25,1127.06,3160.31,1098,1646.81,1243.69
6,1415.06,1994.25,2060.63,1127.81,3161.06,1096.88,1647.38,1242.75
7,1413.75,1993.88,2061.38,1127.81,3161.81,1095.94,1647.56,1241.63
8,1412.63,1994.25,2061.94,1127.44,3162.38,1094.63,1647.75,1240.5
9,1411.13,1994.63,2062.69,1127.81,3162.94,1093.5,1647.56,1239.38
10,1409.63,1994.81,2063.25,1128.19,3163.5,1092.19,1647.56,1237.88
11,1408.5,1994.63,2064,1128,3163.88,1090.88,1647.38,1236.75
12,1407,1994.81,2064.56,1127.44,3164.44,1089.75,1647.38,1235.63
13,1405.88,1995.38,2065.69,1127.81,3165.38,1088.81,1647.75,1234.69
14,1404.94,1996.5,2066.44,1128.19,3165.94,1087.88,1648.13,1233.56
15,1403.81,1996.31,2067.56,1128.38,3166.88,1087.13,1648.31,1233
16,1402.88,1996.88,2068.31,1128.38,3167.63,1086.19,1648.88,1232.06
17,1401.94,1997.06,2068.69,1128.38,3168.19,1085.25,1649.06,1231.13
18,1400.63,1997.81,2069.44,1128.94,3168.56,1084.13,1649.06,1230
19,1399.69,1997.81,2070.56,1128.75,3169.69,1083.19,1649.06,1229.06
20,1398.56,1998,2071.13,1128.38,3170.25,1082.06,1649.06,1227.94
21,1397.06,1998.38,2072.25,1128.56,3170.44,1080.94,1648.88,1227
22,1396.13,1999.31,2073.19,1129.13,3171.56,1080,1649.25,1226.25
23,1395.19,1999.13,2073.94,1129.13,3171.94,1079.25,1649.44,1225.31
24,1394.25,1999.69,2074.69,1128.75,3172.88,1078.31,1649.63,1224.38
25,1393.31,1999.69,2075.63,1128.94,3173.44,1077.38,1649.81,1223.63
26,1392.38,2000.81,2076.75,1129.69,3173.81,1076.63,1650.19,1223.06
27,1391.44,2000.44,2077.5,1129.88,3174.56,1075.88,1650.38,1222.31
28,1390.69,2000.44,2078.44,1129.5,3174.75,1075.13,1650.56,1221.56
29,1389.75,2000.63,2079.19,1129.5,3175.31,1074.19,1650.75,1220.63
30,1388.81,2001.38,2079.75,1129.88,3175.88,1073.63,1650.94,1219.88
31,1387.88,2001.19,2080.88,1130.06,3176.06,1072.69,1651.13,1219.31
32,1386.94,2001.38,2081.25,1129.69,3176.44,1071.94,1650.94,1218.38
33,1385.81,2001.56,2082.19,1129.5,3176.81,1071,1650.75,1217.63
34,1384.69,2001.94,2082.75,1129.88,3177,1070.06,1650.75,1216.5
35,1383.38,2001.75,2083.5,1129.88,3177.19,1068.94,1650.38,1215.38
36,1382.25,2001.94,2084.25,1129.31,3177.75,1068,1650.19,1214.63
37,1381.31,2002.31,2085.19,1129.31,3178.31,1067.25,1650,1213.69
38,1380.38,2003.06,2086.31,1129.69,3178.69,1066.31,1650.19,1213.13
39,1379.63,2002.88,2087.25,1129.69,3179.44,1065.94,1650.19,1212.56
40,1379.06,2003.44,2088.38,1129.69,3180,1065.19,1650.75,1212.19
41,1378.13,2003.62,2089.13,1129.88,3180.56,1064.81,1650.75,1211.63
42,1377.38,2004.19,2090.06,1130.25,3181.13,1064.06,1650.75,1211.06
43,1376.81,2004,2091,1130.44,3181.88,1063.5,1650.94,1210.69
44,1376.06,2004.56,2092.13,1129.88,3182.25,1062.94,1651.13,1210.31
45,1375.31,2004.94,2092.69,1130.25,3183,1062.38,1651.69,1209.75
46,1374.75,2005.5,2093.81,1130.81,3183.38,1061.81,1651.69,1209.19
47,1374.19,2005.13,2094.75,1131,3184.13,1061.25,1651.69,1208.63
48,1373.44,2005.69,2095.69,1130.63,3184.13,1060.69,1652.06,1208.25
49,1372.88,2005.88,2096.81,1130.81,3184.69,1060.13,1652.44,1208.06
50,1371.94,2006.44,2097.56,1131.19,3185.25,1059.56,1652.44,1207.31
51,1371.56,2006.25,2098.5,1131.19,3185.63,1059,1652.63,1206.94
52,1371,2006.44,2099.25,1130.81,3186.19,1058.44,1652.81,1206.56
53,1370.25,2006.81,2100,1131,3186.75,1058.06,1653,1206
54,1369.69,2007.56,2100.75,1131.38,3187.13,1057.5,1653,1205.63
55,1369.13,2007.38,2101.88,1131.56,3187.5,1057.13,1653.38,1205.44
56,1368.56,2007.56,2102.63,1131.38,3187.88,1056.38,1653.56,1205.06
57,1368,2007.75,2103.56,1131.38,3188.44,1056,1653.75,1204.69
58,1367.63,2008.69,2104.69,1132.13,3189.38,1055.44,1653.75,1204.31
59,1367.06,2008.69,2105.63,1132.13,3189.38,1055.25,1654.13,1203.94
60,1366.5,2008.88,2106.19,1131.94,3190.13,1054.69,1654.13,1203.38
