time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1391.25,1981.88,2180.81,1111.5,3190.13,1088.06,1636.69,1253.81
2,1391.06,1981.88,2181.56,1111.88,3190.5,1088.06,1636.69,1253.81
3,1391.06,1982.25,2182.13,1111.69,3190.5,1088.06,1636.88,1254
4,1391.25,1982.63,2182.69,1111.88,3191.06,1088.25,1637.06,1254.38
5,1391.25,1983.19,2183.63,1112.44,3191.44,1088.25,1637.44,1254.38
6,1391.25,1983,2184,1112.44,3192,1088.25,1637.44,1254.38
7,1391.25,1983.38,2184.75,1112.06,3192,1088.25,1637.81,1254.75
8,1391.44,1983.75,2185.31,1112.44,3192.75,1088.63,1638,1254.75
9,1391.25,1984.31,2186.06,1112.63,3193.13,1088.63,1638.56,1254.94
10,1391.44,1984.69,2187,1113,3193.69,1088.63,1638.56,1255.13
11,1391.25,1984.88,2187.75,1112.81,3194.25,1088.81,1638.75,1255.31
12,1391.25,1985.25,2188.5,1113,3194.44,1088.63,1638.94,1255.5
13,1391.44,1986,2188.88,1113.56,3195,1088.81,1638.94,1255.69
14,1391.25,1986,2189.44,1113.75,3195.38,1088.63,1638.94,1255.5
15,1391.44,1986.19,2190.56,1113.75,3195.94,1089,1639.5,1255.88
16,1391.63,1986.56,2191.13,1113.75,3196.31,1089,1639.88,1256.06
17,1391.63,1987.5,2191.88,1114.5,3196.69,1089.19,1640.06,1256.25
18,1391.63,1987.31,2192.63,1114.69,3197.25,1089.19,1640.25,1256.25
19,1391.63,1987.69,2193.38,1114.13,3197.44,1089.19,1640.44,1256.44
20,1391.63,1988.06,2193.94,1114.5,3197.81,1089.38,1641,1256.63
21,1391.63,1988.44,2194.31,1114.88,3198.19,1089.38,1641,1257
22,1391.63,1988.44,2195.25,1115.06,3198.75,1089.56,1641,1257
23,1391.63,1988.63,2196,1114.88,3198.94,1089.38,1641.19,1257.38
24,1391.81,1989,2196.56,1114.88,3199.31,1089.56,1641.56,1257.56
25,1392,1989.94,2197.5,1115.63,3199.88,1089.75,1641.94,1257.75
26,1392,1989.56,2198.06,1115.63,3200.06,1089.94,1642.31,1258.13
27,1392.19,1989.94,2198.81,1115.44,3200.44,1089.94,1642.5,1258.13
28,1392.19,1990.31,2199.56,1115.81,3200.81,1090.13,1642.69,1258.13
29,1392.19,1990.69,2200.13,1116.19,3201,1089.94,1642.69,1258.13
30,1392.19,1990.69,2200.69,1116.19,3201.19,1090.13,1642.88,1258.31
31,1392.38,1991.06,2201.44,1116.19,3201.94,1090.13,1643.25,1258.69
32,1392.38,1991.44,2201.81,1116.19,3202.31,1090.13,1643.25,1258.69
33,1392.38,1992,2202.38,1116.94,3202.69,1090.13,1643.44,1258.88
34,1392.38,1992,2203.13,1116.75,3203.06,1090.31,1643.63,1258.88
35,1392.38,1992.38,2203.88,1116.56,3203.44,1090.31,1643.81,1259.44
36,1392.38,1992.38,2204.63,1116.75,3203.44,1090.31,1643.81,1259.25
37,1392.56,1993.31,2205,1117.31,3204.38,1090.5,1644.38,1259.63
38,1392.75,1993.31,2205.94,1117.5,3204.38,1090.69,1644.94,1259.81
39,1392.75,1993.31,2206.5,1117.31,3204.75,1090.88,1645.13,1260
40,1393.13,1993.69,2206.88,1117.69,3205.13,1091.06,1645.5,1260.19
41,1393.31,1994.44,2207.44,1118.06,3205.5,1091.25,1645.88,1260.56
42,1393.31,1994.25,2208,1118.06,3205.88,1091.25,1645.88,1260.75
43,1393.31,1994.44,2208.75,1117.88,3206.06,1091.06,1646.06,1260.56
44,1393.13,1995,2208.94,1118.06,3206.44,1091.44,1646.25,1260.94
45,1393.31,1995.38,2209.69,1118.44,3206.81,1091.44,1646.06,1260.94
46,1393.31,1995.38,2210.44,1118.81,3207.38,1091.63,1646.44,1261.13
47,1393.31,1995.94,2211.19,1118.63,3207.94,1091.63,1646.81,1261.13
48,1393.5,1996.31,2211.75,1118.81,3208.31,1092,1647,1261.69
49,1393.5,1997.06,2212.13,1119.38,3208.88,1092.19,1647.19,1261.88
50,1393.69,1997.06,2212.88,1119.56,3209.44,1092.19,1647.38,1262.06
51,1393.69,1997.81,2213.44,1119.19,3210,1092.38,1647.75,1262.25
52,1393.69,1998,2214.19,1119.56,3210.38,1092.38,1647.94,1262.44
53,1393.88,1999.13,2214.75,1120.13,3210.94,1092.75,1648.31,1262.81
54,1394.06,1999.13,2215.31,1119.94,3211.69,1092.94,1648.69,1263
55,1394.06,1999.31,2216.06,1119.94,3211.88,1092.94,1649.06,1263.19
56,1395.19,2000.63,2217.38,1120.5,3213.56,1093.88,1650.56,1264.5
57,1395.94,2001.38,2217.94,1121.63,3214.31,1094.63,1651.31,1265.06
58,1396.31,2001.38,2218.31,1121.63,3214.5,1095,1652.06,1265.44
59,1396.31,2001.75,2218.88,1121.63,3215.06,1095,1652.44,1265.81
60,1396.31,2002.13,2219.44,1122,3215.25,1095.19,1652.81,1266
61,1396.5,2002.69,2219.81,1122.38,3215.63,1095.19,1653.19,1266.38
62,1396.5,2002.5,2220.19,1122.56,3215.63,1095.19,1653.38,1266.19
63,1396.5,2003.06,2220.75,1122.38,3216.19,1095.19,1653.56,1266.38
64,1396.5,2003.06,2221.31,1122.56,3216.19,1095.38,1653.38,1266.56
65,1396.5,2003.62,2221.69,1123.13,3216.56,1095.19,1653.56,1266.38
66,1396.5,2004,2222.06,1122.94,3216.94,1095.38,1653.75,1266.75
67,1396.5,2004.19,2223,1122.75,3217.31,1095.56,1654.13,1266.75
68,1396.5,2004.56,2223.38,1122.94,3217.69,1095.56,1654.31,1266.75
69,1396.5,2005.31,2223.75,1123.5,3218.06,1095.56,1654.5,1266.94
70,1396.69,2005.13,2224.5,1123.69,3218.44,1095.75,1654.69,1267.31
71,1394.25,2002.69,2221.5,1121.06,3214.31,1093.69,1651.88,1265.44
72,1400.63,2050.31,2606.44,1124.81,3497.25,1096.31,1658.63,1278.38
73,1457.44,2167.31,3192.94,1140.38,3767.81,1141.13,1700.44,1402.5
74,1561.69,2208.75,3509.81,1151.44,3875.81,1232.06,1742.81,1582.13
75,1677.75,2210.81,3665.44,1157.63,3921.19,1332.19,1772.63,1733.06
76,1779.38,2200.5,3746.63,1161.38,3940.13,1420.69,1791.19,1847.06
77,1859.44,2184.56,3780,1161.56,3935.81,1492.13,1799.06,1928.81
78,1925.81,2173.88,3800.06,1161.56,3935.06,1552.69,1803.75,1992.19
79,1978.88,2161.5,3809.63,1160.25,3929.81,1601.25,1804.31,2039.25
80,2022.38,2151.19,3808.5,1159.13,3923.44,1641.19,1803,2074.69
81,2058,2142.38,3803.81,1156.69,3918.75,1673.63,1800.38,2101.31
82,2087.63,2134.31,3795.19,1154.25,3911.81,1700.25,1797.56,2121.38
83,2113.31,2127.19,3789,1152.75,3903.75,1722.56,1794.56,2136.75
84,2134.69,2121.19,3782.81,1152,3893.63,1740.56,1791.75,2148.38
85,2152.13,2115.94,3770.44,1150.5,3884.81,1755,1788.38,2156.63
86,2167.31,2110.69,3761.25,1148.63,3882.75,1767,1785.38,2162.63
87,2180.44,2106.75,3752.63,1147.5,3875.44,1777.31,1782.94,2167.31
88,2191.5,2103,3745.13,1146.75,3870.56,1785.38,1780.31,2170.31
89,2201.25,2100.19,3736.88,1145.25,3868.69,1792.13,1777.88,2172.38
90,2209.5,2096.81,3729.56,1144.13,3861,1797.38,1775.63,2173.88
91,2217,2093.25,3722.25,1143,3853.88,1802.06,1773.19,2174.25
92,2223.75,2090.44,3715.69,1142.63,3849.75,1805.81,1771.31,2175
93,2230.31,2088.19,3710.63,1141.88,3846.94,1809.38,1769.63,2175.19
94,2235.56,2086.13,3703.5,1141.13,3842.81,1812,1768.13,2174.81
95,2240.44,2084.44,3696,1140.56,3839.81,1814.06,1767,2174.63
96,2244.56,2082.56,3689.06,1140.38,3837,1815.38,1765.5,2173.88
97,2247.94,2080.88,3683.06,1139.44,3832.31,1816.69,1764,2172.75
98,2251.31,2080.13,3675.94,1139.25,3830.44,1817.81,1762.88,2172
99,2254.31,2079.38,3670.5,1138.31,3830.81,1818.75,1761.94,2171.06
100,2257.69,2079,3666,1138.69,3828.19,1819.69,1761.56,2170.69
101,2260.13,2078.25,3660.94,1138.31,3826.31,1820.25,1760.44,2170.13
102,2262.75,2077.5,3656.06,1138.5,3822.38,1821,1760.06,2169.75
103,2264.44,2076.94,3651.75,1138.31,3819.19,1821.19,1759.13,2168.81
104,2267.25,2077.13,3647.81,1138.31,3819,1822.13,1758.94,2168.25
105,2268.75,2076,3642.94,1138.5,3816.19,1822.13,1758.38,2167.5
106,2270.81,2074.5,3639.94,1138.31,3810.75,1822.88,1758,2167.31
107,2272.31,2074.13,3635.25,1138.5,3811.88,1823.06,1757.63,2166.19
108,2274.19,2073.38,3630.38,1138.69,3808.69,1823.25,1757.25,2165.81
109,2275.88,2073.38,3626.25,1139.06,3805.5,1823.44,1757.06,2164.69
110,2277.56,2073,3624.38,1138.88,3803.44,1824.19,1757.06,2164.13
111,2279.44,2073.38,3621.94,1139.63,3803.44,1825.13,1758,2163.94
112,2280.75,2073.75,3619.31,1139.81,3802.69,1825.13,1758,2163.38
113,2282.44,2073.19,3615.38,1139.63,3803.06,1826.06,1758.56,2163.56
114,2283.19,2072.44,3611.44,1139.06,3801.94,1825.69,1758.19,2162.81
115,2282.25,2069.81,3606.38,1138.13,3796.5,1823.81,1756.31,2160
116,2282.25,2070.19,3602.63,1138.31,3794.06,1823.44,1755,2158.69
117,2282.44,2069.06,3599.25,1138.5,3791.25,1823.06,1754.63,2157.38
118,2283.94,2068.5,3595.69,1138.13,3790.69,1823.81,1754.63,2157.56
119,2286.19,2069.25,3593.63,1139.06,3792,1825.88,1756.5,2158.31
120,2287.31,2067.94,3589.13,1139.44,3790.88,1826.06,1757.06,2157.94
121,2287.69,2067.94,3586.88,1139.63,3788.63,1825.88,1757.63,2156.81
122,2288.44,2069.06,3586.5,1139.06,3787.13,1825.69,1757.81,2156.81
123,2289.56,2069.25,3587.06,1140,3787.5,1826.06,1758.94,2156.44
124,2289.56,2068.88,3583.5,1140.94,3786.19,1825.5,1758.94,2155.31
125,2291.06,2069.81,3581.81,1141.69,3785.63,1826.06,1760.06,2155.69
126,2289.75,2068.88,3578.63,1140.94,3785.25,1825.31,1759.88,2153.44
127,2289.75,2069.81,3576.75,1141.31,3782.81,1823.81,1759.5,2151.94
128,2287.5,2069.44,3574.69,1141.13,3781.13,1821.94,1757.63,2149.69
129,2287.5,2069.63,3572.25,1141.31,3777.94,1820.63,1757.44,2148.56
130,2285.63,2070.19,3569.44,1140.19,3776.25,1819.5,1756.13,2146.13
131,2285.44,2071.88,3570.19,1140.56,3777.38,1818.94,1756.5,2145.38
132,2285.25,2073.94,3568.13,1141.31,3774.94,1818.19,1755.75,2144.44
133,2285.63,2075.81,3568.5,1142.44,3776.06,1818.75,1756.88,2145
134,2286.38,2076,3567.94,1141.88,3775.13,1818.75,1757.44,2145.56
135,2286,2078.25,3565.13,1142.25,3774,1818.75,1757.63,2144.25
136,2287.13,2079.56,3562.88,1143.19,3776.25,1819.13,1758.75,2145
137,2287.31,2081.25,3563.25,1143.56,3780,1819.13,1759.5,2145.38
138,2286.75,2080.88,3559.88,1143.56,3775.88,1819.31,1759.69,2144.63
139,2287.13,2080.88,3558.94,1143.94,3775.5,1819.31,1759.5,2145
140,2290.13,2083.5,3561.56,1145.44,3779.44,1822.13,1762.13,2147.63
141,2290.88,2084.25,3561,1145.25,3779.63,1822.69,1762.69,2148.19
142,2290.69,2083.69,3558.94,1145.44,3777,1822.5,1762.69,2148.19
143,2291.81,2084.81,3557.63,1145.63,3777,1822.88,1762.69,2148.56
144,2291.63,2085.38,3557.81,1145.63,3777,1823.06,1762.31,2148
145,2293.88,2087.63,3558,1146.19,3776.81,1825.13,1764.38,2150.81
146,2294.81,2087.81,3559.69,1146.75,3777,1826.63,1764.75,2151.19
147,2294.63,2088.19,3558.94,1146.38,3777,1826.25,1764.94,2150.81
148,2295.38,2089.5,3558.19,1147.31,3779.06,1826.63,1765.13,2151.56
149,2296.13,2090.06,3558.38,1148.06,3780.19,1827.38,1765.5,2152.31
150,2296.31,2089.88,3558.19,1147.5,3777.56,1827.94,1765.69,2152.31
151,2297.25,2089.31,3555.19,1147.13,3777.56,1828.69,1766.06,2153.06
152,2297.44,2087.63,3552.56,1147.69,3776.63,1829.06,1765.5,2152.69
153,2297.25,2087.06,3551.81,1148.25,3771.94,1829.25,1764.94,2152.13
154,2296.13,2085,3548.44,1146.56,3770.44,1828.31,1764,2151
155,2297.25,2084.63,3548.81,1146.19,3772.13,1829.63,1764.19,2150.44
156,2298,2084.63,3545.81,1147.13,3768.94,1829.81,1763.63,2150.63
157,2297.63,2083.13,3542.63,1146.75,3771,1829.63,1763.25,2150.06
158,2298.75,2084.25,3543.94,1146.94,3769.88,1830.75,1764.75,2150.44
159,2298.56,2083.31,3542.25,1146.94,3766.5,1830.38,1764.38,2149.5
160,2299.13,2082.38,3539.63,1147.69,3768.94,1830.94,1764.38,2149.31
161,2300.44,2083.13,3540.94,1147.88,3768.56,1831.88,1766.06,2150.63
162,2299.13,2082.94,3539.06,1147.5,3767.06,1830.75,1766.06,2148.75
163,2300.63,2084.06,3539.63,1148.06,3767.63,1833,1767.94,2148.19
164,2298.75,2083.88,3535.88,1148.06,3763.88,1830,1766.06,2147.06
165,2300.44,2084.06,3533.63,1148.25,3765,1830.38,1766.81,2148.75
166,2298.75,2084.06,3534,1148.44,3764.44,1829.44,1766.44,2146.31
167,2298.19,2084.81,3532.88,1148.25,3764.25,1828.88,1766.06,2145.56
168,2298.19,2084.44,3531.94,1148.06,3764.63,1828.69,1766.25,2145.38
169,2298.38,2084.63,3532.88,1148.25,3765,1829.06,1767.56,2145.56
170,2297.81,2083.88,3530.06,1147.88,3764.44,1828.13,1766.63,2144.44
171,2296.88,2083.31,3528.38,1147.31,3764.06,1827,1766.25,2143.31
172,2293.88,2050.69,3492.56,1140.94,3736.31,1824.19,1758.38,2133.56
173,2287.88,1977.56,3418.69,1131.38,3677.06,1816.69,1742.25,2106.94
174,2272.69,1949.63,3344.63,1125,3585.56,1799.25,1723.69,2070.19
175,2254.69,1939.88,3270.75,1121.25,3519.19,1779.38,1710.75,2032.31
176,2235.38,1935.38,3205.69,1119,3471.94,1757.63,1700.06,1995.94
177,2215.13,1934.81,3145.31,1118.44,3438.19,1735.31,1692.38,1961.63
178,2195.06,1934.81,3089.06,1117.69,3411,1713.75,1686.38,1930.13
179,2174.06,1935.56,3037.5,1116.56,3388.88,1691.25,1680.75,1900.69
180,2153.81,1937.63,2992.88,1116.19,3371.63,1670.25,1677,1873.5
181,2134.5,1939.13,2950.31,1116.38,3357.38,1650.19,1673.44,1848.94
182,2115.38,1940.06,2909.25,1115.63,3343.13,1631.44,1670.44,1825.69
183,2095.69,1941.56,2874.75,1115.63,3330.56,1612.13,1667.81,1804.5
184,2076.38,1943.06,2840.63,1115.63,3319.5,1593.94,1665.38,1783.69
185,2060.63,1943.44,2811,1115.44,3311.44,1578.38,1663.13,1767.56
186,2045.25,1945.5,2783.06,1115.44,3303.56,1564.88,1663.13,1752.19
187,2030.63,1945.88,2754.38,1115.25,3294.19,1551.56,1662,1738.5
188,2016.38,1947,2728.69,1115.44,3285.56,1539.19,1661.25,1725.38
189,2002.31,1949.25,2705.44,1115.81,3279.56,1527.19,1659.94,1713.19
190,1989,1949.81,2683.13,1116,3273.94,1516.5,1659.94,1701.56
191,1976.44,1950.56,2662.31,1116.19,3268.5,1506.38,1659.75,1690.69
192,1964.25,1952.25,2643.75,1116.56,3263.44,1496.06,1659.38,1680.19
