time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1489.13,2020.12,2330.06,1129.13,3302.25,1168.88,1676.25,1350.19
2,1489.31,2019.94,2330.06,1129.69,3302.81,1168.88,1676.25,1350.38
3,1488.94,2020.69,2330.81,1129.69,3302.44,1168.88,1676.44,1350.38
4,1488.75,2020.69,2331,1130.06,3303,1168.88,1676.44,1350.19
5,1488.75,2021.06,2331.75,1130.06,3303.19,1168.88,1676.63,1350.38
6,1488.75,2021.06,2332.13,1130.25,3303.75,1168.88,1676.63,1350.56
7,1488.94,2022.19,2332.69,1130.06,3304.13,1169.25,1677,1350.75
8,1489.13,2022.38,2333.25,1130.63,3304.69,1169.44,1677.56,1351.13
9,1489.69,2022.94,2333.81,1131,3305.81,1169.81,1678.13,1351.69
10,1489.69,2023.12,2334.38,1131,3305.44,1170,1678.69,1352.06
11,1490.06,2023.5,2334.75,1131.56,3306.19,1170.19,1679.06,1352.44
12,1490.06,2023.88,2335.5,1131.38,3306.38,1170.19,1679.25,1352.63
13,1490.25,2024.44,2335.88,1131.56,3306.94,1170.56,1679.81,1352.81
14,1490.44,2025.19,2336.25,1132.31,3307.5,1170.75,1680.19,1353.19
15,1490.63,2025,2336.81,1132.5,3307.69,1170.94,1680.56,1353.19
16,1490.63,2025.38,2337.19,1132.31,3308.06,1170.94,1680.56,1353.38
17,1490.44,2025.75,2337.38,1132.5,3308.44,1170.94,1680.56,1353.38
18,1490.25,2026.31,2337.94,1132.69,3308.63,1170.75,1680.56,1353.38
19,1490.06,2026.88,2338.5,1132.5,3309,1170.75,1680.56,1353.19
20,1490.06,2026.88,2339.06,1132.88,3309.56,1170.94,1680.75,1353.56
21,1490.25,2027.25,2339.44,1132.88,3309.94,1171.13,1681.13,1353.75
22,1490.25,2027.81,2339.81,1133.25,3310.5,1171.13,1681.31,1353.94
23,1490.25,2027.81,2340.38,1133.25,3310.31,1171.13,1681.69,1354.13
24,1490.25,2028.19,2340.94,1133.25,3310.88,1171.31,1681.69,1354.13
25,1490.44,2028.56,2341.13,1133.44,3311.25,1171.31,1681.88,1354.31
26,1490.44,2029.13,2341.69,1133.81,3311.44,1171.31,1682.06,1354.31
27,1490.25,2029.31,2342.25,1133.81,3311.81,1171.5,1682.44,1354.5
28,1490.44,2029.88,2342.44,1134.19,3312.38,1171.5,1682.44,1354.88
29,1490.25,2030.25,2343,1133.81,3312.56,1171.5,1682.44,1354.88
30,1490.63,2031,2343.75,1134.75,3313.13,1171.69,1683,1355.25
31,1490.63,2031,2344.13,1134.75,3313.5,1172.06,1683.19,1355.63
32,1491,2031.37,2344.69,1134.75,3313.88,1172.06,1683.75,1355.81
33,1491.19,2031.94,2345.44,1134.94,3314.44,1172.25,1684.31,1356.19
34,1491.19,2032.5,2345.44,1135.31,3315,1172.63,1684.5,1356.56
35,1491.38,2032.31,2345.81,1135.5,3315,1172.63,1684.69,1356.56
36,1491.38,2032.88,2346.19,1135.31,3315.19,1172.81,1684.69,1356.75
37,1491.38,2033.06,2346.94,1135.5,3315.56,1172.81,1685.06,1356.94
38,1491.56,2033.44,2347.5,1136.06,3315.56,1173,1685.44,1357.31
39,1491.56,2033.44,2347.69,1135.88,3315.75,1173.19,1685.44,1357.5
40,1491.75,2033.81,2348.06,1135.88,3316.31,1173.19,1685.63,1357.69
41,1491.75,2034,2348.63,1136.06,3316.13,1173.38,1686,1357.88
42,1491.75,2034.56,2349,1136.44,3316.69,1173.75,1686.38,1358.06
43,1492.13,2034.75,2349.19,1136.63,3317.06,1173.94,1686.56,1358.44
44,1492.13,2034.94,2349.94,1136.44,3317.25,1174.13,1686.75,1358.63
45,1492.5,2035.69,2350.31,1136.63,3317.81,1174.5,1687.13,1359.38
46,1492.88,2036.25,2351.06,1137.38,3318.19,1174.88,1687.88,1359.56
47,1493.25,2036.44,2351.25,1137.75,3318.75,1175.25,1688.44,1360.13
48,1493.44,2036.81,2351.44,1137.56,3319.13,1175.44,1688.81,1360.5
49,1493.44,2037.19,2352,1137.94,3319.5,1175.25,1689,1360.5
50,1493.44,2037.75,2352.38,1138.31,3319.5,1175.44,1689.19,1360.5
51,1493.44,2037.94,2352.75,1138.31,3319.88,1175.44,1689.38,1360.69
52,1493.63,2037.94,2352.94,1137.94,3320.06,1175.63,1689.38,1361.06
53,1494,2038.88,2353.88,1138.69,3321,1176.19,1690.5,1361.44
54,1494.19,2039.44,2354.44,1139.25,3321.19,1176.38,1690.88,1361.81
55,1494.38,2039.62,2354.63,1139.44,3321.75,1176.38,1691.25,1362.19
56,1494.75,2039.81,2354.81,1139.25,3321.94,1176.56,1691.63,1362.38
57,1494.38,2039.81,2355.19,1139.44,3321.75,1176.56,1691.63,1362.38
58,1495.13,2040.94,2355.94,1140.19,3322.69,1177.31,1692.56,1363.13
59,1495.5,2041.13,2356.13,1140.56,3323.25,1177.69,1693.31,1363.5
60,1495.5,2041.31,2356.31,1140.56,3323.44,1177.69,1693.5,1363.69
61,1495.69,2041.88,2356.5,1140.56,3323.81,1177.88,1693.88,1363.88
62,1495.69,2042.44,2356.88,1141.13,3323.63,1178.06,1694.25,1363.88
63,1495.5,2042.25,2357.06,1141.13,3324.19,1177.88,1694.25,1364.06
64,1495.31,2042.63,2357.25,1140.75,3324.38,1177.88,1694.06,1363.88
65,1495.31,2042.81,2357.25,1140.94,3324.38,1177.88,1694.06,1363.88
66,1494.94,2043.38,2357.81,1141.5,3324.38,1177.88,1694.25,1363.88
67,1495.13,2043.56,2358,1141.69,3324.56,1177.88,1694.44,1363.88
68,1495.13,2043.94,2358.38,1141.5,3325.13,1178.06,1694.63,1364.06
69,1495.31,2044.13,2358.94,1141.31,3325.5,1178.25,1695,1364.25
70,1495.31,2045.06,2358.94,1142.06,3326.06,1178.25,1695,1364.44
71,1492.88,2041.5,2355.75,1139.63,3321.38,1176.19,1692.75,1363.13
72,1500,2099.44,2718.75,1144.5,3581.81,1180.31,1700.81,1378.88
73,1562.25,2242.5,3300.38,1164.38,3879.94,1231.69,1751.25,1509.56
