time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1329.38,2071.88,2223.38,1149.56,3273.75,1075.13,1686.94,1232.25
2,1329.75,2072.63,2224.13,1150.13,3274.31,1075.31,1686.75,1232.81
3,1330.13,2073.19,2225.44,1150.13,3275.25,1075.69,1687.31,1233.38
4,1330.31,2073.38,2226,1150.88,3275.06,1075.69,1687.5,1233.56
5,1330.5,2073.94,2227.13,1150.69,3275.25,1076.06,1687.5,1234.13
6,1330.69,2074.13,2228.25,1150.69,3276.19,1076.25,1687.88,1234.13
7,1331.06,2074.88,2229.56,1151.06,3276.56,1076.63,1688.44,1234.88
8,1331.25,2075.44,2230.5,1151.81,3276.94,1077,1688.81,1235.44
9,1331.81,2075.63,2231.81,1151.44,3277.5,1077.56,1689.38,1235.81
10,1332,2075.81,2232.75,1151.81,3277.69,1077.75,1689.56,1236.38
11,1332.38,2076.75,2233.69,1152.19,3278.06,1078.13,1689.75,1236.75
12,1332.75,2077.13,2235,1152.75,3278.81,1078.69,1690.5,1237.13
13,1332.94,2077.31,2235.94,1152.56,3279,1078.88,1690.88,1237.69
14,1333.31,2077.69,2237.06,1152.75,3279.75,1079.06,1690.88,1237.88
15,1333.5,2078.44,2238,1152.94,3279.75,1079.25,1690.88,1238.25
16,1333.69,2078.44,2238.94,1153.5,3279.94,1079.63,1691.44,1238.81
17,1334.06,2078.81,2240.25,1153.5,3280.5,1080,1691.81,1239.19
18,1334.44,2079.38,2241.19,1153.69,3281.25,1080.38,1692.19,1239.75
19,1334.81,2079.94,2242.31,1153.88,3281.81,1080.56,1692.56,1240.13
20,1335,2080.5,2243.25,1154.44,3281.44,1080.94,1692.56,1240.5
21,1335.19,2080.5,2243.81,1154.06,3281.81,1081.13,1693.13,1241.06
22,1335.38,2081.06,2245.5,1154.44,3283.13,1081.69,1693.69,1241.25
23,1335.94,2081.81,2246.63,1154.63,3283.69,1082.06,1693.88,1241.81
24,1336.31,2081.81,2247.38,1155.19,3283.5,1082.44,1694.25,1242.19
