time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1229.63,1830.38,1867.13,1049.25,2937.19,960.94,1518.75,1132.88
2,1229.44,1830.75,1866.94,1048.88,2937.56,960.75,1518.75,1133.06
3,1229.25,1830.38,1866.75,1049.25,2937.38,960.75,1518.56,1132.88
4,1229.25,1830.38,1866.56,1049.25,2937.38,960.75,1518.56,1132.69
5,1229.25,1830.75,1866.38,1049.25,2937.19,960.56,1518.75,1132.88
6,1229.25,1830.75,1866.19,1049.06,2937.38,960.56,1518.75,1132.88
7,1229.06,1830.56,1866,1049.25,2937.38,960.75,1518.56,1132.88
8,1229.06,1830.75,1865.81,1049.06,2937.38,960.75,1518.56,1133.06
9,1229.06,1830.75,1865.63,1049.25,2937,960.94,1518.75,1132.88
10,1229.06,1830.56,1865.25,1048.88,2937,960.94,1518.75,1132.88
11,1229.25,1830.56,1865.44,1049.25,2937,961.12,1518.94,1133.25
12,1229.25,1830.56,1865.44,1049.25,2937,961.12,1518.94,1133.44
13,1229.25,1830.56,1865.06,1049.44,2936.63,961.12,1519.13,1133.25
14,1229.25,1830.38,1864.69,1049.06,2936.63,960.94,1519.13,1133.06
15,1229.25,1830.19,1864.5,1049.44,2936.44,961.12,1519.13,1133.44
16,1229.25,1830.38,1864.5,1049.25,2936.63,960.94,1518.94,1133.25
17,1229.44,1830.38,1864.13,1049.44,2936.25,961.12,1519.13,1133.25
18,1229.06,1830.38,1864.13,1049.06,2936.25,960.94,1518.94,1133.44
19,1228.88,1830.19,1863.75,1049.44,2936.25,960.94,1518.75,1133.25
20,1228.69,1830.19,1863.94,1049.44,2936.81,960.75,1518.75,1132.88
21,1228.69,1830.19,1863.56,1049.63,2936.25,960.56,1518.94,1132.88
22,1228.5,1830.56,1863.38,1049.06,2936.44,960.75,1518.94,1132.69
23,1228.31,1830.38,1863.38,1049.63,2936.63,960.56,1519.13,1132.88
24,1228.31,1830.56,1863.56,1049.63,2937.19,960.56,1518.94,1132.88
25,1228.13,1830.75,1863.19,1049.81,2936.63,960.19,1518.94,1132.69
26,1228.31,1830.56,1863,1049.44,2936.63,960.37,1519.13,1132.88
27,1228.31,1830.56,1863.19,1050,2936.63,960.19,1519.31,1132.88
28,1228.31,1830.94,1863,1049.81,2937.19,960.56,1519.31,1132.88
29,1228.31,1831.13,1862.63,1049.81,2936.81,960.75,1519.69,1132.88
30,1228.31,1831.13,1862.44,1049.44,2937,960.94,1519.5,1133.06
31,1228.5,1831.31,1862.06,1049.81,2937.38,960.94,1519.88,1133.06
32,1228.31,1831.31,1862.06,1049.81,2937.38,961.12,1519.5,1133.06
33,1228.31,1831.31,1861.69,1050,2937.19,960.75,1519.69,1132.88
34,1228.13,1831.5,1861.5,1049.81,2937,960.56,1520.06,1132.88
35,1228.31,1831.13,1861.5,1050,2937,960.75,1520.06,1133.25
36,1228.31,1831.31,1861.5,1050.19,2937,961.12,1520.06,1133.44
37,1228.31,1831.31,1861.13,1050.19,2936.63,960.75,1520.06,1133.44
38,1228.13,1830.94,1860.94,1050,2936.44,960.75,1520.06,1132.88
39,1227.94,1830.94,1860.75,1050,2936.63,960.56,1520.06,1132.88
40,1227.75,1831.31,1860.75,1050.19,2936.81,960.37,1519.69,1132.5
41,1227.75,1831.13,1860.56,1050.38,2936.81,960.19,1520.06,1132.5
42,1227.75,1831.31,1860.38,1049.81,2936.63,960.19,1519.88,1132.31
43,1227.38,1831.31,1860.19,1050.19,2936.81,960,1519.88,1132.13
44,1227.38,1831.69,1860.38,1050.19,2937.19,960,1519.69,1132.31
45,1227,1831.5,1859.81,1050.38,2936.81,959.81,1520.06,1131.94
46,1227,1831.5,1859.63,1050,2936.63,959.44,1519.88,1131.75
47,1226.81,1831.5,1859.63,1050.19,2936.63,959.25,1519.69,1131.56
48,1226.63,1831.69,1859.63,1050.19,2936.81,959.25,1519.5,1131.38
49,1226.63,1831.69,1859.25,1050.19,2936.63,959.25,1519.69,1131.19
50,1226.63,1831.69,1859.06,1049.81,2936.63,959.06,1519.69,1131.19
51,1226.63,1831.69,1859.06,1050,2936.63,959.06,1519.69,1131.56
52,1226.63,1832.25,1859.25,1050,2937.19,959.06,1519.69,1131.38
53,1226.25,1831.88,1858.88,1050.19,2936.63,958.87,1519.88,1131.19
54,1226.06,1831.88,1858.5,1049.81,2936.25,958.69,1519.88,1131.19
55,1226.25,1831.88,1858.13,1050.19,2936.06,958.87,1519.88,1131
56,1225.88,1831.69,1858.31,1050.19,2935.88,958.31,1519.69,1130.63
57,1225.88,1831.5,1858.13,1050.19,2935.69,958.31,1519.69,1130.63
58,1225.69,1831.69,1857.75,1049.81,2935.31,958.31,1519.69,1130.44
59,1225.5,1831.13,1857.75,1050.19,2935.31,958.31,1519.69,1130.63
60,1225.5,1831.31,1857.94,1050,2935.5,958.5,1519.69,1130.44
61,1225.5,1831.5,1857.56,1050,2935.31,958.31,1519.5,1130.44
62,1225.31,1831.31,1857.38,1049.81,2935.5,958.12,1519.5,1130.06
63,1225.31,1831.5,1857.38,1050.19,2935.5,958.12,1519.31,1129.88
64,1225.31,1831.69,1857.56,1050.19,2935.69,958.12,1519.13,1129.88
65,1225.31,1831.69,1857.38,1050.19,2935.88,957.94,1519.69,1130.06
66,1225.13,1831.88,1857.19,1050,2935.88,957.94,1519.5,1130.06
67,1224.94,1831.69,1857.19,1050.38,2935.88,957.75,1519.5,1129.5
68,1224.94,1832.06,1857.19,1050.19,2936.06,957.75,1519.31,1129.5
69,1224.94,1832.06,1856.81,1050.19,2935.88,957.75,1519.5,1129.5
70,1224.75,1832.06,1856.63,1049.81,2935.88,957.75,1519.69,1129.5
71,1221.56,1827.56,1852.31,1046.63,2929.69,954.94,1515.19,1126.5
72,1225.31,1847.63,2180.06,1049.06,3161.63,956.62,1516.5,1137
73,1272,1932.56,2811.56,1057.5,3432.75,993.19,1542.38,1239.75
74,1359.94,1959.19,3162,1064.81,3539.81,1070.81,1570.69,1394.44
75,1457.44,1951.69,3331.13,1067.81,3570.75,1156.5,1588.69,1520.06
76,1540.88,1934.06,3411.38,1067.81,3568.88,1228.31,1597.88,1608.19
77,1605.94,1915.69,3451.5,1066.69,3565.13,1284.75,1600.5,1669.69
78,1656.19,1899.75,3471,1064.06,3551.25,1328.25,1600.31,1712.25
79,1695,1886.44,3476.63,1061.44,3535.31,1362.19,1597.5,1742.44
80,1725.56,1875.19,3475.5,1058.44,3524.63,1388.63,1594.31,1763.25
81,1749.75,1864.5,3470.63,1055.63,3511.5,1408.88,1590.19,1778.25
82,1768.88,1856.25,3464.06,1053,3498.19,1425,1586.06,1788.75
83,1784.44,1849.69,3453.94,1050.75,3490.88,1437.38,1582.13,1795.69
84,1797.19,1843.69,3445.13,1048.5,3481.31,1446.94,1578.38,1800.56
85,1807.88,1839.38,3438.38,1046.44,3473.63,1454.63,1574.81,1803.75
86,1817.06,1834.69,3427.13,1044.56,3464.81,1460.25,1571.63,1805.81
87,1824.38,1831.5,3419.06,1043.25,3458.06,1464.75,1568.81,1806.75
88,1830.94,1827.75,3410.06,1041.56,3453.75,1468.5,1566,1806.75
89,1836.38,1825.13,3402.19,1040.25,3445.69,1471.13,1563.38,1806.56
90,1841.25,1822.13,3391.31,1039.13,3442.13,1473.19,1561.31,1805.81
91,1845,1819.88,3383.81,1038.75,3436.69,1474.5,1559.06,1804.69
92,1848.56,1818,3374.25,1038,3432.75,1475.44,1557.19,1803
93,1851.75,1816.88,3367.5,1036.88,3429.19,1476.19,1555.5,1802.06
94,1854.38,1815.38,3360.56,1035.94,3427.69,1476.56,1553.63,1800.94
95,1856.81,1814.44,3355.13,1035.75,3422.81,1477.13,1552.5,1800
96,1859.25,1813.13,3348.19,1035.19,3419.44,1477.5,1551,1799.25
97,1861.31,1811.63,3342.56,1034.44,3415.69,1477.88,1549.69,1798.31
98,1863.38,1809.94,3337.13,1033.88,3410.44,1478.06,1548.19,1797.56
99,1865.63,1808.25,3332.06,1033.88,3407.25,1478.63,1547.06,1796.44
100,1867.31,1806.38,3324.94,1032.75,3407.81,1478.44,1545.56,1795.69
101,1869,1805.06,3319.31,1031.81,3404.25,1479,1544.25,1795.31
102,1870.5,1803.19,3312.94,1030.88,3401.81,1479.19,1543.13,1794.38
103,1871.81,1802.06,3308.06,1031.06,3399,1479.38,1542,1793.81
104,1873.13,1801.13,3304.88,1030.31,3393.75,1479.56,1540.5,1793.06
105,1874.25,1800.38,3302.25,1029.56,3390.94,1479.56,1539.75,1791.94
106,1875.19,1800,3298.5,1029.38,3391.13,1479.56,1539,1790.81
107,1875.94,1800.38,3294.56,1029.56,3390.56,1479.38,1538.44,1790.44
108,1876.88,1800,3291.19,1029.19,3387.94,1479.38,1537.69,1790.25
109,1878,1799.81,3288.94,1029,3385.69,1479,1536.94,1789.69
110,1878.94,1799.44,3286.88,1028.63,3384.19,1479.19,1536.56,1789.69
111,1879.5,1799.06,3284.06,1029.19,3383.81,1479.19,1536,1789.31
112,1880.81,1798.88,3280.69,1029,3381.94,1479.19,1535.81,1789.13
113,1881.56,1798.31,3279.56,1028.44,3379.88,1479.38,1534.88,1788.56
114,1882.31,1797.38,3276.56,1028.25,3378.19,1479.56,1534.5,1787.63
115,1883.06,1797.38,3274.69,1028.63,3375.19,1479.19,1533.94,1787.81
116,1884,1797,3273.75,1028.44,3374.81,1479.56,1533.19,1787.63
117,1884.75,1797,3272.44,1027.88,3373.69,1479.75,1533,1787.81
118,1885.5,1796.63,3270.19,1027.69,3372.75,1479.75,1532.81,1787.81
119,1886.44,1797.19,3267,1027.88,3375.75,1480.31,1532.63,1788.19
120,1887.19,1797,3265.31,1028.06,3376.5,1480.5,1532.06,1788.38
121,1888.13,1796.44,3264.56,1027.5,3375.19,1481.06,1531.69,1789.13
122,1889.25,1796.63,3262.31,1027.31,3375.38,1481.81,1531.31,1789.5
123,1890.38,1795.88,3260.81,1027.69,3373.31,1482.19,1531.13,1790.25
124,1891.31,1795.31,3257.81,1027.5,3373.13,1482.94,1530.75,1790.81
125,1892.06,1794.56,3256.69,1026.94,3372,1483.69,1530.38,1791.19
126,1893.19,1793.06,3255.75,1026.75,3367.88,1484.25,1529.81,1791.75
127,1894.13,1793.06,3253.88,1026.94,3368.06,1485,1529.44,1792.13
128,1894.69,1791.94,3250.69,1026.19,3366,1485.56,1529.06,1792.31
129,1895.44,1788.56,3247.5,1025.63,3363.94,1485.94,1528.31,1791.94
130,1895.81,1786.69,3241.69,1025.06,3358.31,1485.94,1527.38,1791.56
131,1896,1785,3238.5,1024.69,3358.13,1486.31,1526.44,1790.81
132,1896.19,1783.31,3234.38,1023.94,3354.75,1486.31,1525.69,1790.06
133,1896,1782.56,3233.06,1023.38,3351.19,1485.56,1524.56,1788.56
134,1896.19,1782.19,3231.75,1022.62,3350.81,1485.38,1523.81,1787.81
135,1896,1782.94,3231,1023.19,3348.19,1485.19,1523.06,1787.06
136,1895.81,1783.13,3230.63,1022.81,3348,1485,1522.69,1786.88
137,1896.19,1782.94,3229.13,1022.44,3348.56,1485,1522.13,1786.31
138,1896.56,1782.75,3228.38,1022.25,3347.06,1485,1522.13,1786.31
139,1896.75,1782.94,3227.81,1022.81,3348.56,1485,1521.56,1786.69
140,1896.94,1782.75,3227.44,1022.06,3348,1485.19,1521,1786.13
141,1897.13,1782,3225.19,1021.5,3347.81,1485.19,1520.81,1786.5
142,1897.31,1781.44,3222.75,1021.12,3346.5,1485.38,1520.44,1786.31
143,1897.5,1780.69,3218.63,1021.31,3345.75,1485.56,1519.88,1786.13
144,1897.69,1779.75,3218.25,1021.31,3342.94,1485.38,1519.5,1785.75
145,1898.06,1779.56,3217.5,1020.19,3342.19,1485.38,1518.94,1785.56
146,1898.06,1779.56,3215.06,1020,3342.38,1485.19,1518.75,1785.38
147,1898.44,1779.38,3212.44,1020.19,3342.38,1485.19,1518.56,1785.38
