time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1326.19,1732.13,2264.63,1032,2889.94,1050,1446.56,1224
2,1326,1732.31,2265.19,1031.63,2890.13,1049.63,1447.13,1223.81
3,1325.63,1732.5,2265.38,1031.81,2890.5,1049.25,1447.31,1224
4,1325.44,1732.31,2265.75,1032,2890.69,1049.25,1446.75,1223.63
5,1325.44,1732.69,2266.5,1031.81,2890.31,1048.88,1447.31,1223.44
6,1325.06,1732.69,2266.88,1031.63,2890.69,1048.88,1447.31,1223.25
7,1324.88,1732.69,2267.06,1032,2891.06,1048.69,1446.56,1222.88
8,1324.69,1732.69,2267.44,1032,2891.06,1048.5,1446.75,1222.69
9,1324.13,1733.06,2267.81,1031.81,2890.69,1048.13,1447.13,1222.5
10,1324.13,1733.06,2268.19,1031.81,2891.06,1047.75,1447.5,1222.31
11,1323.56,1733.25,2268.56,1032,2891.44,1047.56,1447.31,1221.75
12,1323.56,1733.25,2268.75,1032,2891.44,1047.38,1447.5,1221.56
13,1323,1733.44,2269.31,1032.19,2891.63,1047,1447.13,1221.38
14,1322.81,1733.63,2269.5,1031.81,2891.63,1046.63,1447.31,1221.19
15,1322.63,1733.81,2270.06,1032.38,2891.63,1046.63,1447.13,1220.63
16,1322.25,1733.81,2270.06,1032.19,2892,1046.25,1447.31,1220.63
17,1321.88,1734,2270.81,1032.38,2892.19,1046.06,1447.13,1220.44
18,1321.69,1734.38,2271,1032,2892.19,1045.88,1447.5,1220.06
19,1321.5,1734.38,2271.19,1032.38,2892.56,1045.69,1447.13,1219.88
20,1321.13,1734.56,2271.56,1032.56,2892.75,1045.5,1447.88,1219.69
21,1320.75,1734.94,2271.94,1032.75,2892.94,1045.31,1447.5,1219.31
22,1320.56,1735.13,2272.5,1032.38,2893.13,1044.94,1447.69,1219.13
23,1320.38,1735.13,2272.69,1032.75,2892.94,1044.94,1448.06,1219.13
24,1320.19,1735.31,2272.88,1032.75,2893.13,1044.56,1448.25,1218.94
25,1319.81,1735.5,2273.25,1032.94,2893.5,1044.56,1448.06,1218.56
26,1319.63,1735.5,2273.44,1032.56,2893.5,1044.38,1448.06,1218.19
27,1319.44,1735.69,2273.63,1032.94,2893.69,1044,1448.06,1218.19
28,1319.06,1735.69,2274,1032.94,2893.69,1043.81,1448.44,1217.81
29,1318.88,1735.69,2274.38,1033.13,2893.69,1043.63,1448.25,1217.81
30,1318.5,1736.06,2274.75,1032.75,2893.69,1043.25,1448.44,1217.81
31,1318.31,1736.06,2274.56,1033.13,2893.88,1043.06,1448.44,1217.44
32,1317.94,1735.88,2274.75,1033.13,2893.88,1042.88,1448.63,1216.88
33,1317.56,1736.25,2275.31,1033.31,2893.88,1042.5,1448.63,1216.88
34,1317.56,1736.44,2275.5,1032.94,2894.06,1042.31,1448.44,1216.5
35,1317.19,1736.63,2275.88,1033.31,2894.25,1041.94,1448.44,1216.31
36,1316.81,1736.63,2276.06,1033.31,2894.44,1042.13,1448.81,1216.13
37,1316.81,1736.81,2276.44,1033.5,2894.63,1041.75,1448.63,1215.94
38,1316.44,1737,2276.81,1033.31,2894.81,1041.56,1448.81,1215.94
39,1316.06,1737.19,2276.81,1033.69,2895,1041.56,1448.81,1215.56
40,1316.06,1737.56,2277.19,1033.5,2895,1041.19,1449.19,1215.56
41,1315.88,1737.56,2277.38,1033.88,2895.19,1041,1449.19,1215.38
42,1315.69,1737.75,2277.75,1033.5,2895.19,1040.81,1449.19,1215.19
43,1315.5,1737.94,2277.94,1034.06,2895.38,1041,1449.38,1214.81
44,1315.31,1737.75,2278.31,1034.25,2895.75,1040.63,1449.75,1214.81
45,1315.13,1738.31,2278.5,1034.25,2895.75,1040.63,1449.38,1214.81
46,1314.75,1738.5,2278.5,1033.88,2895.75,1040.44,1449.56,1214.44
47,1314.56,1738.5,2278.69,1034.25,2896.13,1040.25,1449.56,1214.06
48,1314.38,1738.69,2278.88,1034.25,2896.31,1040.06,1449.94,1214.06
49,1314.19,1738.88,2279.25,1034.63,2896.31,1039.69,1449.94,1213.69
50,1314,1739.06,2279.44,1034.25,2896.31,1039.5,1449.75,1213.5
51,1313.63,1739.06,2279.81,1034.63,2896.69,1039.31,1449.94,1213.31
52,1313.25,1739.25,2279.81,1034.63,2896.69,1039.13,1450.13,1212.94
53,1312.88,1739.25,2280.19,1034.81,2896.69,1038.75,1449.94,1212.94
