time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1384.13,2006.25,1957.5,1128.56,3148.88,1071.75,1652.06,1226.44
2,1382.63,2006.06,1957.88,1128.56,3149.25,1070.25,1652.44,1224.94
3,1381.13,2006.06,1957.88,1128.38,3150,1069.13,1652.25,1223.44
4,1379.63,2007,1958.44,1128.56,3150.19,1067.81,1652.44,1222.31
5,1378.13,2006.81,1958.63,1128.56,3151.13,1066.88,1652.63,1221.19
6,1377,2007.19,1959,1128.19,3151.69,1065.75,1652.81,1219.69
7,1375.5,2007.56,1959.38,1128.56,3152.25,1064.44,1652.81,1218.75
8,1374,2008.13,1959.56,1129.13,3152.63,1063.5,1652.81,1217.44
9,1372.69,2007.75,1960.13,1128.94,3153.56,1062.19,1653,1216.13
10,1371,2008.31,1960.5,1128.75,3153.38,1061.06,1652.81,1214.63
11,1369.5,2007.75,1960.69,1128.56,3153.75,1059.94,1652.63,1213.31
12,1368.19,2008.5,1960.88,1129.31,3154.13,1059,1652.63,1212.19
13,1367.25,2008.69,1961.63,1129.13,3155.44,1057.88,1653,1211.25
14,1365.94,2008.88,1962.38,1128.56,3155.81,1056.94,1653.19,1210.13
15,1365.56,2009.63,1963.31,1129.31,3156.94,1056.56,1654.31,1209.75
16,1364.63,2010,1963.69,1130.06,3157.31,1056,1654.69,1209.19
17,1363.88,2010,1964.06,1130.25,3158.06,1055.25,1655.25,1208.44
18,1362.75,2010.19,1964.81,1130.06,3158.44,1054.5,1655.44,1207.69
19,1361.81,2010.56,1965,1130.25,3158.81,1053.56,1656,1206.75
20,1360.88,2011.13,1965.75,1130.81,3159.38,1052.81,1656,1205.81
21,1359.56,2010.56,1966.13,1130.81,3159.56,1051.88,1656,1204.69
22,1358.81,2011.13,1966.69,1130.44,3160.31,1051.13,1656.56,1203.94
23,1357.69,2011.31,1967.06,1130.63,3160.5,1050.19,1656.38,1203.19
24,1356.75,2011.87,1967.63,1131,3161.06,1049.44,1656.75,1202.06
25,1355.63,2011.5,1968.19,1131,3161.25,1048.69,1656.94,1201.13
26,1354.13,2011.31,1968.75,1130.81,3161.44,1047.56,1656.75,1200.38
27,1353.19,2011.5,1969.13,1130.63,3161.81,1046.81,1656.75,1199.25
28,1352.44,2012.25,1969.88,1131.19,3162.38,1046.06,1656.94,1198.5
29,1352.06,2012.25,1970.25,1131.75,3165,1046.25,1658.25,1198.69
30,1352.44,2013.56,1971.75,1132.13,3165,1046.25,1659.56,1198.69
31,1352.06,2013.56,1972.13,1132.5,3165.38,1045.88,1660.13,1198.31
32,1351.31,2014.13,1972.69,1132.69,3165.94,1045.31,1660.69,1197.75
33,1350.19,2013.19,1972.5,1132.69,3165.38,1044.19,1660.13,1196.44
34,1350,2014.31,1973.81,1132.88,3167.25,1044.38,1661.25,1196.44
35,1349.44,2015.06,1974.94,1133.63,3168.56,1043.81,1662.38,1196.06
36,1348.13,2015.25,1974.94,1133.81,3168.19,1042.69,1661.81,1194.75
37,1347,2015.25,1975.88,1133.81,3168.56,1041.75,1661.81,1194
