time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1695.38,1762.69,2283.19,1064.06,2872.31,1426.5,1500.75,1663.13
2,1692.38,1762.88,2280.75,1063.5,2871.94,1423.5,1501.13,1659.38
3,1689.38,1763.06,2277.94,1063.69,2871.56,1420.31,1500.94,1655.06
4,1686.38,1762.31,2275.31,1063.5,2871.56,1417.31,1500.56,1651.31
5,1683.38,1762.5,2272.69,1062.94,2870.81,1414.13,1500.56,1647.19
6,1680.56,1762.5,2270.25,1062.75,2870.63,1411.31,1500.38,1643.63
7,1677.56,1762.31,2267.44,1063.13,2870.44,1408.13,1500.19,1639.5
8,1674.56,1761.75,2265,1062.75,2869.88,1405.13,1499.81,1635.75
9,1671.38,1761.75,2262.19,1062.38,2869.5,1402.13,1499.63,1632
10,1668.75,1761.75,2259.94,1062,2869.13,1399.31,1499.44,1628.44
11,1665.75,1761.19,2257.31,1061.81,2868.56,1396.5,1499.06,1624.69
12,1662.94,1761.38,2255.06,1061.81,2868.38,1393.69,1499.06,1621.31
13,1660.13,1761,2252.63,1061.81,2868,1391.06,1499.06,1617.94
14,1657.5,1760.81,2250.38,1061.25,2867.63,1388.25,1498.69,1614.56
15,1654.88,1760.81,2247.94,1061.25,2867.25,1385.63,1498.5,1611
16,1652.06,1760.44,2245.88,1061.06,2867.06,1382.81,1498.31,1607.63
17,1649.44,1760.44,2243.44,1061.06,2866.88,1380.19,1498.13,1604.25
18,1646.81,1760.25,2241.56,1060.69,2866.5,1377.56,1497.75,1601.06
19,1644,1760.06,2239.31,1060.69,2866.31,1374.94,1497.56,1597.88
20,1641.56,1760.06,2237.44,1060.5,2866.13,1372.5,1497.75,1594.88
21,1639.31,1760.25,2235.38,1060.5,2866.13,1370.25,1497.38,1591.88
22,1636.69,1760.06,2233.5,1060.31,2865.75,1367.63,1497.19,1588.88
23,1633.69,1759.88,2231.25,1059.94,2865.38,1364.81,1496.81,1585.5
24,1631.44,1760.06,2229.94,1059.94,2865.56,1362.75,1496.81,1582.69
25,1629,1759.88,2227.88,1060.13,2865.38,1360.31,1496.44,1579.88
26,1626.94,1760.06,2226.38,1059.75,2865.38,1358.25,1496.81,1577.25
27,1624.69,1760.06,2224.69,1059.75,2865.38,1356.19,1496.63,1574.63
28,1622.25,1759.88,2222.81,1059.75,2865.19,1353.75,1496.81,1571.63
29,1619.63,1759.88,2220.94,1059.75,2865.19,1351.5,1496.25,1568.81
30,1617.19,1759.69,2219.25,1059.19,2865,1349.06,1496.06,1565.81
31,1614.75,1759.69,2217.75,1059.19,2864.63,1346.63,1495.69,1563.19
32,1612.5,1759.69,2216.25,1059.19,2864.44,1344.38,1495.5,1560.38
33,1610.06,1759.69,2214.75,1059.19,2864.44,1342.13,1495.13,1557.56
34,1607.81,1759.69,2213.44,1058.63,2864.44,1340.25,1494.94,1555.13
35,1605.56,1759.69,2211.94,1058.81,2864.25,1337.81,1494.75,1552.5
36,1603.31,1759.5,2210.44,1058.63,2863.88,1335.75,1494.56,1549.88
37,1600.88,1759.5,2209.13,1058.63,2863.88,1333.5,1494.38,1547.44
38,1598.81,1759.69,2208,1058.25,2864.06,1331.63,1494.38,1545
39,1596.75,1759.31,2206.31,1058.63,2863.69,1329.38,1494,1542.75
40,1594.69,1759.13,2205.38,1058.44,2863.5,1327.69,1493.63,1540.31
41,1592.81,1759.5,2203.88,1058.25,2863.5,1325.63,1493.63,1538.06
42,1590.75,1759.5,2202.94,1057.88,2863.5,1323.75,1493.63,1535.63
43,1588.69,1759.5,2201.63,1057.69,2863.13,1321.88,1493.25,1533.38
44,1586.63,1759.5,2200.5,1057.69,2862.94,1319.81,1493.25,1530.94
45,1584.56,1759.69,2199.38,1057.88,2862.94,1318.13,1492.88,1528.69
46,1582.5,1759.5,2198.25,1057.31,2862.75,1316.06,1492.69,1526.63
47,1580.63,1759.5,2197.13,1057.31,2862.56,1314.19,1492.31,1524.38
48,1578.38,1759.31,2196.19,1057.13,2862.38,1312.31,1492.5,1522.13
49,1576.5,1759.5,2195.06,1057.13,2862.38,1310.44,1491.94,1519.88
50,1574.81,1759.5,2194.31,1056.75,2862.38,1308.56,1491.56,1518
51,1572.94,1759.5,2193.38,1056.75,2862,1307.06,1491.38,1515.94
52,1571.63,1759.69,2192.44,1057.13,2862.19,1305.75,1491.94,1514.44
53,1569.38,1759.31,2191.5,1056.75,2861.63,1303.69,1491.56,1512
54,1567.69,1759.31,2190.94,1056.38,2861.81,1302.38,1491.19,1510.13
55,1566,1759.31,2189.81,1056.38,2861.81,1300.31,1491,1508.44
56,1564.31,1759.13,2189.06,1056.38,2861.44,1299,1491,1506.56
57,1562.63,1759.13,2188.31,1056.56,2861.44,1297.5,1490.81,1504.88
58,1560.94,1759.13,2187.56,1056,2861.25,1295.81,1490.44,1503
59,1559.25,1759.13,2186.81,1056.19,2861.25,1294.31,1490.44,1501.13
60,1557.75,1759.13,2186.44,1056.19,2861.06,1292.81,1490.81,1499.44
61,1556.25,1759.13,2185.69,1056.38,2861.06,1291.5,1490.63,1497.75
62,1554.75,1759.13,2184.94,1056,2861.06,1290,1490.44,1496.25
63,1553.63,1759.31,2184.38,1056,2861.25,1289.06,1490.44,1494.94
64,1552.31,1759.31,2183.81,1056.19,2861.25,1287.75,1490.63,1493.44
