time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1601.63,2248.88,2236.5,1277.63,3220.31,1315.5,1900.69,1592.06
2,1601.44,2248.13,2236.13,1277.63,3220.31,1315.69,1900.88,1591.88
3,1601.25,2247.94,2236.13,1277.44,3220.13,1315.69,1900.5,1591.69
4,1601.06,2248.13,2235.38,1277.44,3219.75,1315.31,1900.31,1591.31
5,1600.69,2247.56,2235.38,1277.06,3219.38,1315.31,1900.5,1591.13
6,1600.69,2247.38,2235,1277.44,3218.63,1315.13,1900.13,1590.94
7,1600.5,2246.81,2234.44,1277.25,3218.06,1314.94,1899.94,1590.75
8,1600.5,2246.44,2234.06,1276.88,3217.88,1314.75,1899.75,1590.56
9,1600.13,2245.5,2233.69,1276.69,3217.31,1314.56,1899.38,1590.38
10,1599.94,2244.94,2233.31,1276.5,3217.13,1314.19,1899,1590.19
11,1599.94,2244.56,2233.31,1276.31,3216.94,1314,1898.81,1589.63
12,1599.56,2244,2233.13,1276.13,3216.38,1313.63,1898.44,1589.25
13,1599.19,2243.81,2232.56,1275.38,3216,1313.25,1898.06,1588.88
14,1598.81,2242.88,2232,1275.56,3215.63,1312.88,1897.69,1588.5
15,1598.44,2242.88,2231.25,1275.19,3215.25,1312.5,1897.5,1587.94
16,1598.06,2242.31,2231.25,1275,3215.06,1311.94,1897.13,1587.38
17,1597.5,2241.94,2230.88,1274.81,3214.88,1311.56,1896.94,1586.81
18,1597.13,2241.94,2230.31,1274.81,3214.69,1311,1896.56,1586.44
19,1596.75,2241.56,2229.94,1274.63,3214.5,1310.81,1896.19,1585.88
20,1596.19,2241.38,2229.38,1274.44,3214.13,1310.25,1896,1585.69
21,1595.63,2241.38,2228.81,1274.06,3214.31,1309.88,1896,1584.94
22,1595.25,2240.81,2228.44,1274.44,3213.75,1309.5,1895.63,1584.75
23,1594.88,2240.81,2228.06,1274.25,3213.19,1309.13,1895.44,1584.38
24,1594.69,2240.44,2227.88,1274.06,3213.19,1309.13,1895.25,1583.81
25,1594.5,2240.44,2227.69,1273.5,3213.19,1308.94,1895.06,1583.63
26,1593.94,2240.44,2227.13,1274.06,3212.81,1308.75,1894.88,1583.63
27,1593.94,2240.06,2227.31,1273.88,3213,1308.75,1894.69,1583.25
28,1593.56,2239.88,2226.94,1273.69,3212.63,1308.38,1894.5,1583.06
29,1593.38,2239.69,2227.13,1273.31,3213.19,1308,1894.5,1582.69
30,1593.19,2239.31,2226.94,1273.5,3212.63,1307.81,1894.31,1582.5
31,1593,2239.13,2226.75,1273.69,3212.81,1308,1894.13,1582.5
32,1592.81,2238.94,2226.94,1273.31,3212.44,1308,1893.94,1582.31
33,1592.63,2238.56,2226.94,1273.13,3212.63,1307.81,1893.56,1582.13
34,1592.44,2238.75,2226.94,1273.13,3212.44,1307.25,1893.19,1581.75
35,1591.69,2238.75,2226.75,1273.13,3212.63,1306.69,1893.38,1581.19
36,1591.31,2238.56,2226.75,1273.13,3212.63,1306.13,1893,1580.81
37,1590.94,2238.75,2226.56,1272.56,3212.44,1305.56,1892.63,1580.44
38,1590.38,2238.94,2226.56,1273.31,3212.63,1304.81,1892.63,1580.06
39,1589.81,2238.56,2226.38,1272.94,3212.63,1304.44,1892.63,1579.5
40,1589.63,2238.56,2226.19,1272.94,3213,1304.25,1892.44,1579.13
41,1589.44,2238.94,2226,1272.56,3212.63,1303.69,1892.25,1578.94
42,1588.69,2238.94,2225.63,1273.13,3212.63,1303.69,1892.25,1578.75
43,1588.69,2239.31,2225.44,1272.94,3212.63,1303.5,1892.44,1578.56
44,1588.31,2239.13,2225.44,1272.94,3212.44,1303.5,1892.06,1578.38
45,1588.13,2239.69,2225.25,1272.56,3212.44,1303.31,1892.25,1578.19
46,1587.75,2239.31,2225.25,1273.13,3212.81,1303.31,1892.44,1578.19
47,1587.94,2239.69,2225.44,1273.13,3212.81,1303.5,1892.25,1578.19
48,1587.75,2239.5,2225.25,1273.13,3213.19,1303.88,1892.44,1578
49,1587.56,2239.69,2225.44,1272.94,3212.81,1303.5,1892.25,1578.19
50,1587.38,2239.69,2225.06,1273.31,3213,1303.5,1892.25,1578.19
