time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1471.5,1984.5,2243.06,1121.63,2957.06,1266.75,1660.69,1512
2,1471.31,1984.5,2242.69,1121.81,2957.06,1266.75,1660.69,1512.19
3,1471.13,1984.69,2242.88,1121.63,2957.25,1266.38,1660.88,1512
4,1470.94,1985.44,2242.88,1121.63,2957.81,1266.19,1660.69,1511.81
5,1470.94,1984.5,2243.06,1122.19,2957.25,1266.19,1661.06,1511.81
6,1470.75,1984.69,2243.06,1122,2957.25,1266,1660.88,1511.81
7,1470.75,1984.88,2243.06,1122.19,2957.81,1266.19,1661.44,1511.63
8,1470.94,1985.44,2243.06,1121.81,2957.81,1266.38,1661.44,1512
9,1471.13,1985.06,2242.88,1122.19,2957.25,1266.38,1661.44,1512
10,1471.13,1985.25,2242.69,1122.19,2957.06,1266.38,1661.25,1511.81
11,1470.94,1985.06,2242.5,1122,2957.25,1266.38,1661.25,1512
12,1470.75,1985.63,2242.5,1121.81,2957.63,1266.19,1661.25,1512
13,1470.75,1985.25,2242.5,1122.38,2957.44,1266.19,1661.25,1512
14,1470.56,1985.06,2242.13,1122.19,2957.44,1266.19,1661.25,1511.81
15,1470.56,1985.25,2242.31,1122.19,2957.44,1266.38,1661.25,1511.81
16,1470.38,1986,2242.5,1121.81,2957.63,1266,1661.06,1511.81
17,1470.19,1985.81,2242.5,1122.38,2957.81,1266.19,1661.25,1511.63
18,1470.38,1986.19,2242.5,1122.19,2957.81,1266.19,1661.44,1511.63
19,1470.19,1986.75,2242.5,1122,2958,1266,1661.63,1511.63
20,1470,1986.19,2242.5,1122.19,2957.81,1265.81,1661.25,1511.63
21,1470,1986.19,2242.5,1122.56,2958.38,1265.81,1661.63,1511.44
22,1470,1986.38,2242.69,1122.38,2958.19,1265.63,1661.44,1511.25
23,1469.81,1986.38,2242.5,1122.38,2958.19,1265.25,1661.63,1511.44
24,1469.63,1987.13,2242.88,1122.19,2958.94,1265.44,1661.81,1511.44
25,1469.81,1986.94,2242.88,1122.75,2958.56,1265.25,1661.81,1511.44
26,1469.63,1986.94,2242.88,1122.56,2958.94,1265.25,1662.19,1511.44
27,1469.44,1986.94,2242.69,1122.38,2958.75,1265.44,1662.38,1511.25
28,1469.63,1987.31,2242.5,1122.38,2958.94,1265.06,1662.38,1511.63
29,1469.63,1986.94,2242.5,1122.94,2959.13,1265.44,1662.38,1511.81
