time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1350,1985.63,2067.56,1125,2926.31,1141.5,1656.75,1387.31
2,1350.19,1985.06,2067.56,1125.19,2925.75,1142.06,1656.56,1387.13
3,1350.38,1985.63,2067.94,1124.44,2925.56,1142.25,1656.75,1387.31
4,1350.56,1985.25,2067.75,1124.44,2925.56,1142.25,1656.94,1387.31
5,1350.56,1984.88,2067.94,1124.81,2925.56,1142.06,1656.56,1387.88
6,1350.38,1984.88,2067.19,1125.19,2925.38,1142.25,1656.56,1387.5
7,1350.56,1985.06,2067.56,1124.25,2925.38,1142.44,1656.94,1387.69
8,1350.38,1984.69,2067.19,1124.25,2925.19,1142.25,1656.75,1387.31
9,1350.56,1984.5,2067,1124.63,2925.38,1142.06,1656.56,1387.69
10,1350.38,1984.5,2067.38,1125,2925.19,1142.06,1656.56,1387.13
11,1350.38,1984.5,2067.19,1124.06,2925,1142.06,1656.56,1387.5
12,1350.19,1984.31,2067.19,1123.88,2925.19,1141.5,1656.38,1386.94
13,1349.81,1983.94,2067.19,1124.25,2924.63,1141.5,1656.38,1387.31
14,1349.63,1983.75,2067,1124.81,2924.44,1141.31,1656.19,1386.56
15,1349.81,1983.94,2066.81,1123.88,2924.63,1140.94,1656.19,1386.75
16,1349.81,1983.56,2066.81,1123.88,2924.25,1141.13,1656,1386.94
17,1349.81,1983.38,2066.63,1124.06,2924.25,1141.31,1656.19,1386.75
18,1349.81,1983.19,2066.44,1124.63,2923.69,1141.5,1656.19,1386.94
19,1350,1983.38,2065.88,1123.88,2923.88,1141.5,1656,1387.31
20,1350,1983,2066.25,1123.88,2923.31,1141.88,1655.81,1387.5
21,1350.19,1982.63,2066.25,1124.06,2923.31,1142.06,1655.63,1387.31
22,1350.38,1982.06,2065.69,1124.25,2923.13,1142.06,1655.81,1387.31
23,1350.56,1982.06,2065.5,1123.5,2922.75,1142.25,1655.81,1387.31
24,1350.75,1981.5,2065.31,1123.31,2922.75,1142.25,1655.63,1387.31
