time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1343.06,1762.88,1531.69,1005.56,2859.19,1061.63,1494.75,1206
2,1342.69,1763.63,1531.88,1005.37,2860.13,1061.44,1495.13,1206.19
3,1342.31,1764.19,1532.44,1005.94,2860.31,1061.25,1495.69,1206
4,1342.13,1764.56,1532.81,1006.12,2861.06,1061.25,1496.25,1206
5,1341.75,1764.94,1533,1006.69,2861.06,1061.25,1496.63,1206
6,1341.75,1765.31,1533.38,1006.69,2861.25,1061.44,1497.19,1206.19
7,1341.38,1765.88,1533.75,1007.25,2861.81,1061.25,1497.56,1206
8,1341,1766.06,1533.94,1007.44,2862.19,1061.25,1497.94,1205.81
9,1340.63,1766.63,1534.31,1007.81,2862.56,1061.25,1498.31,1205.81
10,1340.81,1767.19,1534.5,1007.81,2863.5,1061.63,1498.69,1205.81
11,1340.25,1768.13,1534.88,1008.38,2864.25,1061.44,1499.25,1205.81
12,1340.06,1768.5,1535.06,1008.38,2864.81,1061.25,1499.63,1206
13,1339.69,1768.88,1535.44,1008.94,2864.81,1061.25,1500,1205.81
14,1339.5,1769.25,1535.44,1008.56,2865.38,1061.25,1500.19,1205.81
15,1339.31,1770,1535.44,1009.12,2865.75,1061.06,1500.56,1205.81
16,1338.56,1770.38,1535.63,1009.12,2866.5,1061.06,1500.94,1205.63
17,1338.75,1770.56,1535.81,1009.88,2866.5,1061.06,1501.31,1205.81
18,1338.38,1771.13,1536,1009.5,2867.06,1061.06,1501.88,1205.81
19,1338.19,1771.88,1536,1010.06,2867.44,1061.25,1502.06,1205.63
20,1338.19,1772.06,1536.38,1010.06,2867.63,1061.06,1502.44,1205.63
21,1337.81,1772.44,1536.56,1010.81,2867.81,1060.88,1502.81,1205.63
22,1337.63,1773,1536.56,1010.44,2868,1061.06,1503.19,1205.63
23,1337.25,1773,1537.13,1010.81,2867.81,1060.88,1503.56,1205.63
24,1337.25,1773.38,1537.31,1011,2868.38,1061.06,1503.94,1205.81
25,1337.06,1773.94,1537.31,1011.75,2868.56,1061.25,1504.31,1205.63
26,1336.88,1774.13,1537.69,1011.56,2869.13,1061.25,1504.69,1205.81
27,1336.69,1774.69,1538.06,1011.94,2869.69,1061.25,1505.06,1206.19
28,1336.31,1774.88,1538.25,1012.12,2870.06,1061.06,1505.44,1205.81
29,1336.31,1775.44,1538.44,1012.5,2870.63,1061.44,1505.63,1206
30,1335.94,1776,1538.81,1012.31,2871.56,1061.25,1506,1205.81
31,1335.56,1776.56,1538.81,1012.69,2871.56,1061.06,1506.19,1205.63
32,1335.38,1776.94,1539,1012.87,2871.94,1061.06,1506.56,1205.81
33,1335.19,1777.31,1539.38,1013.44,2872.13,1061.25,1506.94,1205.63
34,1334.81,1777.13,1539.75,1013.06,2871.94,1061.06,1507.13,1205.44
35,1334.63,1777.69,1539.56,1013.44,2871.75,1061.25,1507.31,1205.81
36,1334.81,1777.88,1539.94,1013.44,2872.31,1061.81,1507.69,1206.38
37,1334.63,1778.25,1540.5,1014.19,2872.5,1062.19,1507.88,1206.56
38,1334.63,1778.44,1540.69,1014,2872.5,1062.19,1508.06,1206.38
39,1334.44,1778.44,1540.88,1014.19,2872.5,1062,1508.44,1206.38
40,1334.63,1778.44,1541.06,1014.19,2872.88,1062.19,1508.63,1206.56
41,1334.44,1778.63,1541.25,1014.56,2873.63,1062.19,1508.81,1206.75
42,1334.25,1779.19,1541.44,1014.19,2874.19,1062.19,1508.81,1206.56
43,1334.25,1779.56,1541.63,1014.37,2874.56,1062,1509.19,1206.56
44,1334.06,1779.94,1541.81,1014.75,2874.94,1062,1509.38,1206.38
45,1333.69,1779.94,1542,1015.13,2875.31,1062,1509.56,1206.38
46,1333.5,1780.69,1542.19,1015.13,2875.88,1062,1509.94,1206.56
47,1333.31,1780.88,1542.38,1015.31,2876.06,1061.81,1510.13,1206.38
48,1333.13,1781.25,1542.56,1015.5,2876.63,1061.81,1510.5,1206.38
49,1332.75,1781.44,1542.94,1015.87,2876.81,1061.81,1510.69,1206.19
50,1332.38,1782.19,1543.31,1015.69,2877.38,1061.63,1510.69,1206.19
51,1332.38,1782.94,1543.5,1016.25,2877.94,1061.63,1511.06,1206.38
52,1331.81,1783.31,1543.88,1016.06,2878.69,1061.63,1511.25,1206.19
53,1331.81,1783.69,1543.88,1016.81,2879.06,1061.63,1511.63,1206
54,1331.44,1784.06,1544.06,1016.44,2878.88,1061.44,1511.81,1206
55,1331.25,1784.44,1544.63,1016.81,2878.88,1061.44,1512.19,1206
56,1331.06,1784.81,1544.81,1016.81,2879.81,1061.63,1512.38,1206
57,1331.06,1785.19,1545,1017.37,2879.63,1061.63,1512.75,1206.19
58,1330.88,1785.75,1545.19,1017.19,2880.19,1061.63,1513.13,1206.19
59,1330.69,1786.13,1545.38,1017.56,2880.75,1061.63,1513.31,1206.19
60,1330.5,1786.5,1545.56,1017.75,2880.94,1061.44,1513.88,1205.81
61,1330.31,1786.88,1545.56,1018.13,2881.13,1061.44,1514.06,1206
62,1329.94,1787.44,1545.56,1017.94,2881.88,1061.63,1514.25,1206
63,1329.94,1788,1545.56,1018.31,2881.69,1061.63,1514.81,1206.19
64,1329.75,1788.19,1545.94,1018.31,2882.06,1061.63,1515,1206.19
65,1329.38,1788.56,1546.13,1019.06,2881.69,1061.63,1515.19,1206.19
66,1329.38,1788.75,1546.5,1018.69,2882.44,1061.63,1515.56,1206.38
67,1329,1789.31,1546.88,1019.06,2882.63,1061.63,1515.75,1206.56
68,1329,1789.5,1547.25,1019.44,2882.81,1061.81,1516.13,1206.56
69,1328.81,1790.06,1547.44,1020,2883,1061.81,1516.5,1206.56
70,1328.81,1790.25,1547.81,1019.63,2883.38,1062,1516.88,1206.75
71,1328.63,1790.81,1548,1020,2883.75,1062,1517.25,1206.75
72,1326.19,1807.13,1686.19,1020,2951.44,1059.38,1514.06,1207.88
73,1356.19,1915.13,2180.06,1034.81,3214.13,1082.63,1542.94,1278.19
74,1420.13,1992.75,2587.88,1052.44,3384.38,1140,1584,1409.63
75,1502.25,2034.75,2855.44,1067.25,3489.56,1214.63,1620.19,1536.19
76,1584.38,2057.06,3023.25,1078.88,3554.06,1287.38,1650,1639.5
77,1657.88,2070.56,3139.69,1088.25,3597.75,1352.44,1674.56,1722.94
78,1722.38,2077.31,3220.69,1095.75,3631.88,1409.44,1693.88,1791.94
79,1778.81,2081.06,3285,1101.38,3651.19,1460.44,1709.63,1851.56
80,1829.63,2081.63,3336.75,1105.13,3678.19,1506.56,1722.75,1905.19
81,1875.56,2081.06,3382.5,1108.13,3693.94,1548.56,1734,1954.31
82,1918.5,2078.63,3420.38,1110.38,3710.81,1588.5,1743.19,2000.06
83,1958.81,2074.31,3454.69,1111.88,3727.13,1626.19,1750.88,2043
84,1996.69,2070,3485.06,1113,3743.44,1662.75,1757.25,2083.31
85,2032.31,2063.63,3511.88,1112.25,3754.69,1696.88,1762.31,2121.38
86,2066.63,2057.06,3534.75,1112.44,3765.75,1729.5,1766.25,2157
87,2098.69,2047.69,3555.38,1111.31,3771.38,1760.25,1768.88,2190
88,2128.88,2035.88,3568.31,1109.63,3774.19,1789.13,1769.81,2219.63
89,2156.81,2023.31,3577.69,1107.19,3772.88,1815.75,1769.25,2246.44
90,2182.13,2008.31,3581.25,1104.75,3770.44,1840.13,1767.19,2268.94
91,2201.25,1990.5,3574.88,1099.31,3759,1858.88,1759.69,2284.5
92,2223.38,1976.81,3569.25,1096.31,3753.56,1878.56,1756.69,2300.63
93,2241,1959.38,3557.44,1092.38,3742.13,1894.5,1751.06,2312.06
94,2255.44,1943.44,3544.13,1088.25,3729.75,1907.25,1744.13,2318.63
95,2267.25,1927.13,3527.44,1083.19,3712.13,1916.63,1736.06,2321.81
96,2275.88,1910.81,3506.81,1077.94,3695.44,1923.38,1727.25,2320.88
97,2282.25,1896,3482.81,1073.25,3676.69,1927.31,1718.06,2317.13
98,2286.19,1882.69,3457.69,1069.31,3657.38,1928.63,1708.88,2310.56
99,2288.06,1870.5,3429.75,1064.81,3637.69,1927.5,1699.69,2301.56
100,2288.25,1858.5,3402.94,1060.13,3617.63,1924.69,1691.06,2291.25
101,2286.94,1848.56,3376.13,1055.81,3598.69,1919.81,1682.25,2279.63
102,2284.31,1839.56,3351.94,1052.63,3580.88,1913.63,1674.19,2267.25
103,2280.94,1831.31,3326.63,1049.25,3564.38,1906.69,1666.31,2253.94
104,2276.25,1822.88,3302.81,1045.69,3547.31,1898.44,1658.81,2240.25
105,2270.81,1815.56,3278.06,1042.31,3533.06,1889.63,1651.69,2225.81
106,2264.81,1808.44,3253.31,1039.5,3518.81,1879.88,1644.94,2211.56
107,2258.06,1801.69,3232.31,1036.31,3503.81,1870.31,1638,2196.94
108,2251.13,1795.5,3210.75,1033.31,3490.31,1860,1632,2182.5
109,2241,1789.5,3187.31,1029.56,3474.94,1847.81,1624.13,2165.81
110,2232.94,1783.88,3171.19,1027.69,3458.63,1835.44,1617.56,2150.06
111,2225.25,1782.38,3151.88,1024.69,3451.13,1825.31,1611.56,2137.88
112,2220.19,1781.81,3141.19,1024.13,3447,1817.44,1610.25,2127.75
113,2213.63,1777.88,3127.69,1022.06,3439.88,1808.63,1606.88,2116.88
114,2207.25,1773.19,3112.69,1020.75,3431.06,1800,1603.69,2106.38
115,2201.63,1769.63,3099.94,1019.44,3423.75,1791.94,1600.31,2097.56
116,2195.81,1764.94,3085.5,1017.94,3415.5,1784.63,1596.94,2088.56
117,2190,1761.38,3072.19,1015.69,3404.63,1777.13,1593.56,2079.56
118,2183.44,1757.63,3059.63,1014.56,3396.19,1769.44,1589.81,2069.63
119,2176.69,1754.06,3047.06,1012.5,3388.31,1761.38,1585.5,2059.5
120,2169.38,1750.13,3034.5,1010.62,3378.75,1752.56,1581.75,2048.06
121,2161.5,1748.25,3021.56,1008.75,3371.25,1744.13,1578,2037.19
122,2154.56,1747.13,3012.19,1008,3366.94,1735.69,1575.19,2027.06
123,2148,1746.75,3001.69,1007.06,3361.5,1728.19,1572.38,2019.19
124,2142,1745.25,2991.38,1006.12,3358.88,1721.25,1570.13,2011.13
125,2136.19,1742.44,2983.13,1004.62,3351.75,1714.88,1567.69,2003.81
126,2130.19,1739.44,2971.69,1003.69,3346.69,1708.13,1565.25,1995.94
127,2124.19,1737.19,2962.88,1002.56,3338.81,1701.94,1562.44,1988.44
128,2118.19,1735.13,2954.81,1001.25,3335.25,1695.75,1559.81,1981.13
129,2112.19,1732.69,2944.5,999.56,3329.06,1689.19,1557.38,1973.06
130,2106.38,1730.81,2936.25,999.19,3319.88,1683,1554.75,1965.94
131,2100.56,1729.69,2927.25,998.06,3318.56,1677.19,1552.69,1959.19
132,2091.75,1726.13,2916.19,995.62,3309.94,1668.38,1548.19,1949.06
133,2088.19,1727.06,2909.25,995.25,3308.81,1664.63,1547.44,1944.19
134,2082.75,1727.25,2904.75,995.25,3305.63,1659.19,1546.31,1938.56
135,2077.88,1725.94,2897.63,994.5,3302.63,1653.94,1544.63,1932.75
136,2072.81,1723.88,2890.69,993.56,3297.94,1649.25,1543.13,1927.31
137,2067.94,1721.81,2884.13,992.44,3293.81,1644.19,1541.44,1921.69
138,2062.88,1719.56,2875.31,992.44,3290.25,1639.5,1539.75,1915.69
139,2057.81,1717.88,2868.75,991.31,3283.88,1634.63,1537.69,1909.88
140,2052.75,1716.56,2863.13,990.19,3281.06,1629.75,1536.19,1904.25
141,2047.5,1715.44,2855.44,989.25,3274.88,1624.69,1534.13,1898.44
142,2043,1713.94,2849.81,989.25,3273,1620.19,1532.81,1893.38
143,2038.13,1713.75,2846.44,988.31,3268.69,1615.69,1531.13,1888.5
144,2033.63,1711.88,2838.75,987.75,3266.06,1611.19,1529.81,1883.25
145,2028.75,1711.5,2834.81,986.81,3262.88,1606.5,1527.56,1878.19
146,2024.63,1710.56,2828.06,987,3261.94,1602.56,1526.44,1873.69
147,2020.69,1710.38,2823.56,986.62,3257.81,1598.81,1525.31,1869.19
148,2016.38,1708.88,2817.56,985.87,3255.75,1595.06,1524.19,1865.25
149,2012.44,1707.94,2813.25,985.12,3252.56,1591.31,1523.25,1861.13
150,2008.5,1706.63,2808.75,985.12,3249.19,1587.75,1521.94,1857.19
151,2004.75,1706.44,2805,984.56,3246.56,1584.38,1520.81,1853.25
152,2001,1705.31,2802,984,3244.13,1581,1519.88,1849.13
153,1997.25,1705.69,2797.69,982.87,3242.81,1577.44,1518.56,1845.38
154,1993.88,1705.88,2792.81,983.44,3241.5,1574.44,1518,1842.19
155,1990.5,1705.88,2789.06,983.06,3241.13,1571.25,1517.25,1838.63
156,1987.13,1705.31,2784.38,982.69,3237.75,1568.44,1516.69,1835.63
157,1983.75,1704.75,2779.13,981.94,3235.5,1565.44,1515.38,1832.06
158,1980.56,1704.19,2775.38,982.5,3230.81,1562.63,1514.81,1828.69
159,1977.19,1703.25,2771.25,981.94,3229.5,1559.44,1514.06,1824.94
160,1974,1703.44,2766.75,981.75,3225.94,1556.63,1513.13,1821.38
161,1970.63,1702.31,2760.38,981.19,3222,1553.63,1512.56,1818.38
162,1967.63,1701.75,2756.06,981,3219.75,1551.19,1511.44,1814.81
