time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1709.06,2124,2261.81,1229.81,3125.44,1483.13,1832.06,1733.63
2,1707.38,2124.19,2261.06,1229.63,3125.63,1481.81,1832.06,1731.75
3,1706.06,2124.56,2260.31,1229.44,3126.38,1480.5,1831.88,1730.06
4,1704.56,2125.5,2259.94,1229.44,3126.94,1479,1831.69,1728.56
5,1703.25,2126.81,2259.38,1229.81,3127.88,1478.06,1831.88,1727.63
6,1702.13,2127.38,2259,1229.81,3129.56,1477.13,1832.06,1726.5
7,1701,2128.31,2258.44,1229.63,3129.94,1476.19,1832.25,1725.56
8,1699.88,2129.06,2258.06,1229.63,3130.13,1475.25,1832.25,1724.63
9,1698.75,2129.81,2257.88,1230,3130.31,1474.13,1832.25,1723.31
10,1697.63,2129.81,2257.5,1230,3130.5,1473.19,1832.44,1722
11,1696.31,2130,2257.13,1230,3130.69,1472.25,1832.63,1721.06
12,1695.19,2130,2256.94,1230,3130.88,1471.31,1832.63,1719.75
13,1694.25,2130.19,2256.75,1230.38,3130.88,1470.19,1832.63,1718.44
14,1693.13,2130.19,2256.38,1230.19,3131.06,1468.88,1832.63,1716.94
15,1692,2130,2256.19,1230,3131.25,1467.75,1832.63,1715.44
16,1690.88,2130.19,2255.81,1230,3131.63,1466.44,1832.81,1714.13
17,1689.75,2130.38,2255.44,1230.19,3131.63,1465.5,1832.81,1712.63
18,1688.63,2130.56,2255.25,1230.38,3132,1464.19,1832.81,1711.31
19,1687.5,2130.56,2255.25,1230.38,3132.38,1462.88,1832.81,1709.81
20,1686.56,2130.56,2254.88,1230.38,3132.94,1461.94,1832.81,1708.69
21,1685.25,2131.31,2254.69,1230.56,3134.06,1461,1832.81,1707.38
22,1684.5,2133.19,2254.5,1230.56,3134.44,1460.44,1833,1706.81
23,1683.56,2134.31,2254.5,1230.75,3136.88,1460.06,1833.19,1706.63
24,1682.81,2136.19,2254.5,1230.75,3136.31,1459.69,1833.75,1706.81
25,1682.25,2137.69,2254.5,1231.31,3136.31,1459.88,1833.94,1707.38
26,1681.88,2139,2254.69,1231.5,3136.31,1460.25,1834.69,1707.75
27,1681.69,2141.25,2254.88,1231.5,3136.88,1460.81,1835.25,1708.88
28,1681.5,2140.13,2254.69,1231.69,3137.44,1461.38,1835.81,1709.44
29,1681.31,2139.56,2255.06,1232.06,3137.63,1461.56,1836.38,1709.25
30,1681.13,2138.81,2255.44,1232.06,3138.19,1461.19,1836.38,1708.88
31,1680.56,2138.81,2255.63,1231.88,3138.56,1460.63,1836.56,1707.94
32,1680.19,2139,2256,1232.06,3138.94,1459.69,1836.56,1707
33,1679.44,2139.38,2256.19,1232.25,3139.31,1458.94,1836.75,1705.88
34,1678.88,2139.19,2256.56,1232.44,3139.5,1458,1836.75,1704.75
35,1678.13,2138.81,2256.75,1232.25,3139.69,1457.06,1836.94,1703.63
36,1677.38,2138.81,2256.94,1232.25,3139.88,1456.13,1836.94,1702.5
37,1676.63,2139,2256.94,1232.81,3140.06,1455.19,1836.94,1701.19
38,1675.88,2138.81,2257.5,1232.81,3140.25,1454.25,1836.94,1700.06
39,1675.13,2138.63,2257.5,1232.81,3140.63,1453.31,1836.94,1698.94
40,1674.38,2139.19,2257.88,1232.81,3140.81,1452.56,1837.13,1697.81
41,1673.63,2139.94,2257.88,1233.38,3141,1452.38,1837.13,1697.44
42,1673.06,2140.69,2258.25,1233.38,3141.19,1452.56,1837.31,1697.63
43,1672.5,2141.06,2258.44,1233.38,3141.56,1453.13,1837.5,1697.81
44,1672.13,2141.81,2258.63,1233.38,3141.75,1453.31,1837.88,1698
45,1671.94,2143.31,2258.63,1233.94,3142.13,1453.69,1838.25,1698.38
46,1671.75,2144.25,2259.19,1234.13,3142.5,1454.44,1838.63,1699.13
47,1671.75,2144.63,2259.38,1234.13,3143.25,1454.63,1839,1699.69
48,1671.56,2145,2259.56,1234.13,3143.44,1455,1839.56,1699.88
49,1671.56,2145.56,2259.94,1234.69,3144,1455.38,1839.75,1699.88
50,1671.38,2145.19,2260.31,1234.88,3144.38,1455.38,1840.13,1699.88
51,1671.19,2145.19,2260.5,1234.69,3144.94,1455,1840.31,1699.31
52,1670.81,2145.19,2261.06,1234.69,3145.31,1454.25,1840.5,1698.38
53,1670.44,2145.38,2261.25,1235.06,3145.69,1453.69,1840.69,1697.63
54,1670.06,2145,2261.81,1235.06,3146.06,1452.75,1840.69,1696.69
55,1669.5,2145,2262,1234.88,3146.44,1452,1840.88,1695.75
56,1668.75,2144.81,2262.75,1235.06,3146.63,1450.88,1840.88,1694.63
57,1668.38,2145.19,2262.75,1235.63,3147.19,1449.94,1840.88,1693.31
58,1667.63,2145,2263.31,1235.44,3147.56,1449,1840.88,1692.19
59,1667.06,2145,2263.69,1235.44,3148.13,1447.88,1840.88,1691.25
60,1666.13,2145.19,2264.06,1235.44,3148.5,1446.75,1840.88,1690.31
61,1665.56,2145.56,2264.44,1235.81,3149.06,1446.19,1840.88,1689.19
62,1665,2145.94,2264.63,1235.81,3149.63,1445.44,1840.88,1688.25
63,1664.25,2146.69,2265,1235.63,3150,1444.69,1841.06,1687.88
