time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1553.25,2197.5,2255.06,1248.19,3197.25,1266.75,1849.69,1527.38
2,1553.06,2197.31,2255.25,1247.81,3196.88,1266.75,1849.88,1527.75
3,1553.25,2197.5,2255.25,1248,3197.44,1267.13,1849.88,1527.94
4,1553.06,2197.69,2255.25,1248.19,3197.44,1266.94,1850.06,1527.75
5,1552.88,2197.88,2255.25,1248.19,3197.63,1267.13,1850.06,1528.13
6,1553.06,2197.88,2255.25,1248,3197.63,1267.13,1850.06,1528.31
7,1553.25,2198.06,2255.25,1248.38,3197.63,1267.31,1850.25,1528.5
8,1552.88,2198.06,2255.44,1248.56,3198,1267.13,1850.25,1528.13
9,1552.88,2198.63,2255.44,1248.38,3198.19,1267.13,1850.25,1528.31
10,1552.69,2198.63,2255.63,1248.38,3198.38,1266.56,1850.63,1528.13
11,1552.69,2198.81,2255.63,1248.75,3198.38,1266.56,1850.44,1527.94
12,1552.5,2199,2255.44,1248.75,3198.56,1266.56,1850.63,1528.13
13,1552.31,2199,2255.63,1248.75,3198.75,1266.38,1850.63,1528.31
14,1552.5,2199.19,2255.63,1248.75,3198.75,1266.56,1850.81,1528.13
15,1552.31,2199.19,2255.81,1249.13,3198.75,1266.56,1851,1528.31
16,1552.31,2199.38,2255.44,1248.94,3198.94,1266.56,1851,1528.13
17,1552.5,2199.56,2255.81,1248.94,3198.94,1266.75,1851.19,1528.31
18,1552.5,2199.75,2255.81,1248.75,3199.13,1267.13,1851.19,1528.69
19,1552.5,2199.75,2255.81,1249.13,3199.31,1267.13,1851.38,1528.69
20,1552.5,2199.94,2255.81,1249.13,3199.13,1267.31,1851.56,1528.88
21,1552.5,2200.13,2255.81,1249.5,3199.31,1267.31,1851.56,1528.88
22,1552.69,2200.13,2256,1249.13,3199.5,1267.5,1851.75,1529.06
23,1552.5,2200.31,2255.81,1249.5,3199.69,1267.5,1851.75,1529.06
24,1552.5,2200.5,2255.81,1249.5,3200.25,1267.5,1851.94,1529.06
25,1552.5,2200.69,2256,1249.5,3200.06,1267.5,1851.94,1529.25
26,1552.69,2200.88,2256.38,1249.5,3200.06,1267.5,1852.31,1529.44
27,1552.5,2200.88,2256.19,1249.69,3200.25,1267.31,1852.31,1529.25
28,1552.5,2200.88,2256.19,1249.88,3200.44,1267.31,1852.5,1529.06
29,1552.5,2201.25,2256.19,1249.88,3200.63,1267.13,1852.5,1529.25
30,1552.5,2201.25,2256.19,1249.69,3200.63,1267.13,1852.5,1529.25
31,1552.69,2201.63,2256.38,1250.06,3200.63,1266.94,1852.88,1529.25
32,1552.31,2201.63,2256.38,1250.25,3200.63,1267.13,1852.88,1529.06
33,1552.31,2201.81,2256.38,1250.06,3200.63,1266.94,1852.88,1529.25
34,1552.31,2202,2256.56,1249.88,3200.81,1267.13,1852.88,1529.25
35,1552.31,2201.81,2256.56,1250.44,3200.81,1267.13,1853.25,1529.44
36,1552.69,2201.81,2256.56,1250.44,3200.81,1267.31,1853.25,1529.44
37,1552.69,2202,2256.38,1250.44,3200.81,1267.5,1853.25,1529.81
38,1553.06,2202.19,2256.75,1250.25,3200.81,1268.06,1853.63,1530
39,1553.25,2202.56,2256.56,1250.25,3201.38,1268.44,1853.44,1530.19
40,1553.44,2202.38,2256.75,1250.63,3201.19,1268.44,1853.63,1530.38
41,1553.44,2202.56,2256.94,1250.63,3201.56,1268.81,1853.63,1530.56
42,1553.44,2202.75,2256.75,1250.25,3201.56,1268.81,1853.63,1530.75
43,1553.63,2202.75,2256.75,1250.63,3201.56,1269,1854,1530.75
44,1554,2202.94,2256.75,1250.63,3201.94,1269.19,1854,1530.94
45,1554,2202.94,2256.75,1250.63,3201.94,1269.19,1854.19,1531.13
46,1554,2202.94,2256.75,1250.44,3202.13,1269.19,1854.38,1531.31
47,1554.19,2203.13,2256.94,1250.81,3202.13,1269.19,1854.38,1531.5
48,1554.19,2203.31,2256.94,1250.81,3202.5,1269.19,1854.56,1531.31
49,1554.19,2203.5,2257.13,1250.81,3202.69,1269.19,1854.38,1531.31
50,1554.19,2203.5,2256.75,1250.44,3202.88,1269,1854.38,1531.5
51,1554.19,2203.69,2256.94,1251,3202.69,1268.81,1854.56,1531.31
52,1554,2204.06,2256.94,1251,3202.88,1268.63,1854.75,1531.31
