time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1780.88,2214.38,2585.06,1282.88,3272.25,1524.19,1908,1775.63
2,1781.25,2211.19,2584.88,1283.06,3271.31,1525.5,1908,1776.75
3,1781.63,2209.31,2584.69,1282.69,3270.75,1526.25,1907.44,1776.94
4,1781.81,2209.88,2584.31,1282.31,3269.63,1525.88,1907.06,1775.63
5,1781.63,2212.5,2583.94,1282.31,3268.88,1524.56,1906.5,1773
6,1781.25,2212.88,2584.13,1282.5,3268.31,1522.69,1905.94,1770.56
7,1780.69,2211.94,2583.38,1282.31,3267.75,1521,1905.94,1768.13
8,1779.94,2212.31,2582.63,1281.94,3267.19,1519.13,1905.38,1766.44
9,1779.19,2212.88,2581.69,1281.94,3266.81,1517.44,1905.19,1764.75
10,1778.06,2213.44,2580.94,1281.75,3266.81,1515.94,1904.81,1763.25
11,1777.31,2213.25,2580.38,1281.75,3266.44,1514.44,1904.44,1761.75
12,1776.75,2213.81,2580,1281.38,3265.88,1513.5,1904.25,1760.63
13,1775.63,2214,2579.06,1281.19,3265.69,1512.56,1904.06,1759.88
14,1775.06,2214.56,2578.5,1281.56,3265.88,1511.63,1903.88,1759.5
15,1774.13,2214.56,2577.94,1281.38,3265.88,1511.25,1903.88,1759.13
16,1773.38,2214.19,2577.38,1281,3265.88,1510.69,1903.69,1759.13
17,1772.81,2209.13,2576.63,1281,3265.31,1510.88,1903.69,1760.81
18,1772.63,2193,2575.88,1281,3264.19,1512.38,1903.5,1763.81
19,1773.19,2197.13,2575.69,1280.63,3263.06,1513.31,1902.75,1763.63
20,1773.75,2199,2575.69,1280.44,3262.5,1513.31,1902.19,1761.75
21,1774.13,2192.25,2575.69,1280.44,3261.94,1512.75,1902,1761.19
22,1774.31,2188.31,2575.31,1280.44,3260.25,1512.19,1901.44,1760.44
23,1774.31,2175.56,2574,1279.69,3257.63,1512.38,1900.69,1760.81
24,1773.94,2174.81,2572.13,1278.38,3256.13,1512.19,1899.19,1759.88
25,1773.19,2176.31,2570.44,1277.63,3254.06,1511.25,1897.31,1757.25
26,1772.63,2179.69,2568.94,1277.44,3253.13,1509.75,1896.19,1754.44
27,1771.69,2182.13,2567.81,1276.88,3252.38,1507.88,1895.25,1751.63
28,1770.56,2185.13,2566.69,1276.13,3251.81,1505.81,1893.94,1748.63
29,1769.06,2186.06,2565.75,1275.56,3251.44,1503.38,1893.38,1746
30,1767.56,2187.19,2564.44,1275.56,3250.69,1501.31,1892.63,1743.94
31,1766.25,2187.19,2563.13,1275,3250.31,1499.81,1891.88,1743
32,1764.75,2188.5,2562,1274.25,3250.31,1498.13,1891.31,1741.88
33,1763.44,2190,2561.06,1274.06,3250.5,1496.63,1890.75,1740.75
34,1761.94,2191.13,2560.13,1274.25,3250.69,1494.94,1890.38,1739.44
35,1760.63,2193,2559.19,1274.25,3246.56,1493.44,1890,1738.31
36,1759.31,2190.56,2558.25,1273.69,3243.94,1491.94,1890.19,1738.13
37,1758.19,2177.63,2557.31,1273.5,3244.5,1491.94,1889.81,1740.19
38,1757.81,2152.69,2555.81,1272.94,3242.06,1493.25,1889.06,1743
39,1757.63,2170.31,2555.81,1272.94,3240.94,1493.44,1887.19,1741.13
40,1757.63,2166,2556,1272.75,3240.94,1492.88,1886.44,1739.63
41,1757.44,2162.06,2555.63,1272.56,3238.5,1492.5,1886.63,1739.25
42,1757.06,2145.75,2554.13,1272.19,3235.88,1492.31,1886.06,1739.44
