time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1608.19,1935.56,2274.75,1096.69,2907.94,1446,1634.44,1731.19
2,1606.69,1936.13,2272.31,1097.06,2908.13,1443.94,1634.63,1727.81
3,1604.81,1936.31,2269.88,1097.63,2908.69,1441.69,1634.63,1724.25
4,1603.13,1936.31,2267.63,1097.63,2908.88,1439.63,1634.81,1720.5
5,1601.44,1936.31,2265.56,1098,2909.06,1437.38,1635,1717.13
6,1599.75,1936.69,2263.5,1097.81,2909.06,1435.13,1635.19,1713.75
7,1597.88,1936.5,2262.19,1098.19,2909.63,1432.5,1635.19,1710.19
8,1595.81,1936.69,2260.31,1098.56,2910.38,1430.06,1635.19,1706.81
9,1593.94,1936.69,2258.81,1098.38,2910.56,1427.81,1635.38,1703.44
10,1592.25,1937.06,2257.31,1098.38,2910.94,1425.56,1635.19,1700.25
11,1590,1937.06,2256.19,1098.56,2911.69,1423.13,1635.19,1696.88
12,1588.31,1937.44,2254.88,1098.56,2912.25,1421.25,1635.19,1693.69
13,1586.25,1937.63,2253.56,1098.38,2913,1418.63,1635,1690.5
14,1584.56,1938,2252.25,1098.38,2913.19,1416.56,1635,1687.69
15,1582.69,1937.63,2251.69,1098.19,2913.56,1414.69,1634.81,1684.69
16,1581,1938,2250.56,1098.38,2913.94,1412.25,1635,1681.69
17,1578.94,1938.19,2249.63,1098.19,2914.69,1410.19,1634.63,1678.69
18,1577.25,1938.38,2249.06,1098,2914.69,1408.31,1634.81,1675.88
19,1575.56,1938.38,2248.13,1098.19,2915.44,1406.25,1634.44,1673.44
20,1574.06,1938.38,2247.38,1098,2916.19,1404.56,1634.44,1670.81
21,1572.19,1938.38,2247,1098,2916.19,1402.88,1634.63,1668.19
22,1570.69,1938.56,2246.06,1097.81,2916.38,1401.19,1634.63,1665.75
23,1569,1938.56,2245.69,1097.81,2917.13,1399.5,1634.25,1663.5
24,1567.5,1938.56,2245.13,1097.81,2917.31,1397.81,1634.44,1661.06
25,1566,1938.56,2244.75,1097.81,2917.88,1396.31,1634.25,1658.81
26,1564.69,1938.75,2244.38,1097.44,2918.25,1394.81,1634.44,1656.75
27,1563.19,1938.75,2244.19,1097.81,2918.81,1393.13,1634.06,1654.5
28,1561.88,1938.56,2243.44,1097.63,2919,1391.44,1634.25,1652.25
29,1560.38,1938.75,2243.44,1097.44,2919.56,1390.13,1633.88,1650.19
30,1558.88,1938.94,2243.25,1097.25,2919.38,1388.25,1634.06,1647.94
31,1557.56,1938.94,2243.25,1097.25,2919.94,1386.75,1633.88,1645.69
32,1556.06,1938.75,2243.06,1097.25,2920.69,1385.06,1633.69,1643.63
33,1554.94,1938.94,2243.25,1097.25,2921.06,1383.56,1633.88,1641.56
34,1553.63,1939.31,2243.06,1097.06,2921.44,1382.06,1633.88,1639.88
35,1552.31,1939.31,2243.06,1097.25,2922,1380.56,1633.69,1637.81
36,1551,1939.13,2242.69,1097.25,2922.38,1378.88,1633.69,1635.75
37,1549.69,1939.31,2243.25,1097.06,2922.94,1377.56,1633.69,1634.06
38,1548.38,1939.69,2243.06,1096.88,2922.94,1376.06,1633.69,1632
39,1547.25,1939.5,2243.25,1097.06,2923.69,1374.75,1633.5,1630.31
40,1545.94,1939.31,2243.63,1096.69,2923.69,1373.44,1633.5,1628.44
41,1545,1939.5,2243.81,1096.88,2924.44,1372.31,1633.5,1626.94
42,1543.88,1939.69,2243.63,1096.5,2924.44,1371,1633.5,1625.06
43,1542.94,1939.5,2244.19,1096.69,2925,1369.88,1633.31,1623.56
