time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1797.56,2111.44,2268.56,1253.25,3080.63,1475.25,1889.81,1678.13
2,1797,2112.38,2269.31,1253.44,3081.56,1475.06,1890,1677.94
3,1796.63,2113.31,2270.06,1254,3082.13,1474.69,1890.38,1677.56
4,1796.25,2113.69,2271,1254.38,3082.88,1474.31,1890.75,1677.19
5,1795.69,2114.63,2271.75,1254.38,3083.63,1473.94,1891.31,1676.81
6,1795.13,2115.56,2272.5,1254.75,3084.19,1473.56,1891.5,1676.44
7,1794.75,2116.88,2273.25,1255.31,3084.94,1473.19,1891.88,1676.25
8,1794.38,2117.06,2274.19,1255.5,3085.69,1473,1892.06,1675.88
9,1794,2118.19,2274.75,1255.69,3086.25,1472.63,1892.63,1675.88
10,1793.63,2119.13,2275.5,1256.06,3086.81,1472.44,1893,1675.5
11,1793.44,2120.25,2276.25,1256.25,3087.56,1471.88,1893.56,1675.13
12,1792.69,2120.44,2277,1256.44,3088.5,1471.31,1893.56,1674.75
13,1792.31,2121.19,2277.75,1256.81,3089.06,1471.31,1893.94,1674.56
14,1791.94,2121.94,2278.69,1257,3089.44,1470.94,1894.13,1674.38
15,1791.56,2123.25,2279.25,1257.38,3090.38,1470.56,1894.69,1674
16,1791.19,2123.44,2279.81,1257.56,3090.75,1470.38,1895.06,1674
17,1790.81,2124.19,2280.75,1257.94,3091.5,1470,1895.25,1673.44
18,1790.44,2124.94,2281.31,1258.13,3092.06,1469.81,1895.63,1673.44
19,1790.06,2126.25,2282.25,1258.5,3092.63,1469.44,1896,1673.06
20,1789.5,2126.44,2282.81,1258.69,3093.38,1469.25,1896.19,1672.88
21,1789.13,2127,2283.56,1258.88,3093.94,1469.06,1896.56,1672.69
22,1789.13,2127.94,2284.5,1259.06,3094.31,1468.69,1896.94,1672.5
23,1788.75,2128.88,2285.25,1259.81,3094.88,1468.69,1896.94,1672.31
24,1788.19,2128.69,2286.19,1260,3095.44,1468.31,1897.13,1671.94
25,1788,2129.63,2286.94,1260,3096.19,1468.31,1897.5,1671.94
26,1787.81,2130,2287.5,1260.38,3096.56,1467.94,1897.88,1671.75
27,1787.44,2131.5,2288.44,1260.56,3097.13,1467.75,1898.25,1671.56
28,1786.88,2131.31,2289,1260.75,3097.69,1467.56,1898.63,1671.19
29,1786.88,2131.88,2289.75,1260.94,3098.06,1467.38,1898.63,1671.19
30,1786.5,2132.81,2290.5,1261.13,3098.44,1467.38,1899.19,1671.19
31,1786.5,2133.75,2291.06,1261.69,3099,1467.19,1899.38,1671
32,1785.94,2133.94,2291.81,1261.69,3099.75,1466.81,1899.75,1670.81
33,1785.75,2134.5,2292.56,1261.88,3100.31,1466.63,1899.94,1670.44
34,1785.56,2135.06,2293.13,1262.06,3100.5,1466.44,1900.31,1670.44
35,1785.19,2135.81,2293.88,1262.63,3101.25,1466.06,1900.5,1670.25
36,1784.81,2136.19,2294.63,1262.63,3101.63,1465.88,1901.06,1670.25
37,1784.63,2136.56,2295.56,1262.63,3101.81,1465.69,1901.44,1670.06
38,1784.44,2136.94,2296.13,1263,3102.56,1465.88,1901.25,1669.88
39,1784.06,2138.06,2296.88,1263.38,3102.75,1465.31,1901.63,1669.69
40,1783.88,2137.88,2297.63,1263.56,3103.13,1465.31,1902,1669.69
41,1783.5,2138.63,2298.38,1263.75,3103.5,1465.13,1902.19,1669.5
42,1783.5,2139.19,2298.94,1263.94,3103.88,1465.13,1902.38,1669.31
43,1783.13,2139.94,2299.88,1264.31,3104.63,1464.75,1902.38,1669.13
44,1782.75,2139.94,2300.44,1264.5,3105.19,1464.56,1902.75,1668.94
45,1782.38,2140.5,2301,1264.69,3105.56,1464.38,1903.13,1668.94
46,1782.38,2140.88,2301.94,1264.88,3105.94,1464.38,1903.31,1668.75
47,1782.19,2142,2302.5,1265.25,3106.31,1464,1903.88,1668.56
48,1781.81,2142,2303.06,1265.25,3106.88,1464,1903.88,1668.56
49,1781.81,2142.56,2304,1265.63,3107.25,1463.63,1904.44,1668.56
50,1781.44,2143.13,2304.38,1265.63,3107.81,1463.63,1904.63,1668.38
51,1781.06,2144.06,2305.13,1266,3108.19,1463.44,1905,1668.38
52,1780.88,2144.25,2306.06,1266.38,3108.56,1463.25,1905.19,1668.19
53,1780.88,2144.63,2306.63,1266.38,3108.94,1463.44,1905.38,1668
54,1780.5,2145,2307.56,1266.56,3109.5,1463.06,1905.56,1668
55,1780.13,2145.94,2308.13,1266.94,3110.06,1463.06,1905.75,1668
56,1779.75,2146.13,2308.88,1267.13,3110.25,1462.88,1906.13,1668
57,1779.75,2146.5,2309.44,1267.31,3110.81,1462.88,1906.5,1668
58,1779.56,2146.69,2310.38,1267.31,3111,1462.69,1906.69,1667.81
59,1779.19,2148,2310.94,1267.88,3111.75,1462.5,1906.88,1667.81
60,1779.19,2147.81,2311.69,1267.88,3111.75,1462.5,1907.06,1667.81
61,1779,2148.38,2312.25,1268.06,3112.13,1462.31,1907.44,1667.81
62,1778.81,2148.56,2313,1268.25,3112.31,1462.5,1907.63,1667.81
63,1778.44,2149.69,2313.56,1268.63,3113.06,1462.31,1907.81,1667.63
64,1778.25,2149.5,2314.31,1268.81,3113.25,1462.13,1908.19,1667.44
65,1778.06,2150.06,2315.06,1268.81,3113.81,1461.94,1908.19,1667.44
66,1777.69,2150.44,2315.63,1269,3114.19,1461.94,1908.75,1667.63
67,1777.69,2151.56,2316.38,1269.56,3114.38,1461.94,1908.94,1667.63
68,1777.5,2152.13,2316.94,1269.75,3115.5,1461.94,1909.31,1667.63
69,1777.31,2152.13,2317.88,1269.75,3115.69,1461.94,1909.5,1667.63
70,1776.94,2152.5,2318.63,1269.94,3116.44,1461.75,1909.5,1667.81
71,1777.13,2153.25,2319.38,1270.5,3116.25,1461.75,1910.06,1667.81
72,1758,2118.94,2627.81,1255.69,3273.56,1443.56,1882.88,1654.69
73,1820.25,2145.38,3387.19,1250.63,3599.63,1503,1904.06,1781.06
74,1954.5,2145.75,3684.38,1248,3730.5,1632.94,1932,1971.75
75,2093.44,2130,3783.19,1244.81,3765,1758.56,1947.19,2126.63
76,2202.38,2110.13,3806.06,1241.25,3763.31,1857,1952.06,2232.94
77,2283,2093.25,3799.13,1237.5,3746.25,1930.31,1949.06,2304.56
78,2341.88,2080.69,3778.31,1233.56,3730.31,1983.75,1943.25,2352.75
79,2385.75,2071.88,3757.88,1231.13,3714.38,2023.12,1937.25,2385.56
80,2418.19,2062.88,3740.25,1228.69,3695.06,2052,1930.88,2407.31
81,2443.5,2055.56,3723.38,1225.5,3678.75,2072.63,1924.5,2422.5
82,2463.38,2049.38,3706.31,1223.63,3669.19,2087.81,1918.69,2432.44
83,2479.13,2044.13,3688.88,1221.75,3657.75,2099.06,1914.56,2439.56
84,2492.81,2038.5,3676.69,1218.75,3648.94,2106.94,1909.5,2443.69
85,2504.06,2034.56,3665.44,1216.69,3642.19,2112.56,1904.81,2446.5
86,2512.88,2030.06,3657,1216.5,3631.5,2116.31,1901.44,2446.69
87,2521.13,2025.94,3652.13,1214.81,3624.56,2118.94,1897.69,2446.5
88,2528.63,2023.88,3640.88,1212.94,3619.13,2120.63,1894.5,2445.75
89,2535.19,2021.06,3633.75,1212.19,3612.75,2122.13,1891.5,2444.44
90,2540.81,2017.88,3627.75,1211.81,3608.06,2123.06,1889.06,2442.94
91,2545.69,2016.75,3617.81,1210.31,3603.94,2123.25,1886.44,2441.06
92,2550.19,2014.5,3612.56,1209.94,3596.44,2123.44,1884.56,2438.81
93,2553.75,2012.81,3608.63,1209.19,3596.44,2123.06,1882.5,2436.38
94,2557.31,2011.13,3603.38,1209.19,3592.5,2122.31,1880.63,2434.31
95,2560.5,2010.56,3599.44,1209,3588.56,2121.94,1879.13,2432.25
96,2563.5,2009.06,3596.63,1208.44,3584.63,2121.19,1877.81,2430
97,2566.5,2010.56,3594.94,1208.25,3583.31,2121,1876.5,2428.88
98,2569.88,2013.38,3593.63,1208.63,3582.94,2121.38,1875.75,2428.13
99,2572.88,2013.94,3589.5,1209,3579.56,2122.31,1876.31,2428.13
100,2576.06,2014.31,3587.63,1209,3579.38,2122.5,1875.94,2428.5
101,2579.06,2013.94,3585.56,1209.56,3579.56,2123.25,1875.38,2427.56
102,2581.5,2010.94,3582,1209.75,3575.25,2123.81,1874.63,2426.44
103,2583.19,2008.88,3576.38,1209,3572.06,2123.63,1873.5,2424.19
104,2584.5,2004.56,3571.5,1208.81,3569.44,2123.06,1872.38,2422.13
105,2585.06,2004,3565.69,1207.69,3565.88,2122.5,1870.5,2418.94
106,2587.5,1998.94,3546.56,1206.19,3566.63,2124.75,1869.38,2416.13
107,2591.44,1996.69,3530.44,1205.44,3561.56,2129.25,1867.69,2413.69
108,2594.63,1995.94,3527.63,1205.63,3560.63,2132.63,1866.38,2411.25
109,2596.88,1997.25,3529.13,1206,3555.75,2134.5,1865.81,2408.81
110,2599.13,1997.44,3527.25,1206.19,3557.25,2136,1864.5,2407.5
111,2601.19,1996.69,3525.75,1206,3553.13,2137.13,1863.75,2405.63
112,2601.94,1997.25,3523.5,1205.44,3549.94,2137.31,1862.81,2403.56
113,2603.81,1996.69,3518.81,1204.88,3551.06,2137.5,1861.88,2402.44
114,2604.19,1996.13,3517.13,1204.69,3550.5,2136.38,1861.13,2400.75
115,2605.5,1996.5,3514.31,1204.5,3548.25,2136.19,1860.75,2400.38
116,2606.63,1996.13,3514.13,1205.06,3545.81,2136.38,1860.38,2399.44
117,2607.38,1998.75,3515.81,1205.63,3545.25,2136.19,1860.38,2398.5
118,2608.88,2001.75,3520.5,1206.19,3547.5,2136.38,1860.38,2399.63
119,2609.81,2003.62,3524.63,1207.13,3549,2136.75,1860.38,2400.56
120,2611.88,2003.62,3521.81,1207.69,3550.31,2138.06,1860.75,2401.13
121,2613.38,2002.88,3519.19,1206.94,3549.19,2138.81,1860.56,2401.13
122,2613.75,2001.19,3519.38,1206.94,3547.69,2139.19,1860.38,2400.56
123,2613.94,2000.44,3517.88,1206.38,3544.88,2138.81,1859.44,2399.63
124,2614.31,1999.5,3516.19,1206.38,3543.94,2138.81,1859.06,2399.06
125,2614.69,1998.19,3516,1205.44,3543.38,2138.63,1858.5,2397.94
126,2614.13,1997.06,3513.94,1205.81,3540.94,2138.25,1857.94,2397
127,2614.5,1997.81,3510.38,1205.25,3539.81,2137.5,1857.19,2396.06
128,2614.31,1997.25,3506.63,1205.06,3540.56,2137.31,1857,2395.13
129,2614.69,1997.06,3504.38,1205.25,3541.13,2136.56,1856.63,2394.75
130,2614.88,1996.69,3504.94,1205.63,3538.69,2136.19,1856.06,2394.38
131,2615.06,1996.88,3504.38,1205.81,3537.94,2135.63,1856.06,2394
132,2615.06,1997.25,3506.63,1205.63,3538.69,2134.5,1855.5,2394
133,2615.63,1997.63,3506.44,1205.63,3540,2134.69,1855.13,2393.81
134,2615.81,1997.25,3506.81,1205.25,3538.88,2135.06,1855.5,2394
135,2615.63,1997.06,3502.13,1205.44,3540.75,2134.88,1854.94,2393.44
136,2616,1997.06,3499.5,1205.81,3537,2134.88,1854.94,2393.81
137,2615.63,1997.25,3498,1205.44,3540.94,2134.31,1854.38,2393.63
138,2616.38,1997.81,3497.44,1205.06,3535.31,2134.69,1854.56,2394.19
139,2616.94,1998.56,3498.19,1205.81,3537.56,2135.25,1854.75,2394.38
140,2616.75,1998.56,3499.31,1206,3536.63,2135.44,1854.38,2394.56
141,2617.31,1998,3501.94,1205.63,3537.94,2136,1854.38,2395.5
142,2617.31,1998.75,3502.13,1205.44,3536.81,2136.38,1854,2395.31
143,2617.31,1998.94,3501.56,1206.19,3533.25,2136.75,1854,2395.5
144,2617.31,1999.13,3499.13,1206.38,3535.5,2136.94,1853.81,2395.5
145,2617.5,1998.19,3498.75,1206,3536.44,2136.94,1853.63,2395.88
146,2617.13,1998.56,3498.56,1206.38,3534.38,2136.19,1853.25,2394.38
147,2617.31,1998.75,3497.63,1205.81,3533.63,2135.81,1852.88,2394.75
148,2616.56,1998.94,3497.81,1205.63,3530.44,2135.25,1852.88,2394.38
149,2616.38,1998,3493.13,1205.63,3532.88,2135.06,1852.5,2394.19
150,2615.81,1998.94,3492.38,1205.25,3533.44,2134.88,1852.5,2393.81
151,2615.44,1999.31,3492,1205.44,3532.31,2134.13,1851.94,2393.63
152,2615.25,1999.88,3494.44,1204.69,3536.25,2133.56,1851.94,2393.25
153,2615.44,2000.06,3495.75,1204.88,3533.63,2133.19,1852.13,2393.81
154,2615.25,1999.88,3496.31,1205.06,3534.38,2133,1851.75,2393.25
155,2615.25,2000.81,3496.31,1204.69,3533.44,2133.19,1851.94,2393.81
156,2615.63,2001,3494.06,1205.44,3533.06,2133.75,1851.75,2394.19
157,2614.88,2001.38,3492,1205.25,3536.63,2133.38,1851.75,2394
158,2615.44,2001.56,3491.44,1205.06,3537.94,2133.38,1851.75,2394.75
159,2615.44,2002.69,3493.31,1204.69,3537.38,2133.56,1852.13,2395.5
160,2616.19,2003.25,3495.75,1205.25,3536.81,2134.31,1852.69,2396.06
161,2616.38,2004.38,3498.94,1205.63,3538.31,2134.88,1852.31,2396.81
162,2616.75,2003.44,3499.31,1205.44,3539.06,2135.25,1852.5,2397.38
163,2616.75,2003.44,3500.06,1206,3538.88,2135.44,1852.13,2397.94
164,2617.13,2002.69,3496.31,1206,3540.19,2136,1852.13,2398.31
165,2616.94,2002.69,3499.13,1205.44,3539.44,2135.81,1851.75,2398.31
166,2617.69,2003.62,3499.13,1206,3539.06,2136.38,1852.5,2398.88
167,2618.63,2005.13,3499.13,1206.19,3542.81,2137.31,1852.69,2400
168,2618.63,2006.06,3499.88,1206.75,3541.5,2137.13,1852.88,2400
169,2619.19,2006.06,3504.94,1206.75,3544.88,2138.44,1853.25,2401.88
170,2620.88,2004.75,3505.69,1206.75,3545.06,2139.75,1853.06,2402.63
171,2621.63,2006.62,3507.56,1207.31,3541.88,2140.69,1852.88,2403.56
172,2619.75,1973.06,3462.94,1204.5,3493.69,2138.44,1850.81,2399.81
173,2614.88,1941.75,3374.44,1200.56,3395.44,2132.25,1845.19,2386.13
174,2606.63,1932,3277.31,1198.5,3317.63,2120.81,1836.19,2364.94
175,2594.44,1928.63,3194.06,1197,3265.13,2106,1827.19,2340.94
176,2581.5,1927.5,3123.19,1196.06,3225.56,2089.5,1819.88,2316
177,2567.44,1928.06,3062.81,1195.5,3196.5,2072.44,1814.25,2292
178,2553.56,1930.13,3013.5,1195.69,3174,2054.44,1809.56,2268.56
179,2539.13,1933.31,2973.19,1196.44,3157.88,2037,1806.75,2247.94
