timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1448,913,1897,585,1799,1357,1023,1698
2,1448,916,1900,585,1799,1357,1026,1698
3,1452,913,1900,585,1799,1357,1026,1698
4,1455,916,1897,585,1799,1357,1026,1702
5,1452,916,1897,585,1796,1357,1026,1698
6,1455,916,1900,585,1796,1357,1026,1698
7,1455,913,1900,585,1796,1357,1026,1702
8,1455,916,1897,585,1796,1361,1026,1702
9,1455,913,1897,585,1796,1361,1026,1705
10,1455,913,1903,585,1796,1364,1029,1702
11,1458,913,1903,585,1796,1364,1026,1705
12,1461,913,1903,588,1802,1361,1026,1705
13,1458,916,1903,585,1799,1364,1029,1705
14,1458,913,1903,588,1799,1364,1026,1708
15,1458,913,1903,585,1793,1361,1029,1708
16,1455,916,1903,588,1799,1367,1029,1705
17,1458,913,1900,588,1796,1364,1026,1705
18,1458,913,1906,585,1796,1364,1029,1711
19,1458,913,1903,588,1796,1367,1033,1708
20,1461,913,1903,588,1796,1364,1029,1708
21,1465,913,1906,588,1789,1364,1029,1708
22,1458,913,1906,588,1796,1364,1029,1705
23,1461,909,1906,588,1796,1364,1029,1708
24,1465,913,1906,588,1786,1364,1029,1708
25,1461,913,1906,588,1789,1364,1029,1708
26,1458,913,1910,585,1796,1364,1029,1708
27,1461,913,1910,588,1793,1364,1029,1708
28,1461,913,1906,588,1793,1364,1029,1705
29,1461,913,1906,588,1793,1367,1026,1711
30,1465,913,1910,588,1796,1367,1029,1705
31,1465,913,1910,588,1796,1367,1029,1711
32,1465,909,1906,588,1796,1364,1029,1708
33,1465,913,1910,588,1799,1370,1033,1711
34,1465,913,1913,588,1793,1367,1029,1708
35,1465,913,1913,588,1796,1367,1029,1711
36,1465,913,1913,588,1793,1367,1029,1711
37,1461,913,1910,588,1789,1367,1029,1708
38,1465,913,1913,588,1786,1370,1029,1711
39,1465,909,1913,591,1793,1367,1029,1708
40,1468,913,1910,588,1793,1367,1033,1711
41,1465,909,1910,588,1789,1370,1029,1708
42,1468,909,1913,588,1793,1370,1029,1711
43,1468,913,1913,588,1789,1370,1029,1711
44,1471,909,1913,588,1793,1367,1029,1711
45,1468,913,1910,591,1789,1367,1029,1711
46,1471,909,1916,588,1789,1367,1033,1711
47,1468,909,1916,588,1789,1370,1029,1711
48,1468,909,1919,588,1793,1370,1033,1715
49,1471,909,1916,588,1793,1370,1033,1715
50,1471,909,1916,588,1796,1370,1033,1711
51,1471,909,1916,588,1793,1370,1033,1718
52,1468,909,1916,588,1796,1370,1033,1715
53,1471,909,1916,588,1796,1370,1033,1711
54,1471,909,1919,588,1793,1370,1033,1715
55,1471,909,1923,588,1793,1370,1036,1718
56,1471,909,1916,588,1796,1370,1033,1711
57,1468,909,1916,591,1793,1370,1033,1715
58,1471,909,1919,588,1796,1370,1033,1718
59,1471,909,1919,588,1789,1370,1033,1715
60,1474,909,1919,588,1793,1370,1033,1715
61,1474,909,1919,588,1789,1370,1033,1715
62,1468,909,1919,588,1789,1374,1033,1718
63,1471,909,1923,588,1789,1374,1033,1715
64,1474,909,1919,588,1793,1370,1033,1715
65,1471,909,1916,588,1789,1374,1033,1718
66,1471,909,1923,588,1789,1370,1033,1718
67,1474,909,1923,588,1789,1370,1033,1718
68,1471,906,1919,588,1789,1374,1029,1711
69,1471,906,1919,588,1786,1374,1033,1721
70,1471,906,1919,588,1786,1370,1033,1715
71,1796,1234,2247,913,2111,1698,1357,2039
72,1763,1218,2228,896,2095,1666,1322,1997
73,1763,1221,2251,900,2104,1653,1322,1994
74,1770,1231,2319,903,2121,1656,1328,2007
75,1776,1241,2445,906,2192,1672,1341,2026
76,1789,1257,2624,909,2309,1692,1351,2049
77,1796,1276,2806,913,2442,1705,1364,2075
78,1793,1302,2981,916,2588,1724,1377,2117
79,1819,1325,3134,922,2699,1750,1403,2176
80,1835,1351,3254,929,2822,1793,1429,2251
81,1871,1367,3355,939,2932,1845,1465,2325
82,1910,1390,3426,945,3027,1900,1494,2400
83,1961,1403,3498,955,3092,1958,1523,2462
84,2020,1413,3550,961,3183,2020,1552,2527
85,2075,1426,3582,971,3225,2069,1572,2579
86,2130,1432,3614,977,3283,2127,1598,2630
87,2189,1445,3637,984,3319,2176,1624,2679
88,2244,1455,3666,997,3358,2221,1643,2721
89,2293,1458,3673,1003,3384,2264,1663,2764
90,2335,1461,3686,1010,3413,2306,1672,2803
91,2380,1468,3702,1020,3442,2341,1685,2838
92,2423,1471,3715,1026,3465,2374,1702,2861
93,2445,1468,3699,1023,3468,2387,1698,2871
94,2475,1471,3712,1026,3481,2410,1705,2890
95,2501,1474,3709,1036,3491,2436,1715,2920
96,2520,1478,3722,1036,3517,2455,1718,2932
97,2546,1481,3725,1042,3527,2478,1724,2955
98,2572,1481,3725,1046,3540,2507,1734,2978
99,2595,1491,3738,1052,3553,2520,1737,2994
100,2627,1491,3735,1055,3553,2540,1747,3017
101,2640,1491,3741,1059,3572,2559,1754,3027
102,2666,1491,3735,1062,3575,2585,1754,3049
103,2679,1494,3741,1065,3579,2588,1763,3062
104,2686,1491,3744,1072,3582,2601,1760,3066
105,2712,1494,3738,1072,3585,2624,1763,3082
106,2728,1491,3748,1078,3598,2637,1773,3095
107,2741,1497,3754,1085,3608,2653,1780,3111
108,2760,1497,3751,1088,3608,2666,1780,3127
109,2780,1494,3744,1091,3601,2682,1780,3137
110,2790,1491,3748,1098,3608,2689,1783,3147
111,2796,1494,3757,1098,3618,2702,1780,3160
112,2812,1494,3754,1101,3614,2712,1783,3160
113,2825,1494,3751,1101,3614,2721,1789,3170
114,2838,1491,3744,1104,3614,2738,1786,3186
115,2848,1494,3751,1107,3621,2744,1796,3183
116,2858,1487,3741,1111,3621,2754,1783,3205
117,2874,1487,3748,1111,3611,2757,1786,3215
118,2874,1487,3748,1114,3611,2767,1786,3218
119,2884,1487,3748,1114,3618,2773,1789,3209
120,2890,1487,3748,1114,3621,2780,1786,3225
121,2897,1487,3744,1114,3614,2786,1786,3225
122,2897,1487,3744,1117,3618,2790,1789,3238
123,2907,1484,3744,1117,3618,2806,1783,3241
124,2916,1481,3744,1117,3614,2812,1783,3248
125,2916,1474,3731,1114,3595,2799,1773,3241
126,2916,1474,3735,1114,3608,2806,1767,3244
127,2926,1474,3731,1114,3598,2809,1770,3248
128,2929,1471,3731,1114,3608,2822,1773,3248
129,2929,1474,3731,1114,3611,2829,1770,3254
130,2932,1474,3735,1114,3608,2829,1770,3257
131,2949,1478,3728,1114,3605,2832,1773,3267
132,2962,1474,3744,1114,3624,2851,1780,3280
133,2971,1474,3735,1117,3611,2858,1780,3296
134,2978,1474,3731,1117,3618,2871,1783,3293
135,2991,1471,3731,1120,3611,2871,1780,3296
136,2984,1478,3741,1120,3618,2877,1780,3299
137,3004,1468,3731,1120,3614,2884,1783,3306
138,3007,1468,3728,1120,3601,2884,1780,3309
139,3010,1471,3725,1124,3605,2887,1776,3312
140,3010,1468,3731,1120,3614,2887,1780,3309
141,3020,1468,3725,1124,3601,2897,1773,3312
142,3017,1468,3728,1124,3608,2890,1767,3319
143,3023,1468,3731,1120,3614,2900,1770,3319
144,3033,1468,3731,1124,3614,2910,1773,3329
145,3036,1465,3731,1120,3608,2913,1773,3325
146,3046,1465,3731,1124,3605,2910,1767,3335
147,3043,1468,3735,1124,3611,2920,1770,3329
148,3053,1465,3728,1124,3608,2920,1773,3335
149,3059,1465,3725,1120,3605,2926,1770,3335
150,3056,1465,3728,1124,3605,2926,1763,3345
151,3066,1461,3731,1124,3611,2929,1770,3342
152,3072,1461,3725,1124,3601,2936,1770,3348
153,3072,1465,3735,1127,3608,2936,1770,3351
154,3082,1465,3728,1127,3605,2945,1767,3355
155,3082,1465,3738,1127,3614,2945,1770,3351
156,3088,1461,3731,1127,3601,2952,1767,3364
157,3098,1461,3725,1127,3601,2958,1773,3364
158,3095,1461,3731,1127,3611,2958,1767,3361
159,3105,1461,3731,1130,3605,2958,1767,3368
160,3111,1458,3722,1127,3601,2965,1767,3368
161,3108,1461,3738,1130,3611,2965,1763,3368
162,3124,1458,3728,1127,3608,2981,1767,3374
163,3127,1458,3728,1130,3605,2975,1763,3387
164,3127,1455,3728,1130,3601,2981,1770,3384
