time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1591.31,1937.63,2286.94,1095.94,2942.44,1391.81,1632.19,1640.63
2,1590,1937.06,2287.13,1096.13,2942.25,1390.5,1632,1639.13
3,1588.88,1937.25,2287.5,1095.94,2942.44,1389.56,1632,1637.63
4,1587.56,1937.25,2288.06,1095.75,2942.81,1388.06,1631.81,1636.31
5,1586.63,1937.63,2288.25,1095.94,2942.81,1387.13,1631.81,1634.81
6,1585.31,1937.25,2288.44,1095.94,2943.19,1385.81,1631.81,1633.5
7,1584.19,1937.06,2288.81,1095.75,2943.19,1384.5,1631.63,1632
8,1583.06,1937.06,2289.38,1095.75,2943.38,1383.19,1631.81,1630.69
9,1581.94,1937.63,2289.75,1095.75,2943.56,1382.06,1631.44,1629.19
10,1580.63,1937.25,2289.94,1095.75,2943.75,1380.94,1631.44,1627.88
11,1579.5,1937.06,2290.5,1095.75,2943.75,1379.81,1631.44,1626.56
12,1578.56,1937.25,2290.88,1095.75,2943.94,1378.5,1631.63,1625.06
13,1577.63,1937.81,2291.06,1095.75,2944.13,1377.38,1631.44,1623.94
14,1576.69,1937.25,2291.44,1095.75,2944.13,1376.44,1631.44,1622.63
15,1575.75,1937.06,2292,1095.38,2944.31,1375.5,1631.06,1621.5
16,1574.44,1937.06,2292.38,1095.56,2944.5,1374.38,1631.06,1620.19
17,1573.88,1937.81,2292.75,1095.56,2944.69,1373.63,1631.25,1619.25
18,1572.75,1937.06,2293.31,1095.56,2944.69,1372.69,1630.88,1617.94
19,1571.63,1937.25,2293.5,1095.56,2944.88,1371.56,1631.06,1616.63
20,1570.69,1937.25,2293.69,1095.38,2945.06,1370.63,1631.06,1615.5
21,1569.94,1938.19,2294.44,1095.38,2945.25,1369.69,1630.69,1614.56
22,1569,1937.44,2294.81,1095.38,2945.44,1368.75,1630.88,1613.44
23,1567.88,1937.25,2294.81,1095.19,2945.81,1368,1630.5,1612.13
24,1566.75,1937.44,2295.38,1095.19,2945.81,1366.69,1630.5,1611.19
25,1565.81,1938.19,2295.56,1095.19,2946.19,1365.75,1630.5,1609.88
26,1565.06,1937.63,2296.5,1095.19,2946.19,1364.63,1630.5,1608.94
27,1563.94,1937.63,2296.69,1095.19,2946.75,1363.69,1630.5,1607.81
28,1563,1937.81,2297.25,1095.19,2946.56,1362.38,1630.13,1606.5
29,1562.06,1938.38,2297.63,1095.19,2946.94,1361.63,1630.31,1605.56
30,1561.31,1937.81,2298.19,1095,2946.94,1360.69,1630.31,1604.44
