timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1965,1213,1948,1111,1848,1814,1424,2147
2,1959,1216,1948,1108,1848,1810,1424,2144
3,1959,1216,1948,1108,1848,1807,1424,2150
4,1962,1216,1948,1108,1848,1804,1421,2144
5,1956,1216,1952,1108,1851,1804,1421,2144
6,1952,1216,1952,1108,1851,1801,1421,2144
7,1952,1219,1952,1108,1854,1801,1424,2137
8,1956,1219,1952,1105,1854,1804,1421,2137
9,1952,1219,1952,1108,1854,1801,1421,2134
10,1952,1219,1956,1105,1854,1793,1418,2134
11,1945,1219,1956,1105,1857,1798,1418,2134
12,1948,1219,1952,1102,1857,1793,1418,2134
13,1945,1219,1956,1105,1857,1790,1418,2131
14,1945,1222,1959,1102,1862,1787,1418,2131
15,1942,1222,1959,1102,1862,1787,1421,2126
16,1942,1222,1959,1102,1865,1784,1418,2126
17,1939,1222,1959,1102,1865,1781,1418,2123
18,1942,1222,1959,1102,1862,1784,1414,2123
19,1939,1225,1959,1097,1862,1781,1414,2123
20,1939,1222,1962,1097,1868,1777,1414,2120
21,1935,1225,1962,1097,1865,1777,1414,2120
22,1935,1225,1962,1097,1868,1777,1410,2117
23,1935,1225,1962,1097,1865,1774,1414,2120
24,1932,1225,1962,1094,1868,1774,1414,2114
25,1928,1225,1965,1094,1868,1774,1410,2114
26,1928,1225,1965,1094,1868,1774,1414,2110
27,1928,1225,1965,1094,1871,1774,1414,2114
28,1925,1229,1968,1091,1871,1770,1414,2114
29,1928,1229,1965,1091,1871,1767,1414,2110
30,1925,1229,1968,1094,1871,1767,1410,2110
31,1921,1232,1968,1091,1875,1764,1414,2110
32,1921,1232,1968,1094,1871,1764,1414,2106
33,1921,1229,1972,1091,1875,1764,1414,2106
34,1921,1232,1972,1091,1875,1760,1414,2103
35,1921,1232,1972,1091,1875,1760,1414,2103
36,1915,1232,1976,1091,1878,1760,1410,2103
37,1915,1232,1976,1088,1878,1760,1414,2100
38,1918,1236,1976,1091,1881,1757,1414,2103
39,1912,1232,1976,1091,1881,1760,1414,2100
40,1915,1236,1979,1088,1878,1757,1410,2100
41,1912,1236,1976,1088,1881,1757,1414,2097
42,1912,1236,1976,1088,1881,1754,1414,2100
43,1912,1239,1982,1088,1885,1751,1410,2097
44,1909,1236,1979,1085,1881,1754,1410,2093
45,1909,1239,1982,1088,1881,1751,1410,2090
46,1909,1239,1982,1085,1885,1746,1410,2093
47,1909,1239,1982,1085,1885,1746,1410,2093
48,1904,1239,1986,1085,1885,1743,1410,2090
49,1904,1239,1982,1085,1888,1743,1414,2087
50,1904,1239,1982,1085,1888,1746,1410,2090
51,1901,1239,1986,1088,1888,1746,1410,2090
