time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1713,2069.25,2137.5,1232.44,3014.44,1396.69,1854.94,1594.5
2,1712.63,2070,2138.25,1232.25,3014.81,1396.5,1855.13,1594.31
3,1712.25,2070,2139,1232.44,3015,1396.31,1855.31,1594.31
4,1711.88,2070.38,2139.94,1233,3015.38,1395.94,1855.5,1594.13
5,1711.69,2070.94,2140.5,1233,3015.56,1395.75,1856.06,1593.75
6,1711.5,2071.69,2141.25,1233,3015.75,1395.56,1856.06,1593.38
7,1711.13,2071.69,2141.81,1233.38,3016.13,1395.38,1856.25,1593.38
8,1710.75,2072.44,2142.75,1233.94,3016.31,1395,1856.44,1593
9,1710.38,2072.44,2143.5,1233.94,3016.69,1394.81,1856.81,1593
10,1710.19,2073.38,2144.25,1233.94,3017.06,1394.63,1857.19,1592.81
11,1710,2073.38,2145,1234.31,3017.25,1394.44,1857.38,1592.81
12,1709.63,2074.31,2145.75,1234.5,3017.44,1394.25,1857.75,1592.63
13,1709.44,2074.5,2146.69,1234.69,3017.63,1393.88,1857.94,1592.63
14,1709.06,2075.06,2147.25,1235.06,3018,1393.88,1858.31,1592.25
15,1709.06,2075.06,2148.19,1235.25,3018.38,1393.88,1858.69,1592.25
16,1708.69,2075.81,2148.75,1235.44,3018.38,1393.69,1858.88,1592.06
17,1708.31,2076.38,2149.69,1235.81,3018.75,1393.31,1859.06,1592.25
18,1708.31,2076.75,2150.44,1236,3019.13,1393.31,1859.44,1591.88
19,1707.94,2076.75,2151.38,1236,3019.31,1393.13,1859.81,1591.88
20,1707.75,2077.5,2152.13,1236.38,3019.69,1392.94,1860.19,1591.69
21,1707.56,2077.88,2152.88,1236.56,3019.88,1392.94,1860.38,1591.5
22,1707.38,2078.63,2153.63,1236.94,3020.06,1392.94,1860.56,1591.5
23,1707.19,2078.44,2154.38,1236.94,3020.44,1392.75,1860.75,1591.5
24,1707,2079.38,2155.31,1237.31,3020.81,1392.75,1861.13,1591.5
25,1706.81,2079.75,2155.88,1237.31,3021.19,1392.56,1861.5,1591.31
26,1706.63,2080.31,2156.81,1237.69,3021.56,1392.56,1861.88,1591.5
