time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1756.13,2125.5,2405.06,1263.38,3102.38,1439.63,1888.69,1665
2,1756.31,2125.88,2405.44,1263.38,3102.56,1439.63,1889.44,1665.19
3,1756.31,2125.5,2405.81,1263.56,3102.75,1439.63,1889.44,1665.38
4,1756.5,2125.88,2406.38,1263.19,3103.13,1439.63,1889.63,1665.38
5,1756.5,2125.88,2406.94,1263.75,3103.13,1439.81,1889.63,1665.56
6,1756.31,2126.25,2407.5,1264.13,3103.5,1440,1890,1665.75
7,1756.31,2126.44,2407.88,1264.13,3103.69,1440.19,1890,1665.75
8,1756.5,2126.81,2408.25,1263.94,3104.06,1440.19,1890.19,1665.94
9,1756.5,2126.81,2409,1264.13,3104.06,1440.38,1890.19,1665.94
10,1756.69,2127,2409.38,1264.5,3104.44,1440.56,1890.56,1666.13
11,1756.69,2127.19,2409.75,1264.31,3104.44,1440.75,1890.56,1666.31
12,1756.88,2127.75,2410.31,1264.13,3104.81,1440.75,1890.56,1666.5
13,1756.88,2127.56,2410.69,1264.5,3105,1440.75,1890.94,1666.5
14,1756.88,2127.94,2411.06,1264.69,3105.38,1440.75,1890.94,1666.69
15,1756.88,2127.94,2411.44,1264.5,3105.56,1440.94,1891.13,1666.88
16,1756.88,2128.31,2411.81,1264.31,3105.75,1440.75,1891.13,1667.06
17,1756.88,2127.94,2412.38,1264.69,3105.94,1440.94,1891.13,1666.88
18,1756.88,2128.31,2412.94,1265.06,3106.13,1440.94,1891.13,1666.88
19,1756.88,2128.5,2413.13,1265.06,3106.31,1440.75,1891.31,1667.06
20,1756.69,2128.88,2413.69,1264.5,3106.69,1440.94,1891.5,1667.06
21,1756.88,2128.69,2414.25,1265.06,3106.69,1440.75,1891.5,1667.06
22,1756.69,2129.06,2414.63,1265.44,3106.69,1440.56,1891.88,1667.06
23,1756.69,2129.25,2415.19,1265.25,3107.06,1440.75,1891.88,1667.25
24,1756.69,2129.44,2415.56,1265.06,3107.06,1440.56,1892.06,1667.44
25,1756.5,2129.25,2416.13,1265.25,3107.06,1440.75,1892.06,1667.44
26,1756.69,2129.44,2416.5,1265.81,3107.06,1440.94,1892.25,1667.63
27,1756.69,2129.63,2417.06,1265.44,3107.25,1440.94,1892.44,1667.63
28,1756.88,2130.19,2417.44,1265.25,3107.44,1440.94,1892.44,1667.81
29,1756.88,2130.19,2417.81,1265.81,3107.63,1441.31,1892.63,1668
30,1756.69,2130.19,2418.38,1266,3107.81,1441.31,1892.81,1668.19
31,1756.88,2130.75,2418.75,1266.19,3108,1441.5,1892.81,1668.38
32,1756.88,2131.13,2418.94,1265.81,3108.19,1441.69,1893.19,1668.56
33,1756.88,2131.13,2419.5,1266,3108.56,1441.88,1893,1668.75
34,1757.06,2131.5,2420.06,1266.38,3108.75,1441.88,1893.38,1668.94
35,1757.06,2131.5,2420.44,1266.38,3108.94,1442.06,1893.56,1668.94
36,1757.25,2132.06,2420.81,1266.19,3109.31,1442.25,1893.56,1669.13
37,1757.06,2132.06,2421.19,1266.56,3109.5,1442.44,1893.75,1669.31
38,1757.44,2132.06,2421.75,1266.75,3109.69,1442.63,1893.75,1669.31
39,1757.25,2132.44,2422.13,1266.94,3109.69,1442.44,1893.94,1669.69
40,1757.44,2132.81,2422.5,1266.38,3110.25,1442.63,1893.94,1669.5
41,1757.44,2132.81,2423.06,1266.94,3110.25,1442.63,1894.31,1669.88
42,1757.44,2133,2423.44,1267.31,3110.25,1442.81,1894.31,1670.06
43,1757.63,2133.19,2424,1267.13,3110.81,1442.81,1894.5,1670.25
44,1757.44,2133.56,2424.19,1266.94,3111,1443,1894.69,1670.25
45,1757.44,2133.56,2424.75,1267.31,3111,1443,1894.88,1670.44
46,1757.63,2133.75,2425.13,1267.69,3111.38,1443,1894.88,1670.63
47,1757.63,2133.94,2425.5,1267.69,3111.38,1443.38,1895.06,1670.81
48,1757.81,2134.13,2426.06,1267.31,3111.56,1443.38,1895.25,1670.81
49,1757.81,2134.31,2426.44,1267.69,3111.56,1443.75,1895.25,1671.19
50,1757.81,2134.31,2426.81,1267.88,3111.94,1443.56,1895.63,1671.19
51,1758,2134.69,2427.38,1267.88,3111.94,1443.75,1895.63,1671.38
52,1758,2135.06,2427.75,1267.69,3112.31,1444.13,1895.81,1671.56
53,1758,2135.06,2428.31,1268.06,3112.5,1443.94,1896,1671.75
54,1758.19,2135.25,2428.5,1268.44,3112.69,1444.31,1896,1671.94
55,1758,2135.25,2428.69,1268.25,3113.06,1444.69,1896.19,1672.31
56,1758.19,2135.81,2429.44,1268.06,3113.25,1444.69,1896.38,1672.31
57,1758.19,2135.81,2429.81,1268.44,3113.06,1444.5,1896.56,1672.69
58,1758.38,2136,2430.38,1268.63,3113.44,1445.06,1896.56,1672.88
59,1758.56,2136.38,2430.56,1268.44,3113.63,1445.25,1896.75,1673.06
60,1758.56,2136.75,2430.94,1268.44,3113.63,1445.25,1896.94,1673.06
61,1758.56,2136.38,2431.5,1268.81,3114,1445.44,1896.94,1673.44
62,1758.56,2136.56,2431.88,1269,3114.38,1445.44,1897.13,1673.81
63,1758.75,2136.75,2432.06,1269,3114.38,1445.81,1897.5,1673.81
64,1758.75,2137.13,2432.63,1268.81,3114.75,1445.81,1897.5,1673.81
65,1758.75,2137.13,2433.19,1269,3114.75,1446,1897.69,1674.19
66,1758.75,2137.31,2433.56,1269.38,3114.75,1446.19,1897.88,1674.19
67,1758.94,2137.13,2433.94,1269.38,3114.94,1445.81,1897.88,1674.38
68,1759.13,2137.5,2434.31,1269,3115.31,1446.19,1898.06,1674.38
69,1759.13,2137.31,2434.5,1269.38,3115.13,1446.19,1898.25,1674.56
70,1759.13,2137.13,2435.06,1269.75,3115.31,1446.19,1898.25,1674.75
71,1741.13,2116.69,2411.81,1256.06,3086.25,1430.63,1878.19,1657.88
72,1735.88,2114.63,2875.13,1252.5,3326.63,1422.56,1864.69,1658.25
73,1806.56,2132.25,3523.5,1247.06,3598.31,1479.94,1884.75,1788.56
74,1941.56,2109.75,3740.06,1242.38,3688.69,1599.56,1906.13,1970.63
75,2072.06,2077.69,3798,1236.19,3698.25,1716.56,1913.63,2115
