time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1576.31,1949.25,2523.19,1095.19,3029.63,1369.88,1632.19,1617.56
2,1576.31,1948.88,2523.38,1095.19,3029.81,1369.88,1632.19,1617.56
3,1576.31,1948.88,2523.56,1095.38,3030.19,1369.69,1632.38,1617.19
4,1576.5,1949.06,2523.94,1095.56,3030.38,1369.5,1632.56,1617
5,1576.5,1949.81,2523.94,1095.56,3030.56,1369.5,1632.56,1616.81
6,1576.31,1949.25,2524.31,1095.56,3030.75,1369.5,1632.94,1616.81
7,1576.31,1949.44,2524.5,1095.75,3030.75,1369.31,1632.75,1617
8,1576.31,1949.63,2524.31,1095.94,3030.75,1368.94,1632.94,1616.44
9,1576.13,1950.38,2524.5,1095.94,3031.31,1368.75,1632.94,1616.44
10,1575.94,1950,2524.5,1095.94,3031.13,1368.38,1633.13,1616.25
11,1575.75,1950,2524.88,1096.13,3031.5,1368.38,1633.5,1615.88
12,1575.56,1950.19,2524.88,1096.13,3031.5,1368,1633.31,1615.69
13,1575.38,1950.75,2524.88,1096.31,3031.5,1368,1633.5,1615.88
14,1575.38,1950,2524.88,1096.5,3031.5,1368.19,1633.88,1615.88
15,1575.38,1950.38,2524.88,1096.31,3031.31,1368,1633.5,1615.88
16,1575.19,1950.56,2524.31,1096.5,3031.31,1368,1633.5,1615.88
17,1575,1951.31,2524.69,1096.31,3031.31,1367.81,1633.69,1615.88
18,1574.81,1950.56,2524.31,1096.5,3031.13,1367.81,1633.88,1615.88
19,1574.63,1950.94,2524.31,1096.69,3031.31,1367.81,1633.69,1615.5
20,1574.81,1950.94,2524.13,1096.88,3031.5,1367.63,1633.88,1615.88
21,1574.81,1951.69,2523.94,1096.88,3031.69,1367.81,1634.06,1615.88
22,1574.63,1951.31,2524.13,1097.06,3031.69,1367.63,1634.06,1615.5
23,1574.63,1951.5,2524.31,1096.88,3031.88,1367.63,1634.06,1615.5
24,1574.44,1951.69,2524.31,1097.06,3031.88,1367.25,1634.25,1615.69
25,1574.06,1952.25,2524.5,1097.06,3032.06,1367.44,1634.44,1615.69
26,1574.06,1951.88,2524.31,1097.25,3032.25,1367.06,1634.63,1615.31
27,1573.88,1952.06,2524.69,1097.25,3032.25,1366.69,1634.63,1615.13
28,1573.69,1952.06,2524.5,1097.44,3032.25,1366.5,1634.63,1615.31
29,1573.88,1952.81,2524.88,1097.25,3032.25,1366.5,1634.81,1614.94
30,1573.69,1952.25,2524.5,1097.63,3032.25,1366.31,1635,1614.94
31,1573.5,1952.44,2524.88,1097.63,3032.06,1366.5,1635.19,1614.94
32,1573.5,1952.63,2524.5,1097.63,3032.25,1366.31,1635.19,1615.13
33,1573.5,1953.19,2524.88,1097.63,3032.44,1366.31,1635.38,1614.75
34,1573.31,1952.81,2525.06,1097.81,3032.06,1366.13,1635.19,1614.75
35,1573.31,1953,2524.88,1097.63,3032.06,1366.13,1635.38,1614.75
36,1573.31,1953,2524.88,1098,3031.88,1365.94,1635.56,1614.56
37,1573.13,1953.38,2524.88,1097.81,3032.63,1366.13,1635.75,1614.56
38,1572.94,1953.19,2524.88,1097.81,3032.25,1366.13,1635.94,1614.56
39,1573.13,1953,2524.69,1098.19,3032.25,1366.13,1635.75,1614.56
40,1573.13,1953.38,2524.69,1098,3032.63,1366.13,1636.13,1614.56
41,1572.94,1954.31,2524.31,1098,3032.81,1366.13,1635.94,1614.56
42,1573.13,1954.13,2524.5,1098,3032.63,1366.13,1636.13,1614.38
43,1572.94,1954.13,2524.69,1098.19,3033,1366.13,1636.5,1614.56
44,1572.94,1954.31,2524.69,1098.38,3033.19,1365.94,1636.31,1614.56
45,1572.94,1955.25,2524.5,1098.38,3033.38,1365.94,1636.31,1614.38
46,1572.75,1954.88,2524.5,1098.56,3033.56,1365.75,1636.5,1614
47,1572.56,1954.88,2524.69,1098.56,3033.75,1365.75,1636.5,1614.19
48,1572.56,1954.88,2524.5,1098.56,3033.56,1365.19,1636.69,1613.81
49,1572.38,1955.63,2524.69,1098.38,3033.94,1365.19,1636.69,1613.81
50,1572.56,1955.25,2524.31,1098.56,3033.19,1365.38,1636.69,1613.81
51,1572.38,1955.44,2524.5,1098.94,3033.38,1365.19,1637.06,1613.81
52,1572.38,1955.44,2524.31,1098.94,3033.56,1365.38,1637.06,1614
53,1572.38,1956,2524.13,1098.75,3033.19,1365.38,1637.06,1613.81
54,1572.19,1955.44,2524.31,1098.94,3033.56,1365.56,1637.25,1613.81
55,1572.56,1955.81,2524.5,1098.94,3033.75,1365.56,1637.25,1613.81
56,1572.19,1956,2523.94,1099.13,3033.38,1365.19,1637.25,1613.81
57,1572.19,1956.56,2524.31,1098.94,3033.75,1365.38,1637.44,1613.63
58,1572.19,1956,2524.31,1098.94,3033.75,1365.19,1637.44,1613.63
59,1572,1956,2524.13,1099.31,3033.94,1365,1637.81,1613.63
60,1571.81,1956.38,2524.13,1099.31,3033.94,1365.19,1637.63,1613.44
61,1572.19,1957.13,2524.13,1099.31,3034.13,1365.19,1637.63,1613.44
62,1571.81,1956.56,2524.13,1099.5,3034.31,1365.19,1638,1613.25
63,1571.63,1956.94,2524.31,1099.5,3034.69,1364.81,1637.81,1613.44
64,1571.63,1956.94,2524.31,1099.13,3034.69,1364.63,1637.81,1613.25
65,1571.63,1957.69,2524.13,1099.5,3034.69,1364.44,1637.81,1613.06
66,1571.44,1957.31,2524.31,1099.69,3034.69,1364.25,1638.19,1612.88
67,1571.06,1957.5,2524.5,1099.69,3035.06,1364.25,1638.38,1612.88
68,1570.88,1957.31,2524.69,1099.69,3035.06,1364.06,1638.19,1612.69
69,1570.69,1958.06,2524.5,1099.5,3035.06,1363.69,1638.19,1612.5
70,1570.69,1957.5,2524.5,1099.69,3034.88,1363.69,1638.38,1612.31
71,1567.5,1953.19,2520.38,1096.88,3030,1360.88,1635,1609.5
72,1575.56,1991.06,3025.69,1099.69,3352.13,1363.88,1641.94,1623
73,1667.81,2132.81,3767.44,1113.19,3724.31,1437,1699.69,1812.75
74,1851.19,2223.38,4087.69,1129.69,3914.06,1602.94,1763.06,2103.19
75,2045.06,2257.31,4207.5,1143.56,4016.25,1786.13,1814.06,2344.13
76,2203.88,2265.19,4266.94,1154.63,4063.88,1945.5,1848.56,2527.69
77,2327.63,2258.81,4291.5,1162.5,4080.75,2077.69,1869.94,2663.63
78,2425.13,2245.88,4298.44,1167.38,4091.81,2186.25,1881.56,2764.88
79,2502.94,2229.38,4298.63,1170,4089,2274.94,1885.88,2841.56
80,2565,2214.38,4295.63,1171.31,4081.13,2347.5,1885.5,2898.75
81,2615.44,2198.63,4286.44,1171.13,4076.81,2406.56,1882.69,2942.63
82,2656.5,2184.56,4277.06,1170.75,4065.56,2455.5,1878.38,2976.38
83,2690.81,2171.25,4265.81,1169.44,4050.94,2495.06,1872.94,3001.5
84,2719.13,2160.94,4253.25,1167.94,4043.25,2528.25,1867.31,3021
85,2743.13,2150.06,4240.31,1166.44,4032.56,2555.44,1861.69,3034.69
86,2762.81,2140.13,4228.69,1164.94,4022.63,2577,1855.69,3044.63
87,2779.88,2131.88,4216.5,1162.88,4011.19,2594.25,1849.88,3050.63
88,2794.13,2124.19,4203.56,1161.19,3999.56,2608.5,1844.63,3054.38
89,2805.56,2117.06,4193.25,1159.69,3992.81,2619.56,1839.75,3055.5
90,2815.13,2110.31,4182.19,1158,3980.06,2627.06,1834.5,3054.38
91,2823.19,2105.06,4170.38,1156.13,3974.81,2632.88,1830,3051.94
92,2829.56,2099.63,4160.63,1154.44,3965.81,2637.38,1826.06,3048.94
93,2835,2094.75,4150.5,1153.31,3953.63,2640.19,1822.31,3044.63
94,2839.69,2090.44,4139.63,1152.19,3948.38,2640.94,1818.75,3039.56
95,2843.06,2086.31,4131.38,1150.88,3940.5,2640.75,1815.19,3033.56
96,2845.13,2083.13,4120.5,1149.94,3933,2639.63,1812.19,3027.19
97,2846.63,2079.75,4113.75,1149,3927.38,2637.38,1809.38,3020.44
98,2847.56,2077.13,4105.13,1148.06,3921.94,2634.38,1806.19,3013.5
99,2847.94,2073.94,4097.25,1147.31,3915.19,2630.81,1803.75,3006.56
100,2847.75,2071.69,4088.81,1146.56,3906.94,2627.06,1801.31,2999.44
101,2846.44,2068.69,4081.69,1145.81,3905.25,2622.75,1799.25,2991.75
102,2845.69,2065.88,4074.94,1144.88,3898.88,2617.88,1797,2984.25
103,2844.56,2063.81,4069.69,1143.94,3891.38,2613,1795.13,2976.75
104,2842.69,2062.5,4061.25,1143.19,3889.5,2607.94,1793.25,2969.44
105,2840.44,2060.25,4054.31,1142.81,3883.31,2602.31,1791.38,2961.94
106,2837.44,2058.19,4047.38,1142.25,3878.25,2596.69,1789.31,2954.25
107,2834.25,2056.5,4040.06,1141.13,3873,2590.31,1787.44,2946.56
108,2831.25,2054.44,4034.06,1140.75,3870.94,2584.31,1785.38,2938.88
109,2827.5,2052.75,4029.19,1140.19,3866.44,2578.31,1783.69,2932.13
110,2824.5,2050.69,4023.38,1139.63,3860.63,2572.13,1782,2924.44
111,2820.94,2049.38,4016.63,1138.88,3858,2566.31,1779.94,2916.75
112,2816.81,2048.06,4011.94,1138.31,3855.38,2560.13,1778.63,2910.19
113,2813.63,2046.38,4006.88,1137.75,3850.5,2553.94,1777.13,2903.44
114,2809.88,2046.19,4002.19,1137.38,3848.81,2548.31,1776.19,2896.5
115,2806.69,2044.69,3999.38,1136.81,3845.25,2542.31,1774.88,2890.31
116,2802.19,2044.13,3995.25,1136.44,3841.88,2536.69,1773.56,2884.31
117,2798.63,2042.44,3990.75,1136.06,3836.44,2530.5,1772.44,2877.38
118,2794.69,2041.31,3985.31,1135.88,3831.94,2524.88,1771.13,2871.19
119,2790.94,2040.75,3979.5,1134.94,3828.56,2519.63,1769.81,2865.94
120,2787,2040,3974.44,1134.94,3827.63,2514.19,1768.88,2860.31
121,2783.44,2039.25,3969.75,1134.75,3824.81,2508.56,1768.13,2854.5
122,2779.13,2038.13,3965.81,1134.56,3821.25,2503.5,1767.19,2849.06
123,2775.19,2037.38,3960.94,1133.81,3819.19,2498.25,1766.06,2843.63
124,2771.63,2037,3957.56,1133.25,3815.44,2493.38,1765.31,2838.19
125,2767.5,2036.44,3953.81,1133.06,3810.94,2488.5,1764.38,2832.94
126,2763.19,2034.75,3949.5,1132.88,3808.5,2483.25,1763.06,2827.5
127,2759.25,2033.81,3945.56,1132.5,3803.25,2478.19,1762.13,2822.44
128,2755.13,2033.25,3942.75,1131.94,3801.56,2472.94,1761.19,2817.56
129,2751,2031.94,3938.44,1131.75,3798.38,2467.88,1759.88,2812.13
130,2747.06,2031,3934.69,1131.19,3797.63,2463.38,1758.75,2807.25
131,2743.5,2030.81,3932.06,1130.81,3795.38,2459.06,1758,2802.56
132,2739.56,2030.06,3928.5,1130.25,3793.88,2454.19,1757.25,2797.88
133,2734.88,2029.69,3923.63,1130.44,3790.88,2449.5,1756.13,2793
134,2731.13,2028.56,3920.81,1129.88,3788.63,2444.81,1755.38,2788.5
135,2727.38,2028.37,3919.31,1129.31,3784.69,2440.31,1754.63,2784.38
136,2723.63,2027.06,3915.75,1129.13,3780.38,2435.81,1753.69,2779.5
137,2719.88,2026.31,3913.69,1128.75,3779.06,2431.69,1752.75,2775.38
138,2715.94,2026.31,3911.06,1128.94,3774.94,2427.75,1752,2771.63
139,2712.19,2025.56,3908.81,1128,3772.69,2423.25,1751.44,2767.31
140,2708.25,2025.38,3904.88,1127.63,3770.81,2419.5,1750.5,2763.38
141,2705.06,2024.81,3902.63,1128,3767.81,2415.56,1750.13,2759.44
142,2701.5,2023.31,3900.38,1127.44,3765.75,2411.63,1749.38,2755.69
143,2697.94,2022.94,3896.06,1127.25,3765.94,2407.5,1748.44,2751.56
144,2694.19,2022.75,3893.25,1126.69,3761.63,2403.75,1747.5,2747.81
145,2690.44,2021.63,3889.13,1126.5,3758.25,2399.81,1746.94,2743.69
146,2686.69,2021.06,3886.13,1126.31,3756,2395.88,1746.19,2739.19
147,2682.94,2019.75,3883.69,1125.75,3755.81,2392.31,1745.44,2735.81
148,2679.75,2019.19,3880.31,1125.56,3752.25,2388.19,1744.5,2731.88
149,2676,2018.44,3877.88,1125,3749.81,2384.44,1744.5,2727.94
150,2672.06,2018.06,3876,1124.81,3747.19,2381.25,1743.38,2724.19
151,2669.06,2017.5,3872.63,1124.63,3743.63,2377.5,1742.81,2720.44
152,2665.5,2017.13,3869.44,1124.44,3741.75,2374.13,1742.06,2716.69
153,2661.94,2016.38,3868.13,1124.44,3738.75,2370.38,1741.69,2713.5
154,2658.94,2015.81,3865.88,1124.63,3739.31,2367.19,1741.13,2710.31
155,2655.56,2016.19,3863.25,1124.06,3737.63,2364.19,1740.75,2706.56
156,2652.56,2015.06,3861.75,1123.69,3733.31,2360.63,1740.19,2703.56
157,2649.19,2014.87,3860.25,1123.69,3736.69,2357.63,1739.44,2700
158,2646,2014.87,3857.06,1123.5,3734.63,2354.25,1739.25,2697
159,2642.81,2013.94,3855,1123.13,3734.81,2351.25,1738.69,2693.63
160,2639.44,2013.94,3853.31,1122.75,3727.88,2348.25,1738.31,2690.63
161,2636.25,2013.38,3850.69,1122.75,3729.19,2344.69,1737.19,2687.06
162,2632.88,2012.63,3847.31,1122.56,3726.19,2341.88,1736.63,2683.69
163,2629.31,2012.06,3845.44,1122,3722.63,2338.69,1736.06,2680.31
164,2626.31,2011.5,3843.38,1122,3719.25,2335.5,1735.5,2677.31
165,2622.94,2011.69,3841.5,1122,3718.13,2332.5,1734.75,2674.31
166,2620.13,2011.31,3839.63,1121.81,3715.88,2329.5,1734.19,2671.69
167,2617.31,2011.69,3836.25,1121.44,3715.69,2326.13,1734.19,2668.5
168,2614.13,2011.69,3834.75,1121.63,3711,2323.5,1733.63,2665.69
169,2611.31,2011.87,3831.38,1121.44,3709.5,2320.31,1733.25,2663.44
170,2608.31,2011.5,3829.5,1121.63,3709.69,2317.88,1733.44,2660.81
171,2605.5,2010.94,3827.06,1120.31,3707.63,2315.25,1733.25,2658.56
172,2601.38,1977.19,3802.5,1117.69,3665.25,2311.13,1727.81,2653.31
173,2592,1945.31,3740.63,1113.56,3594,2300.06,1715.06,2635.5
174,2578.69,1930.5,3679.5,1110.94,3518.06,2284.31,1702.69,2609.63
175,2563.31,1924.31,3622.31,1110,3460.69,2265.38,1692.94,2580.19
176,2546.06,1920.56,3568.69,1109.06,3422.44,2244.94,1685.81,2549.44
177,2528.44,1917.56,3520.88,1107.75,3384.94,2223.19,1679.63,2518.5
178,2510.25,1916.81,3477.56,1107.19,3356.44,2200.69,1674.56,2487.94
179,2491.88,1916.81,3435.56,1107.19,3330.75,2178.38,1670.63,2458.5
180,2473.31,1916.06,3396.75,1106.44,3311.81,2155.69,1667.81,2429.81
181,2454.75,1916.06,3359.25,1105.69,3296.06,2133.56,1665,2402.63
182,2436.56,1915.69,3325.5,1105.13,3279.19,2111.63,1662.56,2376.38
183,2418.19,1915.69,3292.13,1105.31,3265.5,2090.44,1660.5,2351.81
184,2400.94,1915.88,3261.38,1105.31,3253.88,2069.63,1659,2329.5
185,2383.31,1916.06,3231.94,1104.38,3241.88,2049.94,1657.5,2307.38
186,2366.06,1914.94,3204.38,1104,3231.75,2030.81,1656.38,2286.56
187,2349.38,1915.31,3177.38,1104.19,3220.69,2012.44,1655.06,2267.25
188,2333.06,1915.31,3152.63,1103.81,3211.69,1995,1653.94,2248.69
189,2317.13,1914.94,3129.38,1102.88,3203.06,1978.13,1653,2231.81
190,2301.19,1915.13,3106.13,1102.69,3195,1962,1651.88,2215.5
191,2285.63,1915.69,3084.38,1102.88,3188.06,1946.63,1651.13,2200.13
192,2270.81,1916.25,3063.94,1102.69,3181.31,1931.63,1650.38,2184.94
193,2256,1916.44,3043.69,1101.94,3174.75,1917.19,1649.81,2171.81
194,2242.13,1916.81,3025.13,1101.75,3168,1903.69,1648.69,2158.31
195,2228.06,1917.94,3007.13,1102.13,3162.19,1890.75,1648.13,2145.56
196,2214.56,1918.31,2990.44,1101.94,3157.5,1878.19,1647.75,2133.94
197,2201.63,1918.31,2973.75,1101.19,3151.13,1866.38,1647.19,2123.06
198,2188.69,1918.5,2957.25,1100.81,3146.81,1855.31,1646.63,2112.19
199,2176.13,1919.06,2941.13,1101.19,3141,1844.06,1646.25,2102.44
200,2164.13,1919.25,2925.56,1101,3137.25,1833.94,1645.88,2092.88
201,2152.69,1919.44,2911.13,1100.06,3131.63,1824,1645.31,2083.69
202,2141.06,1919.44,2896.5,1100.06,3126.94,1814.63,1644.38,2075.44
203,2130,1920.56,2883,1100.44,3123.75,1805.44,1644.38,2067
204,2119.5,1921.31,2870.25,1099.88,3120,1796.81,1644,2059.13
205,2108.81,1920.94,2857.69,1099.31,3116.06,1788.56,1643.63,2051.81
206,2098.69,1919.81,2844.75,1099.13,3111,1780.5,1643.06,2044.87
207,2088.94,1920.75,2832.38,1099.31,3107.81,1773.38,1642.88,2038.31
208,2079.38,1920.94,2820.94,1099.31,3103.69,1766.06,1642.31,2031.94
209,2070,1920.19,2809.31,1098.56,3100.13,1759.31,1642.13,2025.75
210,2061,1921.5,2798.25,1098.75,3096.94,1752.75,1641.94,2020.31
211,2052.38,1922.63,2788.31,1098.75,3093.56,1746.19,1641.56,2014.69
212,2043.75,1922.63,2778.19,1098.56,3091.13,1739.81,1641.38,2009.06
213,2035.5,1922.44,2769,1098,3088.31,1734,1641,2003.81
214,2027.25,1922.63,2759.06,1098,3084.38,1728.19,1640.44,1998.75
215,2019.38,1923.56,2749.69,1098.38,3081.94,1722.75,1640.63,1993.5
216,2011.87,1923.75,2740.31,1098.19,3078.94,1717.5,1640.25,1988.63
217,2004,1923.94,2730.75,1097.81,3076.31,1712.06,1640.06,1984.13
218,1996.88,1923.94,2721.94,1097.63,3073.69,1707.19,1639.69,1979.81
219,1989.94,1924.69,2713.69,1098,3071.44,1702.5,1639.69,1975.5
220,1983.19,1924.69,2705.25,1097.81,3069.56,1698,1639.69,1971.56
221,1976.25,1924.69,2696.81,1097.63,3066.56,1693.5,1639.31,1967.44
222,1969.69,1925.06,2688.19,1097.25,3063.56,1689.38,1638.94,1963.5
223,1963.13,1925.25,2679.75,1097.81,3061.31,1685.25,1638.56,1959.56
224,1956.56,1925.25,2671.69,1097.81,3059.06,1680.94,1638.38,1956.38
225,1951.13,1925.44,2664.75,1097.25,3057.56,1677,1638.56,1952.44
226,1944.94,1925.63,2657.25,1096.88,3054.94,1673.25,1638.38,1949.44
227,1939.31,1926,2649.94,1097.44,3053.25,1669.5,1637.81,1946.44
228,1933.5,1925.63,2643.38,1097.25,3051.38,1665.94,1637.63,1943.25
229,1928.06,1925.44,2636.06,1096.88,3049.13,1662.75,1638,1940.25
230,1922.81,1925.25,2629.69,1096.69,3047.06,1659.38,1637.25,1937.06
231,1917.56,1926,2622.75,1097.06,3044.63,1656,1636.88,1934.25
232,1912.31,1925.81,2616.75,1096.88,3042.94,1652.63,1636.31,1931.44
233,1907.25,1925.81,2610.19,1096.5,3041.63,1649.81,1636.69,1928.44
234,1902,1925.44,2603.81,1096.31,3039,1646.63,1635.94,1925.81
235,1897.31,1925.81,2597.63,1096.69,3036.94,1643.63,1635.75,1922.81
236,1892.63,1926,2591.44,1096.5,3036.19,1640.63,1635.56,1920.19
237,1887.94,1926,2586,1095.75,3033.94,1637.81,1635.56,1917.56
238,1883.25,1926.19,2579.81,1095.56,3031.31,1635,1634.63,1915.69
239,1879.13,1927.13,2575.31,1095.94,3030,1632.38,1634.63,1913.06
240,1874.63,1927.13,2569.31,1096.13,3028.13,1629.94,1634.81,1910.25
241,1870.31,1927.13,2563.69,1095.56,3026.25,1627.13,1634.44,1908.19
242,1866.38,1927.31,2558.63,1095.38,3024.56,1624.88,1634.06,1905.75
243,1862.25,1927.88,2553.38,1095.94,3023.63,1622.63,1633.88,1903.69
244,1858.31,1927.31,2547.94,1095.75,3022.31,1620.19,1634.25,1901.81
245,1854.56,1927.31,2542.88,1095,3020.63,1618.13,1633.88,1899.94
246,1850.81,1927.13,2538.38,1095,3019.31,1616.06,1633.69,1898.06
247,1847.44,1926.94,2533.31,1095.38,3017.25,1614,1633.31,1896
248,1843.88,1926.56,2528.44,1095.38,3016.5,1611.94,1633.5,1894.31
249,1840.5,1924.31,2522.63,1094.44,3014.25,1610.06,1633.13,1892.63
250,1836.94,1925.06,2516.81,1094.06,3011.25,1608.19,1632.56,1890.56
251,1833.56,1926.19,2513.06,1094.81,3010.88,1606.13,1632.19,1888.88
252,1830.19,1927.31,2509.69,1094.81,3010.69,1604.44,1632.38,1887.19
253,1827,1927.5,2505.75,1094.25,3009.19,1602.38,1632.19,1885.5
254,1824,1928.06,2502,1094.25,3008.06,1600.5,1632.19,1883.63
255,1820.81,1929,2497.69,1094.81,3007.5,1598.81,1632.19,1881.94
256,1817.63,1929.19,2493.56,1094.81,3005.81,1596.94,1632.19,1880.25
257,1814.81,1929,2489.44,1094.44,3004.88,1595.25,1632,1878.94
258,1812,1929.19,2485.31,1094.44,3002.81,1593.75,1632,1877.63
259,1809,1929.75,2481.38,1095,3002.06,1592.06,1631.63,1876.13
260,1806.19,1929.38,2477.44,1094.81,3000.75,1590.38,1631.63,1874.63
261,1803.75,1929.19,2473.13,1094.44,2999.81,1589.06,1631.81,1873.13
262,1801.13,1929,2468.81,1094.25,2998.69,1587.56,1631.63,1871.81
263,1798.31,1929.38,2465.44,1094.81,2997.94,1586.06,1631.63,1870.31
264,1795.88,1929,2461.5,1094.81,2996.63,1584.56,1631.44,1869.38
265,1793.25,1928.81,2458.13,1094.25,2995.5,1583.25,1631.44,1868.06
266,1791,1928.81,2453.81,1094.06,2993.81,1581.94,1631.25,1866.94
267,1788.75,1928.44,2450.44,1094.25,2992.5,1580.81,1631.44,1865.63
268,1786.31,1928.25,2446.69,1094.44,2991.56,1579.5,1630.88,1864.5
269,1784.06,1928.44,2443.88,1093.88,2990.63,1578.38,1630.88,1863.38
270,1781.81,1927.88,2440.31,1093.69,2988.94,1577.06,1630.88,1862.06
271,1779.94,1928.63,2436.94,1094.06,2988.38,1576.13,1630.88,1861.13
272,1777.5,1928.81,2433.75,1094.25,2987.06,1574.63,1630.5,1859.81
273,1775.06,1928.63,2430.75,1093.69,2986.88,1573.5,1630.31,1858.31
