timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1641,936,1625,841,1531,1499,1134,1811
2,1635,939,1625,838,1531,1496,1134,1808
3,1635,939,1625,838,1531,1493,1134,1814
4,1638,939,1625,838,1531,1490,1131,1808
5,1632,939,1629,838,1534,1490,1131,1808
6,1629,939,1629,838,1534,1487,1131,1808
7,1629,942,1629,838,1537,1487,1134,1802
8,1632,942,1629,835,1537,1490,1131,1802
9,1629,942,1629,838,1537,1487,1131,1799
10,1629,942,1632,835,1537,1480,1128,1799
11,1622,942,1632,835,1540,1484,1128,1799
12,1625,942,1629,832,1540,1480,1128,1799
13,1622,942,1632,835,1540,1477,1128,1796
14,1622,945,1635,832,1544,1474,1128,1796
15,1619,945,1635,832,1544,1474,1131,1792
16,1619,945,1635,832,1547,1471,1128,1792
17,1616,945,1635,832,1547,1468,1128,1789
18,1619,945,1635,832,1544,1471,1125,1789
19,1616,948,1635,828,1544,1468,1125,1789
20,1616,945,1638,828,1550,1465,1125,1786
21,1613,948,1638,828,1547,1465,1125,1786
22,1613,948,1638,828,1550,1465,1121,1783
23,1613,948,1638,828,1547,1462,1125,1786
24,1610,948,1638,825,1550,1462,1125,1780
25,1606,948,1641,825,1550,1462,1121,1780
26,1606,948,1641,825,1550,1462,1125,1777
27,1606,948,1641,825,1553,1462,1125,1780
28,1603,951,1644,822,1553,1458,1125,1780
29,1606,951,1641,822,1553,1455,1125,1777
30,1603,951,1644,825,1553,1455,1121,1777
31,1600,954,1644,822,1556,1452,1125,1777
32,1600,954,1644,825,1553,1452,1125,1773
33,1600,951,1647,822,1556,1452,1125,1773
34,1600,954,1647,822,1556,1449,1125,1770
35,1600,954,1647,822,1556,1449,1125,1770
36,1594,954,1651,822,1559,1449,1121,1770
37,1594,954,1651,819,1559,1449,1125,1767
38,1597,958,1651,822,1562,1446,1125,1770
39,1591,954,1651,822,1562,1449,1125,1767
40,1594,958,1654,819,1559,1446,1121,1767
41,1591,958,1651,819,1562,1446,1125,1764
42,1591,958,1651,819,1562,1443,1125,1767
43,1591,961,1657,819,1566,1440,1121,1764
44,1588,958,1654,816,1562,1443,1121,1761
45,1588,961,1657,819,1562,1440,1121,1758
46,1588,961,1657,816,1566,1436,1121,1761
47,1588,961,1657,816,1566,1436,1121,1761
48,1584,961,1660,816,1566,1433,1121,1758
49,1584,961,1657,816,1569,1433,1125,1755
50,1584,961,1657,816,1569,1436,1121,1758
51,1581,961,1660,819,1569,1436,1121,1758
52,1581,961,1660,816,1569,1433,1118,1755
53,1581,964,1660,816,1569,1430,1121,1758
54,1581,964,1660,816,1572,1433,1121,1751
55,1578,967,1663,816,1569,1430,1121,1755
56,1581,964,1666,813,1569,1430,1121,1751
57,1578,964,1663,816,1572,1430,1118,1751
58,1575,964,1666,813,1572,1430,1121,1751
59,1575,967,1666,816,1572,1430,1121,1751
60,1578,967,1666,813,1572,1427,1121,1751
61,1572,967,1670,813,1575,1427,1121,1748
62,1575,967,1670,813,1575,1427,1121,1751
63,1575,967,1673,813,1575,1427,1118,1748
64,1572,967,1670,813,1575,1424,1121,1748
65,1572,967,1670,813,1575,1427,1121,1748
66,1572,967,1673,810,1575,1424,1118,1745
67,1569,967,1673,810,1578,1424,1121,1745
68,1569,967,1676,810,1578,1424,1121,1745
69,1569,970,1676,813,1578,1424,1121,1745
70,1572,967,1676,810,1578,1421,1118,1745
71,1531,942,1635,813,1540,1386,1093,1704
72,1521,951,1657,791,1553,1377,1077,1698
73,1509,954,1666,791,1556,1364,1068,1685
74,1506,964,1751,788,1569,1354,1065,1679
75,1503,980,1972,788,1613,1351,1065,1673
76,1506,1005,2287,791,1755,1354,1077,1695
77,1521,1036,2627,791,1928,1367,1090,1742
78,1540,1065,2930,797,2133,1389,1121,1827
79,1578,1096,3150,803,2312,1424,1159,1931
80,1632,1125,3314,816,2485,1484,1194,2038
81,1704,1143,3427,825,2621,1562,1225,2142
82,1792,1162,3522,832,2740,1644,1257,2236
83,1890,1184,3578,847,2854,1726,1301,2340
84,1978,1197,3641,860,2945,1808,1332,2426
85,2073,1210,3679,869,3027,1896,1361,2514
86,2155,1219,3711,882,3100,1978,1386,2583
87,2233,1228,3739,891,3159,2044,1408,2637
88,2300,1238,3755,904,3200,2110,1430,2693
89,2359,1244,3767,914,3244,2170,1443,2750
90,2426,1247,3774,923,3279,2233,1458,2797
91,2473,1254,3783,932,3311,2277,1471,2835
