time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1733.63,2215.13,2650.13,1275.94,3230.44,1453.5,1889.06,1692.19
2,1733.25,2214.94,2651.06,1275.94,3230.44,1453.5,1889.25,1692
3,1733.06,2214.94,2652,1275.75,3230.63,1453.13,1889.25,1691.63
4,1732.88,2214.94,2652.94,1275.56,3230.81,1452.56,1889.06,1691.06
5,1732.5,2215.13,2653.69,1275.75,3231.38,1452.19,1889.44,1690.5
6,1732.13,2215.13,2654.25,1275.94,3231.19,1451.81,1889.06,1690.5
7,1731.75,2215.13,2655.19,1275.75,3231.38,1451.44,1889.06,1689.94
8,1731.38,2215.31,2656.13,1275.56,3231.56,1451.06,1889.06,1689.38
9,1731.38,2215.31,2656.69,1275.56,3231.75,1450.69,1889.44,1689.19
10,1730.63,2215.13,2657.44,1275.94,3231.94,1450.31,1888.88,1688.81
11,1730.44,2215.31,2658.19,1275.75,3232.13,1450.13,1889.06,1688.25
12,1730.25,2215.31,2658.75,1275.56,3232.13,1449.56,1888.88,1688.06
13,1729.69,2215.69,2659.31,1275.38,3232.31,1449.19,1889.06,1687.69
14,1729.5,2215.69,2660.06,1275.75,3232.5,1449,1889.06,1687.31
15,1728.94,2215.5,2660.63,1275.56,3232.88,1448.44,1888.69,1686.75
16,1728.56,2215.69,2661.56,1275.56,3233.25,1448.06,1888.69,1686.19
17,1728.19,2215.88,2662.13,1275.56,3233.25,1447.88,1888.69,1686
18,1727.81,2215.88,2662.5,1275.94,3233.63,1447.31,1888.69,1685.44
19,1727.44,2216.06,2663.06,1275.75,3233.63,1447.13,1888.5,1685.25
20,1727.06,2216.06,2663.63,1275.56,3233.81,1446.94,1888.5,1684.88
21,1726.69,2216.25,2664.19,1275.56,3234,1446,1888.69,1684.5
22,1726.5,2216.06,2664.94,1275.94,3234.38,1445.63,1888.69,1684.13
23,1725.94,2216.25,2665.5,1275.75,3234.56,1445.63,1888.5,1683.75
24,1725.75,2216.44,2665.88,1275.94,3234.75,1444.88,1888.31,1683.38
25,1725.38,2216.44,2666.44,1275.75,3234.75,1444.31,1888.69,1683
26,1725,2216.44,2667,1276.13,3234.94,1444.31,1888.31,1682.63
27,1724.44,2216.44,2667.56,1276.13,3235.31,1444.13,1888.69,1682.44
28,1724.25,2216.81,2668.13,1275.94,3235.5,1443.56,1888.31,1682.06
29,1724.06,2216.81,2668.69,1275.94,3235.69,1443,1888.69,1681.88
30,1723.69,2216.81,2669.06,1276.31,3235.69,1442.63,1888.69,1681.69
31,1723.5,2217,2669.81,1276.31,3235.88,1442.63,1888.69,1681.5
32,1723.31,2217.19,2670.19,1275.94,3236.06,1442.63,1888.5,1681.13
33,1722.94,2217.38,2670.56,1276.13,3236.06,1441.69,1888.88,1680.94
34,1722.94,2217.38,2670.94,1276.31,3236.44,1441.69,1888.88,1680.75
35,1722.56,2217.56,2671.5,1276.31,3236.44,1441.31,1888.88,1680.56
36,1722.56,2217.56,2671.88,1275.94,3236.81,1441.31,1888.88,1680.38
37,1722.38,2217.75,2672.25,1276.31,3237,1441.31,1889.25,1680
38,1722,2217.94,2672.81,1276.5,3237,1440.75,1889.06,1679.81
39,1722,2217.94,2673.19,1276.31,3237.19,1440.75,1889.06,1679.81
40,1721.81,2218.13,2673.56,1276.31,3237.56,1440.56,1889.06,1679.44
41,1721.63,2218.5,2674.13,1276.31,3237.94,1440.75,1889.25,1679.44
42,1721.44,2218.5,2674.69,1276.69,3237.94,1440.19,1889.25,1679.25
43,1721.25,2218.69,2675.06,1276.5,3238.5,1440.19,1889.25,1679.06
44,1721.25,2218.88,2675.44,1276.31,3238.5,1440.38,1889.44,1679.06
45,1720.88,2219.25,2676,1276.31,3238.69,1440,1889.63,1679.06
46,1720.69,2219.25,2676.38,1276.69,3238.88,1439.63,1889.25,1678.69
47,1720.5,2219.25,2676.94,1276.69,3239.25,1439.63,1889.44,1678.69
48,1720.31,2219.44,2677.31,1276.5,3239.44,1439.25,1889.44,1678.5
49,1720.31,2220,2677.88,1276.69,3239.81,1439.25,1889.81,1678.31
50,1720.13,2220,2678.25,1276.88,3239.81,1438.69,1889.63,1678.13
51,1719.94,2220,2678.44,1276.88,3240,1438.88,1889.81,1677.94
52,1719.75,2220,2679.19,1276.88,3240.19,1438.31,1889.81,1677.94
53,1719.56,2220.38,2679.56,1276.88,3240.19,1438.5,1890,1677.94
54,1719.38,2220.38,2679.94,1277.25,3240.56,1438.5,1890,1677.56
55,1719.19,2220.56,2680.31,1277.06,3240.75,1438.13,1890.19,1677.56
56,1719.19,2220.94,2680.88,1277.06,3240.94,1437.75,1890.19,1677.38
57,1719,2221.13,2681.25,1277.06,3241.13,1437.75,1890.38,1677.38
58,1719,2221.13,2681.63,1277.44,3241.5,1437.56,1890.38,1677.19
59,1718.81,2221.31,2682,1277.44,3241.69,1437.38,1890.38,1677
60,1718.63,2221.5,2682.38,1277.25,3241.69,1437,1890.56,1677
61,1718.63,2221.69,2682.94,1277.44,3242.06,1437,1890.75,1676.81
62,1718.44,2221.69,2683.31,1277.81,3242.44,1436.81,1890.94,1676.81
63,1718.25,2222.06,2683.69,1277.63,3242.63,1436.81,1890.75,1677
64,1718.25,2222.06,2684.44,1277.81,3242.81,1436.63,1890.94,1676.81
65,1718.06,2222.63,2684.63,1277.63,3243.19,1436.44,1891.31,1676.63
66,1717.88,2222.63,2685.19,1278,3243.19,1436.25,1891.31,1676.63
67,1717.88,2223,2685.75,1278,3243.38,1436.44,1891.31,1676.63
68,1717.69,2223,2686.13,1278.19,3243.75,1436.25,1891.31,1676.63
69,1717.88,2223.19,2686.69,1278.19,3244.13,1436.25,1891.69,1676.63
70,1717.69,2223.38,2686.88,1278.56,3244.13,1436.25,1891.69,1676.44
71,1716.56,2222.63,2686.69,1277.25,3243.38,1435.31,1890.75,1675.88
72,1745.06,2292.38,3168.56,1283.06,3595.69,1455.75,1908.38,1739.44
73,1954.88,2421.56,4037.62,1303.88,3972,1655.06,1975.5,2123.25
74,2237.25,2469.75,4288.69,1323.56,4130.25,1930.69,2031.19,2475
75,2453.25,2468.06,4350.19,1336.31,4188.75,2152.31,2063.44,2709.94
76,2606.44,2452.69,4359.94,1342.69,4201.31,2318.06,2078.81,2862
77,2716.5,2432.25,4348.88,1344.94,4198.88,2439.38,2083.31,2960.81
78,2797.69,2414.81,4326,1344.94,4177.88,2529.75,2081.81,3026.44
79,2858.25,2398.88,4300.5,1343.25,4161.94,2597.44,2077.5,3069.56
80,2904.38,2384.63,4279.31,1341.38,4147.88,2647.69,2071.69,3098.06
81,2939.81,2373.38,4255.31,1339.13,4132.69,2685,2065.69,3116.06
