time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1685.06,2220.38,2389.5,1253.44,3419.63,1363.31,1839.38,1528.69
2,1682.44,2220.56,2390.25,1253.25,3420.38,1360.5,1839.38,1526.25
3,1679.25,2220.38,2390.06,1252.69,3420.38,1357.31,1838.44,1523.44
4,1676.44,2220.38,2391,1252.5,3420.94,1354.31,1838.06,1520.63
5,1673.44,2219.63,2391.75,1252.13,3421.13,1351.31,1837.31,1517.81
6,1670.44,2219.81,2392.13,1251.75,3421.5,1348.31,1836.56,1515.19
7,1667.81,2220,2393.06,1251.38,3422.06,1345.88,1836.19,1512.94
8,1665,2219.81,2393.44,1251,3422.44,1343.06,1835.81,1510.31
9,1662.38,2219.06,2394,1250.44,3422.44,1340.25,1834.88,1507.88
10,1659.19,2219.06,2394.56,1250.06,3422.44,1337.44,1833.75,1505.44
11,1657.5,2219.25,2396.06,1250.06,3423.75,1335.56,1834.13,1503.94
12,1655.25,2219.44,2396.63,1250.06,3424.31,1333.69,1833.94,1502.06
13,1653.19,2219.25,2397.56,1250.25,3424.5,1331.44,1834.13,1500
14,1651.13,2218.88,2398.5,1250.06,3424.69,1329.38,1833.56,1498.31
15,1649.06,2219.06,2399.25,1249.31,3425.81,1327.5,1833.38,1496.44
16,1646.81,2219.25,2400.19,1249.31,3426.19,1325.63,1833.19,1494.75
17,1645.31,2219.06,2401.13,1249.31,3426.38,1323.75,1833.38,1493.25
18,1643.06,2218.88,2401.88,1249.31,3427.13,1321.69,1832.81,1491.38
19,1641.19,2218.88,2403,1248.75,3427.31,1319.81,1832.63,1489.5
20,1639.31,2219.44,2403.94,1248.94,3428.25,1318.13,1832.63,1488
21,1637.06,2218.5,2404.5,1248.38,3427.5,1315.88,1831.88,1486.13
22,1635.19,2218.69,2405.81,1248.56,3428.81,1314,1831.88,1484.63
23,1633.5,2218.69,2406.75,1248,3429.19,1312.31,1831.88,1483.13
