time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1395.56,2141.06,2364.38,1194.38,3360.94,1101.38,1755.19,1291.13
2,1395.56,2140.69,2364.19,1194.38,3360.75,1101.56,1755,1291.13
3,1395.75,2141.06,2364.19,1194.56,3360.56,1101.56,1754.81,1291.31
4,1395.75,2140.69,2364.19,1194.94,3360.75,1101.75,1755.19,1291.31
5,1395.56,2140.88,2364.38,1194.38,3360.94,1101.75,1755,1291.31
6,1395.75,2140.69,2364,1194.38,3360.75,1101.75,1755,1291.31
7,1395.19,2140.5,2363.63,1194.38,3359.81,1101.19,1754.06,1290.94
8,1395,2140.13,2363.63,1194.38,3360,1101.38,1753.88,1290.94
9,1395,2140.13,2363.81,1193.81,3359.81,1101.19,1753.69,1290.94
10,1394.81,2139.94,2363.81,1193.81,3359.81,1101.19,1753.69,1291.13
11,1394.81,2140.31,2363.63,1194.19,3359.81,1101.38,1753.5,1291.13
12,1395.19,2139.94,2363.81,1194,3359.81,1101.38,1753.5,1291.31
13,1395.19,2140.13,2364,1193.81,3360.19,1101.94,1753.88,1291.69
14,1395.38,2139.75,2363.63,1193.63,3359.63,1101.75,1753.69,1291.5
15,1395.19,2139.94,2363.25,1193.81,3359.06,1101.56,1753.31,1291.31
16,1394.81,2139.19,2363.44,1193.81,3358.88,1101.56,1752.94,1291.5
17,1395,2139.19,2363.44,1193.44,3359.25,1101.75,1753.13,1291.5
18,1395,2139,2363.25,1193.44,3358.88,1101.94,1753.13,1291.69
19,1395,2139.19,2363.25,1193.63,3358.88,1101.94,1753.13,1291.88
20,1395,2139.19,2363.44,1193.63,3358.88,1101.94,1752.94,1291.88
21,1395.38,2139.19,2363.44,1193.25,3359.06,1102.31,1753.13,1292.06
22,1395.75,2139.38,2363.44,1193.44,3358.69,1102.5,1753.5,1292.25
23,1395.75,2139.38,2363.44,1194,3359.06,1102.5,1753.31,1292.63
24,1395.56,2139,2363.25,1193.63,3358.88,1102.31,1753.31,1292.63
25,1395.56,2139,2363.25,1193.25,3358.5,1102.31,1752.94,1292.44
26,1395.38,2139,2363.25,1193.44,3358.88,1102.5,1753.13,1292.63
27,1395.75,2139.56,2363.63,1193.81,3359.25,1102.69,1753.13,1292.81
28,1395.75,2139,2363.25,1193.63,3359.06,1102.88,1752.94,1292.81
29,1395.38,2138.44,2362.88,1192.88,3357.94,1102.5,1752.38,1292.44
30,1394.63,2137.88,2362.31,1192.31,3356.81,1102.13,1751.44,1292.06
31,1394.44,2138.25,2362.5,1192.88,3357.19,1101.56,1750.88,1291.88
32,1394.25,2137.69,2362.69,1192.69,3357.19,1101.56,1750.69,1291.88
33,1395,2138.63,2363.81,1192.5,3358.5,1102.13,1751.25,1292.63
34,1395.75,2138.25,2363.44,1192.88,3358.13,1103.06,1752.38,1293.38
35,1396.13,2138.63,2363.63,1193.44,3358.5,1103.44,1752.94,1294.13
36,1396.69,2138.25,2363.44,1193.44,3357.94,1103.81,1752.94,1294.13
37,1396.69,2138.44,2363.63,1193.25,3358.5,1104,1753.5,1294.5
38,1397.06,2138.25,2363.63,1193.44,3358.5,1104.19,1753.69,1294.88
39,1397.25,2138.63,2363.44,1193.81,3358.5,1104.56,1753.88,1295.06
40,1397.44,2138.25,2363.25,1194,3358.31,1104.56,1753.88,1295.06
41,1397.81,2138.63,2363.44,1193.63,3358.5,1104.75,1754.25,1295.25
42,1397.81,2138.63,2363.44,1193.81,3358.88,1104.94,1754.25,1295.63
43,1397.81,2139,2363.44,1194.19,3358.69,1105.13,1754.25,1295.44
44,1398.19,2138.81,2363.44,1194.19,3358.88,1105.13,1754.63,1295.81
45,1398,2139,2363.44,1194,3359.06,1105.31,1754.44,1295.81
46,1398.38,2139.19,2363.63,1194.19,3359.44,1105.5,1754.81,1296.19
47,1398.56,2139.94,2363.63,1194.56,3359.44,1105.69,1755,1296.19
48,1398.75,2139.56,2363.81,1194.94,3360.19,1106.25,1755.56,1296.94
49,1398.94,2139.75,2363.63,1194.56,3359.81,1106.44,1755.75,1297.13
50,1399.13,2139.75,2363.44,1194.75,3360.19,1106.44,1755.94,1297.31
51,1399.13,2140.31,2363.25,1194.94,3360,1106.63,1755.94,1297.31
52,1399.13,2140.31,2363.44,1195.31,3360.38,1106.63,1756.31,1297.5
53,1399.31,2140.13,2363.44,1194.75,3360.19,1106.63,1755.94,1297.31
54,1399.13,2139.94,2363.25,1195.13,3360,1106.63,1756.13,1297.5
55,1399.31,2140.5,2363.06,1195.13,3359.63,1106.63,1756.13,1297.31
56,1399.13,2140.13,2363.25,1195.5,3360.19,1106.44,1756.31,1297.5
57,1399.13,2140.31,2363.06,1194.75,3359.81,1106.63,1756.13,1297.5
58,1399.31,2140.5,2363.25,1195.13,3360.38,1107,1756.5,1297.69
59,1399.5,2141.25,2363.25,1195.69,3360.56,1107,1756.69,1297.88
60,1399.69,2140.88,2363.25,1195.69,3360.56,1107.19,1756.88,1298.06
61,1399.88,2141.06,2363.06,1195.31,3360.56,1107.38,1757.06,1298.25
62,1399.88,2141.25,2362.88,1195.69,3360.94,1107.56,1757.44,1298.44
