time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1685.44,2051.44,2445.94,1153.5,3313.69,1409.06,1690.31,1620.75
2,1683.56,2051.25,2445.75,1153.5,3313.88,1406.81,1690.13,1618.31
3,1681.31,2051.06,2446.5,1153.5,3313.88,1404.56,1689.94,1616.06
4,1679.44,2050.69,2446.31,1153.13,3314.06,1402.88,1689.56,1614
5,1677.75,2050.69,2446.69,1152.56,3313.88,1400.81,1689.56,1611.75
6,1675.69,2050.69,2447.25,1152.38,3314.25,1398.94,1689.19,1609.88
7,1673.81,2050.69,2447.25,1152.75,3314.25,1396.88,1689,1607.63
8,1672.13,2050.31,2447.44,1152.56,3314.81,1394.81,1688.81,1605.56
9,1670.25,2049.94,2447.63,1151.81,3314.63,1392.94,1688.44,1603.5
10,1668.38,2049.94,2448,1151.81,3314.81,1390.88,1688.06,1601.25
11,1666.5,2049.56,2448.19,1152.19,3314.81,1389.19,1687.88,1599.19
12,1664.81,2049.94,2448.56,1152,3315,1387.13,1687.69,1597.31
13,1663.31,2049.75,2449.13,1151.25,3315.19,1385.63,1687.5,1595.25
14,1661.44,2049.56,2449.31,1151.25,3315.56,1383.75,1687.13,1593.38
15,1659.56,2049.38,2449.5,1151.81,3315.75,1381.88,1686.94,1591.5
16,1657.88,2049.19,2449.88,1151.44,3315.75,1380.19,1686.56,1589.81
17,1656.56,2049.19,2450.44,1150.88,3316.13,1378.5,1686.56,1587.94
18,1654.88,2049.19,2451,1150.69,3316.5,1376.63,1686.38,1586.06
19,1653.19,2049.19,2451.19,1151.25,3316.5,1375.13,1686.38,1584.38
20,1651.5,2049.19,2451.75,1151.06,3316.5,1373.44,1686,1582.69
21,1650.19,2049.38,2452.5,1150.5,3316.88,1371.94,1685.81,1581.19
22,1648.31,2049.56,2453.06,1150.31,3317.06,1370.44,1685.63,1579.69
23,1647,2049.19,2453.06,1150.88,3317.63,1368.94,1685.25,1578.19
24,1645.5,2049,2454,1150.5,3317.44,1367.63,1685.25,1576.5
25,1644.19,2049.19,2454.19,1149.94,3318,1365.94,1684.88,1575.19
26,1642.88,2049.38,2455.13,1149.94,3318,1364.63,1684.88,1573.5
27,1641.38,2049,2455.13,1150.31,3318.38,1362.94,1684.69,1572.19
28,1640.06,2049,2455.69,1149.94,3318.38,1361.81,1684.5,1570.69
29,1638.56,2048.63,2456.06,1149.38,3318.19,1359.94,1684.13,1569
30,1637.25,2049,2456.81,1149.38,3318.75,1358.63,1684.13,1567.5
31,1636.13,2049,2457.19,1149.94,3318.94,1357.5,1683.94,1566.19
32,1634.81,2049.19,2457.56,1149.56,3319.13,1356,1683.75,1564.88
33,1633.5,2049,2458.13,1149.19,3319.69,1354.69,1683.56,1563.38
34,1632.19,2049.19,2459.06,1148.81,3319.5,1353.38,1683.38,1562.25
35,1630.88,2048.63,2459.44,1149.56,3319.5,1352.06,1683.19,1560.75
36,1629.94,2049,2460,1149.19,3320.06,1350.56,1683.19,1559.25
37,1628.44,2049,2460.56,1148.81,3320.25,1349.44,1683,1558.13
38,1627.5,2049.38,2461.5,1148.44,3320.63,1348.13,1683,1556.81
39,1626.38,2049.19,2461.69,1149.19,3320.81,1347,1683,1555.69
40,1625.06,2049,2462.25,1149.19,3321.19,1345.69,1683,1554.56
41,1624.13,2049,2463,1148.63,3321,1344.75,1683,1553.25
42,1623,2049.19,2463.75,1148.63,3321.38,1343.63,1683,1552.13
43,1621.88,2049.19,2464.31,1149.19,3321.38,1342.31,1682.81,1550.81
44,1620.75,2049.19,2464.69,1149,3321.75,1341.19,1683.19,1549.69
45,1619.81,2049,2465.25,1148.63,3321.75,1340.25,1682.81,1548.56
46,1619.06,2049.19,2466,1148.63,3321.75,1339.13,1682.63,1547.25
47,1617.56,2049,2466.56,1149.19,3321.94,1337.81,1683,1546.13
48,1616.81,2049,2466.94,1149.19,3322.31,1337.06,1682.63,1545
49,1616.06,2049.19,2467.5,1148.63,3322.13,1335.75,1682.63,1543.88
50,1614.56,2049.19,2468.06,1148.81,3322.31,1334.44,1682.44,1542.56
51,1613.63,2048.81,2468.63,1149.19,3322.13,1333.31,1682.25,1541.44
52,1612.5,2049,2469,1149,3322.31,1332.38,1682.25,1539.94
53,1611.56,2049,2469.94,1148.44,3322.31,1331.25,1682.06,1539.19
54,1610.63,2049,2470.5,1148.63,3322.88,1330.13,1682.06,1538.25
55,1609.69,2049.19,2470.88,1149.19,3323.06,1329.19,1682.06,1537.31
56,1608.75,2049.19,2471.63,1149.19,3322.88,1328.06,1682.06,1536.38
57,1607.44,2049.38,2472.19,1148.44,3323.81,1327.13,1682.06,1535.25
58,1606.88,2050.13,2472.75,1148.44,3324.19,1326.38,1681.69,1534.5
59,1605.94,2050.31,2473.13,1149.19,3324.56,1325.44,1681.88,1533.75
60,1605,2050.5,2473.69,1149,3325.13,1324.69,1681.88,1533.38
61,1604.25,2050.31,2474.25,1148.44,3324.94,1323.94,1681.88,1532.81
62,1603.31,2050.5,2474.81,1148.25,3325.5,1323.19,1681.5,1531.88
63,1602.56,2050.5,2475.38,1149,3325.69,1322.44,1681.5,1531.31
64,1601.63,2050.69,2475.94,1148.81,3325.5,1321.5,1681.69,1530.56
65,1601.06,2050.5,2476.13,1148.25,3325.69,1320.75,1681.69,1529.63
66,1600.5,2050.69,2477.25,1148.06,3325.69,1320,1681.5,1529.06
67,1599.75,2050.31,2477.63,1148.81,3325.5,1319.25,1681.88,1528.13
68,1598.81,2050.31,2478.19,1148.81,3325.5,1318.31,1681.88,1527
69,1598.06,2050.31,2478.75,1148.06,3325.5,1317.56,1681.5,1526.06
70,1597.31,2050.5,2479.5,1148.25,3325.5,1316.63,1681.69,1525.13
