time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1498.5,2103.38,2282.25,1193.63,3305.63,1227.56,1730.25,1384.31
2,1495.5,2103.38,2281.69,1194.19,3306.56,1224.38,1730.44,1381.13
3,1492.88,2103.75,2281.5,1194.19,3307.88,1220.81,1730.81,1378.31
4,1490.25,2104.5,2281.31,1194.56,3309.19,1218,1730.81,1375.5
5,1487.25,2104.5,2281.31,1194,3310.13,1214.44,1731,1372.69
6,1484.44,2105.06,2281.31,1193.81,3311.44,1211.44,1731,1370.44
7,1481.06,2104.88,2280.94,1193.81,3311.44,1207.88,1729.88,1367.25
8,1478.06,2105.06,2281.31,1193.63,3312.38,1204.88,1728.94,1364.25
9,1475.25,2105.44,2282.06,1193.06,3313.5,1201.69,1728.75,1361.81
10,1472.44,2106,2283,1192.5,3314.63,1198.88,1728.56,1359.38
11,1469.63,2106.19,2283.56,1192.69,3315.38,1196.06,1728,1356.94
12,1466.81,2106.38,2283.94,1192.69,3315.94,1193.63,1727.25,1354.31
13,1465.31,2107.13,2285.44,1192.13,3317.63,1191.38,1727.81,1352.81
14,1462.88,2107.31,2286.38,1191.94,3318.56,1189.31,1727.81,1351.31
15,1461.19,2107.88,2287.69,1192.31,3319.5,1187.44,1728.19,1349.81
16,1459.31,2108.25,2288.81,1192.5,3320.63,1186.13,1728,1348.13
17,1457.25,2108.44,2289.56,1192.13,3321.56,1183.88,1728.19,1346.44
18,1455.56,2108.63,2290.88,1191.75,3322.31,1181.81,1728.19,1344.75
19,1453.5,2109,2292.38,1192.13,3323.63,1180.13,1728,1343.06
20,1452.19,2109.38,2293.5,1192.31,3324.38,1178.81,1728.19,1341.75
21,1450.88,2109.75,2295,1191.94,3325.88,1177.13,1728.94,1340.63
22,1449,2109.94,2296.13,1191.75,3326.44,1175.63,1728.94,1339.31
23,1447.31,2109.94,2297.25,1191.94,3327.19,1173.94,1728.75,1337.63
24,1445.44,2110.31,2298.56,1191.94,3327.94,1172.44,1728.38,1335.75
25,1443.94,2110.31,2300.06,1191.56,3328.88,1170.56,1728.56,1334.44
26,1442.06,2110.69,2301.56,1191.19,3329.63,1168.88,1728.38,1332.94
27,1440.75,2110.69,2302.88,1191.56,3330,1167.19,1728.19,1331.44
28,1439.25,2111.25,2304.75,1191.75,3331.5,1166.44,1728.19,1330.13
29,1438.13,2111.25,2306.25,1191.38,3332.25,1164.94,1728.75,1329
30,1436.63,2111.44,2307.94,1191.19,3333,1163.44,1728.94,1327.69
31,1435.13,2111.44,2309.06,1191.19,3333.38,1161.94,1728.56,1326.19
32,1433.44,2111.44,2310.56,1191.19,3333.94,1160.63,1728,1324.5
33,1432.13,2111.63,2312.25,1190.81,3334.69,1158.94,1728.19,1323.38
34,1431,2111.81,2313.94,1190.63,3335.44,1157.81,1728.19,1322.25
35,1429.88,2112,2315.44,1191,3336,1156.69,1728.38,1321.31
36,1428.94,2112.38,2317.69,1191.38,3337.69,1156.13,1728.56,1320.19
37,1427.81,2112.38,2318.81,1191.19,3338.25,1154.81,1729.13,1319.44
38,1426.88,2112.56,2320.5,1190.81,3338.63,1153.69,1729.31,1318.5
39,1425.56,2112.75,2322,1191,3339.19,1152.38,1729.13,1317
40,1424.25,2112.75,2323.69,1191.38,3339.75,1151.44,1728.75,1315.88
41,1423.13,2112.75,2325.19,1191,3340.31,1150.13,1728.94,1314.56
42,1422,2112.94,2326.88,1190.63,3341.44,1148.81,1729.13,1313.63
43,1420.88,2113.13,2328.38,1191,3341.63,1147.69,1728.94,1312.69
44,1419.75,2113.13,2329.88,1191.19,3342,1146.94,1728.75,1311.56
45,1418.63,2112.94,2331.56,1190.81,3342.94,1145.63,1728.75,1310.44
46,1417.5,2113.5,2333.44,1190.63,3343.69,1144.69,1728.94,1309.69
47,1416.75,2113.5,2334.94,1190.81,3344.06,1143.75,1728.75,1308.75
48,1415.63,2113.69,2336.63,1191,3345,1143,1728.75,1307.63
49,1414.31,2113.69,2338.31,1191,3345.56,1141.88,1728.38,1306.69
50,1413.38,2113.5,2339.63,1190.25,3345.75,1140.56,1728.56,1305.56
51,1412.44,2113.88,2341.5,1190.63,3346.88,1139.81,1728.75,1305
52,1411.88,2114.06,2343.38,1191,3347.63,1139.44,1728.94,1304.44
53,1410.38,2114.06,2344.88,1190.44,3347.81,1137.94,1728.75,1303.31
54,1409.81,2114.44,2346.75,1190.25,3348.56,1137.19,1728.75,1302.56
55,1409.06,2114.63,2348.44,1190.81,3349.5,1136.63,1729.31,1302
56,1408.5,2115,2350.13,1191,3350.06,1136.25,1729.13,1301.25
57,1407.38,2114.63,2351.44,1190.81,3350.25,1134.75,1729.13,1300.5
58,1406.25,2114.81,2353.31,1190.06,3350.63,1133.81,1728.75,1299.38
59,1404.94,2114.44,2354.44,1190.25,3350.81,1132.69,1728.19,1298.25
60,1403.81,2114.63,2356.13,1190.06,3351.38,1131.56,1727.63,1296.94
61,1403.06,2115.38,2358.56,1190.06,3351.94,1130.81,1727.81,1296.38
62,1402.69,2115.56,2360.44,1189.88,3353.25,1130.63,1728.38,1296.38
63,1402.31,2115.75,2362.13,1190.44,3353.81,1130.06,1728.94,1296
64,1401.38,2115.56,2363.44,1190.44,3354,1129.5,1728.38,1294.88
65,1400.44,2115.56,2364.75,1190.06,3354.19,1128.38,1728.38,1294.31
66,1399.31,2115.38,2366.25,1189.5,3354.38,1127.25,1727.63,1293.19
67,1398.19,2115.38,2367.94,1189.69,3354.75,1126.31,1727.25,1292.25
68,1397.63,2115.75,2369.63,1189.88,3355.5,1125.94,1727.06,1291.5
69,1396.88,2115.94,2371.5,1189.69,3356.06,1125.19,1727.63,1291.31
70,1396.31,2115.75,2373.19,1189.31,3356.63,1124.44,1727.25,1290.75
71,1392.38,2110.69,2369.81,1186.13,3350.25,1121.25,1723.5,1287.19
72,1425.56,2247.56,3679.88,1198.13,3969,1134.75,1749.94,1351.5
73,1737.75,2537.25,4405.13,1242.19,4364.25,1370.44,1888.5,1911.56
74,2144.06,2593.13,4543.69,1277.81,4455.56,1732.69,1999.13,2401.13
75,2424.19,2569.13,4573.13,1296.19,4479.38,2007.56,2058.38,2701.31
76,2607.19,2526.38,4566.38,1302.38,4471.31,2202.19,2080.13,2875.31
77,2728.31,2482.69,4546.69,1301.44,4448.25,2337,2079.75,2973.19
78,2808.75,2443.5,4520.44,1297.5,4422.94,2428.88,2068.13,3023.81
