timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1506,1005,1726,834,1523,1432,1083,1746
2,1510,1009,1723,834,1519,1432,1083,1746
3,1510,1009,1726,834,1523,1435,1083,1746
4,1510,1009,1729,834,1529,1432,1086,1752
5,1513,1009,1733,834,1526,1432,1083,1749
6,1510,1009,1729,834,1526,1435,1089,1752
7,1513,1009,1733,834,1529,1435,1086,1752
8,1510,1009,1733,834,1529,1438,1086,1749
9,1516,1009,1736,837,1529,1438,1089,1755
10,1513,1009,1736,837,1532,1442,1089,1755
11,1519,1012,1736,837,1532,1438,1086,1755
12,1519,1009,1739,837,1532,1438,1089,1752
13,1516,1009,1736,837,1526,1442,1089,1758
14,1516,1009,1739,837,1532,1438,1086,1752
15,1516,1009,1739,834,1529,1438,1083,1752
16,1513,1009,1742,837,1532,1438,1086,1752
17,1516,1009,1739,834,1529,1438,1083,1755
18,1516,1009,1739,834,1532,1438,1086,1755
19,1516,1009,1742,837,1532,1438,1083,1752
20,1516,1009,1746,837,1535,1438,1086,1752
21,1516,1009,1746,837,1532,1438,1086,1755
22,1516,1012,1749,837,1539,1442,1089,1758
23,1516,1012,1752,837,1539,1445,1089,1758
24,1519,1012,1749,837,1539,1445,1089,1758
25,1519,1012,1749,837,1535,1445,1089,1762
26,1519,1012,1752,837,1542,1448,1089,1762
27,1519,1012,1752,837,1539,1448,1089,1758
28,1523,1012,1755,837,1542,1448,1093,1762
29,1523,1012,1755,837,1539,1445,1093,1762
30,1519,1012,1758,837,1542,1445,1093,1765
31,1519,1009,1755,837,1542,1448,1093,1762
32,1519,1012,1758,837,1542,1445,1089,1762
33,1519,1012,1758,837,1539,1445,1089,1758
34,1523,1012,1758,837,1542,1445,1089,1762
35,1523,1012,1758,837,1545,1445,1089,1758
36,1519,1012,1762,837,1545,1448,1089,1762
37,1519,1012,1762,840,1545,1445,1093,1765
38,1519,1012,1762,840,1542,1445,1089,1765
39,1523,1012,1762,837,1545,1445,1093,1768
40,1523,1012,1765,837,1545,1445,1093,1765
41,1523,1015,1765,837,1542,1448,1093,1762
42,1523,1015,1765,840,1545,1451,1093,1762
43,1523,1012,1765,837,1545,1451,1093,1765
44,1526,1012,1765,840,1548,1448,1089,1765
45,1526,1012,1765,840,1542,1451,1093,1765
46,1526,1012,1768,840,1548,1448,1093,1765
47,1523,1012,1771,840,1545,1451,1093,1765
48,1523,1015,1765,837,1548,1445,1089,1765
49,1523,1012,1768,837,1542,1448,1093,1765
50,1519,1012,1768,837,1548,1445,1089,1765
51,1519,1012,1768,837,1548,1445,1086,1762
52,1519,1012,1771,837,1552,1448,1089,1758
53,1519,1012,1771,837,1548,1448,1089,1762
54,1519,1012,1775,837,1548,1445,1093,1765
55,1526,1015,1771,837,1552,1448,1089,1765
56,1523,1012,1775,837,1552,1448,1093,1765
57,1523,1012,1775,837,1548,1451,1089,1762
58,1523,1015,1778,837,1555,1451,1093,1768
59,1526,1015,1775,837,1555,1448,1089,1765
60,1523,1015,1778,840,1555,1448,1089,1762
61,1523,1015,1775,840,1545,1448,1089,1765
62,1526,1015,1778,837,1555,1448,1089,1765
63,1523,1012,1781,837,1552,1448,1089,1765
64,1523,1012,1778,837,1555,1448,1089,1765
65,1523,1015,1781,840,1555,1451,1089,1768
66,1526,1015,1781,840,1555,1451,1093,1768
67,1529,1015,1784,840,1558,1451,1096,1771
68,1529,1015,1784,840,1558,1458,1096,1768
69,1529,1018,1784,840,1558,1458,1096,1771
70,1526,1015,1784,840,1558,1455,1096,1771
71,1497,976,1733,840,1513,1409,1070,1723
72,1500,999,1768,824,1539,1426,1067,1742
73,1493,1002,1778,824,1539,1419,1063,1733
74,1487,996,1823,821,1548,1409,1054,1723
75,1484,1005,1988,824,1587,1406,1057,1726
76,1480,1025,2214,824,1671,1400,1057,1729
77,1490,1051,2463,831,1807,1416,1080,1758
78,1500,1073,2654,831,1936,1432,1102,1804
79,1523,1096,2828,837,2059,1451,1125,1862
80,1548,1118,2967,844,2195,1487,1154,1943
81,1581,1135,3074,853,2308,1532,1180,2014
82,1629,1157,3158,860,2399,1590,1206,2082
83,1678,1167,3213,863,2476,1639,1222,2146
84,1723,1190,3262,873,2541,1681,1238,2198
85,1775,1199,3307,870,2612,1733,1264,2243
86,1830,1212,3333,882,2664,1781,1274,2298
87,1888,1225,3355,892,2712,1830,1296,2347
88,1930,1238,3381,899,2767,1875,1309,2382
89,1985,1245,3384,905,2803,1917,1322,2424
90,2030,1257,3407,912,2845,1952,1338,2453
91,2072,1261,3410,921,2867,1994,1345,2492
92,2117,1264,3417,924,2900,2033,1361,2518
93,2150,1270,3414,931,2916,2059,1371,2547
94,2166,1277,3420,934,2945,2075,1377,2557
95,2195,1280,3423,941,2955,2101,1380,2573
96,2230,1277,3410,944,2967,2133,1390,2599
97,2253,1283,3417,947,2984,2153,1403,2618
98,2269,1283,3414,957,2997,2166,1403,2625
99,2289,1287,3420,960,3013,2185,1406,2638
100,2298,1287,3414,963,3019,2201,1413,2638
101,2311,1290,3414,967,3029,2217,1416,2651
102,2334,1280,3404,970,3026,2234,1413,2667
103,2344,1287,3407,976,3035,2240,1419,2667
104,2353,1287,3401,983,3032,2250,1422,2689
105,2363,1287,3394,983,3039,2260,1422,2683
106,2373,1283,3394,986,3039,2266,1419,2689
107,2373,1280,3391,986,3045,2269,1422,2689
108,2376,1280,3378,989,3035,2279,1422,2689
109,2386,1274,3368,989,3035,2292,1422,2706
110,2389,1274,3365,996,3029,2282,1419,2719
111,2392,1270,3362,992,3039,2292,1419,2702
112,2386,1267,3349,992,3032,2285,1413,2693
113,2392,1264,3342,992,3032,2292,1419,2699
114,2402,1261,3339,996,3022,2295,1413,2709
115,2399,1264,3333,996,3022,2298,1413,2715
116,2415,1261,3329,999,3026,2311,1409,2722
117,2411,1257,3323,999,3022,2305,1409,2715
118,2418,1257,3323,1002,3016,2314,1409,2725
119,2424,1261,3333,1009,3039,2324,1419,2735
120,2405,1251,3313,1002,3016,2308,1406,2709
121,2415,1248,3297,999,3000,2308,1400,2722
122,2415,1245,3291,1002,3013,2314,1400,2725
123,2402,1245,3291,1002,3000,2305,1393,2715
124,2408,1238,3281,1002,3000,2318,1393,2719
125,2408,1238,3278,1002,2993,2311,1393,2719
126,2411,1238,3278,1005,2993,2308,1393,2725
127,2408,1235,3268,1002,2997,2311,1390,2719
128,2402,1232,3262,992,2997,2305,1387,2702
129,2405,1232,3252,999,2984,2308,1384,2709
130,2402,1225,3252,999,2990,2305,1374,2712
131,2402,1232,3258,1005,2990,2305,1380,2712
132,2405,1228,3249,999,2993,2311,1380,2719
133,2405,1228,3252,1002,2997,2311,1377,2715
134,2399,1228,3245,1005,2993,2314,1374,2712
135,2411,1222,3232,1005,2987,2314,1380,2725
136,2411,1222,3229,1002,2990,2318,1377,2719
137,2415,1219,3232,1002,3019,2318,1374,2725
138,2411,1222,3232,1005,3006,2324,1377,2722
139,2411,1222,3226,1005,2997,2314,1371,2712
140,2411,1222,3223,1005,2993,2311,1371,2728
141,2418,1215,3213,1009,2980,2314,1371,2728
142,2424,1212,3216,1005,2977,2324,1374,2735
143,2424,1215,3213,1005,2977,2327,1374,2735
144,2428,1215,3210,1012,2974,2324,1374,2735
145,2424,1215,3207,1015,2971,2327,1371,2738
146,2428,1209,3200,1012,2967,2337,1371,2738
147,2424,1212,3203,1012,2971,2324,1367,2731
148,2424,1202,3197,1009,2958,2334,1364,2731
149,2418,1209,3203,1009,2955,2324,1361,2725
150,2428,1206,3197,1012,2948,2327,1358,2741
151,2434,1202,3194,1012,2945,2340,1367,2741
152,2424,1209,3200,1012,2948,2331,1364,2731
153,2437,1202,3187,1012,2942,2350,1364,2754
154,2431,1202,3190,1018,2932,2340,1361,2748
155,2434,1199,3184,1015,2932,2337,1364,2741
156,2424,1202,3187,1015,2938,2337,1361,2741
157,2434,1193,3184,1012,2935,2347,1361,2741
158,2434,1199,3187,1018,2938,2347,1364,2741
159,2431,1193,3184,1015,2935,2340,1361,2744
160,2431,1199,3178,1015,2938,2337,1358,2741
161,2431,1196,3178,1015,2925,2344,1358,2738
162,2441,1190,3168,1015,2909,2347,1358,2754
163,2437,1193,3168,1018,2906,2347,1348,2751
164,2444,1190,3161,1018,2896,2347,1354,2754
165,2441,1186,3168,1015,2909,2350,1361,2741
166,2437,1190,3165,1018,2900,2344,1351,2748
167,2447,1190,3161,1012,2903,2350,1358,2748
168,2434,1190,3171,1018,2906,2350,1351,2744
169,2441,1186,3155,1018,2893,2344,1348,2751
170,2441,1186,3165,1018,2900,2350,1348,2748
171,2444,1180,3142,1034,2893,2347,1341,2748
172,2453,1148,3158,1021,2906,2363,1354,2764
173,2453,1099,3084,1015,2848,2366,1345,2751
174,2453,1063,3013,1018,2777,2356,1322,2735
175,2441,1044,2948,1018,2683,2353,1303,2709
176,2431,1031,2903,1015,2599,2347,1283,2686
177,2421,1025,2845,1018,2534,2337,1270,2673
178,2418,1015,2809,1018,2466,2324,1254,2654
179,2405,1009,2761,1021,2418,2308,1248,2647
180,2395,1002,2725,1018,2366,2302,1235,2625
181,2382,999,2696,1015,2318,2289,1228,2615
182,2373,996,2654,1018,2282,2269,1222,2605
183,2360,989,2625,1018,2247,2260,1212,2592
184,2347,989,2599,1015,2211,2253,1206,2573
185,2340,986,2567,1015,2185,2237,1202,2570
186,2331,983,2550,1012,2159,2224,1196,2554
187,2321,979,2525,1012,2133,2214,1193,2550
188,2314,976,2499,1012,2108,2208,1190,2538
189,2305,976,2479,1012,2091,2195,1186,2531
190,2295,976,2463,1009,2069,2192,1186,2525
191,2282,976,2437,1009,2049,2182,1183,2512
192,2276,976,2418,1012,2033,2172,1183,2512
193,2276,973,2402,1012,2024,2166,1183,2505
194,2269,973,2392,1009,2011,2156,1180,2505
195,2263,970,2373,1009,1994,2153,1180,2495
196,2260,970,2360,1005,1975,2150,1177,2483
197,2253,970,2347,1005,1965,2140,1177,2476
198,2240,970,2334,1005,1949,2133,1173,2470
199,2237,970,2318,1002,1943,2127,1167,2463
200,2230,970,2302,1005,1936,2114,1164,2463
201,2221,967,2292,1002,1927,2111,1167,2453
202,2217,970,2285,999,1914,2101,1160,2444
203,2211,970,2269,1002,1907,2095,1160,2444
204,2201,970,2260,999,1897,2095,1160,2428
205,2201,970,2243,1002,1897,2085,1160,2434
206,2198,970,2237,999,1888,2078,1157,2424
207,2188,970,2230,999,1881,2075,1160,2424
208,2188,976,2221,999,1868,2075,1160,2411
209,2182,973,2214,996,1862,2069,1157,2408
210,2179,973,2208,996,1859,2066,1157,2405
211,2172,973,2195,996,1852,2059,1154,2399
212,2166,976,2188,996,1846,2053,1157,2395
213,2159,979,2182,996,1839,2053,1154,2389
214,2156,976,2175,992,1833,2043,1154,2386
215,2150,976,2166,996,1836,2036,1154,2386
216,2150,979,2156,992,1823,2036,1154,2376
217,2146,976,2153,992,1820,2030,1151,2373
218,2133,976,2140,992,1817,2024,1151,2369
219,2130,976,2133,992,1813,2017,1151,2366
220,2127,976,2124,989,1804,2014,1151,2360
221,2121,976,2114,989,1797,2011,1148,2356
222,2117,973,2114,989,1797,2004,1148,2353
223,2124,979,2114,989,1794,2011,1151,2353
224,2121,976,2101,992,1797,2004,1154,2363
225,2121,979,2098,989,1788,2011,1151,2350
226,2121,976,2095,989,1784,2001,1151,2347
227,2121,976,2085,989,1781,2004,1148,2344
228,2114,976,2078,989,1775,1998,1148,2340
229,2104,976,2069,992,1771,1994,1151,2344
230,2108,976,2069,989,1768,1994,1151,2331
231,2104,973,2062,989,1771,1988,1151,2334
232,2101,976,2056,989,1762,1988,1148,2324
233,2104,973,2059,986,1762,1982,1144,2321
234,2091,976,2053,989,1758,1975,1148,2324
235,2091,973,2043,986,1755,1978,1144,2311
236,2088,973,2036,989,1755,1969,1144,2321
237,2088,976,2036,989,1749,1969,1144,2314
238,2085,973,2036,986,1742,1972,1144,2302
239,2082,976,2033,986,1746,1965,1141,2308
240,2082,976,2027,986,1739,1965,1141,2302
241,2078,976,2027,986,1742,1962,1141,2298
242,2072,979,2017,986,1736,1962,1144,2298
243,2072,976,2020,986,1746,1956,1144,2295
244,2062,979,2007,986,1742,1952,1144,2295
245,2059,976,2007,986,1768,1946,1144,2295
246,2062,976,2004,986,1729,1952,1141,2282
247,2056,979,1991,986,1723,1946,1141,2285
248,2056,976,1994,986,1720,1946,1141,2276
249,2053,976,1994,983,1720,1936,1138,2279
250,2046,976,1985,986,1716,1933,1141,2279
