time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1488.19,1950.94,2232.56,1101.75,2930.25,1290.56,1637.44,1531.5
2,1487.81,1951.13,2232.56,1101.56,2930.63,1290,1637.63,1531.13
3,1487.25,1951.31,2232.75,1101.75,2930.63,1289.63,1637.63,1530.56
4,1487.06,1951.69,2232.75,1101.75,2930.63,1289.44,1637.81,1530.19
5,1486.69,1951.69,2232.94,1101.94,2931,1288.88,1637.63,1529.63
6,1486.5,1951.69,2233.13,1101.94,2931.19,1288.69,1638,1529.44
7,1486.13,1951.88,2232.94,1101.94,2931.56,1288.31,1637.63,1528.69
8,1485.75,1952.44,2233.13,1101.75,2931.56,1287.94,1638,1528.5
9,1485.19,1952.25,2233.5,1102.13,2931.75,1287.38,1637.63,1528.13
10,1484.81,1952.06,2233.31,1102.13,2931.75,1287,1638,1527.75
11,1484.63,1952.44,2233.5,1102.13,2931.75,1286.63,1638,1527.19
12,1484.44,1952.63,2233.31,1102.13,2931.56,1286.44,1638.19,1527
13,1484.06,1952.44,2233.5,1102.31,2931.94,1286.06,1638,1526.44
14,1483.69,1952.63,2233.5,1102.31,2932.13,1285.69,1638.19,1526.25
15,1483.5,1952.63,2233.5,1102.5,2932.13,1285.5,1638.19,1526.06
16,1482.94,1953.19,2233.5,1102.13,2932.13,1285.13,1638.56,1525.5
17,1482.75,1953,2233.69,1102.5,2932.31,1284.94,1638.38,1525.13
18,1482.75,1953,2233.69,1102.5,2932.31,1284.75,1638.56,1524.94
19,1482.56,1953,2233.5,1102.5,2932.5,1284.75,1638.56,1524.94
20,1482.38,1953.38,2233.5,1102.5,2932.69,1284.75,1638.75,1524.75
21,1482,1953.38,2233.5,1102.69,2932.88,1284.19,1638.75,1524.38
22,1481.81,1953.38,2233.5,1102.69,2933.06,1284,1638.56,1524.19
23,1481.63,1953.75,2233.69,1102.88,2933.44,1283.63,1638.75,1523.63
24,1481.25,1954.5,2233.69,1102.69,2933.44,1283.44,1639.13,1523.63
25,1481.06,1953.94,2234.06,1103.06,2933.63,1282.88,1639.13,1522.88
26,1480.69,1954.31,2234.06,1103.06,2933.81,1282.5,1639.13,1522.69
27,1480.31,1954.31,2234.06,1103.06,2933.81,1282.13,1638.94,1522.31
28,1479.94,1954.88,2234.25,1102.88,2934,1281.75,1639.31,1522.13
29,1479.38,1954.69,2234.25,1103.06,2934.19,1281.19,1639.31,1521.38
30,1479,1954.69,2234.44,1103.25,2934.38,1280.81,1639.31,1521.19
31,1478.81,1954.88,2234.44,1103.25,2934.38,1280.44,1639.31,1520.63
32,1478.25,1955.06,2234.44,1103.06,2934.19,1280.06,1639.69,1520.25
33,1478.06,1955.06,2234.63,1103.63,2934.56,1279.88,1639.5,1520.06
34,1477.69,1955.06,2234.63,1103.44,2934.56,1279.31,1639.5,1519.5
35,1477.5,1955.25,2234.63,1103.44,2934.38,1279.5,1639.5,1519.31
36,1477.5,1955.63,2234.25,1103.25,2934.19,1279.69,1639.88,1519.5
37,1477.5,1955.25,2234.44,1103.44,2934.38,1279.5,1639.69,1519.31
38,1477.31,1955.25,2234.63,1103.63,2934.56,1279.31,1639.5,1519.13
39,1477.13,1955.63,2234.06,1103.63,2934.56,1279.31,1639.88,1518.75
40,1476.75,1956,2234.25,1103.44,2934.75,1278.94,1639.88,1518.56
41,1476.38,1955.63,2234.44,1103.63,2934.94,1278.56,1639.88,1518.19
42,1476.19,1956,2234.25,1103.63,2934.94,1278.38,1639.69,1517.81
43,1475.81,1956.19,2234.25,1103.81,2935.13,1278,1639.88,1517.63
44,1475.63,1956.56,2234.06,1103.63,2935.31,1277.63,1640.06,1517.25
45,1475.25,1956.19,2234.25,1103.63,2935.69,1277.06,1639.88,1516.88
46,1475.06,1956.38,2234.06,1104,2935.69,1276.69,1639.88,1516.5
47,1474.69,1956.75,2234.25,1103.81,2935.69,1276.5,1640.25,1515.94
48,1474.31,1956.75,2234.06,1104,2935.88,1276.13,1640.25,1515.75
49,1473.94,1956.75,2234.44,1104.19,2936.06,1275.75,1640.06,1515.19
50,1473.56,1956.75,2234.25,1104.19,2936.25,1275.38,1640.06,1514.81
51,1473.19,1956.94,2234.44,1104,2935.88,1275.38,1640.06,1514.63
52,1473,1957.13,2234.25,1104.19,2935.69,1275.19,1640.44,1514.44
53,1472.81,1956.94,2234.63,1104.38,2936.06,1274.63,1640.25,1514.06
54,1472.63,1957.13,2234.25,1104.38,2936.25,1274.63,1640.06,1514.06
55,1472.44,1957.31,2234.44,1104.38,2936.25,1274.44,1640.25,1513.69
56,1472.44,1957.69,2234.25,1104.19,2936.06,1274.63,1640.63,1513.69
57,1472.44,1957.31,2234.44,1104.75,2936.25,1274.44,1640.44,1513.31
58,1472.06,1957.31,2234.44,1104.38,2936.44,1274.06,1640.44,1512.94
59,1471.88,1957.69,2234.63,1104.56,2936.25,1273.88,1640.63,1512.75
60,1471.88,1957.88,2234.44,1104.38,2936.25,1273.88,1640.81,1512.94
61,1471.5,1957.69,2234.06,1104.75,2936.63,1273.5,1640.63,1512.56
62,1471.13,1957.69,2234.06,1104.75,2936.81,1273.13,1640.63,1512.19
63,1470.94,1957.69,2234.25,1104.94,2936.81,1272.75,1640.63,1511.63
64,1470.56,1958.63,2234.06,1104.75,2937,1272.56,1641,1511.63
65,1470.19,1958.06,2234.25,1105.31,2937.38,1272.19,1641,1511.25
66,1469.81,1958.06,2234.25,1105.13,2937.38,1271.81,1641,1510.88
67,1469.63,1958.44,2234.06,1104.94,2937.56,1271.44,1641,1510.31
68,1469.25,1958.81,2234.25,1105.13,2937.38,1271.25,1641.19,1510.13
69,1468.88,1958.81,2234.25,1105.5,2937.56,1270.69,1641,1509.75
70,1468.69,1958.63,2234.44,1105.13,2937.75,1270.5,1641,1509.56
71,1465.31,1955.06,2230.31,1102.69,2932.31,1267.5,1637.81,1506.94
72,1467.94,1998.94,2566.88,1106.25,3147.94,1268.06,1641.19,1512.56
73,1508.44,2105.06,3210.19,1117.5,3458.81,1301.06,1671.75,1604.25
74,1593.94,2151.75,3561,1127.44,3597,1380.38,1708.31,1771.13
75,1700.25,2158.69,3741.56,1134.19,3665.25,1481.63,1736.25,1922.81
76,1800.56,2151.75,3835.5,1138.88,3695.25,1577.06,1753.5,2043.19
77,1884.38,2140.13,3886.88,1140.94,3701.06,1658.25,1763.63,2136.75
78,1953.38,2127.56,3911.81,1141.5,3704.06,1727.44,1768.5,2209.69
79,2010.19,2115.38,3927.38,1141.5,3698.25,1785.75,1770.75,2266.31
80,2057.25,2104.69,3932.44,1141.13,3692.06,1834.88,1770.38,2311.31
81,2097,2095.13,3934.31,1140,3680.25,1876.31,1768.88,2347.31
82,2130.94,2086.88,3932.25,1139.25,3675.38,1911.94,1767.19,2376.56
83,2160,2080.31,3929.81,1138.31,3667.13,1942.69,1765.13,2400.56
84,2184.94,2073.75,3925.31,1137.56,3660.94,1968.56,1762.88,2420.06
85,2206.5,2068.13,3918.19,1136.63,3653.44,1990.5,1760.44,2435.81
86,2225.63,2064.19,3912.19,1135.69,3646.69,2009.81,1758,2448.56
87,2242.5,2060.06,3907.69,1134.75,3640.5,2025.94,1756.31,2458.69
88,2256.75,2055.94,3902.63,1134,3631.5,2039.81,1754.06,2466.94
89,2269.5,2052.75,3896.25,1133.06,3627.94,2051.44,1752,2473.69
90,2281.5,2049.75,3889.69,1132.31,3619.5,2061.56,1750.31,2478.94
91,2291.25,2047.87,3885,1132.13,3614.81,2070.38,1748.44,2483.06
92,2300.63,2044.31,3880.69,1131.75,3609.75,2077.69,1746.75,2486.44
93,2308.69,2042.06,3874.5,1130.63,3604.5,2083.69,1745.25,2488.88
94,2316.19,2040.56,3867.75,1129.88,3603,2088.75,1743.75,2490.56
95,2322.38,2038.88,3860.25,1129.31,3600.38,2093.06,1742.44,2491.5
96,2327.81,2035.69,3854.44,1129.13,3592.31,2097,1741.13,2491.69
97,2332.88,2034.38,3849.19,1128.38,3593.06,2099.81,1739.63,2491.88
98,2337.38,2032.5,3844.31,1128.19,3590.81,2102.25,1738.5,2491.88
99,2341.69,2031.94,3838.88,1127.81,3587.44,2104.69,1737.75,2492.06
100,2345.25,2030.25,3834.75,1127.44,3584.44,2106.38,1736.25,2491.5
101,2348.44,2029.69,3829.69,1127.06,3581.25,2107.88,1735.5,2490.94
102,2351.63,2028.94,3825.38,1126.69,3580.31,2109,1734.56,2490.56
103,2354.44,2028.37,3822.38,1126.5,3574.69,2109.94,1733.81,2490
104,2357.06,2027.44,3819.56,1126.31,3573.94,2110.88,1732.88,2489.81
105,2359.69,2026.69,3816.19,1126.13,3573,2111.63,1732.5,2489.06
106,2361.75,2025.38,3813.56,1125.75,3571.31,2112.38,1731.94,2488.5
107,2364,2025.19,3808.69,1125.56,3569.06,2112.38,1731.56,2488.13
108,2365.31,2023.31,3805.88,1125.75,3566.44,2112.75,1730.81,2487.38
109,2367.19,2022.38,3802.88,1124.81,3564,2112.94,1730.06,2486.81
110,2368.69,2021.44,3798.38,1124.81,3561.38,2112.75,1729.5,2485.5
111,2370,2021.44,3795,1124.63,3561.38,2112.56,1729.13,2484.56
112,2371.31,2020.12,3792.19,1124.25,3556.13,2112.19,1728.19,2483.25
113,2372.06,2019.94,3788.25,1123.69,3555.56,2112,1727.63,2482.31
114,2373,2019.19,3785.44,1123.88,3555,2111.63,1727.06,2481.19
115,2373.56,2019.56,3782.06,1123.69,3551.06,2111.25,1726.69,2480.25
116,2374.13,2018.25,3779.63,1123.5,3548.81,2111.06,1725.94,2479.31
117,2374.88,2017.5,3778.5,1123.31,3546.94,2110.69,1725.75,2478.56
118,2375.25,2016.94,3775.88,1123.5,3548.44,2110.31,1724.81,2477.25
119,2375.81,2016.19,3771.94,1123.31,3547.13,2109.94,1725,2477.06
120,2376.19,2015.81,3768.94,1122.94,3547.13,2109.38,1724.44,2475.94
121,2376.56,2015.63,3766.69,1122.94,3546.19,2108.81,1723.88,2474.81
122,2376.94,2016,3763.31,1122.75,3543.38,2108.44,1723.88,2474.44
123,2377.69,2016.56,3762,1123.13,3545.25,2108.44,1723.88,2474.06
124,2378.44,2015.25,3759.94,1123.13,3543.94,2108.63,1723.31,2473.88
125,2378.63,2014.87,3757.31,1122.94,3540.19,2108.44,1723.31,2473.69
126,2379,2014.87,3754.88,1122.94,3539.63,2107.88,1722.56,2473.31
127,2379.19,2015.25,3752.44,1122.75,3537.75,2107.31,1722.56,2472.38
128,2379.19,2013.94,3749.81,1123.13,3536.44,2106.94,1722.19,2471.63
129,2379.19,2013.75,3748.31,1122.75,3537.19,2106.19,1721.81,2470.88
130,2379.38,2013.38,3746.63,1122,3534.75,2106,1721.25,2470.13
131,2379.38,2013.38,3744.75,1122.19,3530.81,2105.44,1721.44,2469.56
132,2378.81,2011.87,3742.31,1122.19,3530.81,2104.69,1720.5,2468.44
133,2379,2011.5,3741.19,1121.63,3530.81,2104.13,1720.5,2467.69
134,2378.44,2010.94,3737.81,1121.63,3528,2103.75,1719.75,2466.38
135,2378.44,2011.13,3736.5,1121.44,3531.19,2103,1720.13,2466
136,2378.25,2010.38,3733.88,1121.63,3528.38,2102.63,1719.56,2465.25
137,2378.06,2010.19,3732.19,1121.25,3527.25,2102.06,1719.38,2464.69
138,2378.06,2010,3730.5,1121.25,3526.88,2101.88,1719.38,2464.31
139,2378.06,2010.75,3729.75,1121.25,3526.69,2102.06,1719,2463.94
140,2377.88,2010.19,3728.06,1121.44,3525.75,2101.69,1719,2463.38
141,2377.69,2010.19,3725.81,1121.06,3526.5,2101.13,1718.63,2463
142,2377.5,2010,3724.69,1121.06,3524.81,2100.75,1718.63,2462.44
143,2377.31,2009.63,3723.19,1121.44,3522.75,2100.19,1718.63,2461.88
144,2377.13,2009.25,3720.75,1121.63,3521.81,2099.81,1718.25,2461.5
145,2376.94,2009.06,3720.19,1121.25,3520.31,2099.63,1718.06,2460.75
146,2376.56,2008.5,3720,1121.06,3521.63,2099.06,1717.88,2460.19
147,2376.38,2008.88,3719.06,1120.88,3520.69,2098.69,1717.5,2459.81
148,2375.81,2007.94,3717.75,1121.25,3518.25,2097.94,1717.5,2458.88
149,2375.63,2007.94,3716.06,1120.5,3519.38,2097.75,1716.94,2458.5
150,2375.25,2007.56,3715.69,1120.5,3517.88,2097.38,1716.75,2457.75
151,2375.06,2007.94,3713.81,1120.5,3517.69,2097,1716.75,2457.38
152,2374.69,2006.62,3712.13,1120.31,3516.19,2096.44,1716.38,2456.81
153,2374.31,2006.62,3710.44,1119.94,3513,2096.06,1716.38,2456.06
154,2374.31,2006.44,3710.81,1119.56,3513,2095.5,1716,2455.5
155,2373.75,2007,3709.13,1119.94,3511.69,2094.56,1715.81,2454.56
156,2373.19,2005.69,3708.38,1119.94,3513.19,2094.19,1715.63,2454
157,2373.19,2005.31,3707.06,1119.38,3514.88,2094,1715.44,2453.81
158,2372.63,2005.31,3704.63,1119.19,3512.81,2093.25,1715.25,2452.88
159,2372.44,2005.5,3702.75,1119.56,3510.56,2092.88,1715.25,2452.69
160,2371.88,2004.75,3700.69,1119.38,3510.56,2092.5,1714.88,2452.13
161,2371.69,2005.13,3699.75,1119.38,3508.69,2092.13,1714.69,2451.56
162,2371.31,2004.94,3699.19,1119,3509.63,2091.75,1714.5,2451
163,2370.56,2004.94,3698.63,1119.19,3509.44,2090.81,1714.5,2450.06
164,2370.19,2004.19,3698.06,1119.19,3509.63,2090.44,1714.13,2449.5
165,2369.81,2003.81,3696.75,1119.19,3507.75,2090.06,1713.75,2449.31
166,2369.44,2003.25,3695.44,1118.44,3508.13,2089.88,1713.38,2448.94
167,2369.06,2003.44,3693.94,1118.81,3507.56,2089.5,1713.38,2448.38
168,2368.69,2002.31,3693.19,1118.81,3507,2089.31,1713,2448.19
169,2367.94,2001.75,3693,1118.81,3506.25,2088.75,1712.81,2447.44
170,2367.75,2001.75,3691.31,1118.63,3503.81,2088.19,1712.63,2446.88
171,2367,2001,3690,1117.69,3503.63,2087.63,1712.63,2446.69
172,2365.88,1972.88,3671.63,1114.88,3464.44,2086.13,1708.69,2444.06
173,2360.25,1947,3622.13,1111.5,3401.63,2079.38,1699.5,2431.88
174,2351.63,1935.38,3566.25,1110.38,3341.06,2068.69,1691.25,2413.5
175,2340.94,1929.94,3513.75,1109.25,3289.31,2055.94,1684.5,2392.31
176,2329.13,1926.56,3465.38,1108.13,3250.5,2041.5,1678.69,2369.63
177,2316.38,1924.13,3420.75,1107.56,3221.25,2026.13,1674.38,2347.13
178,2303.25,1923.56,3377.63,1107.56,3197.81,2010.38,1670.44,2325
179,2289.75,1923.75,3337.69,1107.38,3178.13,1994.25,1667.06,2303.44
180,2276.25,1923.56,3300.38,1107,3160.5,1978.13,1665,2282.44
181,2262.94,1923.38,3265.13,1106.81,3145.88,1962.19,1662.94,2262.38
182,2249.25,1923.75,3229.88,1106.81,3133.69,1946.44,1661.25,2243.25
183,2236.13,1923.56,3197.25,1106.81,3122.25,1931.63,1659.75,2225.25
184,2223,1923.38,3165.94,1106.06,3114,1916.63,1658.25,2207.81
185,2210.25,1923.56,3137.63,1106.06,3104.81,1902.38,1657.13,2191.5
186,2197.31,1924.69,3110.06,1106.25,3096.19,1887.94,1656.19,2175.75
187,2184.94,1923.19,3084,1105.69,3088.31,1874.44,1655.25,2161.13
188,2172.56,1923.56,3059.25,1105.31,3081.75,1861.5,1654.13,2147.06
189,2160.19,1923.75,3035.81,1105.31,3074.81,1848.94,1653.19,2133.94
190,2148.75,1925.63,3014.25,1105.5,3069.75,1836.94,1652.63,2121.19
191,2137.31,1925.44,2992.31,1105.31,3064.5,1825.31,1651.88,2109.94
192,2125.88,1926,2972.25,1105.13,3059.06,1814.06,1651.31,2098.5
193,2114.81,1926.56,2953.31,1104.75,3054.19,1803.56,1650.75,2087.81
194,2104.31,1927.88,2935.5,1105.13,3049.69,1793.63,1650.19,2077.69
195,2093.81,1928.44,2918.25,1104.94,3045.94,1783.5,1650,2067.94
196,2083.69,1927.88,2900.63,1104.38,3041.25,1774.31,1649.44,2058.94
