timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,2008,1006,1881,970,1693,1839,1211,2174
2,2197,996,1999,922,1764,2005,1122,2198
3,2181,944,2191,846,1885,1976,1058,2295
4,2171,941,2178,850,1878,1973,1058,2292
5,2162,995,1981,872,1828,1926,1078,2247
6,1992,1009,1881,960,1696,1820,1211,2155
7,1989,1009,1881,960,1693,1816,1208,2148
8,1982,1012,1881,963,1693,1813,1208,2148
9,1982,1009,1878,960,1693,1810,1204,2145
10,1979,1012,1881,957,1686,1810,1204,2139
11,1976,1012,1875,957,1686,1800,1204,2135
12,1976,1012,1878,957,1689,1800,1204,2132
13,1969,1012,1878,954,1686,1800,1201,2129
14,1969,1012,1875,954,1689,1797,1204,2129
15,1966,1016,1875,950,1689,1790,1204,2126
16,1966,1016,1875,954,1686,1790,1201,2119
17,1966,1016,1875,950,1689,1787,1201,2116
18,1960,1016,1875,947,1689,1784,1201,2112
19,1960,1016,1872,947,1686,1780,1201,2112
20,1956,1016,1875,947,1689,1777,1201,2106
21,1953,1016,1872,944,1689,1774,1201,2109
22,1950,1016,1875,944,1689,1774,1201,2099
23,1946,1016,1875,944,1689,1771,1201,2099
24,1946,1016,1875,944,1689,1767,1198,2099
25,1940,1016,1872,941,1693,1767,1198,2093
26,1940,1019,1872,941,1693,1761,1201,2093
27,1940,1019,1872,937,1689,1761,1198,2086
28,1933,1019,1872,941,1693,1758,1198,2086
29,1933,1019,1872,937,1693,1758,1198,2083
30,1933,1019,1872,934,1693,1751,1195,2080
31,1927,1016,1875,934,1693,1751,1198,2080
32,1924,1019,1872,934,1693,1748,1195,2073
33,1924,1019,1868,934,1696,1748,1195,2073
34,1920,1019,1872,934,1693,1745,1195,2070
35,1920,1019,1872,931,1693,1738,1198,2067
36,1914,1019,1872,934,1693,1738,1195,2067
37,1917,1019,1872,931,1693,1735,1191,2064
38,1911,1019,1872,928,1689,1732,1195,2057
39,1911,1019,1872,928,1689,1732,1191,2057
