time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1482.56,1938.94,2163,1093.13,3099.75,1166.63,1587.56,1346.63
2,1479.38,1941.38,2163.38,1094.25,3102.38,1163.06,1588.13,1343.06
3,1476.56,1943.44,2163.94,1095,3104.81,1160.25,1589.25,1340.06
4,1473.75,1944.94,2164.69,1095.56,3107.06,1157.06,1590,1336.88
5,1470.94,1947.38,2165.06,1096.5,3109.5,1154.06,1590.75,1334.06
6,1468.5,1949.06,2165.63,1097.06,3111.56,1151.44,1591.69,1331.25
7,1465.69,1950.75,2166.19,1097.81,3113.44,1149,1592.81,1328.81
8,1463.25,1952.63,2166.38,1097.81,3115.5,1146.19,1593.56,1326.38
9,1460.81,1954.88,2167.13,1098.56,3117.56,1143.75,1594.31,1323.75
10,1458.75,1956.38,2167.88,1099.31,3119.63,1141.88,1595.63,1321.5
11,1456.5,1957.88,2168.44,1100.06,3121.31,1139.81,1596.56,1319.81
12,1454.63,1959.38,2168.81,1100.44,3122.81,1137.75,1597.69,1317.56
13,1452.56,1961.44,2169.38,1101.19,3124.88,1135.88,1598.44,1315.5
14,1450.69,1962.75,2169.94,1101.56,3126.75,1134,1599.75,1313.81
15,1449,1963.88,2170.69,1102.5,3128.06,1132.5,1600.88,1312.31
16,1447.13,1965.38,2171.25,1102.69,3129.75,1130.63,1601.63,1310.25
17,1445.25,1967.06,2171.81,1103.44,3131.63,1129.13,1602.75,1308.75
18,1443.56,1968,2172.19,1103.81,3132.94,1127.44,1603.69,1307.06
19,1441.69,1968.94,2172.94,1104.75,3134.25,1125.94,1604.44,1305.38
20,1439.81,1970.25,2173.5,1104.56,3135.19,1124.25,1605.38,1303.5
21,1438.13,1971.75,2174.25,1105.13,3137.06,1122.75,1605.94,1302
22,1436.25,1972.69,2174.63,1105.5,3138.38,1121.06,1606.69,1300.31
23,1434.75,1974,2175.19,1106.44,3140.06,1119.75,1607.63,1298.81
24,1433.25,1975.13,2176.31,1106.44,3141.19,1118.44,1608.38,1297.31
25,1431.56,1976.44,2176.5,1106.81,3142.5,1117.13,1609.13,1295.81
26,1430.06,1977.38,2177.25,1107.38,3143.81,1115.63,1609.88,1294.31
27,1428.38,1978.5,2178,1107.94,3145.13,1114.31,1610.44,1292.81
28,1426.69,1979.63,2178.75,1108.13,3146.44,1113,1611.19,1291.5
29,1425.38,1980.56,2179.5,1108.69,3147.19,1111.69,1611.75,1290.19
30,1423.88,1981.69,2180.06,1108.88,3148.69,1110.56,1612.69,1288.69
31,1422.38,1982.63,2180.81,1109.63,3150,1109.44,1613.25,1287.38
32,1421.06,1983.56,2181.56,1109.63,3150.94,1107.94,1614,1286.06
33,1419.75,1984.69,2182.69,1110.19,3152.25,1107.19,1614.75,1285.13
34,1418.63,1985.63,2183.44,1110.56,3153.56,1106.06,1615.5,1284.19
