time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1697.81,2127.38,2307,1241.81,3148.69,1472.25,1850.63,1715.44
2,1696.69,2127.75,2306.44,1241.25,3148.5,1470.56,1850.25,1713.94
3,1695.38,2128.5,2306.06,1240.88,3148.69,1468.88,1849.69,1712.06
4,1694.06,2129.63,2305.5,1241.25,3148.88,1467.19,1849.5,1710.56
5,1692.75,2130,2305.31,1241.06,3148.69,1465.5,1849.13,1709.06
6,1691.25,2130.38,2304.75,1240.5,3148.5,1464.19,1848.94,1707.75
7,1690.13,2129.63,2304.56,1240.13,3147.75,1462.88,1848.75,1707
8,1689,2126.81,2304,1240.31,3147,1462.31,1848.56,1706.81
9,1688.06,2123.25,2303.44,1239.75,3147,1461.94,1847.81,1706.63
10,1687.31,2120.81,2303.06,1238.81,3147.38,1461.38,1846.88,1706.25
11,1686.38,2119.69,2302.31,1238.44,3147.38,1460.63,1845.94,1705.31
12,1685.44,2120.06,2302.13,1238.81,3147.38,1459.88,1845.38,1704.19
13,1684.31,2120.81,2301.38,1238.81,3147.19,1458.94,1845,1702.69
14,1683.38,2122.31,2301,1238.44,3147,1457.44,1844.63,1700.81
15,1682.25,2123.44,2300.63,1238.44,3147,1456.13,1844.44,1699.13
16,1681.13,2124.56,2300.06,1238.63,3147,1454.63,1844.25,1697.63
17,1679.81,2125.5,2299.88,1238.63,3147.38,1453.13,1843.88,1695.75
18,1678.88,2126.63,2299.5,1238.06,3147.38,1451.44,1843.88,1694.25
19,1677.56,2127.19,2299.13,1237.88,3147.38,1450.13,1843.5,1692.94
20,1676.63,2128.31,2298.75,1238.25,3147.56,1448.81,1843.5,1691.81
21,1675.31,2129.06,2298.56,1238.25,3148.13,1447.5,1843.5,1690.5
22,1674.38,2129.81,2298.38,1237.88,3148.31,1446.19,1843.5,1689.19
23,1673.25,2130.38,2298.19,1237.69,3148.31,1444.88,1843.5,1687.69
24,1672.31,2131.31,2297.81,1238.06,3148.69,1443.94,1843.31,1686.75
25,1671.56,2131.69,2297.81,1238.06,3148.88,1443,1843.31,1685.81
26,1670.63,2132.25,2297.44,1237.69,3149.06,1442.06,1843.13,1685.06
27,1669.69,2132.44,2297.06,1237.5,3149.44,1441.5,1843.13,1684.5
28,1668.94,2133.38,2296.69,1237.88,3149.81,1441.31,1842.94,1684.13
29,1668.19,2133,2296.31,1237.69,3150,1441.13,1842.94,1683.94
30,1667.63,2131.88,2296.13,1237.31,3149.81,1440.94,1842.75,1684.13
31,1667.25,2130.19,2295.75,1236.94,3149.63,1440.75,1842.75,1684.69
32,1666.69,2129.81,2295.19,1237.31,3149.81,1440.94,1842.38,1685.44
33,1666.5,2129.63,2294.63,1236.75,3150.38,1441.5,1842.19,1686.19
34,1666.13,2130.56,2294.44,1236.38,3150.75,1441.88,1841.63,1686.94
35,1665.94,2131.88,2294.25,1236.38,3151.31,1442.06,1841.63,1686.94
36,1665.56,2133.56,2294.44,1237.13,3151.88,1441.69,1841.81,1686.19
37,1665,2134.31,2294.44,1237.31,3152.06,1441.13,1841.81,1685.06
38,1664.25,2135.06,2294.44,1237.31,3152.25,1440.19,1842,1683.94
39,1663.69,2135.81,2294.44,1237.13,3152.63,1438.88,1842,1682.81
40,1662.75,2136.75,2294.44,1237.5,3152.81,1437.94,1842.19,1681.5
41,1662.19,2137.31,2294.44,1237.5,3153.38,1436.63,1842.19,1680.38
42,1661.25,2138.06,2294.06,1237.31,3153.75,1435.69,1842.38,1679.25
43,1660.69,2138.81,2294.25,1237.31,3154.13,1434.56,1842.56,1678.13
44,1659.94,2139.75,2294.44,1237.69,3154.5,1433.44,1842.56,1677.19
45,1659,2140.31,2294.44,1237.88,3155.06,1432.69,1842.75,1676.06
46,1658.25,2140.88,2294.44,1237.5,3155.63,1431.75,1842.75,1675.31
47,1657.5,2141.81,2294.44,1237.69,3156,1431,1842.75,1674.56
48,1656.94,2142.75,2294.63,1238.25,3156.94,1430.25,1842.94,1673.63
49,1656.19,2143.31,2294.63,1238.25,3157.31,1429.13,1843.13,1673.06
50,1655.44,2144.25,2294.81,1238.25,3157.5,1428.56,1843.31,1672.5
51,1655.06,2145,2294.63,1238.06,3157.69,1428.56,1843.31,1672.5
52,1654.5,2146.88,2294.63,1238.63,3157.69,1429.31,1843.69,1673.25
53,1654.31,2148.56,2294.44,1238.63,3158.25,1430.06,1843.88,1674.56
54,1654.31,2148.94,2294.63,1238.44,3159.19,1431,1844.25,1675.88
55,1654.13,2149.31,2294.81,1238.63,3159.56,1431.75,1844.63,1676.25
56,1654.13,2150.25,2295,1239.19,3160.31,1431.94,1845,1676.25
57,1653.94,2150.81,2295.38,1239.56,3161.06,1431.56,1845.19,1676.06
58,1653.75,2151.38,2295.38,1239.19,3161.44,1431.38,1845.75,1675.5
59,1653.56,2151.75,2295.75,1239.38,3162,1430.81,1845.94,1674.94
60,1653.19,2152.5,2295.75,1239.75,3162.38,1430.25,1846.13,1674.38
61,1652.81,2152.5,2295.75,1239.94,3162.94,1429.69,1846.31,1673.81
62,1652.44,2153.25,2295.94,1240.31,3163.5,1428.94,1846.69,1672.88
63,1652.06,2153.44,2296.31,1239.94,3163.88,1428.38,1846.88,1672.31
64,1651.69,2154,2296.31,1240.5,3164.63,1427.81,1847.06,1671.75
65,1651.31,2154.38,2296.5,1240.69,3164.81,1427.25,1847.06,1671
66,1650.94,2154.75,2296.88,1240.69,3165.38,1426.69,1847.06,1670.44
67,1650.38,2155.13,2297.06,1240.69,3165.75,1426.31,1847.44,1669.88
68,1650,2156.06,2297.25,1241.06,3166.5,1425.75,1847.63,1669.13
69,1649.63,2156.25,2297.25,1241.25,3166.88,1425.38,1847.81,1668.75
70,1649.25,2157.56,2297.44,1241.25,3167.06,1425.38,1847.81,1669.31
71,1647.94,2158.5,2296.88,1240.5,3166.13,1425,1847.06,1669.31
72,1651.13,2194.69,2502.38,1245.19,3288.38,1427.44,1851.56,1675.5
73,1673.25,2304.38,2956.13,1260.56,3487.13,1446.38,1875,1724.44
74,1717.69,2371.69,3302.63,1276.5,3616.5,1490.06,1906.69,1819.31
75,1777.88,2406.19,3534.19,1289.06,3694.31,1550.81,1935,1925.44
