timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1735,993,1803,942,1554,1667,1116,1977
2,1732,993,1806,942,1558,1671,1119,1974
3,1735,997,1800,942,1558,1671,1122,1974
4,1732,997,1803,938,1551,1667,1122,1977
5,1732,993,1796,942,1554,1667,1119,1974
6,1729,993,1796,942,1551,1667,1122,1974
7,1729,993,1796,942,1554,1667,1122,1970
8,1729,993,1796,938,1551,1664,1119,1970
9,1725,990,1796,938,1551,1661,1119,1964
10,1725,993,1796,938,1551,1661,1119,1967
11,1725,993,1796,938,1551,1661,1119,1964
12,1722,993,1793,938,1551,1661,1119,1964
13,1722,993,1793,935,1551,1658,1116,1961
14,1719,993,1793,935,1551,1651,1119,1958
15,1719,993,1793,935,1551,1654,1119,1961
16,1719,993,1790,932,1551,1651,1116,1954
17,1712,990,1790,935,1548,1654,1116,1954
18,1712,993,1790,932,1548,1648,1116,1951
19,1712,990,1790,932,1548,1645,1116,1951
20,1709,990,1790,929,1548,1645,1119,1954
21,1709,993,1790,929,1548,1642,1119,1948
22,1706,993,1790,929,1548,1645,1116,1941
23,1706,990,1787,929,1548,1645,1116,1941
24,1706,993,1787,926,1548,1642,1116,1945
25,1706,993,1790,929,1548,1638,1119,1945
26,1709,993,1787,926,1548,1642,1116,1941
27,1706,993,1787,929,1548,1638,1116,1941
28,1703,993,1787,926,1548,1642,1119,1941
29,1703,993,1787,926,1551,1638,1116,1941
30,1706,993,1787,926,1548,1635,1116,1938
31,1703,993,1783,926,1548,1635,1116,1935
32,1700,993,1787,926,1548,1632,1119,1935
33,1700,993,1787,926,1551,1635,1116,1935
34,1700,993,1783,926,1548,1632,1116,1932
35,1700,990,1783,922,1548,1629,1113,1929
36,1693,993,1783,922,1545,1629,1113,1929
37,1693,990,1783,919,1548,1625,1116,1929
38,1690,993,1783,919,1548,1622,1113,1925
39,1690,993,1783,919,1548,1619,1113,1922
40,1690,993,1783,916,1548,1619,1109,1919
41,1687,993,1783,916,1548,1619,1109,1922
42,1683,993,1783,916,1545,1619,1113,1919
43,1687,990,1783,916,1548,1616,1113,1919
44,1680,993,1783,913,1548,1612,1109,1912
45,1677,993,1780,913,1545,1612,1106,1909
46,1674,993,1783,913,1548,1609,1106,1909
47,1671,993,1780,913,1548,1606,1106,1906
48,1674,993,1783,909,1548,1603,1106,1903
49,1674,993,1780,909,1545,1603,1106,1906
50,1674,997,1783,909,1545,1600,1103,1903
51,1671,993,1783,906,1548,1603,1103,1900
52,1667,993,1783,909,1545,1600,1106,1906
53,1667,993,1783,909,1548,1600,1103,1900
54,1664,993,1783,906,1548,1600,1103,1903
55,1667,993,1783,906,1548,1600,1106,1900
56,1667,993,1783,909,1548,1600,1106,1903
57,1671,997,1787,906,1548,1600,1109,1906
58,1671,993,1783,906,1551,1603,1106,1900
59,1664,997,1783,906,1551,1596,1109,1903
60,1661,997,1783,903,1551,1596,1103,1896
61,1661,993,1780,903,1545,1593,1103,1893
62,1661,993,1783,903,1548,1593,1103,1896
63,1661,997,1787,903,1548,1593,1103,1893
64,1661,997,1787,903,1548,1593,1103,1893
65,1661,993,1787,903,1551,1593,1106,1896
66,1661,993,1787,906,1551,1593,1109,1900
67,1661,993,1787,903,1551,1596,1109,1896
68,1664,993,1787,903,1551,1593,1109,1896
69,1664,997,1787,903,1551,1596,1109,1896
70,1667,997,1790,903,1554,1593,1109,1896
71,1632,955,1735,900,1503,1558,1080,1861
72,1616,977,1767,884,1525,1551,1071,1841
73,1593,980,1777,880,1522,1522,1051,1825
74,1587,977,1783,871,1519,1516,1042,1816
75,1564,977,1819,871,1519,1493,1032,1796
76,1567,977,1861,861,1538,1496,1032,1793
77,1564,980,1912,861,1564,1493,1035,1790
78,1561,990,1958,861,1596,1484,1035,1796
79,1564,993,2006,858,1638,1496,1045,1803
80,1571,997,2054,864,1674,1493,1051,1812
81,1580,997,2096,861,1703,1509,1061,1835
82,1587,1003,2145,861,1732,1513,1064,1841
83,1596,1006,2177,871,1754,1516,1067,1861
