time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1544.25,2234.25,2376.56,1281.75,3201.56,1294.13,1895.25,1533.38
2,1544.25,2234.44,2377.31,1281.38,3201.94,1293.75,1895.44,1533.19
3,1544.44,2234.63,2378.44,1281.38,3202.13,1293.56,1895.44,1533
4,1544.25,2234.81,2379.38,1281.56,3202.31,1293.56,1895.63,1532.81
5,1544.25,2235,2380.13,1282.13,3202.69,1293.38,1895.81,1532.63
6,1544.06,2234.81,2380.88,1281.75,3202.88,1293,1896,1532.44
7,1544.25,2235,2381.81,1281.56,3203.06,1292.63,1895.81,1532.25
8,1544.06,2235.19,2382.75,1281.75,3203.63,1292.44,1896,1532.06
9,1544.06,2235.38,2383.31,1282.13,3203.63,1292.25,1896.19,1531.88
10,1543.88,2235.56,2384.25,1281.94,3204,1292.06,1896.19,1531.5
11,1543.88,2235.56,2385.19,1281.94,3204.19,1291.69,1896,1531.31
12,1543.69,2235.75,2386.13,1281.94,3204.38,1291.5,1896.38,1531.13
13,1543.69,2235.56,2386.88,1282.31,3204.94,1291.31,1896.19,1530.75
14,1543.5,2235.56,2387.81,1282.13,3205.13,1290.94,1896.38,1530.56
15,1543.31,2235.75,2388.38,1281.94,3205.13,1290.94,1896.19,1530.56
16,1543.31,2235.75,2389.31,1282.31,3205.5,1290.56,1896.56,1530
17,1543.31,2235.94,2390.25,1282.5,3205.88,1290.38,1896.38,1529.81
18,1543.31,2236.13,2391,1282.31,3206.06,1290.19,1896.56,1529.63
19,1543.31,2236.31,2391.75,1282.31,3206.44,1290,1896.38,1529.63
20,1543.13,2236.5,2392.88,1282.31,3206.81,1289.81,1896.75,1529.25
21,1543.13,2236.69,2393.44,1282.88,3207.19,1289.81,1896.94,1529.25
22,1542.94,2236.88,2394.38,1282.5,3207.38,1289.63,1896.94,1529.06
23,1542.94,2236.88,2395.13,1282.69,3207.75,1289.63,1896.94,1528.88
24,1542.94,2236.88,2396.25,1282.69,3207.94,1289.25,1897.13,1528.69
25,1542.94,2237.06,2396.81,1282.88,3208.31,1289.25,1897.13,1528.69
26,1542.75,2237.25,2397.56,1283.06,3208.69,1289.06,1897.31,1528.5
27,1542.75,2237.44,2398.5,1282.88,3208.69,1288.88,1897.13,1528.31
28,1542.75,2237.81,2399.25,1283.25,3209.06,1288.69,1897.5,1528.13
29,1542.56,2237.63,2400,1283.44,3209.63,1288.69,1897.5,1528.13
30,1542.38,2237.81,2400.94,1283.25,3209.81,1288.69,1897.69,1527.94
31,1542.56,2237.81,2401.69,1283.06,3210,1288.31,1897.31,1527.75
32,1542.38,2238.19,2402.44,1283.44,3210.38,1288.13,1897.69,1527.75
33,1542.38,2238,2403.19,1283.44,3210.56,1287.94,1897.5,1527.38
34,1542.38,2238.38,2403.94,1283.63,3210.94,1287.94,1897.88,1527.56
35,1542.38,2238.38,2404.88,1283.44,3211.13,1287.75,1897.5,1527.38
36,1542.38,2238.56,2405.63,1283.63,3211.13,1287.38,1897.88,1527.19
37,1542.19,2238.38,2406.38,1283.63,3211.69,1287.38,1898.06,1527
38,1542.38,2238.38,2407.13,1283.44,3211.88,1287.19,1898.06,1527
39,1542.38,2238.75,2407.69,1283.63,3212.06,1287.19,1897.88,1527
40,1542.38,2239.13,2408.63,1283.63,3212.06,1287,1898.25,1526.63
41,1542.19,2238.75,2409.38,1284,3212.25,1286.81,1898.06,1526.81
42,1542.19,2238.75,2410.13,1283.81,3212.44,1286.81,1898.25,1526.44
43,1542.19,2238.94,2410.88,1283.63,3213,1286.63,1898.25,1526.44
44,1542,2239.31,2411.63,1284,3213,1286.44,1898.63,1526.44
45,1542.19,2239.13,2412.38,1284,3213.19,1286.25,1898.25,1526.25
46,1542,2239.31,2413.13,1284,3213.38,1286.25,1898.44,1525.88
47,1542.19,2239.5,2413.88,1283.81,3213.75,1286.25,1898.25,1526.06
48,1542.19,2239.69,2414.63,1283.81,3213.94,1286.25,1898.44,1525.88
49,1542,2239.13,2415.38,1284.56,3214.31,1286.25,1898.63,1525.69
50,1542,2239.5,2416.13,1284.19,3214.5,1286.06,1898.44,1525.69
51,1542.19,2239.5,2416.88,1284,3214.69,1286.06,1898.63,1525.69
52,1542.19,2239.69,2417.81,1284,3215.25,1285.88,1898.63,1525.5
53,1542,2239.69,2418.56,1284.19,3215.25,1285.88,1898.81,1525.69
54,1542.19,2239.88,2419.13,1284.38,3215.44,1285.88,1898.63,1525.5
55,1542.38,2239.69,2419.88,1284,3215.63,1285.88,1898.63,1525.5
56,1542.38,2240.06,2420.81,1284.38,3215.81,1286.06,1898.81,1525.5
57,1542.38,2239.69,2421.94,1284.38,3215.81,1286.06,1898.81,1525.69
58,1542.56,2239.88,2422.31,1284.38,3216.38,1286.25,1898.81,1525.88
59,1542.75,2239.88,2423.25,1284.19,3216.56,1286.25,1898.81,1525.88
60,1542.75,2239.88,2424.19,1284.38,3216.38,1286.25,1899,1525.88
61,1542.94,2239.69,2424.94,1284.56,3216.75,1286.06,1899.19,1525.88
62,1542.94,2239.88,2425.69,1284.38,3216.56,1286.25,1899,1525.88
63,1543.13,2239.88,2426.63,1284.75,3216.94,1286.25,1898.63,1526.06
64,1543.31,2240.06,2427.19,1284.56,3217.13,1286.25,1899,1526.06
65,1543.13,2239.88,2428.31,1284.56,3217.31,1286.25,1899,1526.25
66,1543.31,2239.88,2429.25,1284.56,3217.5,1286.25,1899.19,1526.25
67,1543.5,2239.88,2430,1284.75,3217.69,1286.44,1899,1526.25
68,1543.69,2240.06,2430.75,1284.75,3217.88,1286.44,1899.19,1526.44
69,1543.88,2240.25,2431.69,1284.94,3218.06,1286.44,1899,1526.44
70,1543.88,2240.06,2432.63,1284.75,3218.25,1286.63,1899.19,1526.63
71,1543.31,2238.75,2432.63,1284.38,3217.69,1285.69,1898.25,1526.25
72,1548,2295,2540.63,1290.19,3277.31,1289.25,1905.38,1536.19
73,1572.19,2394.19,2763.75,1306.88,3415.31,1311.56,1928.25,1588.5
74,1611.19,2424.38,2934,1318.13,3489.38,1351.5,1948.13,1662.94
75,1654.31,2418.38,3026.63,1324.13,3507,1396.88,1960.31,1731.19
76,1694.25,2403.38,3075.94,1326.19,3505.31,1438.5,1966.13,1782.75
77,1727.63,2386.5,3093.75,1326.56,3490.88,1474.13,1968.56,1819.69
78,1754.25,2371.88,3099.75,1325.44,3479.25,1502.25,1968.38,1846.13
79,1775.06,2358.19,3097.13,1323.94,3464.81,1524.75,1967.06,1864.88
80,1791.19,2347.69,3089.25,1322.44,3451.5,1542.38,1964.81,1878.19
81,1803.56,2338.5,3080.81,1320.75,3440.25,1556.25,1963.13,1887.75
82,1813.5,2331.19,3072,1318.88,3431.06,1567.13,1961.06,1894.5
83,1821,2324.81,3063.75,1317.38,3421.88,1575.56,1959.19,1899.56
84,1826.81,2319.75,3052.88,1315.88,3414.94,1581.56,1956.38,1903.31
85,1831.5,2313.94,3044.06,1314.56,3406.31,1586.81,1955.25,1905.75
86,1835.25,2310.19,3035.44,1313.44,3400.88,1590.75,1953.19,1907.81
87,1838.81,2306.81,3028.31,1312.13,3395.81,1594.31,1951.69,1909.88
88,1841.63,2303.63,3021,1311,3390.38,1596.94,1950,1911.56
89,1844.06,2300.25,3013.5,1310.25,3385.69,1599.56,1948.69,1912.88
90,1845.75,2296.31,3005.44,1308.94,3381,1601.44,1947,1913.63
91,1846.88,2292.38,2998.13,1307.63,3375,1602.56,1945.13,1913.81
92,1847.63,2290.13,2991.19,1306.69,3371.06,1602.94,1943.44,1913.81
93,1848.19,2287.88,2985.75,1305.94,3368.63,1603.5,1942.5,1913.25
94,1848.19,2286.19,2979,1304.63,3364.13,1603.5,1941,1912.88
95,1848.38,2285.06,2972.81,1303.88,3363,1603.31,1939.69,1912.5
96,1848.19,2282.44,2967.56,1302.94,3360.38,1603.13,1938.19,1911.75
97,1848,2281.31,2962.5,1302.38,3356.63,1603.13,1937.44,1911.19
98,1847.81,2279.81,2957.63,1301.63,3355.88,1602.94,1936.5,1911
99,1847.63,2278.69,2952.56,1301.25,3351.75,1602.56,1935.38,1910.63
100,1847.25,2277,2947.69,1300.69,3349.69,1602,1934.06,1910.25
101,1846.69,2274.94,2942.06,1300.13,3347.06,1601.63,1933.13,1909.5
102,1846.31,2273.81,2936.44,1299.38,3343.88,1601.06,1932.38,1908.75
103,1846.31,2272.69,2933.25,1299.19,3342.56,1601.06,1931.63,1909.69
104,1847.25,2272.31,2931.75,1298.81,3342,1602.19,1931.06,1911.38
105,1848.38,2272.5,2929.88,1298.63,3340.88,1603.88,1930.88,1914
106,1849.31,2272.13,2928,1298.25,3339.94,1605.19,1930.13,1915.88
107,1850.25,2271.38,2927.63,1298.44,3339.94,1606.31,1929.56,1917.38
108,1850.81,2270.63,2925.19,1298.06,3338.44,1607.06,1929,1918.31
109,1851,2269.13,2922.94,1297.69,3336.75,1607.44,1928.25,1918.88
110,1851,2269.13,2919.56,1297.31,3333.75,1607.44,1927.31,1918.69
111,1850.44,2267.25,2915.25,1297.13,3332.25,1607.25,1926.56,1918.13
112,1849.69,2266.5,2910.94,1296.19,3331.88,1606.69,1925.81,1917.19
113,1848.94,2265.56,2906.25,1295.44,3329.63,1606.13,1924.88,1916.25
114,1848.19,2265,2901.56,1295.44,3327.38,1605.38,1924.5,1915.13
115,1847.63,2264.81,2898.94,1295.44,3326.06,1604.81,1923.94,1914.75
116,1846.69,2264.06,2896.69,1295.06,3324.94,1604.44,1923.19,1914
117,1846.13,2263.88,2892.56,1294.13,3324.56,1603.88,1922.81,1913.63
118,1845.56,2262.94,2889.75,1293.94,3323.63,1603.5,1922.25,1913.44
119,1845,2262.56,2887.31,1293.94,3321.56,1603.31,1921.88,1913.06
120,1844.63,2261.63,2884.88,1293.56,3320.63,1602.94,1921.31,1913.06
121,1843.88,2261.44,2882.81,1293.19,3321,1602.75,1920.94,1912.88
122,1843.88,2261.06,2880.19,1293,3320.06,1602.56,1920.56,1912.69
123,1843.69,2260.88,2877.75,1293.19,3319.13,1602.56,1920.19,1912.88
124,1843.31,2259.56,2876.06,1292.81,3317.25,1602.38,1919.63,1912.88
125,1843.31,2259.75,2874.38,1292.63,3316.13,1602.38,1919.44,1913.06
126,1842.94,2259.56,2871.94,1292.25,3315.38,1602.38,1919.06,1913.25
127,1842.56,2258.63,2869.88,1292.63,3314.44,1602.19,1918.69,1913.25
128,1842.56,2258.06,2869.13,1291.88,3314.44,1602.38,1918.5,1913.63
129,1842.75,2258.44,2867.63,1291.31,3314.06,1602.75,1918.31,1914.56
130,1843.13,2257.69,2866.88,1291.13,3312.56,1603.31,1918.13,1915.31
131,1843.31,2257.69,2865.56,1291.13,3312.38,1603.88,1917.94,1916.06
132,1843.5,2257.13,2864.63,1291.13,3312.19,1604.25,1917.38,1916.44
133,1843.31,2256.19,2863.88,1291.13,3310.5,1604.63,1917.75,1916.81
134,1843.13,2255.63,2861.63,1290.38,3310.5,1604.44,1916.81,1916.81
135,1843.13,2255.25,2858.81,1290.56,3309,1604.63,1916.63,1916.63
136,1842.75,2254.88,2856,1290.56,3307.31,1604.44,1916.06,1916.63
137,1842.38,2254.88,2853,1290.19,3307.69,1604.63,1915.88,1916.44
138,1842.56,2254.88,2852.25,1290,3306.75,1604.63,1915.88,1916.44
139,1842.19,2254.31,2851.88,1290.38,3306,1604.63,1915.69,1917
140,1842.19,2255.44,2850.56,1290.19,3306,1604.81,1915.5,1917.38
141,1842.19,2254.69,2849.63,1289.63,3307.13,1605.38,1915.5,1917.75
142,1842.38,2254.69,2848.31,1289.44,3307.69,1605.38,1915.5,1918.31
143,1842.38,2254.13,2846.63,1289.81,3306.19,1605.56,1915.31,1918.13
144,1842.19,2253.56,2845.13,1289.44,3304.69,1605.75,1915.13,1918.13
145,1842.19,2253.56,2843.06,1289.06,3304.13,1605.75,1914.75,1918.31
146,1842,2252.63,2840.63,1288.88,3301.69,1605.56,1914.56,1917.94
147,1841.81,2251.88,2838,1289.25,3301.31,1605.38,1914.19,1917.56
148,1841.06,2250.94,2835.75,1288.69,3299.06,1605,1913.63,1917
149,1840.5,2250.94,2832.75,1288.31,3299.25,1604.44,1913.44,1916.06
150,1839.94,2250.38,2829.94,1288.13,3296.81,1603.88,1913.06,1915.13
151,1839.19,2249.25,2827.13,1288.31,3295.13,1603.13,1912.5,1914.38
152,1838.44,2248.69,2823.75,1287.75,3293.81,1602.38,1912.13,1913.25
153,1837.31,2248.5,2820.38,1287.19,3292.88,1601.44,1911.75,1912.13
154,1836.56,2247.75,2817.75,1287,3291.94,1600.69,1911.38,1911.38
155,1835.63,2246.44,2814.94,1287.19,3291.94,1599.94,1910.81,1910.44
156,1835.06,2246.44,2812.13,1286.81,3290.63,1599.38,1910.63,1909.69
157,1834.13,2245.13,2809.69,1285.88,3287.81,1598.25,1909.88,1908.56
158,1833,2244.94,2806.88,1285.69,3285.75,1597.5,1909.5,1907.63
159,1832.25,2244,2804.25,1285.88,3285.75,1596.56,1909.5,1906.5
160,1831.5,2244,2801.81,1285.31,3285.75,1595.81,1908.75,1905.94
161,1830.75,2243.63,2800.69,1284.94,3285.38,1595.06,1908.56,1905.38
162,1830.19,2244.38,2799.19,1284.75,3285,1594.5,1908.38,1904.81
163,1829.81,2244,2797.31,1285.13,3284.81,1594.13,1908,1904.81
164,1829.06,2243.81,2795.81,1285.13,3283.5,1593.56,1908.19,1904.25
165,1828.69,2244,2794.5,1284.94,3282.94,1593,1908,1904.06
166,1828.13,2243.63,2792.63,1284.94,3281.44,1592.63,1907.63,1903.69
167,1827.75,2243.44,2791.5,1284.94,3282.56,1592.44,1907.81,1903.5
168,1827.19,2243.44,2790,1284.94,3281.81,1592.06,1907.44,1903.13
169,1826.81,2243.44,2788.13,1284.38,3281.06,1591.69,1907.06,1902.94
170,1826.25,2243.06,2786.25,1284.38,3282,1591.5,1906.69,1902.75
171,1826.06,2242.88,2784.94,1284.56,3280.31,1591.5,1906.88,1903.13
172,1825.13,2223.94,2766.94,1282.88,3261.38,1591.13,1903.69,1901.44
173,1822.69,2201.63,2734.88,1278.94,3238.5,1589.06,1898.44,1897.13
174,1819.13,2192.63,2703.94,1276.69,3218.25,1585.69,1894.13,1890.56
175,1814.63,2186.81,2674.31,1274.81,3202.5,1581.38,1890.38,1882.69
176,1809.94,2183.25,2649.38,1274.06,3191.06,1576.5,1887.56,1874.44
177,1805.06,2180.81,2628.19,1272.94,3182.63,1571.44,1885.13,1866.94
178,1799.44,2178,2607.38,1272,3175.13,1565.81,1882.69,1858.69
179,1793.44,2177.44,2588.81,1271.44,3169.13,1559.63,1880.63,1850.44
180,1787.25,2176.31,2571.75,1271.06,3163.69,1553.44,1878.75,1842.19
181,1780.88,2176.31,2557.69,1270.69,3159.75,1546.88,1876.88,1834.5
182,1774.88,2176.88,2544.56,1270.88,3156.56,1541.06,1875.75,1827.38
183,1769.06,2177.63,2533.13,1271.06,3155.06,1535.44,1874.81,1821.38
184,1763.81,2178.38,2523.56,1270.69,3154.13,1530.56,1873.88,1815.56
185,1758.56,2179.31,2515.13,1270.69,3153.56,1525.69,1873.13,1810.88
186,1753.69,2179.69,2506.31,1271.25,3153,1521.38,1872.75,1806.56
187,1749,2180.06,2498.63,1271.06,3151.88,1517.25,1871.81,1802.63
188,1744.13,2180.44,2491.31,1270.88,3150.56,1513.31,1871.25,1798.88
189,1739.81,2180.44,2484,1270.69,3149.81,1509.75,1870.69,1795.5
190,1735.69,2180.81,2477.25,1271.06,3149.25,1506.19,1870.31,1792.13
