time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1254.75,1956.19,1783.88,1114.31,3063.94,964.87,1601.44,1142.06
2,1252.69,1956.56,1782,1114.31,3063.75,963,1601.63,1139.81
3,1250.44,1956.75,1779.94,1113.94,3063.75,961.12,1601.63,1137.38
4,1248.38,1957.31,1777.69,1113.75,3064.13,959.25,1601.63,1135.13
5,1246.31,1957.31,1776,1113.75,3063.94,957.75,1601.63,1133.06
6,1244.25,1957.5,1773.94,1114.5,3064.31,955.87,1601.63,1131
7,1242.19,1957.69,1772.06,1114.31,3064.31,954.19,1602,1128.94
8,1240.31,1958.44,1770.19,1113.94,3064.5,952.5,1602,1126.88
9,1238.44,1958.44,1768.5,1114.69,3064.88,950.81,1602.19,1124.63
10,1236.56,1958.06,1766.63,1114.13,3064.5,949.12,1602.19,1122.75
11,1234.69,1958.63,1764.94,1114.5,3064.88,947.62,1602.19,1120.5
12,1232.44,1959,1763.06,1113.94,3065.06,945.94,1602.38,1118.44
13,1230.75,1959,1761.56,1114.13,3065.06,944.44,1602.19,1116.75
14,1228.88,1959.19,1760.06,1114.88,3065.06,942.94,1602.38,1115.06
15,1227,1959.38,1758.19,1114.69,3065.25,941.25,1602.56,1113.19
16,1225.13,1959.94,1756.5,1114.31,3065.44,939.94,1602.75,1111.13
17,1223.44,1959.94,1755,1114.31,3065.44,938.44,1602.75,1109.44
18,1221.56,1960.13,1753.5,1115.06,3065.63,936.94,1602.94,1107.56
19,1219.88,1960.5,1752,1115.06,3065.81,935.62,1602.75,1105.88
20,1218,1960.88,1750.31,1114.69,3066.19,934.12,1602.94,1103.81
21,1216.5,1960.88,1749,1114.69,3065.81,932.62,1602.94,1102.13
22,1214.63,1960.88,1747.5,1115.25,3066,931.31,1602.94,1100.63
23,1212.75,1960.88,1746,1114.88,3066,929.81,1602.94,1098.94
24,1211.06,1961.63,1744.5,1114.69,3066.75,928.31,1603.13,1097.06
25,1209.75,1961.63,1743.19,1114.88,3066.38,927.19,1603.13,1095.56
26,1208.06,1961.81,1742.06,1115.44,3066.75,925.69,1603.13,1094.06
27,1206.19,1961.81,1740.75,1115.06,3066.56,924.19,1602.94,1092.38
28,1204.69,1962.56,1739.25,1115.06,3066.94,923.06,1603.31,1090.69
29,1203.19,1962.56,1738.31,1115.06,3066.94,921.94,1603.31,1089.38
30,1201.5,1962.56,1737,1115.44,3067.13,920.44,1603.31,1087.5
31,1200,1962.94,1735.69,1115.63,3067.31,919.31,1603.31,1086.19
32,1198.31,1963.31,1734.38,1115.06,3067.5,918,1603.31,1084.69
33,1197,1963.13,1733.25,1115.06,3067.31,916.69,1603.5,1083.19
34,1195.31,1963.31,1732.13,1115.63,3067.5,915.56,1603.5,1081.88
35,1193.81,1963.5,1730.81,1115.44,3067.5,914.25,1603.31,1080.38
36,1192.31,1964.25,1729.88,1115.06,3068.06,913.12,1603.5,1078.69
37,1191,1964.06,1728.75,1115.25,3068.06,912,1603.69,1077.56
38,1189.69,1964.25,1727.81,1116,3068.25,911.06,1603.69,1076.44
39,1188.38,1964.63,1726.69,1115.81,3068.63,909.94,1603.88,1075.13
40,1187.06,1965.19,1725.56,1115.44,3069,909,1604.06,1073.63
41,1185.75,1965,1724.81,1115.63,3068.81,908.06,1604.25,1072.69
42,1184.44,1965.38,1723.69,1116.19,3069.19,906.94,1604.25,1071.56
43,1183.13,1965.56,1722.94,1116,3069.38,905.81,1604.44,1070.06
44,1181.81,1966.31,1721.81,1115.63,3069.75,904.69,1604.63,1068.75
45,1180.69,1966.31,1720.88,1115.63,3069.94,903.75,1604.63,1067.63
46,1179.38,1966.5,1720.13,1116.56,3070.13,903,1604.81,1066.69
47,1178.25,1966.69,1719.19,1116.56,3070.5,902.06,1605,1065.56
48,1176.94,1967.44,1718.25,1116,3070.69,900.94,1605.19,1064.25
49,1175.81,1967.44,1717.31,1116.19,3070.69,900,1605.19,1063.31
50,1174.5,1967.63,1716.94,1116.94,3071.06,899.06,1605.38,1062.19
51,1173.38,1968,1716,1116.94,3071.44,898.12,1605.38,1061.06
52,1172.25,1968.56,1715.06,1116.75,3072,897.19,1605.75,1059.94
53,1171.13,1968.38,1714.31,1116.56,3071.81,896.25,1605.75,1058.81
54,1169.81,1968.75,1713.94,1117.31,3072.38,895.31,1605.94,1057.88
55,1168.88,1969.13,1713.19,1117.31,3072.56,894.56,1605.94,1056.75
56,1167.75,1969.69,1712.44,1116.94,3073.31,893.62,1606.31,1055.63
57,1166.63,1969.88,1711.88,1117.13,3073.31,892.87,1606.31,1054.69
58,1165.69,1969.88,1711.31,1117.69,3073.31,891.94,1606.5,1053.75
59,1164.56,1970.25,1710.56,1117.69,3073.5,891.19,1606.69,1053
60,1163.44,1970.81,1709.81,1117.31,3074.06,890.25,1606.88,1051.88
61,1162.5,1970.81,1709.25,1117.5,3074.25,889.31,1606.88,1050.94
62,1161.38,1971,1708.88,1118.06,3074.25,888.75,1607.06,1050.19
63,1160.44,1971.19,1708.13,1118.06,3074.63,887.81,1607.06,1049.06
64,1159.31,1971.94,1707.56,1117.69,3075,887.06,1607.25,1048.13
65,1158.56,1971.56,1707.19,1117.88,3074.81,886.31,1607.44,1047.38
66,1157.44,1971.94,1706.81,1118.63,3075.38,885.37,1607.44,1046.44
67,1156.31,1972.31,1706.06,1118.44,3075.38,884.81,1607.44,1045.69
68,1155.56,1972.88,1705.69,1118.44,3075.94,884.06,1607.81,1044.38
69,1154.63,1972.88,1705.13,1118.25,3075.94,883.31,1608,1044
70,1153.69,1973.06,1704.75,1118.81,3076.13,882.56,1608.19,1043.06
71,1150.13,1969.13,1701.19,1115.81,3070.88,879.56,1604.81,1040.44
72,1152.19,2070,1978.88,1126.88,3271.13,879.56,1612.13,1045.88
73,1178.25,2181.75,2302.69,1146.75,3430.13,898.69,1645.13,1104.75
74,1222.88,2164.88,2456.25,1152.94,3450.38,937.12,1669.13,1194.94
75,1269.94,2117.81,2514,1150.13,3422.63,980.06,1676.81,1264.5
76,1309.13,2078.44,2526.56,1145.25,3386.44,1015.5,1675.5,1302.19
77,1338,2050.13,2522.63,1139.06,3353.06,1040.25,1669.69,1318.69
78,1357.13,2030.81,2512.5,1134.75,3326.44,1055.81,1662.94,1323.94
